ko:K03654	xop:PXO_01576
ko:K06920	xop:PXO_01572
ko:K03544	xop:PXO_02476
ko:K03545	xop:PXO_02478
ko:K03676	xop:PXO_02490
ko:K00937	xop:PXO_02495
ko:K03269	xop:PXO_02499
ko:K00764	xop:PXO_02504
ko:K03558	xop:PXO_02505
ko:K01114	xop:PXO_02511
ko:K02045	xop:PXO_02515
ko:K02047	xop:PXO_02516
ko:K02046	xop:PXO_02517
ko:K02048	xop:PXO_02518
ko:K00639	xop:PXO_02519
ko:K06178	xop:PXO_02520
ko:K03424	xop:PXO_04808
ko:K00252	xop:PXO_04805
ko:K01953	xop:PXO_04798
ko:K02314	xop:PXO_04796
ko:K01669	xop:PXO_04795
ko:K02014	xop:PXO_04789
ko:K03088	xop:PXO_04771
ko:K05592	xop:PXO_04825
ko:K06182	xop:PXO_04827
ko:K09780	xop:PXO_00874
ko:K05896	xop:PXO_00873
ko:K06024	xop:PXO_00872
ko:K06178	xop:PXO_00871
ko:K02193	xop:PXO_00865
ko:K02194	xop:PXO_00864
ko:K02195	xop:PXO_00863
ko:K02197	xop:PXO_00861
ko:K02198	xop:PXO_00860
ko:K02199	xop:PXO_00859
ko:K02200	xop:PXO_00858
ko:K02200	xop:PXO_00857
ko:K03750	xop:PXO_01059
ko:K03977	xop:PXO_01058
ko:K02656	xop:PXO_01054
ko:K06941	xop:PXO_01053
ko:K00940	xop:PXO_01052
ko:K00962	xop:PXO_01307
ko:K02956	xop:PXO_01306
ko:K03177	xop:PXO_01305
ko:K02834	xop:PXO_01304
ko:K02519	xop:PXO_01303
ko:K02600	xop:PXO_01302
ko:K09748	xop:PXO_01301
ko:K00343	xop:PXO_01300
ko:K07001	xop:PXO_03596
ko:K00507	xop:PXO_03593
ko:K07154	xop:PXO_03586
ko:K07088	xop:PXO_03581
ko:K00655	xop:PXO_03575
ko:K07019	xop:PXO_03574
ko:K06910	xop:PXO_03572
ko:K06153	xop:PXO_03569
ko:K01915	xop:PXO_03568
ko:K03320	xop:PXO_03566
ko:K07708	xop:PXO_03565
ko:K07712	xop:PXO_03564
ko:K04565	xop:PXO_03561
ko:K03583	xop:PXO_05437
ko:K03582	xop:PXO_03906
ko:K03581	xop:PXO_03905
ko:K06911	xop:PXO_04763
ko:K05982	xop:PXO_04762
ko:K07386	xop:PXO_04757
ko:K03412	xop:PXO_04755
ko:K03408	xop:PXO_04752
ko:K03723	xop:PXO_04745
ko:K07115	xop:PXO_04743
ko:K07641	xop:PXO_04742
ko:K06959	xop:PXO_00795
ko:K03821	xop:PXO_00929
ko:K09920	xop:PXO_00924
ko:K09773	xop:PXO_00923
ko:K01007	xop:PXO_00922
ko:K03322	xop:PXO_00917
ko:K03717	xop:PXO_00909
ko:K05577	xop:PXO_00908
ko:K09822	xop:PXO_00907
ko:K01951	xop:PXO_00906
ko:K00088	xop:PXO_00905
ko:K09948	xop:PXO_00903
ko:K00963	xop:PXO_00897
ko:K05788	xop:PXO_00892
ko:K02945	xop:PXO_00891
ko:K00945	xop:PXO_00890
ko:K02919	xop:PXO_00889
ko:K03823	xop:PXO_00885
ko:K06903	xop:PXO_01345
ko:K06907	xop:PXO_01344
ko:K06908	xop:PXO_01343
ko:K09933	xop:PXO_02840
ko:K05539	xop:PXO_02834
ko:K02014	xop:PXO_04406
ko:K00600	xop:PXO_04405
ko:K07738	xop:PXO_04403
ko:K00793	xop:PXO_04399
ko:K00794	xop:PXO_04397
ko:K03625	xop:PXO_04396
ko:K00946	xop:PXO_04395
ko:K01547	xop:PXO_04386
ko:K01548	xop:PXO_04385
ko:K07646	xop:PXO_04384
ko:K07667	xop:PXO_04383
ko:K03777	xop:PXO_04382
ko:K07460	xop:PXO_04380
ko:K07121	xop:PXO_04379
ko:K07056	xop:PXO_04378
ko:K03925	xop:PXO_04375
ko:K03438	xop:PXO_04374
ko:K03586	xop:PXO_04373
ko:K01928	xop:PXO_04371
ko:K01929	xop:PXO_04370
ko:K01000	xop:PXO_04369
ko:K03588	xop:PXO_04368
ko:K02563	xop:PXO_04367
ko:K01924	xop:PXO_04366
ko:K01921	xop:PXO_04365
ko:K03589	xop:PXO_04364
ko:K03590	xop:PXO_04363
ko:K03531	xop:PXO_04362
ko:K02535	xop:PXO_04361
ko:K03070	xop:PXO_04358
ko:K07568	xop:PXO_00526
ko:K00773	xop:PXO_00525
ko:K03210	xop:PXO_00524
ko:K03072	xop:PXO_00522
ko:K03074	xop:PXO_00521
ko:K03683	xop:PXO_00538
ko:K02039	xop:PXO_00536
ko:K02197	xop:PXO_00217
ko:K02196	xop:PXO_00216
ko:K02195	xop:PXO_00215
ko:K03088	xop:PXO_00212
ko:K08738	xop:PXO_00210
ko:K02169	xop:PXO_00196
ko:K08369	xop:PXO_00188
ko:K07220	xop:PXO_00182
ko:K03306	xop:PXO_00181
ko:K02622	xop:PXO_00177
ko:K00641	xop:PXO_01100
ko:K01623	xop:PXO_02119
ko:K00873	xop:PXO_02118
ko:K01091	xop:PXO_02117
ko:K00927	xop:PXO_02116
ko:K03781	xop:PXO_02109
ko:K01356	xop:PXO_02088
ko:K07341	xop:PXO_02086
ko:K03427	xop:PXO_02073
ko:K01153	xop:PXO_02070
ko:K01153	xop:PXO_02066
ko:K03427	xop:PXO_02064
ko:K01866	xop:PXO_02940
ko:K09001	xop:PXO_02937
ko:K08218	xop:PXO_02935
ko:K01142	xop:PXO_02934
ko:K00762	xop:PXO_02932
ko:K03497	xop:PXO_02929
ko:K01520	xop:PXO_02921
ko:K03630	xop:PXO_02919
ko:K01887	xop:PXO_02918
ko:K07178	xop:PXO_02913
ko:K01857	xop:PXO_02908
ko:K00448	xop:PXO_02907
ko:K00449	xop:PXO_02906
ko:K03671	xop:PXO_02900
ko:K00526	xop:PXO_02898
ko:K00525	xop:PXO_02897
ko:K09799	xop:PXO_02894
ko:K02970	xop:PXO_04101
ko:K01409	xop:PXO_04102
ko:K01633	xop:PXO_04103
ko:K08641	xop:PXO_04244
ko:K01719	xop:PXO_04233
ko:K02496	xop:PXO_04232
ko:K00162	xop:PXO_04225
ko:K00162	xop:PXO_04223
ko:K00161	xop:PXO_04222
ko:K07004	xop:PXO_04221
ko:K00453	xop:PXO_04220
ko:K03305	xop:PXO_04219
ko:K00457	xop:PXO_04216
ko:K00451	xop:PXO_04215
ko:K05563	xop:PXO_04213
ko:K05562	xop:PXO_04212
ko:K05561	xop:PXO_04211
ko:K05560	xop:PXO_04210
ko:K03407	xop:PXO_00032
ko:K03413	xop:PXO_00031
ko:K03408	xop:PXO_00029
ko:K02557	xop:PXO_00027
ko:K02556	xop:PXO_00026
ko:K04564	xop:PXO_00022
ko:K07267	xop:PXO_00490
ko:K02769	xop:PXO_00489
ko:K02770	xop:PXO_00489
ko:K00882	xop:PXO_00488
ko:K02768	xop:PXO_00487
ko:K08483	xop:PXO_00487
ko:K11183	xop:PXO_00487
ko:K03435	xop:PXO_00486
ko:K03585	xop:PXO_00481
ko:K03218	xop:PXO_01112
ko:K00548	xop:PXO_01233
ko:K00548	xop:PXO_01232
ko:K00847	xop:PXO_01230
ko:K02429	xop:PXO_01229
ko:K03745	xop:PXO_01225
ko:K00012	xop:PXO_01224
ko:K00432	xop:PXO_01222
ko:K01679	xop:PXO_01214
ko:K01756	xop:PXO_01205
ko:K00164	xop:PXO_01198
ko:K00382	xop:PXO_01196
ko:K06966	xop:PXO_01195
ko:K04761	xop:PXO_01191
ko:K03695	xop:PXO_02158
ko:K07461	xop:PXO_02157
ko:K04762	xop:PXO_02152
ko:K02884	xop:PXO_02150
ko:K00554	xop:PXO_02149
ko:K02860	xop:PXO_02148
ko:K02959	xop:PXO_02147
ko:K03106	xop:PXO_02143
ko:K09975	xop:PXO_02254
ko:K07102	xop:PXO_02246
ko:K10763	xop:PXO_02244
ko:K09938	xop:PXO_02242
ko:K01933	xop:PXO_02241
ko:K08984	xop:PXO_02239
ko:K11175	xop:PXO_02238
ko:K00790	xop:PXO_02234
ko:K06041	xop:PXO_02232
ko:K03270	xop:PXO_02231
ko:K09774	xop:PXO_02229
ko:K06861	xop:PXO_02228
ko:K03092	xop:PXO_02227
ko:K05808	xop:PXO_02226
ko:K02806	xop:PXO_02225
ko:K06023	xop:PXO_02224
ko:K01284	xop:PXO_02761
ko:K03534	xop:PXO_02757
ko:K02429	xop:PXO_02756
ko:K00851	xop:PXO_02747
ko:K03785	xop:PXO_02744
ko:K02065	xop:PXO_03211
ko:K02066	xop:PXO_03210
ko:K02067	xop:PXO_03209
ko:K07323	xop:PXO_03208
ko:K04754	xop:PXO_03206
ko:K10563	xop:PXO_03200
ko:K05782	xop:PXO_03312
ko:K03088	xop:PXO_00666
ko:K01284	xop:PXO_00661
ko:K01284	xop:PXO_00660
ko:K00432	xop:PXO_00658
ko:K00528	xop:PXO_00657
ko:K01676	xop:PXO_00655
ko:K03823	xop:PXO_00641
ko:K03893	xop:PXO_00625
ko:K03640	xop:PXO_01565
ko:K03641	xop:PXO_01564
ko:K03646	xop:PXO_01563
ko:K03560	xop:PXO_01562
ko:K03562	xop:PXO_01561
ko:K07107	xop:PXO_01560
ko:K03551	xop:PXO_01559
ko:K03549	xop:PXO_01558
ko:K03550	xop:PXO_01557
ko:K01159	xop:PXO_01556
ko:K01876	xop:PXO_01552
ko:K01114	xop:PXO_01545
ko:K04485	xop:PXO_01540
ko:K03555	xop:PXO_01536
ko:K07400	xop:PXO_01524
ko:K01724	xop:PXO_01523
ko:K03832	xop:PXO_01522
ko:K07238	xop:PXO_01520
ko:K06179	xop:PXO_01518
ko:K08300	xop:PXO_01517
ko:K07146	xop:PXO_01514
ko:K07007	xop:PXO_01510
ko:K06207	xop:PXO_02547
ko:K01626	xop:PXO_02551
ko:K03611	xop:PXO_02553
ko:K07157	xop:PXO_02586
ko:K02558	xop:PXO_02587
ko:K00939	xop:PXO_02588
ko:K01507	xop:PXO_02598
ko:K02014	xop:PXO_02600
ko:K03147	xop:PXO_02603
ko:K00053	xop:PXO_02605
ko:K01652	xop:PXO_02606
ko:K00287	xop:PXO_04648
ko:K06195	xop:PXO_04646
ko:K02528	xop:PXO_04645
ko:K00097	xop:PXO_04644
ko:K03771	xop:PXO_04643
