ko:K03780	lpt:zj316_1124
ko:K03319	lpt:zj316_1134
ko:K01910	lpt:zj316_1137
ko:K01646	lpt:zj316_1138
ko:K01644	lpt:zj316_1139
ko:K01643	lpt:zj316_1140
ko:K05964	lpt:zj316_1150
ko:K07088	lpt:zj316_1154
ko:K00425	lpt:zj316_1159
ko:K00426	lpt:zj316_1160
ko:K02548	lpt:zj316_1166
ko:K03816	lpt:zj316_1169
ko:K01589	lpt:zj316_1171
ko:K03657	lpt:zj316_1173
ko:K01972	lpt:zj316_1174
ko:K02435	lpt:zj316_1176
ko:K02434	lpt:zj316_1178
ko:K03215	lpt:zj316_1180
ko:K02761	lpt:zj316_1183
ko:K03704	lpt:zj316_1188
ko:K02761	lpt:zj316_1193
ko:K00262	lpt:zj316_1198
ko:K07058	lpt:zj316_1202
ko:K02440	lpt:zj316_1203
ko:K02840	lpt:zj316_1210
ko:K07056	lpt:zj316_0775
ko:K03430	lpt:zj316_0778
ko:K05306	lpt:zj316_0779
ko:K02042	lpt:zj316_0780
ko:K02042	lpt:zj316_0781
ko:K02041	lpt:zj316_0782
ko:K02044	lpt:zj316_0783
ko:K03789	lpt:zj316_0785
ko:K03789	lpt:zj316_0786
ko:K06158	lpt:zj316_0789
ko:K01926	lpt:zj316_0790
ko:K04078	lpt:zj316_0792
ko:K04077	lpt:zj316_0793
ko:K02040	lpt:zj316_0797
ko:K03070	lpt:zj316_0802
ko:K02836	lpt:zj316_0803
ko:K07636	lpt:zj316_0806
ko:K02040	lpt:zj316_0807
ko:K02037	lpt:zj316_0808
ko:K02038	lpt:zj316_0809
ko:K02036	lpt:zj316_0810
ko:K02036	lpt:zj316_0811
ko:K02039	lpt:zj316_0812
ko:K08972	lpt:zj316_0814
ko:K13292	lpt:zj316_0816
ko:K00057	lpt:zj316_0817
ko:K00963	lpt:zj316_0818
ko:K00384	lpt:zj316_0822
ko:K08641	lpt:zj316_0829
ko:K07023	lpt:zj316_0831
ko:K03702	lpt:zj316_0832
ko:K03701	lpt:zj316_0833
ko:K07173	lpt:zj316_0834
ko:K01940	lpt:zj316_0835
