ko:K01956	bmaf:DM51_537
ko:K11250	bmaf:DM51_538
ko:K01955	bmaf:DM51_539
ko:K03624	bmaf:DM51_540
ko:K02427	bmaf:DM51_543
ko:K02300	bmaf:DM51_386
ko:K02299	bmaf:DM51_387
ko:K02298	bmaf:DM51_389
ko:K02297	bmaf:DM51_390
ko:K13771	bmaf:DM51_392
ko:K04488	bmaf:DM51_395
ko:K11717	bmaf:DM51_396
ko:K09015	bmaf:DM51_397
ko:K09013	bmaf:DM51_398
ko:K09014	bmaf:DM51_399
ko:K07234	bmaf:DM51_400
ko:K00459	bmaf:DM51_405
ko:K08303	bmaf:DM51_406
ko:K04561	bmaf:DM51_416
ko:K00496	bmaf:DM51_417
ko:K01669	bmaf:DM51_418
ko:K00860	bmaf:DM51_419
ko:K07782	bmaf:DM51_420
ko:K06133	bmaf:DM51_422
ko:K01745	bmaf:DM51_423
ko:K05836	bmaf:DM51_424
ko:K01712	bmaf:DM51_425
ko:K09975	bmaf:DM51_426
ko:K01468	bmaf:DM51_427
ko:K05603	bmaf:DM51_428
ko:K07010	bmaf:DM51_430
ko:K01915	bmaf:DM51_431
ko:K12256	bmaf:DM51_432
ko:K13634	bmaf:DM51_436
ko:K00381	bmaf:DM51_437
ko:K00390	bmaf:DM51_439
ko:K00874	bmaf:DM51_1037
ko:K14441	bmaf:DM51_1038
ko:K00023	bmaf:DM51_1040
ko:K00626	bmaf:DM51_1041
ko:K03821	bmaf:DM51_1042
ko:K05810	bmaf:DM51_1043
ko:K06180	bmaf:DM51_1044
ko:K05807	bmaf:DM51_1045
ko:K06959	bmaf:DM51_1049
ko:K03549	bmaf:DM51_1050
ko:K07101	bmaf:DM51_1051
ko:K01939	bmaf:DM51_1052
ko:K02502	bmaf:DM51_1053
ko:K09937	bmaf:DM51_1054
ko:K04087	bmaf:DM51_1055
ko:K04088	bmaf:DM51_1056
ko:K03665	bmaf:DM51_1057
ko:K03666	bmaf:DM51_1058
ko:K03977	bmaf:DM51_1059
ko:K17713	bmaf:DM51_1060
ko:K01892	bmaf:DM51_1062
ko:K15539	bmaf:DM51_1064
ko:K06941	bmaf:DM51_1065
ko:K00940	bmaf:DM51_1066
ko:K03215	bmaf:DM51_1068
ko:K07501	bmaf:DM51_1070
ko:K03087	bmaf:DM51_1071
ko:K06194	bmaf:DM51_1072
ko:K00573	bmaf:DM51_1073
ko:K03787	bmaf:DM51_1074
ko:K06187	bmaf:DM51_1076
ko:K09747	bmaf:DM51_1077
ko:K02343	bmaf:DM51_1078
ko:K03671	bmaf:DM51_1079
ko:K03628	bmaf:DM51_1080
ko:K09933	bmaf:DM51_1083
ko:K02909	bmaf:DM51_1084
ko:K03327	bmaf:DM51_1086
ko:K07506	bmaf:DM51_1706
ko:K03778	bmaf:DM51_1709
ko:K04719	bmaf:DM51_1710
ko:K01555	bmaf:DM51_1713
ko:K00451	bmaf:DM51_1714
ko:K08195	bmaf:DM51_1715
ko:K05712	bmaf:DM51_1717
ko:K00252	bmaf:DM51_1722
ko:K02655	bmaf:DM51_1727
ko:K02672	bmaf:DM51_1729
ko:K08084	bmaf:DM51_1731
ko:K07738	bmaf:DM51_1732
ko:K00600	bmaf:DM51_1733
ko:K16066	bmaf:DM51_1734
ko:K07107	bmaf:DM51_1735
ko:K03562	bmaf:DM51_1736
ko:K03560	bmaf:DM51_1737
ko:K03641	bmaf:DM51_1739
ko:K03640	bmaf:DM51_1740
ko:K04760	bmaf:DM51_1749
ko:K03060	bmaf:DM51_1753
ko:K00942	bmaf:DM51_1754
ko:K00989	bmaf:DM51_1756
