ko:K00332	fta:FTA_1936
ko:K00330	fta:FTA_1938
ko:K01586	fta:FTA_1942
ko:K02434	fta:FTA_1948
ko:K02433	fta:FTA_1949
ko:K02435	fta:FTA_1950
ko:K01919	fta:FTA_1379
ko:K03980	fta:FTA_1380
ko:K06925	fta:FTA_1382
ko:K00940	fta:FTA_1385
ko:K01937	fta:FTA_1386
ko:K01752	fta:FTA_1409
ko:K01775	fta:FTA_1414
ko:K09799	fta:FTA_1421
ko:K03424	fta:FTA_1429
ko:K00963	fta:FTA_1435
ko:K02970	fta:FTA_1440
ko:K04761	fta:FTA_1069
ko:K00945	fta:FTA_1072
ko:K00831	fta:FTA_1073
ko:K01255	fta:FTA_1564
ko:K07091	fta:FTA_1565
ko:K00757	fta:FTA_1572
ko:K01489	fta:FTA_1573
ko:K01875	fta:FTA_1576
ko:K00847	fta:FTA_1577
ko:K00099	fta:FTA_0567
ko:K07277	fta:FTA_0568
ko:K06142	fta:FTA_0569
ko:K02536	fta:FTA_0570
ko:K02372	fta:FTA_0571
ko:K00677	fta:FTA_0572
ko:K01004	fta:FTA_0578
ko:K00795	fta:FTA_0579
ko:K02527	fta:FTA_0580
ko:K00286	fta:FTA_0582
ko:K03100	fta:FTA_0586
ko:K00507	fta:FTA_0590
ko:K00574	fta:FTA_0594
ko:K03720	fta:FTA_2081
ko:K08301	fta:FTA_2082
ko:K00566	fta:FTA_0080
ko:K01462	fta:FTA_0082
ko:K03313	fta:FTA_0094
ko:K00655	fta:FTA_0096
ko:K00655	fta:FTA_0097
ko:K08289	fta:FTA_0101
ko:K03695	fta:FTA_0103
ko:K01299	fta:FTA_0108
ko:K03281	fta:FTA_0109
ko:K07337	fta:FTA_0605
ko:K09859	fta:FTA_0608
ko:K01750	fta:FTA_0612
ko:K09794	fta:FTA_0614
ko:K03578	fta:FTA_0624
ko:K01129	fta:FTA_1586
ko:K02445	fta:FTA_1594
ko:K01126	fta:FTA_1595
ko:K00761	fta:FTA_1604
ko:K00639	fta:FTA_1606
ko:K00991	fta:FTA_1609
ko:K05589	fta:FTA_1610
ko:K01689	fta:FTA_1611
ko:K03811	fta:FTA_1613
ko:K03215	fta:FTA_1615
ko:K02892	fta:FTA_0254
ko:K02886	fta:FTA_0255
ko:K02890	fta:FTA_0257
ko:K02982	fta:FTA_0258
ko:K02961	fta:FTA_0260
ko:K02994	fta:FTA_0265
ko:K02933	fta:FTA_0266
ko:K02881	fta:FTA_0267
ko:K02988	fta:FTA_0268
ko:K02948	fta:FTA_0273
ko:K02986	fta:FTA_0274
ko:K02879	fta:FTA_0276
ko:K04079	fta:FTA_0283
ko:K01442	fta:FTA_1239
ko:K03650	fta:FTA_1243
ko:K05808	fta:FTA_1245
ko:K02806	fta:FTA_1246
ko:K03600	fta:FTA_1249
ko:K01338	fta:FTA_0945
ko:K03530	fta:FTA_0946
ko:K03770	fta:FTA_0947
ko:K00791	fta:FTA_0948
ko:K04088	fta:FTA_0954
ko:K04087	fta:FTA_0955
ko:K03978	fta:FTA_0957
ko:K01653	fta:FTA_0965
ko:K00053	fta:FTA_0966
ko:K03616	fta:FTA_0972
ko:K03675	fta:FTA_0973
ko:K01590	fta:FTA_0986
ko:K03811	fta:FTA_0991
ko:K03455	fta:FTA_0992
ko:K06987	fta:FTA_0998
ko:K00948	fta:FTA_0999
ko:K02897	fta:FTA_1000
ko:K01425	fta:FTA_2007
ko:K02836	fta:FTA_2011
ko:K02535	fta:FTA_2013
ko:K03531	fta:FTA_2014
ko:K03590	fta:FTA_2015
ko:K03589	fta:FTA_2016
ko:K01921	fta:FTA_2017
ko:K02970	fta:FTA_0482
ko:K03704	fta:FTA_0484
ko:K01265	fta:FTA_0486
ko:K04762	fta:FTA_1459
ko:K00432	fta:FTA_1469
ko:K00278	fta:FTA_1475
ko:K00767	fta:FTA_1476
ko:K03517	fta:FTA_1477
ko:K00942	fta:FTA_1478
ko:K05592	fta:FTA_1479
ko:K00849	fta:FTA_1485
ko:K00979	fta:FTA_1486
ko:K02916	fta:FTA_1492
ko:K02520	fta:FTA_1493
ko:K01868	fta:FTA_1494
ko:K02437	fta:FTA_1497
ko:K09747	fta:FTA_1499
ko:K07018	fta:FTA_1801
ko:K01953	fta:FTA_0634
ko:K00973	fta:FTA_0639
ko:K03628	fta:FTA_0645
ko:K03671	fta:FTA_0646
ko:K07478	fta:FTA_0648
ko:K03594	fta:FTA_0650
ko:K03424	fta:FTA_0653
ko:K00858	fta:FTA_0659
ko:K03439	fta:FTA_0661
ko:K09160	fta:FTA_0674
ko:K03625	fta:FTA_0678
ko:K01881	fta:FTA_0684
ko:K02946	fta:FTA_0251
ko:K02906	fta:FTA_0252
ko:K07566	fta:FTA_2020
ko:K02238	fta:FTA_2024
ko:K02221	fta:FTA_2029
ko:K01939	fta:FTA_2039
ko:K00760	fta:FTA_2040
ko:K06077	fta:FTA_2049
ko:K03809	fta:FTA_2050
ko:K07058	fta:FTA_2051
ko:K01256	fta:FTA_2070
ko:K04773	fta:FTA_0010
ko:K08309	fta:FTA_0493
ko:K01462	fta:FTA_0499
ko:K09808	fta:FTA_0500
ko:K00605	fta:FTA_0503
ko:K02437	fta:FTA_0504
ko:K00283	fta:FTA_0506
ko:K00014	fta:FTA_0507
ko:K03704	fta:FTA_1442
ko:K01756	fta:FTA_1956
ko:K01952	fta:FTA_1966
ko:K00764	fta:FTA_1967
ko:K00573	fta:FTA_1973
ko:K03979	fta:FTA_1981
ko:K03098	fta:FTA_2004
ko:K01915	fta:FTA_2006
ko:K01262	fta:FTA_0928
ko:K06189	fta:FTA_0934
ko:K06217	fta:FTA_0936
ko:K00857	fta:FTA_0941
ko:K03545	fta:FTA_0942
ko:K03544	fta:FTA_0944
ko:K00075	fta:FTA_0435
ko:K00790	fta:FTA_0436
ko:K03977	fta:FTA_0437
ko:K01414	fta:FTA_0442
ko:K02427	fta:FTA_0455
ko:K03101	fta:FTA_0456
ko:K01870	fta:FTA_0458
ko:K01613	fta:FTA_0476
ko:K00820	fta:FTA_0481
ko:K09861	fta:FTA_1819
ko:K00783	fta:FTA_1823
ko:K02493	fta:FTA_1822
ko:K02492	fta:FTA_1825
ko:K08311	fta:FTA_1832
ko:K02884	fta:FTA_1838
ko:K00554	fta:FTA_1839
ko:K02860	fta:FTA_1840
ko:K02959	fta:FTA_1841
ko:K01719	fta:FTA_0690
ko:K04758	fta:FTA_0695
ko:K03634	fta:FTA_1805
ko:K04077	fta:FTA_1816
ko:K04078	fta:FTA_1817
ko:K01890	fta:FTA_1266
ko:K09013	fta:FTA_1301
ko:K09014	fta:FTA_1302
ko:K03499	fta:FTA_1304
ko:K02518	fta:FTA_1308
ko:K03106	fta:FTA_1311
ko:K01626	fta:FTA_1312
ko:K02863	fta:FTA_1851
ko:K02867	fta:FTA_1852
ko:K02601	fta:FTA_1853
ko:K03442	fta:FTA_1857
ko:K02440	fta:FTA_1859
ko:K09895	fta:FTA_0765
ko:K03185	fta:FTA_0766
ko:K09125	fta:FTA_0771
ko:K01776	fta:FTA_0789
ko:K03664	fta:FTA_0804
ko:K09801	fta:FTA_0806
ko:K04754	fta:FTA_0808
ko:K00681	fta:FTA_0809
ko:K03799	fta:FTA_0382
ko:K03744	fta:FTA_0383
ko:K00057	fta:FTA_0395
ko:K01736	fta:FTA_0400
ko:K01933	fta:FTA_0418
ko:K06190	fta:FTA_0425
ko:K00845	fta:FTA_0426
ko:K03690	fta:FTA_0428
ko:K09015	fta:FTA_1300
ko:K04518	fta:FTA_1411
ko:K06207	fta:FTA_0811
ko:K01443	fta:FTA_0831
ko:K03595	fta:FTA_0835
ko:K00939	fta:FTA_0840
ko:K02665	fta:FTA_0844
ko:K02666	fta:FTA_0845
ko:K00891	fta:FTA_0846
ko:K01735	fta:FTA_0847
ko:K07645	fta:FTA_1869
ko:K07071	fta:FTA_1868
ko:K00425	fta:FTA_1870
ko:K00426	fta:FTA_1871
ko:K07223	fta:FTA_1879
ko:K01803	fta:FTA_1886
ko:K03431	fta:FTA_1887
ko:K00759	fta:FTA_1888
ko:K00164	fta:FTA_1890
ko:K00242	fta:FTA_1893
ko:K01647	fta:FTA_1895
ko:K08218	fta:FTA_1896
ko:K07390	fta:FTA_1899
ko:K06987	fta:FTA_1316
ko:K01142	fta:FTA_1317
ko:K00383	fta:FTA_1321
ko:K03305	fta:FTA_1325
ko:K01495	fta:FTA_1326
ko:K01633	fta:FTA_1337
ko:K01012	fta:FTA_1345
ko:K02169	fta:FTA_1347
ko:K01935	fta:FTA_1348
ko:K01845	fta:FTA_1356
ko:K01920	fta:FTA_1357
ko:K00604	fta:FTA_1358
ko:K07007	fta:FTA_1366
ko:K01586	fta:FTA_0289
ko:K06916	fta:FTA_1912
ko:K02834	fta:FTA_1915
ko:K02519	fta:FTA_1916
ko:K01599	fta:FTA_1919
ko:K03316	fta:FTA_0322
ko:K00658	fta:FTA_1889
ko:K01091	fta:FTA_1654
ko:K00384	fta:FTA_1656
ko:K06949	fta:FTA_1665
ko:K11073	fta:FTA_1667
ko:K03548	fta:FTA_1669
ko:K07462	fta:FTA_1670
ko:K00868	fta:FTA_0214
ko:K01525	fta:FTA_1680
ko:K00703	fta:FTA_0512
ko:K12340	fta:FTA_1972
ko:K09458	fta:FTA_1200
ko:K00645	fta:FTA_1203
ko:K03621	fta:FTA_1205
ko:K02911	fta:FTA_1206
ko:K07040	fta:FTA_1207
ko:K00615	fta:FTA_1208
ko:K00134	fta:FTA_1209
ko:K00927	fta:FTA_1210
ko:K00873	fta:FTA_1211
ko:K01304	fta:FTA_0223
ko:K01873	fta:FTA_0226
ko:K00101	fta:FTA_0229
ko:K01885	fta:FTA_0234
ko:K00287	fta:FTA_0239
ko:K02967	fta:FTA_0240
ko:K09903	fta:FTA_0242
ko:K00806	fta:FTA_0244
ko:K00981	fta:FTA_0245
ko:K01520	fta:FTA_0246
ko:K00995	fta:FTA_0247
ko:K04075	fta:FTA_0753
ko:K03525	fta:FTA_0706
ko:K01579	fta:FTA_0707
ko:K01918	fta:FTA_0708
ko:K00606	fta:FTA_0709
ko:K01972	fta:FTA_0711
ko:K11074	fta:FTA_0715
ko:K11075	fta:FTA_0716
ko:K11076	fta:FTA_0717
ko:K03543	fta:FTA_0726
ko:K03305	fta:FTA_0730
ko:K09761	fta:FTA_0731
ko:K02067	fta:FTA_0734
ko:K02065	fta:FTA_0735
ko:K02066	fta:FTA_0736
ko:K06180	fta:FTA_0738
ko:K05807	fta:FTA_0739
ko:K00600	fta:FTA_0743
ko:K09889	fta:FTA_0744
ko:K01442	fta:FTA_0750
ko:K00560	fta:FTA_0755
ko:K00343	fta:FTA_1925
ko:K00342	fta:FTA_1926
ko:K00340	fta:FTA_1928
ko:K09159	fta:FTA_0850
ko:K06197	fta:FTA_0857
ko:K01772	fta:FTA_0870
ko:K02653	fta:FTA_0876
ko:K01126	fta:FTA_0879
ko:K03802	fta:FTA_0880
ko:K01770	fta:FTA_0882
ko:K03834	fta:FTA_0300
ko:K03071	fta:FTA_0311
ko:K07106	fta:FTA_0317
ko:K01867	fta:FTA_0325
ko:K00859	fta:FTA_0326
ko:K00627	fta:FTA_0329
ko:K06901	fta:FTA_0338
ko:K03774	fta:FTA_0347
ko:K03527	fta:FTA_0348
ko:K03562	fta:FTA_0352
ko:K03560	fta:FTA_0353
ko:K03646	fta:FTA_0354
ko:K03820	fta:FTA_0933
ko:K01056	fta:FTA_1007
ko:K00975	fta:FTA_0511
ko:K00688	fta:FTA_0513
ko:K00705	fta:FTA_0514
ko:K01928	fta:FTA_0516
ko:K01929	fta:FTA_0518
ko:K00133	fta:FTA_0520
ko:K00872	fta:FTA_0522
ko:K01733	fta:FTA_0523
ko:K01611	fta:FTA_0524
ko:K00797	fta:FTA_0525
ko:K00762	fta:FTA_0535
ko:K02558	fta:FTA_0536
ko:K03218	fta:FTA_0538
ko:K07727	fta:FTA_1139
ko:K01442	fta:FTA_1148
ko:K03437	fta:FTA_1149
ko:K06999	fta:FTA_0151
ko:K01749	fta:FTA_0152
ko:K06199	fta:FTA_0153
ko:K02050	fta:FTA_0158
ko:K02049	fta:FTA_0159
ko:K02494	fta:FTA_0163
ko:K00919	fta:FTA_0164
ko:K03306	fta:FTA_0170
ko:K07220	fta:FTA_0171
ko:K01114	fta:FTA_0172
ko:K07015	fta:FTA_0184
ko:K07056	fta:FTA_0187
ko:K01924	fta:FTA_0188
ko:K00014	fta:FTA_0189
ko:K03217	fta:FTA_0192
ko:K02517	fta:FTA_0194
ko:K03071	fta:FTA_0013
ko:K03565	fta:FTA_0015
ko:K03111	fta:FTA_0016
ko:K00925	fta:FTA_0017
ko:K01876	fta:FTA_0024
ko:K03837	fta:FTA_0031
ko:K01465	fta:FTA_0040
ko:K09941	fta:FTA_0043
ko:K01591	fta:FTA_0053
ko:K07560	fta:FTA_0057
ko:K03834	fta:FTA_0065
ko:K03501	fta:FTA_0067
ko:K06997	fta:FTA_0069
ko:K06186	fta:FTA_0077
ko:K02968	fta:FTA_0078
ko:K03596	fta:FTA_0079
ko:K02067	fta:FTA_0544
ko:K02066	fta:FTA_0545
ko:K02065	fta:FTA_0546
ko:K02913	fta:FTA_0550
ko:K07461	fta:FTA_0559
ko:K01783	fta:FTA_1520
ko:K06041	fta:FTA_1521
ko:K09930	fta:FTA_1525
ko:K00208	fta:FTA_1529
ko:K02899	fta:FTA_1539
ko:K03798	fta:FTA_1552
ko:K08084	fta:FTA_1560
ko:K01810	fta:FTA_1561
ko:K00088	fta:FTA_1563
ko:K02356	fta:FTA_0196
ko:K00426	fta:FTA_0203
ko:K02297	fta:FTA_0206
ko:K02299	fta:FTA_0208
ko:K02300	fta:FTA_0209
ko:K03924	fta:FTA_0216
ko:K09710	fta:FTA_1160
ko:K01872	fta:FTA_1166
ko:K01255	fta:FTA_1168
ko:K02654	fta:FTA_1010
ko:K00322	fta:FTA_1011
ko:K03305	fta:FTA_1014
ko:K01419	fta:FTA_1016
ko:K03800	fta:FTA_1018
ko:K01866	fta:FTA_1019
ko:K00101	fta:FTA_1022
ko:K02687	fta:FTA_1027
ko:K06158	fta:FTA_1037
ko:K03674	fta:FTA_1038
ko:K06134	fta:FTA_1042
ko:K06193	fta:FTA_1053
ko:K00616	fta:FTA_1169
ko:K06980	fta:FTA_1175
ko:K00243	fta:FTA_1177
ko:K07146	fta:FTA_1178
ko:K06141	fta:FTA_1197
ko:K00700	fta:FTA_0509
ko:K07304	fta:FTA_2074
ko:K01916	fta:FTA_0724
ko:K11752	fta:FTA_0086
ko:K00262	fta:FTA_0286
ko:K04763	fta:FTA_1837
ko:K03733	fta:FTA_0308
ko:K08300	fta:FTA_0757
ko:K03975	fta:FTA_0762
ko:K00864	fta:FTA_1739
ko:K00943	fta:FTA_1757
ko:K00027	fta:FTA_0460
ko:K01874	fta:FTA_0468
ko:K01658	fta:FTA_2079
ko:K02931	fta:FTA_0263
ko:K02926	fta:FTA_0253
ko:K03075	fta:FTA_1885
ko:K03588	fta:FTA_1701
ko:K00240	fta:FTA_1891
ko:K04568	fta:FTA_1672
ko:K11103	fta:FTA_1582
ko:K03551	fta:FTA_1136
ko:K01679	fta:FTA_0233
ko:K06187	fta:FTA_1500
ko:K03789	fta:FTA_1089
ko:K03554	fta:FTA_1179
ko:K02346	fta:FTA_1034
ko:K01878	fta:FTA_0515
ko:K04043	fta:FTA_1257
ko:K01624	fta:FTA_1212
ko:K03070	fta:FTA_1545
ko:K01892	fta:FTA_1914
ko:K11175	fta:FTA_0420
ko:K01879	fta:FTA_1428
ko:K04485	fta:FTA_0397
ko:K00341	fta:FTA_1927
ko:K03685	fta:FTA_0587
ko:K01676	fta:FTA_0555
ko:K03644	fta:FTA_0977
ko:K01424	fta:FTA_0907
ko:K00337	fta:FTA_1931
ko:K02298	fta:FTA_0207
ko:K00425	fta:FTA_0204
ko:K02426	fta:FTA_0689
ko:K01681	fta:FTA_1878
ko:K00766	fta:FTA_2078
ko:K02114	fta:FTA_1901
ko:K02115	fta:FTA_1903
ko:K02109	fta:FTA_1906
ko:K02108	fta:FTA_1908
ko:K07305	fta:FTA_0402
ko:K02110	fta:FTA_1907
ko:K02111	fta:FTA_1904
ko:K03076	fta:FTA_0271
ko:K02650	fta:FTA_0415
ko:K03688	fta:FTA_0429
ko:K00331	fta:FTA_1937
ko:K00820	fta:FTA_0916
ko:K01092	fta:FTA_1195
ko:K03711	fta:FTA_1939
ko:K01104	fta:FTA_0956
ko:K04042	fta:FTA_0480
ko:K03773	fta:FTA_1102
ko:K01897	fta:FTA_0620
ko:K01897	fta:FTA_0728
ko:K01183	fta:FTA_0102
ko:K01759	fta:FTA_0772
ko:K00602	fta:FTA_2038
ko:K11927	fta:FTA_1324
ko:K11717	fta:FTA_1408
ko:K08325	fta:FTA_1026
ko:K07126	fta:FTA_1381
ko:K01207	fta:FTA_1355
ko:K03769	fta:FTA_1480
ko:K01207	fta:FTA_0576
ko:K00951	fta:FTA_0303
ko:K03446	fta:FTA_0727
ko:K12978	fta:FTA_1803
ko:K13003	fta:FTA_0633
ko:K13004	fta:FTA_0629
ko:K13012	fta:FTA_0627
ko:K11754	fta:FTA_1383
ko:K00031	fta:FTA_0622
ko:K17103	fta:FTA_0350
ko:K00228	fta:FTA_1078
ko:K01200	fta:FTA_0508
ko:K11535	fta:FTA_1758
ko:K12267	fta:FTA_1153
ko:K01069	fta:FTA_0693
ko:K00748	fta:FTA_0573
ko:K07735	fta:FTA_1286
ko:K00060	fta:FTA_1607
ko:K09810	fta:FTA_0501
ko:K03524	fta:FTA_1349
ko:K03496	fta:FTA_0449
ko:K00965	fta:FTA_1483
ko:K11753	fta:FTA_0459
ko:K11900	fta:FTA_0120
ko:K11901	fta:FTA_0119
ko:K11901	fta:FTA_1220
ko:K11900	fta:FTA_1221
ko:K00059	fta:FTA_1202
ko:K03524	fta:FTA_1671
ko:K06168	fta:FTA_0937
ko:K07667	fta:FTA_1985
ko:K03386	fta:FTA_1050
ko:K04487	fta:FTA_0758
ko:K00812	fta:FTA_0834
ko:K01895	fta:FTA_1434
ko:K01358	fta:FTA_0943
ko:K00568	fta:FTA_1732
ko:K01835	fta:FTA_0510
ko:K11720	fta:FTA_1566
ko:K01710	fta:FTA_0640
ko:K12262	fta:FTA_0169
ko:K13941	fta:FTA_1338
ko:K08137	fta:FTA_1482
ko:K01784	fta:FTA_0628
ko:K01784	fta:FTA_1518
ko:K01491	fta:FTA_0417
ko:K13282	fta:FTA_1507
ko:K13288	fta:FTA_0197
ko:K01424	fta:FTA_1506
ko:K01697	fta:FTA_1238
ko:K02503	fta:FTA_0430
ko:K01961	fta:FTA_1677
ko:K13788	fta:FTA_0018
ko:K03574	fta:FTA_0334
ko:K02517	fta:FTA_0193
ko:K02664	fta:FTA_0843
ko:K01193	fta:FTA_0060
ko:K09806	fta:FTA_1924
ko:K13993	fta:FTA_2072
ko:K12262	fta:FTA_0091
