ko:K14233	sent:TY21A_t23638
ko:K14222	sent:TY21A_t23642
ko:K14233	sent:TY21A_t23656
ko:K14230	sent:TY21A_t23666
ko:K14230	sent:TY21A_t23674
ko:K14234	sent:TY21A_t23680
ko:K06039	sent:TY21A_08530
ko:K07491	sent:TY21A_08545
ko:K07660	sent:TY21A_08585
ko:K01258	sent:TY21A_08605
ko:K11072	sent:TY21A_08610
ko:K11071	sent:TY21A_08615
ko:K11069	sent:TY21A_08630
ko:K02778	sent:TY21A_08730
ko:K09998	sent:TY21A_10200
ko:K02822	sent:TY21A_10215
ko:K03475	sent:TY21A_10220
ko:K05844	sent:TY21A_10260
ko:K07258	sent:TY21A_10320
ko:K00380	sent:TY21A_14405
ko:K06897	sent:TY21A_14415
ko:K04765	sent:TY21A_14435
ko:K03535	sent:TY21A_14525
ko:K02193	sent:TY21A_18730
ko:K02200	sent:TY21A_18765
ko:K00389	sent:TY21A_18815
ko:K13636	sent:TY21A_18840
ko:K00852	sent:TY21A_18880
ko:K11645	sent:TY21A_03650
ko:K00483	sent:TY21A_09265
ko:K01270	sent:TY21A_12865
ko:K06445	sent:TY21A_12900
ko:K02852	sent:TY21A_17045
ko:K02851	sent:TY21A_17100
ko:K03769	sent:TY21A_17150
ko:K13637	sent:TY21A_23200
ko:K06887	sent:TY21A_23210
ko:K02779	sent:TY21A_08730
ko:K02619	sent:TY21A_08755
ko:K00769	sent:TY21A_12860
ko:K01759	sent:TY21A_06610
ko:K00799	sent:TY21A_06690
ko:K03613	sent:TY21A_06705
ko:K03612	sent:TY21A_06710
ko:K03614	sent:TY21A_06715
ko:K03615	sent:TY21A_06720
ko:K03616	sent:TY21A_06725
ko:K03617	sent:TY21A_06730
ko:K01488	sent:TY21A_06755
ko:K01679	sent:TY21A_06780
ko:K14062	sent:TY21A_06800
ko:K00241	sent:TY21A_10890
ko:K07120	sent:TY21A_10900
ko:K05522	sent:TY21A_10905
ko:K01854	sent:TY21A_10955
ko:K03756	sent:TY21A_11055
ko:K01835	sent:TY21A_11065
ko:K03711	sent:TY21A_11090
ko:K02564	sent:TY21A_11135
ko:K02566	sent:TY21A_11150
ko:K16787	sent:TY21A_15140
ko:K07491	sent:TY21A_15145
ko:K01480	sent:TY21A_15160
ko:K01585	sent:TY21A_15165
ko:K02428	sent:TY21A_15245
ko:K01424	sent:TY21A_15260
ko:K07491	sent:TY21A_15265
ko:K07751	sent:TY21A_01630
ko:K06894	sent:TY21A_01655
ko:K05367	sent:TY21A_01660
ko:K00940	sent:TY21A_01690
ko:K06941	sent:TY21A_01695
ko:K15539	sent:TY21A_01700
ko:K01892	sent:TY21A_01710
ko:K03977	sent:TY21A_01725
ko:K03601	sent:TY21A_01785
ko:K01951	sent:TY21A_01795
ko:K09968	sent:TY21A_01800
ko:K03818	sent:TY21A_03860
ko:K01711	sent:TY21A_03865
ko:K02377	sent:TY21A_03870
ko:K03207	sent:TY21A_03875
ko:K03208	sent:TY21A_03880
ko:K16695	sent:TY21A_03900
ko:K16703	sent:TY21A_03915
ko:K00963	sent:TY21A_03925
ko:K00067	sent:TY21A_03935
ko:K00973	sent:TY21A_03940
ko:K01790	sent:TY21A_03945
ko:K00978	sent:TY21A_03955
ko:K01709	sent:TY21A_03960
