ko:K03092	ctlj:L1115_00640
ko:K06137	ctlj:L1115_00641
ko:K13941	ctlj:L1115_00644
ko:K01633	ctlj:L1115_00645
ko:K03086	ctlj:L1115_00646
ko:K02968	ctlj:L1115_00648
ko:K03980	ctlj:L1115_00655
ko:K01151	ctlj:L1115_00656
ko:K02986	ctlj:L1115_00657
ko:K07146	ctlj:L1115_00658
ko:K13789	ctlj:L1115_00659
ko:K01698	ctlj:L1115_00665
ko:K00346	ctlj:L1115_00666
ko:K00813	ctlj:L1115_00670
ko:K03582	ctlj:L1115_00672
ko:K03583	ctlj:L1115_00673
ko:K02835	ctlj:L1115_00025
ko:K02493	ctlj:L1115_00026
ko:K03106	ctlj:L1115_00027
ko:K02959	ctlj:L1115_00028
ko:K00554	ctlj:L1115_00029
ko:K02884	ctlj:L1115_00030
ko:K03470	ctlj:L1115_00031
ko:K00942	ctlj:L1115_00032
ko:K01874	ctlj:L1115_00034
ko:K03581	ctlj:L1115_00035
ko:K01494	ctlj:L1115_00041
ko:K03551	ctlj:L1115_00042
ko:K01255	ctlj:L1115_00047
ko:K02340	ctlj:L1115_00049
ko:K07056	ctlj:L1115_00050
ko:K00164	ctlj:L1115_00056
ko:K00658	ctlj:L1115_00057
ko:K05810	ctlj:L1115_00058
ko:K03526	ctlj:L1115_00059
ko:K02400	ctlj:L1115_00063
ko:K02405	ctlj:L1115_00064
ko:K01866	ctlj:L1115_00065
ko:K00033	ctlj:L1115_00066
ko:K03596	ctlj:L1115_00067
ko:K03301	ctlj:L1115_00068
ko:K11707	ctlj:L1115_00070
ko:K11710	ctlj:L1115_00071
ko:K11708	ctlj:L1115_00072
ko:K11709	ctlj:L1115_00073
ko:K00099	ctlj:L1115_00074
ko:K03629	ctlj:L1115_00077
ko:K02338	ctlj:L1115_00078
ko:K03664	ctlj:L1115_00079
ko:K06999	ctlj:L1115_00138
ko:K07566	ctlj:L1115_00139
ko:K02035	ctlj:L1115_00141
ko:K09125	ctlj:L1115_00142
ko:K07039	ctlj:L1115_00143
ko:K01972	ctlj:L1115_00150
ko:K06889	ctlj:L1115_00153
ko:K02913	ctlj:L1115_00154
ko:K09808	ctlj:L1115_00155
ko:K09810	ctlj:L1115_00156
ko:K03720	ctlj:L1115_00169
ko:K01696	ctlj:L1115_00170
ko:K01695	ctlj:L1115_00171
ko:K02035	ctlj:L1115_00174
ko:K03611	ctlj:L1115_00175
ko:K02049	ctlj:L1115_00179
ko:K00979	ctlj:L1115_00183
ko:K01937	ctlj:L1115_00184
ko:K07447	ctlj:L1115_00185
ko:K00036	ctlj:L1115_00186
ko:K01057	ctlj:L1115_00187
ko:K02343	ctlj:L1115_00188
ko:K00943	ctlj:L1115_00189
ko:K02469	ctlj:L1115_00190
ko:K00648	ctlj:L1115_00245
ko:K06187	ctlj:L1115_00246
ko:K07277	ctlj:L1115_00247
ko:K06142	ctlj:L1115_00248
ko:K02536	ctlj:L1115_00249
ko:K00161	ctlj:L1115_00251
ko:K00162	ctlj:L1115_00252
ko:K00627	ctlj:L1115_00253
ko:K00688	ctlj:L1115_00254
ko:K02313	ctlj:L1115_00256
ko:K03217	ctlj:L1115_00257
ko:K07052	ctlj:L1115_00260
ko:K04487	ctlj:L1115_00264
ko:K02342	ctlj:L1115_00267
ko:K07083	ctlj:L1115_00268
ko:K01962	ctlj:L1115_00271
ko:K01448	ctlj:L1115_00274
ko:K01928	ctlj:L1115_00275
ko:K03587	ctlj:L1115_00276
ko:K03438	ctlj:L1115_00278
ko:K02313	ctlj:L1115_00281
ko:K00347	ctlj:L1115_00284
ko:K00348	ctlj:L1115_00285
