ko:K00813	ctn:G11074_03350
ko:K07052	ctn:G11074_01305
ko:K02342	ctn:G11074_01340
ko:K02806	ctn:G11074_01490
ko:K02806	ctn:G11074_01495
ko:K01885	ctn:G11074_02320
ko:K07098	ctn:G11074_02410
ko:K00567	ctn:G11074_02500
ko:K02033	ctn:G11074_02510
ko:K02035	ctn:G11074_02515
ko:K02030	ctn:G11074_02555
ko:K03471	ctn:G11074_00045
ko:K01408	ctn:G11074_04270
ko:K02433	ctn:G11074_00020
ko:K01934	ctn:G11074_03410
ko:K00033	ctn:G11074_00330
ko:K01679	ctn:G11074_04550
ko:K04763	ctn:G11074_04600
ko:K00700	ctn:G11074_04610
ko:K06889	ctn:G11074_00770
ko:K02035	ctn:G11074_00905
ko:K02049	ctn:G11074_00930
ko:K02124	ctn:G11074_01555
ko:K02123	ctn:G11074_01560
ko:K02120	ctn:G11074_01565
ko:K02118	ctn:G11074_01570
ko:K02117	ctn:G11074_01575
ko:K02121	ctn:G11074_01585
ko:K00616	ctn:G11074_01600
ko:K08483	ctn:G11074_01725
ko:K11189	ctn:G11074_01730
ko:K00970	ctn:G11074_03720
ko:K01596	ctn:G11074_03755
ko:K00972	ctn:G11074_03780
ko:K00784	ctn:G11074_01780
ko:K03856	ctn:G11074_01970
ko:K14232	ctn:G11074_t04669
ko:K14233	ctn:G11074_t04695
ko:K14228	ctn:G11074_t04739
ko:K01840	ctn:G11074_01515
ko:K11645	ctn:G11074_01105
ko:K15583	ctn:G11074_01040
ko:K14221	ctn:G11074_t04683
ko:K00850	ctn:G11074_01055
ko:K10823	ctn:G11074_01035
ko:K14223	ctn:G11074_t04733
ko:K01834	ctn:G11074_03815
ko:K14226	ctn:G11074_t04729
ko:K07714	ctn:G11074_02445
ko:K00895	ctn:G11074_01065
ko:K08719	ctn:G11074_03770
ko:K01985	ctn:G11074_r04741
ko:K01985	ctn:G11074_r04743
ko:K11709	ctn:G11074_00370
ko:K11708	ctn:G11074_00365
ko:K11710	ctn:G11074_00360
ko:K14233	ctn:G11074_t04737
ko:K03559	ctn:G11074_03135
ko:K14219	ctn:G11074_t04717
ko:K14227	ctn:G11074_t04675
ko:K09810	ctn:G11074_00785
ko:K14234	ctn:G11074_t04671
ko:K02028	ctn:G11074_00670
ko:K14222	ctn:G11074_t04731
ko:K14220	ctn:G11074_t04667
ko:K01980	ctn:G11074_r04749
ko:K01980	ctn:G11074_r04751
ko:K17103	ctn:G11074_04385
ko:K01977	ctn:G11074_r04745
ko:K01977	ctn:G11074_r04747
ko:K14233	ctn:G11074_t04693
ko:K14228	ctn:G11074_t04699
ko:K04084	ctn:G11074_03125
ko:K14236	ctn:G11074_t04673
ko:K14218	ctn:G11074_t04715
ko:K14230	ctn:G11074_t04679
ko:K14230	ctn:G11074_t04691
ko:K14235	ctn:G11074_t04687
ko:K14233	ctn:G11074_t04705
ko:K14231	ctn:G11074_t04697
ko:K14228	ctn:G11074_t04707
ko:K14228	ctn:G11074_t04709
ko:K14219	ctn:G11074_t04701
ko:K14232	ctn:G11074_t04713
ko:K14229	ctn:G11074_t04721
ko:K14224	ctn:G11074_t04723
ko:K14218	ctn:G11074_t04677
ko:K14219	ctn:G11074_t04711
ko:K14234	ctn:G11074_t04719
ko:K14225	ctn:G11074_t04725
ko:K14228	ctn:G11074_t04703
ko:K14237	ctn:G11074_t04685
ko:K14230	ctn:G11074_t04681
ko:K14234	ctn:G11074_t04689
ko:K14225	ctn:G11074_t04727
ko:K14237	ctn:G11074_t04735
ko:K06972	ctn:G11074_04375
ko:K07081	ctn:G11074_02215
ko:K02520	ctn:G11074_04425
ko:K08275	ctn:G11074_00420
ko:K01802	ctn:G11074_02840
ko:K01921	ctn:G11074_04035
ko:K01924	ctn:G11074_04035
ko:K01829	ctn:G11074_04125
ko:K01829	ctn:G11074_04145
ko:K03309	ctn:G11074_02075
ko:K07033	ctn:G11074_03620
ko:K01214	ctn:G11074_00225
ko:K03825	ctn:G11074_02395
ko:K03496	ctn:G11074_03055
ko:K03497	ctn:G11074_03640
ko:K03111	ctn:G11074_00235
ko:K02626	ctn:G11074_01930
ko:K11991	ctn:G11074_04485
ko:K02031	ctn:G11074_03650
ko:K04771	ctn:G11074_04370
ko:K19411	ctn:G11074_03565
ko:K19405	ctn:G11074_03560
ko:K07125	ctn:G11074_01660
ko:K22100	ctn:G11074_01675
ko:K12132	ctn:G11074_01540
ko:K20265	ctn:G11074_01110
ko:K20074	ctn:G11074_01330
ko:K11749	ctn:G11074_00380
ko:K22099	ctn:G11074_03210
ko:K00526	ctn:G11074_04395
ko:K02335	ctn:G11074_02590
ko:K00287	ctn:G11074_03215
ko:K03553	ctn:G11074_03420
ko:K02316	ctn:G11074_04195
ko:K01520	ctn:G11074_01500
ko:K02314	ctn:G11074_02620
ko:K02032	ctn:G11074_03645
ko:K00525	ctn:G11074_04390
ko:K02050	ctn:G11074_04545
ko:K02051	ctn:G11074_04545
ko:K01534	ctn:G11074_03845
ko:K16239	ctn:G11074_00440
