ko:K15778	xfh:XFHB_00615
ko:K00762	xfh:XFHB_00625
ko:K01142	xfh:XFHB_00645
ko:K08218	xfh:XFHB_00650
ko:K09001	xfh:XFHB_00655
ko:K01866	xfh:XFHB_00665
ko:K10563	xfh:XFHB_00695
ko:K00059	xfh:XFHB_00710
ko:K02837	xfh:XFHB_00715
ko:K11068	xfh:XFHB_00720
ko:K20534	xfh:XFHB_00725
ko:K03424	xfh:XFHB_00730
ko:K02437	xfh:XFHB_00745
ko:K00605	xfh:XFHB_00750
ko:K07340	xfh:XFHB_00755
ko:K04765	xfh:XFHB_00765
ko:K01082	xfh:XFHB_00770
ko:K08312	xfh:XFHB_00775
ko:K00833	xfh:XFHB_00780
ko:K09761	xfh:XFHB_00785
ko:K11927	xfh:XFHB_00790
ko:K01737	xfh:XFHB_00795
ko:K09924	xfh:XFHB_00800
ko:K10773	xfh:XFHB_02640
ko:K07148	xfh:XFHB_02650
ko:K03775	xfh:XFHB_02655
ko:K01077	xfh:XFHB_02680
ko:K04075	xfh:XFHB_02685
ko:K03602	xfh:XFHB_02690
ko:K00795	xfh:XFHB_02695
ko:K00163	xfh:XFHB_02720
ko:K00645	xfh:XFHB_02725
ko:K00059	xfh:XFHB_02730
ko:K02078	xfh:XFHB_02735
ko:K09458	xfh:XFHB_02740
ko:K01657	xfh:XFHB_02745
ko:K07082	xfh:XFHB_02750
ko:K02341	xfh:XFHB_02755
ko:K02676	xfh:XFHB_02760
ko:K01935	xfh:XFHB_02775
ko:K01092	xfh:XFHB_02780
ko:K15396	xfh:XFHB_02785
ko:K02356	xfh:XFHB_02795
ko:K12960	xfh:XFHB_02800
ko:K00568	xfh:XFHB_02805
ko:K01184	xfh:XFHB_02820
ko:K00641	xfh:XFHB_02825
ko:K02200	xfh:XFHB_02835
ko:K02200	xfh:XFHB_02840
ko:K02199	xfh:XFHB_02845
ko:K02198	xfh:XFHB_02850
ko:K02197	xfh:XFHB_02855
ko:K02195	xfh:XFHB_02860
ko:K02193	xfh:XFHB_02870
ko:K14287	xfh:XFHB_02875
ko:K06178	xfh:XFHB_02890
ko:K05896	xfh:XFHB_02900
ko:K05527	xfh:XFHB_02905
ko:K02027	xfh:XFHB_02915
ko:K02025	xfh:XFHB_02920
ko:K02026	xfh:XFHB_02925
ko:K03582	xfh:XFHB_01730
ko:K03581	xfh:XFHB_01740
ko:K01867	xfh:XFHB_01745
ko:K02316	xfh:XFHB_01750
ko:K07058	xfh:XFHB_01755
ko:K02970	xfh:XFHB_01765
ko:K01409	xfh:XFHB_01770
ko:K01633	xfh:XFHB_01775
ko:K16053	xfh:XFHB_01780
ko:K05349	xfh:XFHB_01785
ko:K03789	xfh:XFHB_01790
ko:K17103	xfh:XFHB_01800
ko:K01881	xfh:XFHB_01810
ko:K03746	xfh:XFHB_01815
ko:K09922	xfh:XFHB_01820
ko:K02658	xfh:XFHB_01825
ko:K04088	xfh:XFHB_01835
ko:K04087	xfh:XFHB_01840
ko:K09937	xfh:XFHB_01845
ko:K01939	xfh:XFHB_01850
ko:K00134	xfh:XFHB_01855
ko:K00940	xfh:XFHB_01860
ko:K06941	xfh:XFHB_01865
ko:K02656	xfh:XFHB_01870
ko:K15539	xfh:XFHB_01875
ko:K17713	xfh:XFHB_01885
ko:K03977	xfh:XFHB_01890
ko:K06966	xfh:XFHB_01910
ko:K08084	xfh:XFHB_01915
ko:K02671	xfh:XFHB_01920
ko:K02672	xfh:XFHB_01925
ko:K02673	xfh:XFHB_01930
ko:K02674	xfh:XFHB_01935
ko:K02655	xfh:XFHB_01940
ko:K03111	xfh:XFHB_01960
ko:K02650	xfh:XFHB_01985
ko:K08973	xfh:XFHB_00820
ko:K01962	xfh:XFHB_00825
ko:K02337	xfh:XFHB_00830
ko:K01923	xfh:XFHB_00835
ko:K01783	xfh:XFHB_00845
ko:K01657	xfh:XFHB_00850
ko:K01658	xfh:XFHB_00855
ko:K00766	xfh:XFHB_00860
ko:K01609	xfh:XFHB_00865
ko:K18697	xfh:XFHB_00870
ko:K15974	xfh:XFHB_00875
ko:K00773	xfh:XFHB_00900
ko:K03210	xfh:XFHB_00905
ko:K03072	xfh:XFHB_00910
ko:K03074	xfh:XFHB_00915
ko:K00970	xfh:XFHB_00925
ko:K00950	xfh:XFHB_00930
ko:K00606	xfh:XFHB_00935
ko:K01918	xfh:XFHB_00940
ko:K01579	xfh:XFHB_00945
ko:K01810	xfh:XFHB_00950
ko:K09748	xfh:XFHB_00965
ko:K02600	xfh:XFHB_00970
ko:K02519	xfh:XFHB_00975
ko:K02834	xfh:XFHB_00980
ko:K03177	xfh:XFHB_00985
ko:K02956	xfh:XFHB_00990
ko:K00962	xfh:XFHB_00995
ko:K19267	xfh:XFHB_01005
ko:K05592	xfh:XFHB_01040
ko:K03522	xfh:XFHB_01045
ko:K03521	xfh:XFHB_01050
ko:K01710	xfh:XFHB_01055
ko:K00973	xfh:XFHB_01060
ko:K01790	xfh:XFHB_01065
ko:K16011	xfh:XFHB_01075
ko:K15778	xfh:XFHB_01080
ko:K21071	xfh:XFHB_01125
ko:K00939	xfh:XFHB_01130
ko:K02558	xfh:XFHB_01135
ko:K01255	xfh:XFHB_01150
ko:K04771	xfh:XFHB_01175
ko:K07071	xfh:XFHB_01180
ko:K01897	xfh:XFHB_01185
ko:K01681	xfh:XFHB_01190
ko:K01682	xfh:XFHB_01205
ko:K01153	xfh:XFHB_01230
ko:K01154	xfh:XFHB_01240
ko:K03427	xfh:XFHB_01245
ko:K01803	xfh:XFHB_01270
ko:K03075	xfh:XFHB_01275
ko:K00330	xfh:XFHB_01285
ko:K00331	xfh:XFHB_01290
ko:K00332	xfh:XFHB_01295
ko:K00333	xfh:XFHB_01300
ko:K00334	xfh:XFHB_01305
ko:K00335	xfh:XFHB_01310
ko:K00336	xfh:XFHB_01315
ko:K00337	xfh:XFHB_01320
ko:K00338	xfh:XFHB_01325
ko:K00339	xfh:XFHB_01330
ko:K00340	xfh:XFHB_01335
ko:K00341	xfh:XFHB_01340
ko:K00342	xfh:XFHB_01345
ko:K00343	xfh:XFHB_01350
ko:K00023	xfh:XFHB_01355
ko:K03300	xfh:XFHB_01360
ko:K07221	xfh:XFHB_01365
ko:K07774	xfh:XFHB_01370
ko:K07649	xfh:XFHB_01375
ko:K02012	xfh:XFHB_01380
ko:K07496	xfh:XFHB_01390
ko:K18918	xfh:XFHB_08000
ko:K06218	xfh:XFHB_08005
ko:K09960	xfh:XFHB_08065
ko:K09961	xfh:XFHB_08085
ko:K01185	xfh:XFHB_08115
ko:K09803	xfh:XFHB_08125
ko:K03111	xfh:XFHB_08160
ko:K06158	xfh:XFHB_08170
ko:K02014	xfh:XFHB_08175
ko:K02014	xfh:XFHB_08185
ko:K03455	xfh:XFHB_08190
ko:K02040	xfh:XFHB_08195
ko:K02037	xfh:XFHB_08200
ko:K02038	xfh:XFHB_08205
ko:K02036	xfh:XFHB_08210
ko:K02039	xfh:XFHB_08215
ko:K03683	xfh:XFHB_08220
ko:K02528	xfh:XFHB_08225
ko:K06195	xfh:XFHB_08230
ko:K01525	xfh:XFHB_08235
ko:K11211	xfh:XFHB_08245
ko:K12982	xfh:XFHB_08250
ko:K20074	xfh:XFHB_08265
ko:K02342	xfh:XFHB_08270
ko:K03427	xfh:XFHB_12630
ko:K01153	xfh:XFHB_12640
ko:K01154	xfh:XFHB_12645
ko:K03427	xfh:XFHB_12655
ko:K01153	xfh:XFHB_12705
ko:K01154	xfh:XFHB_12715
ko:K03427	xfh:XFHB_12720
ko:K09805	xfh:XFHB_12750
ko:K15125	xfh:XFHB_12880
ko:K15125	xfh:XFHB_12885
ko:K03650	xfh:XFHB_12895
ko:K03217	xfh:XFHB_12905
ko:K03536	xfh:XFHB_12910
ko:K02914	xfh:XFHB_12915
ko:K01845	xfh:XFHB_03550
ko:K03593	xfh:XFHB_03555
ko:K00979	xfh:XFHB_03560
ko:K01104	xfh:XFHB_03565
ko:K02334	xfh:XFHB_03590
ko:K06919	xfh:XFHB_03710
ko:K01185	xfh:XFHB_03720
ko:K21498	xfh:XFHB_03790
ko:K07334	xfh:XFHB_03795
ko:K21498	xfh:XFHB_03800
ko:K06903	xfh:XFHB_03805
ko:K06907	xfh:XFHB_03825
ko:K06908	xfh:XFHB_03830
ko:K03469	xfh:XFHB_08275
ko:K01069	xfh:XFHB_08285
ko:K06959	xfh:XFHB_08290
ko:K06910	xfh:XFHB_08300
ko:K01507	xfh:XFHB_08305
ko:K05838	xfh:XFHB_08310
ko:K01869	xfh:XFHB_08320
ko:K03643	xfh:XFHB_08325
ko:K02340	xfh:XFHB_08330
ko:K00969	xfh:XFHB_08335
ko:K09710	xfh:XFHB_08340
ko:K08305	xfh:XFHB_08360
ko:K03642	xfh:XFHB_08365
ko:K02687	xfh:XFHB_08470
ko:K02356	xfh:XFHB_08480
ko:K00058	xfh:XFHB_08490
ko:K03294	xfh:XFHB_08495
ko:K03294	xfh:XFHB_08500
ko:K08964	xfh:XFHB_08505
ko:K08967	xfh:XFHB_08510
ko:K09880	xfh:XFHB_08515
ko:K11755	xfh:XFHB_08520
ko:K02500	xfh:XFHB_08525
ko:K03634	xfh:XFHB_04135
ko:K07478	xfh:XFHB_04140
ko:K06199	xfh:XFHB_04145
ko:K00950	xfh:XFHB_04155
ko:K03793	xfh:XFHB_04160
ko:K00845	xfh:XFHB_04175
ko:K02529	xfh:XFHB_04190
ko:K00820	xfh:XFHB_04195
ko:K01443	xfh:XFHB_04200
ko:K01963	xfh:XFHB_04205
ko:K03431	xfh:XFHB_04210
ko:K05710	xfh:XFHB_04230
ko:K11717	xfh:XFHB_04235
ko:K09015	xfh:XFHB_04240
ko:K09013	xfh:XFHB_04245
ko:K09014	xfh:XFHB_04250
ko:K07117	xfh:XFHB_04260
ko:K01354	xfh:XFHB_04265
ko:K01778	xfh:XFHB_04270
ko:K09921	xfh:XFHB_04275
ko:K03733	xfh:XFHB_04280
ko:K01419	xfh:XFHB_04285
ko:K03667	xfh:XFHB_04290
ko:K03183	xfh:XFHB_04300
ko:K09005	xfh:XFHB_04330
ko:K02014	xfh:XFHB_04335
ko:K00390	xfh:XFHB_04340
ko:K00381	xfh:XFHB_04345
ko:K00380	xfh:XFHB_04350
ko:K00957	xfh:XFHB_04355
ko:K00955	xfh:XFHB_04360
ko:K03060	xfh:XFHB_04365
ko:K00942	xfh:XFHB_04370
ko:K02428	xfh:XFHB_04385
ko:K01259	xfh:XFHB_04405
ko:K02493	xfh:XFHB_04410
ko:K07088	xfh:XFHB_04420
ko:K03578	xfh:XFHB_08870
ko:K04047	xfh:XFHB_08875
ko:K04485	xfh:XFHB_08895
ko:K01695	xfh:XFHB_08900
ko:K01696	xfh:XFHB_08905
ko:K01817	xfh:XFHB_08910
ko:K06173	xfh:XFHB_08915
ko:K08086	xfh:XFHB_08920
ko:K00133	xfh:XFHB_08925
ko:K01736	xfh:XFHB_08935
ko:K07320	xfh:XFHB_08940
ko:K07152	xfh:XFHB_08945
ko:K01613	xfh:XFHB_08950
ko:K08309	xfh:XFHB_08960
ko:K00974	xfh:XFHB_08965
ko:K02259	xfh:XFHB_08980
ko:K00652	xfh:XFHB_08985
ko:K02170	xfh:XFHB_08990
ko:K02621	xfh:XFHB_09005
ko:K03086	xfh:XFHB_09010
ko:K02517	xfh:XFHB_09015
ko:K02045	xfh:XFHB_09020
ko:K02047	xfh:XFHB_09025
ko:K02046	xfh:XFHB_09030
ko:K02048	xfh:XFHB_09035
ko:K06201	xfh:XFHB_09045
ko:K01886	xfh:XFHB_09050
ko:K00275	xfh:XFHB_09055
ko:K00891	xfh:XFHB_09065
ko:K01735	xfh:XFHB_09070
ko:K01599	xfh:XFHB_09075
ko:K12262	xfh:XFHB_09090
ko:K01247	xfh:XFHB_09100
ko:K03610	xfh:XFHB_09120
ko:K03609	xfh:XFHB_09125
ko:K03608	xfh:XFHB_09130
ko:K00951	xfh:XFHB_09145
ko:K02487	xfh:XFHB_06800
ko:K00558	xfh:XFHB_06935
ko:K03169	xfh:XFHB_06940
ko:K03111	xfh:XFHB_06945
ko:K12055	xfh:XFHB_06980
ko:K07733	xfh:XFHB_06985
ko:K03525	xfh:XFHB_07025
ko:K03524	xfh:XFHB_07030
ko:K02498	xfh:XFHB_07035
ko:K02496	xfh:XFHB_07040
ko:K01719	xfh:XFHB_07045
ko:K01494	xfh:XFHB_11455
ko:K09164	xfh:XFHB_11460
ko:K18918	xfh:XFHB_07465
ko:K06218	xfh:XFHB_07470
ko:K09960	xfh:XFHB_07530
ko:K01185	xfh:XFHB_07570
ko:K07334	xfh:XFHB_07575
ko:K21498	xfh:XFHB_07580
ko:K07075	xfh:XFHB_07665
ko:K03526	xfh:XFHB_12045
ko:K15011	xfh:XFHB_12050
ko:K15012	xfh:XFHB_12055
ko:K02357	xfh:XFHB_12060
ko:K02967	xfh:XFHB_12065
ko:K06147	xfh:XFHB_12075
ko:K00573	xfh:XFHB_12080
ko:K12340	xfh:XFHB_12085
ko:K03269	xfh:XFHB_12090
ko:K01524	xfh:XFHB_12095
ko:K00937	xfh:XFHB_12100
ko:K07636	xfh:XFHB_12105
ko:K07657	xfh:XFHB_12110
ko:K03676	xfh:XFHB_12120
ko:K00030	xfh:XFHB_12125
ko:K00567	xfh:XFHB_12135
ko:K05524	xfh:XFHB_12145
ko:K07400	xfh:XFHB_12155
ko:K01724	xfh:XFHB_12160
ko:K03832	xfh:XFHB_12165
ko:K06179	xfh:XFHB_12170
ko:K08300	xfh:XFHB_12175
ko:K07146	xfh:XFHB_12185
ko:K04564	xfh:XFHB_12195
ko:K15738	xfh:XFHB_12210
ko:K03704	xfh:XFHB_12220
ko:K21025	xfh:XFHB_12225
ko:K03799	xfh:XFHB_12230
ko:K02358	xfh:XFHB_12235
ko:K02355	xfh:XFHB_12240
ko:K02992	xfh:XFHB_12245
ko:K02950	xfh:XFHB_12250
ko:K03046	xfh:XFHB_12255
ko:K03043	xfh:XFHB_12260
ko:K02935	xfh:XFHB_12265
ko:K02864	xfh:XFHB_12270
ko:K02863	xfh:XFHB_12275
ko:K02867	xfh:XFHB_12280
ko:K02601	xfh:XFHB_12285
ko:K03073	xfh:XFHB_12290
ko:K02358	xfh:XFHB_12300
ko:K06942	xfh:XFHB_12320
ko:K01056	xfh:XFHB_12325
ko:K02501	xfh:XFHB_08535
ko:K01089	xfh:XFHB_08540
ko:K00817	xfh:XFHB_08545
ko:K00013	xfh:XFHB_08550
ko:K00765	xfh:XFHB_08555
ko:K01892	xfh:XFHB_08565
ko:K03169	xfh:XFHB_12970
ko:K12218	xfh:XFHB_12980
ko:K12217	xfh:XFHB_12995
ko:K12222	xfh:XFHB_13035
ko:K12203	xfh:XFHB_13040
ko:K12204	xfh:XFHB_13045
ko:K12205	xfh:XFHB_13050
ko:K03496	xfh:XFHB_13135
ko:K03496	xfh:XFHB_13155
ko:K12214	xfh:XFHB_13165
ko:K12213	xfh:XFHB_13170
ko:K12209	xfh:XFHB_13175
ko:K12206	xfh:XFHB_13200
ko:K11258	xfh:XFHB_06210
ko:K01754	xfh:XFHB_06215
ko:K01649	xfh:XFHB_06220
ko:K00648	xfh:XFHB_06230
ko:K02911	xfh:XFHB_06235
ko:K07040	xfh:XFHB_06240
ko:K03924	xfh:XFHB_06250
ko:K07285	xfh:XFHB_06265
ko:K06187	xfh:XFHB_06275
ko:K09747	xfh:XFHB_06280
ko:K02343	xfh:XFHB_06285
ko:K00057	xfh:XFHB_06310
ko:K03071	xfh:XFHB_06315
ko:K01719	xfh:XFHB_06330
ko:K02496	xfh:XFHB_06335
ko:K02498	xfh:XFHB_06340
ko:K03524	xfh:XFHB_06345
ko:K03525	xfh:XFHB_06350
ko:K06218	xfh:XFHB_06370
ko:K18918	xfh:XFHB_06375
ko:K04083	xfh:XFHB_06450
ko:K03814	xfh:XFHB_06455
ko:K03555	xfh:XFHB_06460
ko:K06997	xfh:XFHB_06465
ko:K01821	xfh:XFHB_06505
ko:K05365	xfh:XFHB_10950
ko:K03722	xfh:XFHB_10960
ko:K01673	xfh:XFHB_10970
ko:K02071	xfh:XFHB_10990
ko:K02072	xfh:XFHB_10995
ko:K02073	xfh:XFHB_11000
ko:K07275	xfh:XFHB_11005
ko:K00627	xfh:XFHB_11010
ko:K00382	xfh:XFHB_11015
ko:K16264	xfh:XFHB_11025
ko:K01739	xfh:XFHB_11030
ko:K00641	xfh:XFHB_11035
ko:K03787	xfh:XFHB_11045
ko:K00573	xfh:XFHB_11050
ko:K06194	xfh:XFHB_11060
ko:K01775	xfh:XFHB_11075
ko:K00285	xfh:XFHB_11080
ko:K07305	xfh:XFHB_11085
ko:K12373	xfh:XFHB_11095
ko:K01192	xfh:XFHB_11100
ko:K05349	xfh:XFHB_11105
ko:K09704	xfh:XFHB_11115
ko:K12308	xfh:XFHB_11125
ko:K00097	xfh:XFHB_11130
ko:K03771	xfh:XFHB_11135
ko:K04744	xfh:XFHB_11140
ko:K03185	xfh:XFHB_11145
ko:K03184	xfh:XFHB_11150
ko:K02302	xfh:XFHB_11160
ko:K01738	xfh:XFHB_11165
ko:K03572	xfh:XFHB_11465
ko:K01448	xfh:XFHB_11470
ko:K06925	xfh:XFHB_11475
ko:K17758	xfh:XFHB_11480
ko:K17759	xfh:XFHB_11480
ko:K03601	xfh:XFHB_11490
ko:K03684	xfh:XFHB_11505
ko:K06968	xfh:XFHB_11515
ko:K04764	xfh:XFHB_11530
ko:K01890	xfh:XFHB_11535
ko:K01889	xfh:XFHB_11540
ko:K02887	xfh:XFHB_11545
ko:K02916	xfh:XFHB_11550
ko:K02520	xfh:XFHB_11555
ko:K01868	xfh:XFHB_11560
ko:K06905	xfh:XFHB_11575
ko:K06906	xfh:XFHB_11585
ko:K06908	xfh:XFHB_11600
ko:K06907	xfh:XFHB_11605
ko:K06903	xfh:XFHB_11625
ko:K07473	xfh:XFHB_11630
ko:K19157	xfh:XFHB_11635
ko:K01185	xfh:XFHB_11705
ko:K06919	xfh:XFHB_11715
ko:K03495	xfh:XFHB_04735
ko:K02169	xfh:XFHB_04750
ko:K09007	xfh:XFHB_04755
ko:K18138	xfh:XFHB_04765
ko:K03585	xfh:XFHB_04770
ko:K15371	xfh:XFHB_04780
ko:K00858	xfh:XFHB_04785
ko:K01081	xfh:XFHB_04790
ko:K07473	xfh:XFHB_04830
ko:K21495	xfh:XFHB_04910
ko:K07062	xfh:XFHB_04915
ko:K07467	xfh:XFHB_09455
ko:K10954	xfh:XFHB_09480
ko:K03417	xfh:XFHB_09500
ko:K09800	xfh:XFHB_09505
ko:K07278	xfh:XFHB_09510
ko:K08968	xfh:XFHB_09515
ko:K03579	xfh:XFHB_09520
ko:K02674	xfh:XFHB_09535
ko:K01990	xfh:XFHB_09540
ko:K01992	xfh:XFHB_09545
ko:K13409	xfh:XFHB_09550
ko:K13408	xfh:XFHB_09560
ko:K06207	xfh:XFHB_09570
ko:K03768	xfh:XFHB_09575
ko:K00024	xfh:XFHB_09580
ko:K00799	xfh:XFHB_09585
ko:K06131	xfh:XFHB_09590
ko:K02913	xfh:XFHB_09595
