ko:K00962	ctlx:L1224_00897
ko:K02956	ctlx:L1224_00898
ko:K01265	ctlx:L1224_00907
ko:K03321	ctlx:L1224_00914
ko:K03527	ctlx:L1224_00917
ko:K03559	ctlx:L1224_00626
ko:K01961	ctlx:L1224_00126
ko:K02871	ctlx:L1224_00127
ko:K02996	ctlx:L1224_00128
ko:K02029	ctlx:L1224_00131
ko:K07058	ctlx:L1224_00134
ko:K06999	ctlx:L1224_00138
ko:K07566	ctlx:L1224_00139
ko:K09125	ctlx:L1224_00142
ko:K07039	ctlx:L1224_00143
ko:K01972	ctlx:L1224_00150
ko:K02913	ctlx:L1224_00154
ko:K09808	ctlx:L1224_00155
ko:K09810	ctlx:L1224_00156
ko:K03720	ctlx:L1224_00169
ko:K01696	ctlx:L1224_00170
ko:K01695	ctlx:L1224_00171
ko:K03611	ctlx:L1224_00175
ko:K00979	ctlx:L1224_00183
ko:K01937	ctlx:L1224_00184
ko:K07447	ctlx:L1224_00185
ko:K00036	ctlx:L1224_00186
ko:K01057	ctlx:L1224_00187
ko:K02343	ctlx:L1224_00188
ko:K00943	ctlx:L1224_00189
ko:K02469	ctlx:L1224_00190
ko:K02470	ctlx:L1224_00191
ko:K00773	ctlx:L1224_00194
ko:K06213	ctlx:L1224_00195
ko:K15580	ctlx:L1224_00199
ko:K15581	ctlx:L1224_00200
ko:K03319	ctlx:L1224_00205
ko:K00850	ctlx:L1224_00206
ko:K00895	ctlx:L1224_00208
ko:K02527	ctlx:L1224_00211
ko:K01869	ctlx:L1224_00212
ko:K01845	ctlx:L1224_00213
ko:K07735	ctlx:L1224_00214
ko:K08999	ctlx:L1224_00215
ko:K01807	ctlx:L1224_00216
ko:K03787	ctlx:L1224_00221
ko:K03179	ctlx:L1224_00222
ko:K03186	ctlx:L1224_00223
ko:K03308	ctlx:L1224_00236
ko:K02078	ctlx:L1224_00241
ko:K00645	ctlx:L1224_00243
ko:K00648	ctlx:L1224_00244
ko:K06187	ctlx:L1224_00245
ko:K07277	ctlx:L1224_00246
ko:K06142	ctlx:L1224_00247
ko:K02536	ctlx:L1224_00248
ko:K00161	ctlx:L1224_00250
ko:K00162	ctlx:L1224_00251
ko:K00627	ctlx:L1224_00252
ko:K00688	ctlx:L1224_00253
ko:K02313	ctlx:L1224_00255
