ko:K06920	sei:SPC_0469
ko:K01738	sei:SPC_0472
ko:K04752	sei:SPC_0477
ko:K03320	sei:SPC_0478
ko:K10805	sei:SPC_0479
ko:K09914	sei:SPC_0480
ko:K07443	sei:SPC_0481
ko:K02909	sei:SPC_0483
ko:K02919	sei:SPC_0484
ko:K00661	sei:SPC_0486
ko:K05839	sei:SPC_0487
ko:K03577	sei:SPC_0491
ko:K00088	sei:SPC_1144
ko:K01951	sei:SPC_1145
ko:K00937	sei:SPC_1155
ko:K11175	sei:SPC_1156
ko:K01933	sei:SPC_1157
ko:K00761	sei:SPC_1159
ko:K10763	sei:SPC_1161
ko:K03548	sei:SPC_1164
ko:K02647	sei:SPC_1165
ko:K00865	sei:SPC_1167
ko:K03564	sei:SPC_1168
ko:K03567	sei:SPC_1169
ko:K01714	sei:SPC_1170
ko:K07287	sei:SPC_1171
ko:K01923	sei:SPC_1172
ko:K07054	sei:SPC_1173
ko:K01439	sei:SPC_1176
ko:K07674	sei:SPC_1180
ko:K00615	sei:SPC_1186
ko:K00616	sei:SPC_1187
ko:K00029	sei:SPC_1189
ko:K04031	sei:SPC_1190
ko:K04029	sei:SPC_1191
ko:K04032	sei:SPC_1193
ko:K04021	sei:SPC_1196
ko:K04024	sei:SPC_1197
ko:K04022	sei:SPC_1198
ko:K04023	sei:SPC_1199
ko:K04019	sei:SPC_1200
ko:K03735	sei:SPC_1201
ko:K03736	sei:SPC_1202
ko:K04026	sei:SPC_1203
ko:K04025	sei:SPC_1204
ko:K04033	sei:SPC_1205
ko:K01627	sei:SPC_1959
ko:K07300	sei:SPC_1960
ko:K06197	sei:SPC_1961
ko:K06039	sei:SPC_1962
ko:K07673	sei:SPC_1965
ko:K02575	sei:SPC_1966
ko:K00370	sei:SPC_1967
ko:K00371	sei:SPC_1968
ko:K00373	sei:SPC_1969
ko:K00374	sei:SPC_1970
ko:K01433	sei:SPC_1973
ko:K09858	sei:SPC_1974
ko:K07001	sei:SPC_1975
ko:K00963	sei:SPC_1977
ko:K03746	sei:SPC_1978
ko:K00857	sei:SPC_1979
ko:K11927	sei:SPC_0817
ko:K01069	sei:SPC_0271
ko:K11903	sei:SPC_0287
ko:K11895	sei:SPC_0276
ko:K11933	sei:SPC_0938
ko:K11934	sei:SPC_0830
ko:K11891	sei:SPC_0293
ko:K06934	sei:SPC_3134
ko:K01778	sei:SPC_4054
ko:K09921	sei:SPC_4055
ko:K03733	sei:SPC_4056
ko:K03657	sei:SPC_4058
ko:K03284	sei:SPC_4059
ko:K05786	sei:SPC_4062
ko:K03654	sei:SPC_4065
ko:K03576	sei:SPC_4071
ko:K00549	sei:SPC_4072
ko:K00757	sei:SPC_4076
ko:K09760	sei:SPC_4077
ko:K03183	sei:SPC_4078
ko:K03690	sei:SPC_4079
ko:K03688	sei:SPC_4080
ko:K03116	sei:SPC_4081
ko:K03117	sei:SPC_4082
ko:K03118	sei:SPC_4083
ko:K03424	sei:SPC_4084
ko:K05785	sei:SPC_4085
ko:K03182	sei:SPC_4086
ko:K03498	sei:SPC_4093
ko:K00230	sei:SPC_4094
ko:K03753	sei:SPC_4096
ko:K03752	sei:SPC_4097
ko:K09896	sei:SPC_4098
ko:K03673	sei:SPC_4100
ko:K02335	sei:SPC_4103
ko:K03978	sei:SPC_4104
ko:K09894	sei:SPC_4106
ko:K07712	sei:SPC_4108
ko:K07708	sei:SPC_4109
ko:K01915	sei:SPC_4110
ko:K06207	sei:SPC_4112
ko:K11924	sei:SPC_0833
ko:K06168	sei:SPC_0687
ko:K03524	sei:SPC_3975
ko:K06925	sei:SPC_4504
ko:K03572	sei:SPC_4506
ko:K00791	sei:SPC_4507
ko:K03666	sei:SPC_4508
ko:K03665	sei:SPC_4509
ko:K04088	sei:SPC_4510
ko:K04087	sei:SPC_4511
ko:K09937	sei:SPC_4512
ko:K01939	sei:SPC_4513
ko:K03218	sei:SPC_4516
ko:K09980	sei:SPC_4517
ko:K08989	sei:SPC_4521
ko:K09456	sei:SPC_4524
ko:K03477	sei:SPC_4528
ko:K03476	sei:SPC_4529
ko:K03475	sei:SPC_4530
ko:K02822	sei:SPC_4531
ko:K02821	sei:SPC_4532
ko:K02990	sei:SPC_4538
ko:K02686	sei:SPC_4539
ko:K02963	sei:SPC_4540
ko:K02939	sei:SPC_4541
ko:K07269	sei:SPC_4543
ko:K03773	sei:SPC_4544
ko:K11737	sei:SPC_4545
ko:K07322	sei:SPC_4548
ko:K07109	sei:SPC_4555
ko:K07278	sei:SPC_4560
ko:K09800	sei:SPC_4561
ko:K11932	sei:SPC_0626
ko:K07757	sei:SPC_0839
ko:K06445	sei:SPC_0320
ko:K03271	sei:SPC_0321
ko:K02346	sei:SPC_0324
ko:K02839	sei:SPC_0326
ko:K00769	sei:SPC_0328
ko:K11750	sei:SPC_0329
ko:K00931	sei:SPC_0333
ko:K00147	sei:SPC_0334
ko:K01703	sei:SPC_0340
ko:K01704	sei:SPC_0341
ko:K07347	sei:SPC_0349
ko:K07345	sei:SPC_0351
ko:K09960	sei:SPC_1038
ko:K03596	sei:SPC_1066
ko:K03100	sei:SPC_1067
ko:K03685	sei:SPC_1068
ko:K03595	sei:SPC_1069
ko:K03584	sei:SPC_1070
ko:K03474	sei:SPC_1071
ko:K00997	sei:SPC_1072
ko:K00077	sei:SPC_1076
ko:K07106	sei:SPC_1078
ko:K01690	sei:SPC_1831
ko:K01625	sei:SPC_1832
ko:K08289	sei:SPC_1833
ko:K09918	sei:SPC_1834
ko:K01354	sei:SPC_1837
ko:K10857	sei:SPC_1838
ko:K02345	sei:SPC_1840
ko:K07156	sei:SPC_1841
ko:K07455	sei:SPC_1852
ko:K07313	sei:SPC_1876
ko:K11392	sei:SPC_1879
ko:K03808	sei:SPC_1881
ko:K03607	sei:SPC_1883
ko:K03797	sei:SPC_1884
ko:K03799	sei:SPC_1885
ko:K08169	sei:SPC_1886
ko:K03704	sei:SPC_1892
ko:K03587	sei:SPC_1893
ko:K00135	sei:SPC_2834
ko:K11735	sei:SPC_2836
ko:K11685	sei:SPC_2843
ko:K00375	sei:SPC_2848
ko:K06191	sei:SPC_2851
ko:K03647	sei:SPC_2852
ko:K00526	sei:SPC_2854
ko:K02002	sei:SPC_2857
ko:K03543	sei:SPC_2860
ko:K07173	sei:SPC_2863
ko:K01919	sei:SPC_2864
ko:K03563	sei:SPC_2867
ko:K01872	sei:SPC_2868
ko:K03565	sei:SPC_2869
ko:K03553	sei:SPC_2870
ko:K03743	sei:SPC_2871
ko:K08305	sei:SPC_2872
ko:K02783	sei:SPC_2873
ko:K02782	sei:SPC_2874
ko:K02783	sei:SPC_2874
ko:K02781	sei:SPC_2875
ko:K00068	sei:SPC_2876
ko:K02466	sei:SPC_2877
ko:K02467	sei:SPC_2879
ko:K04656	sei:SPC_2883
ko:K05796	sei:SPC_2884
ko:K08315	sei:SPC_2886
ko:K00989	sei:SPC_3816
ko:K01972	sei:SPC_3821
ko:K00942	sei:SPC_3822
ko:K03060	sei:SPC_3823
ko:K00556	sei:SPC_3825
ko:K03655	sei:SPC_3826
ko:K03312	sei:SPC_3828
ko:K01531	sei:SPC_3842
ko:K07507	sei:SPC_3843
ko:K02775	sei:SPC_3863
ko:K02774	sei:SPC_3864
ko:K02773	sei:SPC_3865
ko:K07784	sei:SPC_3868
ko:K07783	sei:SPC_3869
ko:K07686	sei:SPC_3871
ko:K02429	sei:SPC_3873
ko:K00852	sei:SPC_3874
ko:K11534	sei:SPC_3875
ko:K01653	sei:SPC_3876
ko:K01652	sei:SPC_3877
ko:K03282	sei:SPC_3479
ko:K09890	sei:SPC_3480
ko:K02879	sei:SPC_3483
ko:K03040	sei:SPC_3484
ko:K02986	sei:SPC_3485
ko:K02948	sei:SPC_3486
ko:K02952	sei:SPC_3487
ko:K03076	sei:SPC_3489
ko:K02876	sei:SPC_3490
ko:K02907	sei:SPC_3491
ko:K02988	sei:SPC_3492
