ko:K01868	bua:CWO_00615
ko:K02520	bua:CWO_00620
ko:K02916	bua:CWO_00625
ko:K02337	bua:CWO_01250
ko:K02401	bua:CWO_01265
ko:K02400	bua:CWO_01270
ko:K01887	bua:CWO_01275
ko:K03469	bua:CWO_01290
ko:K02342	bua:CWO_01295
ko:K03271	bua:CWO_01300
ko:K00769	bua:CWO_01305
ko:K09801	bua:CWO_01325
ko:K03664	bua:CWO_01330
ko:K11991	bua:CWO_01335
ko:K00997	bua:CWO_01340
ko:K01696	bua:CWO_01455
ko:K13498	bua:CWO_01460
ko:K03685	bua:CWO_01350
ko:K03100	bua:CWO_01355
ko:K03596	bua:CWO_01360
ko:K00766	bua:CWO_01465
ko:K00566	bua:CWO_01365
ko:K06178	bua:CWO_01475
ko:K04774	bua:CWO_01480
ko:K07153	bua:CWO_01370
ko:K03168	bua:CWO_01485
ko:K01756	bua:CWO_01375
ko:K08308	bua:CWO_01380
ko:K00208	bua:CWO_01385
ko:K01147	bua:CWO_01390
ko:K03801	bua:CWO_01400
ko:K03644	bua:CWO_01405
ko:K01591	bua:CWO_01410
ko:K06131	bua:CWO_01425
ko:K10806	bua:CWO_01430
ko:K01092	bua:CWO_01490
ko:K06941	bua:CWO_01495
ko:K01892	bua:CWO_01505
ko:K00600	bua:CWO_01510
ko:K01935	bua:CWO_01515
ko:K01012	bua:CWO_01520
ko:K00833	bua:CWO_01525
ko:K06190	bua:CWO_01435
ko:K02078	bua:CWO_01855
ko:K00943	bua:CWO_01860
ko:K00645	bua:CWO_01845
ko:K00059	bua:CWO_01850
ko:K03544	bua:CWO_02520
ko:K01338	bua:CWO_02525
ko:K02343	bua:CWO_02550
ko:K09747	bua:CWO_02555
ko:K04079	bua:CWO_02565
ko:K00939	bua:CWO_02570
ko:K01491	bua:CWO_02575
ko:K01883	bua:CWO_02580
ko:K09158	bua:CWO_02585
ko:K03704	bua:CWO_02590
ko:K00014	bua:CWO_02605
ko:K07566	bua:CWO_02610
ko:K03747	bua:CWO_02615
ko:K00604	bua:CWO_02630
ko:K02879	bua:CWO_02635
ko:K03040	bua:CWO_02640
ko:K02986	bua:CWO_02645
ko:K02948	bua:CWO_02650
ko:K02952	bua:CWO_02655
ko:K02919	bua:CWO_02660
ko:K03076	bua:CWO_02665
ko:K02876	bua:CWO_02670
ko:K02907	bua:CWO_02675
ko:K02988	bua:CWO_02680
ko:K02881	bua:CWO_02685
ko:K02933	bua:CWO_02690
ko:K02994	bua:CWO_02695
ko:K02954	bua:CWO_02700
ko:K02931	bua:CWO_02705
ko:K02895	bua:CWO_02710
ko:K02874	bua:CWO_02715
ko:K02961	bua:CWO_02720
ko:K02904	bua:CWO_02725
ko:K02878	bua:CWO_02730
ko:K02982	bua:CWO_02735
ko:K02890	bua:CWO_02740
ko:K02965	bua:CWO_02745
ko:K03495	bua:CWO_00005
ko:K02108	bua:CWO_00010
ko:K02110	bua:CWO_00015
ko:K02109	bua:CWO_00020
ko:K02113	bua:CWO_00025
ko:K02111	bua:CWO_00030
ko:K02115	bua:CWO_00035
ko:K02112	bua:CWO_00040
ko:K02114	bua:CWO_00045
ko:K02470	bua:CWO_00050
ko:K02338	bua:CWO_00055
ko:K02313	bua:CWO_00060
ko:K02914	bua:CWO_00065
ko:K03217	bua:CWO_00075
ko:K03650	bua:CWO_00080
ko:K03723	bua:CWO_01535
ko:K09808	bua:CWO_01540
ko:K07404	bua:CWO_01530
ko:K02341	bua:CWO_01865
ko:K03424	bua:CWO_01870
ko:K07337	bua:CWO_01885
ko:K01893	bua:CWO_01895
ko:K00763	bua:CWO_01900
ko:K12297	bua:CWO_01915
ko:K07146	bua:CWO_01930
ko:K01873	bua:CWO_01935
ko:K01255	bua:CWO_01940
ko:K00611	bua:CWO_01945
ko:K00609	bua:CWO_01950
ko:K00610	bua:CWO_01955
ko:K05592	bua:CWO_01965
ko:K00962	bua:CWO_01970
ko:K02956	bua:CWO_01975
ko:K03177	bua:CWO_01980
ko:K02834	bua:CWO_01985
ko:K02519	bua:CWO_01990
ko:K02600	bua:CWO_01995
ko:K03075	bua:CWO_02000
ko:K03431	bua:CWO_02010
ko:K03798	bua:CWO_02015
ko:K02427	bua:CWO_02020
ko:K03624	bua:CWO_02025
ko:K00790	bua:CWO_02035
ko:K02888	bua:CWO_02040
ko:K02899	bua:CWO_02045
ko:K03979	bua:CWO_02050
ko:K02996	bua:CWO_02055
ko:K02871	bua:CWO_02060
ko:K14170	bua:CWO_02065
ko:K02959	bua:CWO_02080
ko:K00554	bua:CWO_02090
ko:K02884	bua:CWO_02095
ko:K03568	bua:CWO_02100
ko:K03786	bua:CWO_02110
ko:K03557	bua:CWO_02115
ko:K06180	bua:CWO_02120
ko:K05807	bua:CWO_02125
ko:K01872	bua:CWO_02130
ko:K03563	bua:CWO_02135
ko:K03667	bua:CWO_03040
ko:K04080	bua:CWO_03045
ko:K00528	bua:CWO_03050
ko:K04568	bua:CWO_03055
ko:K00954	bua:CWO_03060
ko:K15984	bua:CWO_03075
ko:K08224	bua:CWO_03085
ko:K01778	bua:CWO_03090
ko:K06202	bua:CWO_03095
ko:K01749	bua:CWO_03100
ko:K01719	bua:CWO_03110
ko:K01448	bua:CWO_03015
ko:K02909	bua:CWO_03020
ko:K03628	bua:CWO_03115
ko:K03671	bua:CWO_03120
ko:K03656	bua:CWO_03125
ko:K00053	bua:CWO_03130
ko:K01687	bua:CWO_03135
ko:K04487	bua:CWO_03140
ko:K04488	bua:CWO_03145
ko:K04082	bua:CWO_03150
ko:K04044	bua:CWO_03155
ko:K04755	bua:CWO_03160
ko:K03977	bua:CWO_03165
ko:K01419	bua:CWO_03035
ko:K14219	bua:CWO_t03221
ko:K14229	bua:CWO_t03187
ko:K01980	bua:CWO_r03245
ko:K01069	bua:CWO_01280
ko:K00956	bua:CWO_02220
ko:K09476	bua:CWO_01890
ko:K01977	bua:CWO_r03243
ko:K16322	bua:CWO_03080
ko:K01834	bua:CWO_01585
ko:K14228	bua:CWO_t03207
ko:K14223	bua:CWO_t03213
ko:K14232	bua:CWO_t03233
ko:K14226	bua:CWO_t03235
ko:K14233	bua:CWO_t03205
ko:K14230	bua:CWO_t03229
ko:K14233	bua:CWO_t03209
ko:K14233	bua:CWO_t03225
ko:K14219	bua:CWO_t03237
ko:K14230	bua:CWO_t03217
ko:K01985	bua:CWO_r03241
ko:K14221	bua:CWO_t03199
