ko:K10726	sis:LS215_1463
ko:K03637	sis:LS215_1468
ko:K04800	sis:LS215_1469
ko:K04801	sis:LS215_1470
ko:K06910	sis:LS215_1471
ko:K03433	sis:LS215_1472
ko:K02433	sis:LS215_1473
ko:K07041	sis:LS215_1477
ko:K02922	sis:LS215_1481
ko:K00797	sis:LS215_1482
ko:K03800	sis:LS215_2376
ko:K03644	sis:LS215_2377
ko:K03800	sis:LS215_2379
ko:K03809	sis:LS215_2380
ko:K03885	sis:LS215_2385
ko:K08369	sis:LS215_2390
ko:K00782	sis:LS215_2404
ko:K06885	sis:LS215_2407
ko:K00059	sis:LS215_2416
ko:K03116	sis:LS215_2423
ko:K01687	sis:LS215_2424
ko:K01299	sis:LS215_2425
ko:K03265	sis:LS215_0169
ko:K07101	sis:LS215_0170
ko:K00772	sis:LS215_0171
ko:K05844	sis:LS215_0174
ko:K03718	sis:LS215_0175
ko:K08979	sis:LS215_0183
ko:K01101	sis:LS215_0185
ko:K00239	sis:LS215_0186
ko:K00240	sis:LS215_0187
ko:K00241	sis:LS215_0188
ko:K03924	sis:LS215_0191
ko:K07466	sis:LS215_0192
ko:K03750	sis:LS215_0194
ko:K00872	sis:LS215_0195
ko:K06961	sis:LS215_0201
ko:K07178	sis:LS215_0202
ko:K03236	sis:LS215_0203
ko:K00626	sis:LS215_0204
ko:K03238	sis:LS215_0206
ko:K01507	sis:LS215_0214
ko:K07023	sis:LS215_0215
ko:K06982	sis:LS215_0220
ko:K03517	sis:LS215_1314
ko:K00278	sis:LS215_1315
ko:K02995	sis:LS215_2141
ko:K05827	sis:LS215_2145
ko:K06915	sis:LS215_2151
ko:K01649	sis:LS215_2164
ko:K03179	sis:LS215_2165
ko:K03500	sis:LS215_2168
ko:K10773	sis:LS215_2175
ko:K03724	sis:LS215_2178
ko:K07744	sis:LS215_2180
ko:K01890	sis:LS215_2188
ko:K01889	sis:LS215_2189
ko:K01265	sis:LS215_2191
ko:K01724	sis:LS215_0005
ko:K06915	sis:LS215_0017
ko:K06888	sis:LS215_0021
ko:K07503	sis:LS215_0025
ko:K01895	sis:LS215_0033
ko:K07060	sis:LS215_0034
ko:K00858	sis:LS215_0035
ko:K07055	sis:LS215_0039
ko:K09738	sis:LS215_0040
ko:K07574	sis:LS215_0041
ko:K03671	sis:LS215_0050
ko:K09716	sis:LS215_0052
ko:K09825	sis:LS215_0058
ko:K03546	sis:LS215_0063
ko:K06915	sis:LS215_0065
ko:K03564	sis:LS215_0068
ko:K07588	sis:LS215_0075
ko:K01849	sis:LS215_0076
ko:K07090	sis:LS215_0082
ko:K01714	sis:LS215_0084
ko:K00059	sis:LS215_0086
ko:K01883	sis:LS215_0091
ko:K00626	sis:LS215_0944
ko:K03170	sis:LS215_1813
ko:K09735	sis:LS215_1816
ko:K03050	sis:LS215_1817
ko:K03049	sis:LS215_1818
ko:K03242	sis:LS215_1820
ko:K02991	sis:LS215_1821
ko:K03795	sis:LS215_1822
ko:K02956	sis:LS215_1823
ko:K00549	sis:LS215_1824
ko:K00549	sis:LS215_1825
ko:K04802	sis:LS215_1826
ko:K02858	sis:LS215_1829
ko:K00794	sis:LS215_1831
ko:K08096	sis:LS215_1832
ko:K06915	sis:LS215_1836
ko:K03724	sis:LS215_1837
ko:K02875	sis:LS215_1838
ko:K03177	sis:LS215_1839
ko:K01480	sis:LS215_2751
ko:K00836	sis:LS215_2754
ko:K06016	sis:LS215_2758
ko:K06940	sis:LS215_2766
ko:K00772	sis:LS215_2770
ko:K06137	sis:LS215_2777
ko:K03799	sis:LS215_2782
ko:K00864	sis:LS215_1141
ko:K07095	sis:LS215_1146
ko:K01304	sis:LS215_1148
ko:K03552	sis:LS215_1156
ko:K07301	sis:LS215_1158
ko:K03592	sis:LS215_1176
ko:K03568	sis:LS215_1177
ko:K01478	sis:LS215_1182
ko:K03389	sis:LS215_1193
ko:K03390	sis:LS215_1194
ko:K08093	sis:LS215_2094
ko:K01937	sis:LS215_2095
ko:K00789	sis:LS215_2098
ko:K09150	sis:LS215_2099
ko:K07179	sis:LS215_2100
ko:K09122	sis:LS215_2103
ko:K09141	sis:LS215_2104
ko:K01494	sis:LS215_2107
ko:K10747	sis:LS215_2108
ko:K01719	sis:LS215_2114
ko:K01749	sis:LS215_2115
ko:K01845	sis:LS215_2116
ko:K01698	sis:LS215_2117
ko:K02492	sis:LS215_2118
ko:K03232	sis:LS215_2123
ko:K07580	sis:LS215_2124
ko:K04794	sis:LS215_2125
ko:K06176	sis:LS215_2126
ko:K02927	sis:LS215_2129
ko:K01439	sis:LS215_1084
ko:K06915	sis:LS215_1086
ko:K09703	sis:LS215_1096
ko:K06871	sis:LS215_1113
ko:K04561	sis:LS215_1118
ko:K02979	sis:LS215_2015
ko:K02896	sis:LS215_2016
ko:K00940	sis:LS215_2017
ko:K03243	sis:LS215_2018
ko:K03053	sis:LS215_2019
ko:K03041	sis:LS215_2021
ko:K03042	sis:LS215_2022
ko:K02908	sis:LS215_2023
ko:K02950	sis:LS215_2025
ko:K02992	sis:LS215_2027
ko:K03231	sis:LS215_2028
ko:K02946	sis:LS215_2029
ko:K03789	sis:LS215_2034
ko:K03147	sis:LS215_0666
ko:K00053	sis:LS215_0667
ko:K01933	sis:LS215_1607
ko:K01945	sis:LS215_1608
