ko:K02073	hpv:HPV225_1612
ko:K05515	hpv:HPV225_1613
ko:K03978	hpv:HPV225_1615
ko:K09774	hpv:HPV225_1616
ko:K03270	hpv:HPV225_1618
ko:K03642	hpv:HPV225_1619
ko:K08307	hpv:HPV225_1620
ko:K03424	hpv:HPV225_1621
ko:K00793	hpv:HPV225_1622
ko:K04061	hpv:HPV225_1623
ko:K02071	hpv:HPV225_1624
ko:K02072	hpv:HPV225_1625
ko:K03474	hpv:HPV225_1631
ko:K00097	hpv:HPV225_1632
ko:K02392	hpv:HPV225_1634
ko:K07173	hpv:HPV225_0114
ko:K04043	hpv:HPV225_0119
ko:K03687	hpv:HPV225_0120
ko:K03705	hpv:HPV225_0121
ko:K01628	hpv:HPV225_0122
ko:K02406	hpv:HPV225_0125
ko:K03168	hpv:HPV225_0126
ko:K01868	hpv:HPV225_0133
ko:K02520	hpv:HPV225_0134
ko:K02916	hpv:HPV225_0135
ko:K02887	hpv:HPV225_0136
ko:K01752	hpv:HPV225_0145
ko:K03837	hpv:HPV225_0146
ko:K01626	hpv:HPV225_0147
ko:K03564	hpv:HPV225_0150
ko:K00782	hpv:HPV225_0151
ko:K03303	hpv:HPV225_0154
ko:K03303	hpv:HPV225_0155
ko:K03575	hpv:HPV225_0156
ko:K00404	hpv:HPV225_0158
ko:K00405	hpv:HPV225_0159
ko:K00407	hpv:HPV225_0160
ko:K00406	hpv:HPV225_0161
ko:K15257	hpv:HPV225_1048
ko:K01772	hpv:HPV225_1049
ko:K01874	hpv:HPV225_1050
ko:K00574	hpv:HPV225_1051
ko:K15846	hpv:HPV225_1059
ko:K01951	hpv:HPV225_1060
ko:K11720	hpv:HPV225_1517
ko:K01056	hpv:HPV225_1518
ko:K02897	hpv:HPV225_1519
ko:K01928	hpv:HPV225_1521
ko:K03306	hpv:HPV225_1524
ko:K01993	hpv:HPV225_1527
ko:K08973	hpv:HPV225_1531
ko:K03183	hpv:HPV225_1532
ko:K03602	hpv:HPV225_1533
ko:K01875	hpv:HPV225_1535
ko:K03657	hpv:HPV225_1537
ko:K02386	hpv:HPV225_1538
ko:K03186	hpv:HPV225_1539
ko:K00954	hpv:HPV225_1540
ko:K00943	hpv:HPV225_1541
ko:K00826	hpv:HPV225_1547
ko:K02066	hpv:HPV225_1549
