ko:K01738	mao:MAP4_1699
ko:K11717	mao:MAP4_1702
ko:K02066	mao:MAP4_1706
ko:K02575	mao:MAP4_1721
ko:K16786	mao:MAP4_1725
ko:K16787	mao:MAP4_1725
ko:K16785	mao:MAP4_1726
ko:K01236	mao:MAP4_2581
ko:K01754	mao:MAP4_2587
ko:K00631	mao:MAP4_2590
ko:K02337	mao:MAP4_2594
ko:K07124	mao:MAP4_2596
ko:K06886	mao:MAP4_2598
ko:K06180	mao:MAP4_2600
ko:K03101	mao:MAP4_2601
ko:K02346	mao:MAP4_2603
ko:K01870	mao:MAP4_2605
ko:K02377	mao:MAP4_2620
ko:K01711	mao:MAP4_2621
ko:K10773	mao:MAP4_3469
ko:K01738	mao:MAP4_3480
ko:K05520	mao:MAP4_3498
ko:K00123	mao:MAP4_3502
ko:K00123	mao:MAP4_3503
ko:K01008	mao:MAP4_3504
ko:K01042	mao:MAP4_3505
ko:K03833	mao:MAP4_3506
ko:K09117	mao:MAP4_3507
ko:K03924	mao:MAP4_3511
ko:K02879	mao:MAP4_4359
ko:K06173	mao:MAP4_4360
ko:K03466	mao:MAP4_4366
ko:K02871	mao:MAP4_4370
ko:K02996	mao:MAP4_4371
ko:K03431	mao:MAP4_4372
ko:K00820	mao:MAP4_4378
ko:K01775	mao:MAP4_4383
ko:K06925	mao:MAP4_4385
ko:K03789	mao:MAP4_4387
ko:K04078	mao:MAP4_4389
ko:K04077	mao:MAP4_4390
ko:K03088	mao:MAP4_4400
ko:K01687	mao:MAP4_0143
ko:K05349	mao:MAP4_0148
ko:K03088	mao:MAP4_0152
ko:K06911	mao:MAP4_0156
ko:K02066	mao:MAP4_0170
ko:K02066	mao:MAP4_0171
ko:K07107	mao:MAP4_0176
ko:K00325	mao:MAP4_0200
ko:K00324	mao:MAP4_0201
ko:K03781	mao:MAP4_1070
ko:K07090	mao:MAP4_1071
ko:K00449	mao:MAP4_1084
ko:K00448	mao:MAP4_1085
ko:K01857	mao:MAP4_1086
ko:K00459	mao:MAP4_1094
ko:K01868	mao:MAP4_1100
ko:K00995	mao:MAP4_1102
ko:K06215	mao:MAP4_1106
ko:K10805	mao:MAP4_1107
ko:K08681	mao:MAP4_1108
ko:K06888	mao:MAP4_1110
ko:K11068	mao:MAP4_1112
ko:K00600	mao:MAP4_1117
ko:K07175	mao:MAP4_1119
ko:K02066	mao:MAP4_1978
ko:K02066	mao:MAP4_1979
ko:K00765	mao:MAP4_1982
ko:K03433	mao:MAP4_1993
ko:K03432	mao:MAP4_1994
ko:K03116	mao:MAP4_1998
ko:K03118	mao:MAP4_1999
ko:K05936	mao:MAP4_2012
ko:K05895	mao:MAP4_2013
ko:K03088	mao:MAP4_2014
ko:K01546	mao:MAP4_2859
ko:K01548	mao:MAP4_2862
ko:K07646	mao:MAP4_2863
ko:K07667	mao:MAP4_2864
ko:K01524	mao:MAP4_2866
ko:K01689	mao:MAP4_2869
ko:K03723	mao:MAP4_2872
ko:K01586	mao:MAP4_2873
ko:K04042	mao:MAP4_2875
ko:K00948	mao:MAP4_2876
ko:K02897	mao:MAP4_2880
ko:K01056	mao:MAP4_2881
ko:K00919	mao:MAP4_2883
ko:K02528	mao:MAP4_2884
ko:K03424	mao:MAP4_2886
ko:K01874	mao:MAP4_2887
ko:K01790	mao:MAP4_2895
ko:K00574	mao:MAP4_3739
ko:K03762	mao:MAP4_3741
ko:K00338	mao:MAP4_3780
ko:K02066	mao:MAP4_3783
ko:K03823	mao:MAP4_3786
ko:K07228	mao:MAP4_0434
ko:K06949	mao:MAP4_0449
ko:K00800	mao:MAP4_0450
ko:K03088	mao:MAP4_0461
ko:K02361	mao:MAP4_0469
ko:K03657	mao:MAP4_0485
ko:K03426	mao:MAP4_0486
ko:K03657	mao:MAP4_0488
ko:K01887	mao:MAP4_1353
ko:K01586	mao:MAP4_1354
ko:K00003	mao:MAP4_1355
ko:K01733	mao:MAP4_1356
ko:K00872	mao:MAP4_1357
ko:K03628	mao:MAP4_1359
ko:K02909	mao:MAP4_1360
ko:K02835	mao:MAP4_1361
ko:K02493	mao:MAP4_1362
ko:K02108	mao:MAP4_1366
ko:K02110	mao:MAP4_1367
ko:K02109	mao:MAP4_1368
ko:K02111	mao:MAP4_1370
ko:K02115	mao:MAP4_1371
ko:K02112	mao:MAP4_1372
ko:K02114	mao:MAP4_1373
ko:K00790	mao:MAP4_1376
ko:K13529	mao:MAP4_1380
ko:K05606	mao:MAP4_1386
ko:K05838	mao:MAP4_1388
ko:K16147	mao:MAP4_1390
ko:K00688	mao:MAP4_1391
ko:K00763	mao:MAP4_1393
ko:K06891	mao:MAP4_1394
ko:K01776	mao:MAP4_1399
ko:K04761	mao:MAP4_2249
ko:K04756	mao:MAP4_2251
ko:K01338	mao:MAP4_2255
ko:K06153	mao:MAP4_2264
ko:K02018	mao:MAP4_2272
ko:K02020	mao:MAP4_2274
ko:K03885	mao:MAP4_2278
ko:K02078	mao:MAP4_2284
ko:K01638	mao:MAP4_2290
ko:K00281	mao:MAP4_2294
ko:K08999	mao:MAP4_2297
ko:K02437	mao:MAP4_2300
ko:K00161	mao:MAP4_3176
ko:K13727	mao:MAP4_3179
ko:K01849	mao:MAP4_3190
ko:K07020	mao:MAP4_4026
ko:K00941	mao:MAP4_4027
ko:K03147	mao:MAP4_4028
ko:K01142	mao:MAP4_4032
ko:K01462	mao:MAP4_4034
ko:K06048	mao:MAP4_4038
ko:K07157	mao:MAP4_4039
ko:K13525	mao:MAP4_4044
ko:K17103	mao:MAP4_4045
ko:K01613	mao:MAP4_4046
ko:K03750	mao:MAP4_4048
ko:K04077	mao:MAP4_4052
ko:K02379	mao:MAP4_0836
ko:K07460	mao:MAP4_0837
ko:K07391	mao:MAP4_0841
ko:K04096	mao:MAP4_0843
ko:K03733	mao:MAP4_0846
ko:K02967	mao:MAP4_0848
ko:K02357	mao:MAP4_0849
ko:K09903	mao:MAP4_0859
ko:K02838	mao:MAP4_0860
ko:K00981	mao:MAP4_0861
ko:K06941	mao:MAP4_0862
ko:K00099	mao:MAP4_0865
ko:K01265	mao:MAP4_0871
ko:K02232	mao:MAP4_0872
ko:K01915	mao:MAP4_0874
ko:K07010	mao:MAP4_0875
ko:K07241	mao:MAP4_0881
ko:K00116	mao:MAP4_0884
ko:K02224	mao:MAP4_0888
