ko:K02876	sud:ST398NM01_2284
ko:K02907	sud:ST398NM01_2285
ko:K02988	sud:ST398NM01_2286
ko:K02881	sud:ST398NM01_2287
ko:K02933	sud:ST398NM01_2288
ko:K02994	sud:ST398NM01_2289
ko:K02954	sud:ST398NM01_2290
ko:K02931	sud:ST398NM01_2291
ko:K02895	sud:ST398NM01_2292
ko:K02874	sud:ST398NM01_2293
ko:K02961	sud:ST398NM01_2294
ko:K02904	sud:ST398NM01_2295
ko:K02878	sud:ST398NM01_2296
ko:K02982	sud:ST398NM01_2297
ko:K02890	sud:ST398NM01_2298
ko:K02965	sud:ST398NM01_2299
ko:K02886	sud:ST398NM01_2300
ko:K02892	sud:ST398NM01_2301
ko:K02926	sud:ST398NM01_2302
ko:K02906	sud:ST398NM01_2303
ko:K02946	sud:ST398NM01_2304
ko:K06901	sud:ST398NM01_2306
ko:K07088	sud:ST398NM01_2310
ko:K03639	sud:ST398NM01_2319
ko:K03752	sud:ST398NM01_2320
ko:K03636	sud:ST398NM01_2321
ko:K14235	sud:ST398NM01_r036
ko:K03466	sud:ST398NM01_0302
ko:K03311	sud:ST398NM01_0319
ko:K02003	sud:ST398NM01_0322
ko:K03800	sud:ST398NM01_0408
ko:K03925	sud:ST398NM01_1175
ko:K03438	sud:ST398NM01_1176
ko:K01000	sud:ST398NM01_1179
ko:K01925	sud:ST398NM01_1180
ko:K03589	sud:ST398NM01_1181
ko:K03590	sud:ST398NM01_1182
ko:K03531	sud:ST398NM01_1183
ko:K05810	sud:ST398NM01_1184
ko:K06997	sud:ST398NM01_1186
ko:K09772	sud:ST398NM01_1187
ko:K02221	sud:ST398NM01_1188
ko:K04074	sud:ST398NM01_1190
ko:K01870	sud:ST398NM01_1191
ko:K03101	sud:ST398NM01_1193
ko:K06180	sud:ST398NM01_1194
ko:K02825	sud:ST398NM01_1195
ko:K00609	sud:ST398NM01_1197
ko:K01465	sud:ST398NM01_1198
ko:K01956	sud:ST398NM01_1199
ko:K01955	sud:ST398NM01_1200
ko:K01591	sud:ST398NM01_1201
ko:K00762	sud:ST398NM01_1202
ko:K00942	sud:ST398NM01_1207
ko:K03060	sud:ST398NM01_1208
ko:K13038	sud:ST398NM01_1209
ko:K04066	sud:ST398NM01_1210
ko:K01462	sud:ST398NM01_1214
ko:K00604	sud:ST398NM01_1215
ko:K03500	sud:ST398NM01_1216
ko:K06941	sud:ST398NM01_1217
ko:K02346	sud:ST398NM01_1988
ko:K03215	sud:ST398NM01_1990
ko:K02434	sud:ST398NM01_1993
ko:K02435	sud:ST398NM01_1995
ko:K01972	sud:ST398NM01_1998
ko:K03657	sud:ST398NM01_1999
ko:K01756	sud:ST398NM01_2002
ko:K00763	sud:ST398NM01_2008
ko:K00491	sud:ST398NM01_2009
ko:K14445	sud:ST398NM01_2011
ko:K00208	sud:ST398NM01_2908
ko:K03300	sud:ST398NM01_2665
ko:K02304	sud:ST398NM01_2667
ko:K00432	sud:ST398NM01_2669
ko:K00926	sud:ST398NM01_2682
ko:K03758	sud:ST398NM01_2683
ko:K00611	sud:ST398NM01_2684
ko:K01809	sud:ST398NM01_2692
ko:K01421	sud:ST398NM01_2693
ko:K03070	sud:ST398NM01_2699
ko:K15738	sud:ST398NM01_0797
ko:K03654	sud:ST398NM01_0798
ko:K05847	sud:ST398NM01_0799
ko:K00817	sud:ST398NM01_0801
ko:K03305	sud:ST398NM01_0804
ko:K09457	sud:ST398NM01_0805
ko:K02015	sud:ST398NM01_0810
ko:K02015	sud:ST398NM01_0811
ko:K02013	sud:ST398NM01_0812
ko:K02016	sud:ST398NM01_0813
ko:K00075	sud:ST398NM01_0814
ko:K00865	sud:ST398NM01_0818
ko:K03070	sud:ST398NM01_0829
ko:K02836	sud:ST398NM01_0830
ko:K07023	sud:ST398NM01_0832
ko:K03702	sud:ST398NM01_0834
ko:K03701	sud:ST398NM01_0835
ko:K13292	sud:ST398NM01_0837
ko:K00384	sud:ST398NM01_0840
ko:K06967	sud:ST398NM01_1625
ko:K03086	sud:ST398NM01_1626
ko:K09773	sud:ST398NM01_1628
ko:K01880	sud:ST398NM01_1630
ko:K03584	sud:ST398NM01_1631
ko:K07042	sud:ST398NM01_1635
ko:K02970	sud:ST398NM01_1641
ko:K09761	sud:ST398NM01_1643
ko:K02687	sud:ST398NM01_1644
ko:K03686	sud:ST398NM01_1645
ko:K04043	sud:ST398NM01_1646
ko:K03687	sud:ST398NM01_1647
ko:K03705	sud:ST398NM01_1648
ko:K03596	sud:ST398NM01_1650
ko:K02968	sud:ST398NM01_1651
ko:K02340	sud:ST398NM01_1652
ko:K02237	sud:ST398NM01_1655
ko:K09710	sud:ST398NM01_1657
ko:K00969	sud:ST398NM01_1659
ko:K07574	sud:ST398NM01_1660
ko:K00014	sud:ST398NM01_1661
ko:K07015	sud:ST398NM01_1663
ko:K07160	sud:ST398NM01_1669
ko:K01961	sud:ST398NM01_1670
ko:K02160	sud:ST398NM01_1671
ko:K03624	sud:ST398NM01_1674
ko:K03753	sud:ST398NM01_2323
ko:K03750	sud:ST398NM01_2324
ko:K03637	sud:ST398NM01_2325
ko:K03638	sud:ST398NM01_2326
ko:K02018	sud:ST398NM01_2329
ko:K02020	sud:ST398NM01_2330
ko:K02379	sud:ST398NM01_2331
ko:K03523	sud:ST398NM01_2333
ko:K02016	sud:ST398NM01_2335
ko:K08717	sud:ST398NM01_2337
ko:K01430	sud:ST398NM01_2338
ko:K01429	sud:ST398NM01_2339
ko:K01428	sud:ST398NM01_2340
ko:K03187	sud:ST398NM01_2341
ko:K03188	sud:ST398NM01_2342
ko:K03189	sud:ST398NM01_2343
ko:K03190	sud:ST398NM01_2344
ko:K03315	sud:ST398NM01_2351
ko:K09940	sud:ST398NM01_2353
ko:K00123	sud:ST398NM01_2360
ko:K14230	sud:ST398NM01_r029
ko:K03076	sud:ST398NM01_2703
ko:K06949	sud:ST398NM01_1220
ko:K01358	sud:ST398NM01_0846
ko:K07071	sud:ST398NM01_0848
ko:K05311	sud:ST398NM01_0850
ko:K00134	sud:ST398NM01_0851
ko:K00927	sud:ST398NM01_0852
ko:K01803	sud:ST398NM01_0853
ko:K15633	sud:ST398NM01_0854
ko:K01689	sud:ST398NM01_0855
ko:K03075	sud:ST398NM01_0857
ko:K03928	sud:ST398NM01_0858
ko:K12573	sud:ST398NM01_0859
ko:K03664	sud:ST398NM01_0860
ko:K03704	sud:ST398NM01_0873
ko:K06895	sud:ST398NM01_0880
ko:K03785	sud:ST398NM01_0883
ko:K02437	sud:ST398NM01_0887
ko:K07476	sud:ST398NM01_0890
ko:K02071	sud:ST398NM01_0892
ko:K00876	sud:ST398NM01_1675
ko:K08303	sud:ST398NM01_1676
ko:K07447	sud:ST398NM01_1680
ko:K01872	sud:ST398NM01_1682
ko:K03581	sud:ST398NM01_1683
ko:K00566	sud:ST398NM01_1685
ko:K04487	sud:ST398NM01_1686
ko:K07478	sud:ST398NM01_1691
ko:K01876	sud:ST398NM01_1693
ko:K01892	sud:ST398NM01_1694
ko:K01448	sud:ST398NM01_1695
ko:K07560	sud:ST398NM01_1696
ko:K00759	sud:ST398NM01_1698
ko:K07462	sud:ST398NM01_1699
ko:K12257	sud:ST398NM01_1700
ko:K03210	sud:ST398NM01_1701
ko:K00773	sud:ST398NM01_1702
ko:K07568	sud:ST398NM01_1703
ko:K03551	sud:ST398NM01_1704
ko:K03550	sud:ST398NM01_1705
ko:K06209	sud:ST398NM01_1706
ko:K03979	sud:ST398NM01_1707
ko:K02899	sud:ST398NM01_1708
ko:K02888	sud:ST398NM01_1710
ko:K03571	sud:ST398NM01_1711
ko:K03570	sud:ST398NM01_1712
ko:K03630	sud:ST398NM01_1715
ko:K11754	sud:ST398NM01_1717
ko:K01873	sud:ST398NM01_1718
ko:K01246	sud:ST398NM01_1719
ko:K01845	sud:ST398NM01_1722
ko:K01698	sud:ST398NM01_1723
ko:K03453	sud:ST398NM01_2372
ko:K02749	sud:ST398NM01_2374
ko:K02750	sud:ST398NM01_2374
ko:K03481	sud:ST398NM01_2375
ko:K01468	sud:ST398NM01_2382
ko:K01712	sud:ST398NM01_2383
ko:K01807	sud:ST398NM01_2388
ko:K09771	sud:ST398NM01_2392
ko:K03652	sud:ST398NM01_2396
ko:K03312	sud:ST398NM01_2397
ko:K03284	sud:ST398NM01_2399
ko:K07107	sud:ST398NM01_2400
ko:K07552	sud:ST398NM01_2408
ko:K00116	sud:ST398NM01_2418
ko:K03303	sud:ST398NM01_2419
ko:K02445	sud:ST398NM01_0417
ko:K00299	sud:ST398NM01_0420
ko:K03817	sud:ST398NM01_0423
ko:K07224	sud:ST398NM01_0424
ko:K07243	sud:ST398NM01_0426
ko:K03118	sud:ST398NM01_2814
ko:K03116	sud:ST398NM01_0427
ko:K00549	sud:ST398NM01_0436
ko:K06942	sud:ST398NM01_0443
ko:K02990	sud:ST398NM01_0445
ko:K02963	sud:ST398NM01_0447
ko:K03387	sud:ST398NM01_0457
ko:K06956	sud:ST398NM01_0461
ko:K03816	sud:ST398NM01_0465
ko:K01783	sud:ST398NM01_1221
ko:K02902	sud:ST398NM01_1223
ko:K03655	sud:ST398NM01_1226
ko:K03621	sud:ST398NM01_1228
ko:K00645	sud:ST398NM01_1229
ko:K02078	sud:ST398NM01_1232
ko:K03685	sud:ST398NM01_1233
ko:K03529	sud:ST398NM01_1234
ko:K03110	sud:ST398NM01_1235
ko:K03106	sud:ST398NM01_1237
ko:K02959	sud:ST398NM01_1238
ko:K02860	sud:ST398NM01_1239
ko:K00554	sud:ST398NM01_1240
ko:K02884	sud:ST398NM01_1241
ko:K14540	sud:ST398NM01_1243
ko:K03470	sud:ST398NM01_1244
ko:K01903	sud:ST398NM01_1245
ko:K01902	sud:ST398NM01_1246
ko:K04096	sud:ST398NM01_1251
ko:K03168	sud:ST398NM01_1252
ko:K04094	sud:ST398NM01_1253
ko:K03733	sud:ST398NM01_1254
ko:K01419	sud:ST398NM01_1255
ko:K03667	sud:ST398NM01_1256
ko:K03706	sud:ST398NM01_1257
ko:K02967	sud:ST398NM01_1258
ko:K02357	sud:ST398NM01_1259
