ko:K05845	aah:CF65_02352
ko:K05846	aah:CF65_02352
ko:K05847	aah:CF65_02353
ko:K06997	aah:CF65_02354
ko:K12524	aah:CF65_02357
ko:K00872	aah:CF65_02358
ko:K01733	aah:CF65_02360
ko:K06133	aah:CF65_02362
ko:K04088	aah:CF65_02363
ko:K04087	aah:CF65_02365
ko:K02237	aah:CF65_02367
ko:K02428	aah:CF65_02368
ko:K01807	aah:CF65_02374
ko:K00058	aah:CF65_02375
ko:K02016	aah:CF65_02380
ko:K01625	aah:CF65_02381
ko:K01812	aah:CF65_02382
ko:K00874	aah:CF65_02384
ko:K01187	aah:CF65_02388
ko:K03628	aah:CF65_00265
ko:K02078	aah:CF65_00268
ko:K00059	aah:CF65_00269
ko:K00645	aah:CF65_00270
ko:K00648	aah:CF65_00272
ko:K03621	aah:CF65_00273
ko:K02911	aah:CF65_00274
ko:K07040	aah:CF65_00275
ko:K01935	aah:CF65_00276
ko:K02169	aah:CF65_00277
ko:K09789	aah:CF65_00278
ko:K00652	aah:CF65_00279
ko:K00833	aah:CF65_00280
ko:K01613	aah:CF65_00281
ko:K03773	aah:CF65_00282
ko:K00931	aah:CF65_00283
ko:K00931	aah:CF65_00286
ko:K03424	aah:CF65_00301
ko:K01560	aah:CF65_01270
ko:K01744	aah:CF65_01277
ko:K07113	aah:CF65_01279
ko:K04078	aah:CF65_01280
ko:K04077	aah:CF65_01284
ko:K01491	aah:CF65_01286
ko:K03701	aah:CF65_01291
ko:K01735	aah:CF65_01295
ko:K00891	aah:CF65_01296
ko:K02507	aah:CF65_01297
ko:K05366	aah:CF65_01304
ko:K07115	aah:CF65_01305
ko:K00383	aah:CF65_01306
ko:K10914	aah:CF65_01308
ko:K09898	aah:CF65_01310
ko:K05501	aah:CF65_01311
ko:K13038	aah:CF65_01315
ko:K03630	aah:CF65_01317
ko:K03630	aah:CF65_01321
ko:K02902	aah:CF65_01323
ko:K02913	aah:CF65_01324
ko:K10563	aah:CF65_01325
ko:K07270	aah:CF65_01330
ko:K02909	aah:CF65_01331
ko:K07270	aah:CF65_01332
ko:K04066	aah:CF65_01335
ko:K03591	aah:CF65_01337
ko:K18136	aah:CF65_01339
ko:K03585	aah:CF65_01340
