ko:K14227	bss:BSUW23_t20462
ko:K14227	bss:BSUW23_t20468
ko:K14227	bss:BSUW23_t20568
ko:K01342	bss:BSUW23_05210
ko:K02247	bss:BSUW23_12225
ko:K01966	bss:BSUW23_11820
ko:K19578	bss:BSUW23_11870
ko:K05592	bss:BSUW23_19420
ko:K02205	bss:BSUW23_18650
ko:K06319	bss:BSUW23_10585
ko:K06290	bss:BSUW23_16185
ko:K05519	bss:BSUW23_05710
ko:K01048	bss:BSUW23_14795
ko:K15035	bss:BSUW23_miscRNA55
ko:K06418	bss:BSUW23_14325
ko:K06884	bss:BSUW23_02285
ko:K01760	bss:BSUW23_06015
ko:K03741	bss:BSUW23_02640
ko:K06320	bss:BSUW23_10590
ko:K06322	bss:BSUW23_10575
ko:K06323	bss:BSUW23_10570
ko:K06336	bss:BSUW23_12190
ko:K06341	bss:BSUW23_05950
ko:K06342	bss:BSUW23_05945
ko:K06344	bss:BSUW23_05935
ko:K06345	bss:BSUW23_13475
ko:K06350	bss:BSUW23_02120
ko:K06351	bss:BSUW23_02115
ko:K06361	bss:BSUW23_01945
ko:K06362	bss:BSUW23_17915
ko:K06364	bss:BSUW23_18505
ko:K06371	bss:BSUW23_12745
ko:K06376	bss:BSUW23_07005
ko:K06388	bss:BSUW23_06570
ko:K05799	bss:BSUW23_16800
ko:K01990	bss:BSUW23_05080
ko:K00646	bss:BSUW23_08815
ko:K08234	bss:BSUW23_18275
ko:K00974	bss:BSUW23_11010
ko:K07474	bss:BSUW23_06415
ko:K05020	bss:BSUW23_14570
ko:K06147	bss:BSUW23_18390
ko:K11615	bss:BSUW23_15350
ko:K07705	bss:BSUW23_14055
ko:K06595	bss:BSUW23_05255
ko:K14237	bss:BSUW23_t20554
ko:K06414	bss:BSUW23_08135
ko:K01083	bss:BSUW23_10595
ko:K07692	bss:BSUW23_17400
ko:K06297	bss:BSUW23_01915
ko:K06288	bss:BSUW23_16175
ko:K02254	bss:BSUW23_05715
ko:K06113	bss:BSUW23_14000
ko:K00666	bss:BSUW23_09410
ko:K06422	bss:BSUW23_04360
ko:K06432	bss:BSUW23_09245
ko:K14166	bss:BSUW23_02040
ko:K07404	bss:BSUW23_06665
ko:K00034	bss:BSUW23_02030
ko:K01728	bss:BSUW23_03840
ko:K13052	bss:BSUW23_00320
ko:K11686	bss:BSUW23_18280
ko:K03574	bss:BSUW23_17045
ko:K06327	bss:BSUW23_10880
ko:K06329	bss:BSUW23_20230
ko:K06335	bss:BSUW23_09235
ko:K06343	bss:BSUW23_05940
ko:K06359	bss:BSUW23_06330
ko:K06368	bss:BSUW23_01445
ko:K06370	bss:BSUW23_13480
ko:K04517	bss:BSUW23_11090
ko:K07770	bss:BSUW23_16145
