ko:K06336	baml:BAM5036_2216
ko:K06340	baml:BAM5036_1079
ko:K07698	baml:BAM5036_1361
ko:K11814	baml:BAM5036_1654
ko:K11815	baml:BAM5036_1653
ko:K06323	baml:BAM5036_1892
ko:K06352	baml:BAM5036_1157
ko:K06360	baml:BAM5036_3315
ko:K06364	baml:BAM5036_3383
ko:K06366	baml:BAM5036_2867
ko:K06368	baml:BAM5036_0263
ko:K06372	baml:BAM5036_2214
ko:K15327	baml:BAM5036_1633
ko:K15468	baml:BAM5036_1645
ko:K06292	baml:BAM5036_3217
ko:K13613	baml:BAM5036_1642
ko:K16248	baml:BAM5036_0575
ko:K06293	baml:BAM5036_3218
ko:K06361	baml:BAM5036_0360
ko:K14219	baml:BAM5036_tRNA10
ko:K14219	baml:BAM5036_tRNA72
ko:K14219	baml:BAM5036_tRNA16
ko:K14219	baml:BAM5036_tRNA35
ko:K14224	baml:BAM5036_tRNA86
ko:K14224	baml:BAM5036_tRNA3
ko:K14224	baml:BAM5036_tRNA41
ko:K14224	baml:BAM5036_tRNA30
ko:K14224	baml:BAM5036_tRNA23
ko:K14224	baml:BAM5036_tRNA59
ko:K01985	baml:BAM5036_5s_rRNA_5
ko:K01906	baml:BAM5036_1766
ko:K06388	baml:BAM5036_1200
ko:K12263	baml:BAM5036_3164
ko:K06351	baml:BAM5036_0391
ko:K06113	baml:BAM5036_2527
ko:K03483	baml:BAM5036_0399
ko:K07705	baml:BAM5036_2536
ko:K15328	baml:BAM5036_1634
ko:K02015	baml:BAM5036_2954
ko:K02015	baml:BAM5036_2955
ko:K02016	baml:BAM5036_2956
ko:K03758	baml:BAM5036_2958
ko:K07038	baml:BAM5036_2960
ko:K07219	baml:BAM5036_2962
ko:K07152	baml:BAM5036_1918
ko:K01754	baml:BAM5036_1920
ko:K11068	baml:BAM5036_1922
ko:K00655	baml:BAM5036_1923
ko:K01687	baml:BAM5036_1929
ko:K06950	baml:BAM5036_1931
ko:K00432	baml:BAM5036_1932
ko:K00651	baml:BAM5036_1933
ko:K03704	baml:BAM5036_1935
ko:K09125	baml:BAM5036_1939
ko:K06429	baml:BAM5036_1941
ko:K07443	baml:BAM5036_1949
ko:K16169	baml:BAM5036_1954
ko:K03816	baml:BAM5036_1955
ko:K01299	baml:BAM5036_1956
ko:K07444	baml:BAM5036_1960
ko:K06901	baml:BAM5036_2647
ko:K07007	baml:BAM5036_2654
ko:K02529	baml:BAM5036_2657
ko:K10117	baml:BAM5036_2658
ko:K10119	baml:BAM5036_2660
ko:K07406	baml:BAM5036_2661
ko:K01869	baml:BAM5036_2664
ko:K11632	baml:BAM5036_2669
ko:K11631	baml:BAM5036_2670
ko:K11629	baml:BAM5036_2671
ko:K11630	baml:BAM5036_2672
ko:K07139	baml:BAM5036_2681
ko:K01126	baml:BAM5036_2684
ko:K16188	baml:BAM5036_2685
ko:K01953	baml:BAM5036_2689
ko:K00789	baml:BAM5036_2690
ko:K01610	baml:BAM5036_2692
ko:K00797	baml:BAM5036_3391
ko:K01821	baml:BAM5036_3397
ko:K06885	baml:BAM5036_3402
ko:K06314	baml:BAM5036_3403
ko:K16869	baml:BAM5036_3412
ko:K07552	baml:BAM5036_3425
ko:K02205	baml:BAM5036_3426
ko:K00260	baml:BAM5036_3429
ko:K01790	baml:BAM5036_3431
ko:K00067	baml:BAM5036_3432
ko:K00973	baml:BAM5036_3434
ko:K00604	baml:BAM5036_1492
ko:K03500	baml:BAM5036_1493
ko:K06941	baml:BAM5036_1494
ko:K06949	baml:BAM5036_1497
ko:K01783	baml:BAM5036_1498
ko:K02902	baml:BAM5036_1501
ko:K01752	baml:BAM5036_1504
ko:K01752	baml:BAM5036_1505
ko:K03655	baml:BAM5036_1506
ko:K03621	baml:BAM5036_1508
ko:K00645	baml:BAM5036_1509
ko:K02078	baml:BAM5036_1511
ko:K03685	baml:BAM5036_1512
ko:K03529	baml:BAM5036_1513
ko:K03110	baml:BAM5036_1514
ko:K03106	baml:BAM5036_1518
ko:K02959	baml:BAM5036_1519
ko:K06960	baml:BAM5036_1520
ko:K02860	baml:BAM5036_1522
ko:K00554	baml:BAM5036_1523
ko:K02884	baml:BAM5036_1524
ko:K14540	baml:BAM5036_1525
ko:K03470	baml:BAM5036_1526
ko:K01308	baml:BAM5036_2238
ko:K03315	baml:BAM5036_2241
ko:K02036	baml:BAM5036_2246
ko:K02036	baml:BAM5036_2247
ko:K02038	baml:BAM5036_2248
ko:K02037	baml:BAM5036_2249
ko:K02040	baml:BAM5036_2250
ko:K08222	baml:BAM5036_2252
ko:K04564	baml:BAM5036_2253
ko:K09793	baml:BAM5036_2254
ko:K05967	baml:BAM5036_2259
ko:K01151	baml:BAM5036_2263
ko:K03527	baml:BAM5036_2266
ko:K06967	baml:BAM5036_2268
ko:K03086	baml:BAM5036_2270
ko:K09768	baml:BAM5036_2272
ko:K09773	baml:BAM5036_2273
ko:K01879	baml:BAM5036_2275
ko:K01878	baml:BAM5036_2276
ko:K02020	baml:BAM5036_2963
ko:K02018	baml:BAM5036_2964
ko:K00381	baml:BAM5036_2973
ko:K03657	baml:BAM5036_2975
ko:K03611	baml:BAM5036_2978
ko:K01534	baml:BAM5036_2980
ko:K01118	baml:BAM5036_2985
ko:K03664	baml:BAM5036_3002
ko:K12573	baml:BAM5036_3004
ko:K03928	baml:BAM5036_3005
ko:K03075	baml:BAM5036_3006
ko:K04061	baml:BAM5036_1528
ko:K01903	baml:BAM5036_1529
ko:K01902	baml:BAM5036_1530
ko:K04096	baml:BAM5036_1531
ko:K03168	baml:BAM5036_1532
ko:K04094	baml:BAM5036_1533
ko:K03733	baml:BAM5036_1534
ko:K01419	baml:BAM5036_1535
ko:K03667	baml:BAM5036_1536
ko:K03706	baml:BAM5036_1537
ko:K02387	baml:BAM5036_1538
ko:K02388	baml:BAM5036_1539
ko:K02408	baml:BAM5036_1540
ko:K02409	baml:BAM5036_1541
ko:K02410	baml:BAM5036_1542
ko:K02411	baml:BAM5036_1543
ko:K02412	baml:BAM5036_1544
ko:K02413	baml:BAM5036_1545
ko:K02389	baml:BAM5036_1548
ko:K02390	baml:BAM5036_1549
ko:K02385	baml:BAM5036_1550
ko:K02415	baml:BAM5036_1551
ko:K02416	baml:BAM5036_1552
ko:K02417	baml:BAM5036_1553
ko:K03413	baml:BAM5036_1554
ko:K02418	baml:BAM5036_1555
ko:K02419	baml:BAM5036_1556
ko:K02420	baml:BAM5036_1557
ko:K02421	baml:BAM5036_1558
ko:K02401	baml:BAM5036_1559
ko:K02400	baml:BAM5036_1560
ko:K02404	baml:BAM5036_1561
ko:K04562	baml:BAM5036_1562
ko:K03412	baml:BAM5036_1563
ko:K03407	baml:BAM5036_1564
ko:K03408	baml:BAM5036_1565
ko:K03410	baml:BAM5036_1566
ko:K03411	baml:BAM5036_1567
ko:K02405	baml:BAM5036_1568
ko:K02967	baml:BAM5036_1570
ko:K02357	baml:BAM5036_1571
ko:K07502	baml:BAM5036_1963
ko:K05366	baml:BAM5036_1974
ko:K10773	baml:BAM5036_1976
ko:K01893	baml:BAM5036_1978
ko:K00812	baml:BAM5036_1979
ko:K01579	baml:BAM5036_1983
ko:K01918	baml:BAM5036_1984
ko:K00606	baml:BAM5036_1985
ko:K03524	baml:BAM5036_1986
ko:K01734	baml:BAM5036_1990
ko:K00215	baml:BAM5036_1991
ko:K03888	baml:BAM5036_1997
ko:K03887	baml:BAM5036_1998
ko:K00800	baml:BAM5036_2003
ko:K00817	baml:BAM5036_2005
ko:K04047	baml:BAM5036_2700
ko:K07173	baml:BAM5036_2703
ko:K01673	baml:BAM5036_2704
ko:K02909	baml:BAM5036_2705
ko:K00425	baml:BAM5036_2706
ko:K00426	baml:BAM5036_2707
ko:K01911	baml:BAM5036_2711
ko:K01661	baml:BAM5036_2712
ko:K02551	baml:BAM5036_2714
ko:K06305	baml:BAM5036_3442
ko:K03648	baml:BAM5036_3446
ko:K00868	baml:BAM5036_3449
ko:K01193	baml:BAM5036_3451
ko:K14647	baml:BAM5036_3454
ko:K05837	baml:BAM5036_3457
