ko:K03617	ecd:ECDH10B_1761
ko:K01524	ecd:ECDH10B_2668
ko:K08316	ecd:ECDH10B_3639
ko:K02914	ecd:ECDH10B_3889
ko:K08194	ecd:ECDH10B_3877
ko:K03671	ecd:ECDH10B_3970
ko:K03628	ecd:ECDH10B_3972
ko:K03299	ecd:ECDH10B_2908
ko:K05785	ecd:ECDH10B_4031
ko:K00537	ecd:ECDH10B_3679
ko:K03781	ecd:ECDH10B_1870
ko:K03561	ecd:ECDH10B_3182
ko:K07722	ecd:ECDH10B_3655
ko:K06223	ecd:ECDH10B_3562
ko:K02549	ecd:ECDH10B_2422
ko:K01915	ecd:ECDH10B_4060
ko:K02010	ecd:ECDH10B_0248
ko:K05396	ecd:ECDH10B_2060
ko:K02551	ecd:ECDH10B_2425
ko:K06193	ecd:ECDH10B_4300
ko:K03101	ecd:ECDH10B_0028
ko:K02108	ecd:ECDH10B_3925
ko:K07644	ecd:ECDH10B_0528
ko:K07637	ecd:ECDH10B_1201
ko:K07673	ecd:ECDH10B_1281
ko:K01963	ecd:ECDH10B_2478
ko:K06866	ecd:ECDH10B_2747
ko:K11250	ecd:ECDH10B_1936
ko:K09904	ecd:ECDH10B_2345
ko:K07014	ecd:ECDH10B_2346
ko:K07685	ecd:ECDH10B_2350
ko:K02199	ecd:ECDH10B_2352
ko:K02198	ecd:ECDH10B_2353
ko:K02197	ecd:ECDH10B_2354
ko:K08276	ecd:ECDH10B_2366
ko:K00116	ecd:ECDH10B_2367
ko:K02769	ecd:ECDH10B_2324
ko:K02770	ecd:ECDH10B_2324
ko:K00278	ecd:ECDH10B_2742
ko:K02781	ecd:ECDH10B_2872
ko:K02681	ecd:ECDH10B_2993
ko:K02680	ecd:ECDH10B_2995
ko:K02679	ecd:ECDH10B_2996
ko:K03609	ecd:ECDH10B_1228
ko:K04564	ecd:ECDH10B_1790
ko:K11249	ecd:ECDH10B_2746
ko:K03756	ecd:ECDH10B_0758
ko:K02752	ecd:ECDH10B_2883
ko:K02753	ecd:ECDH10B_2883
ko:K01925	ecd:ECDH10B_0070
ko:K02412	ecd:ECDH10B_2083
ko:K02115	ecd:ECDH10B_3920
ko:K02109	ecd:ECDH10B_3923
ko:K02790	ecd:ECDH10B_1754
ko:K02791	ecd:ECDH10B_1754
ko:K03703	ecd:ECDH10B_2054
ko:K09903	ecd:ECDH10B_0151
ko:K09980	ecd:ECDH10B_4376
ko:K03759	ecd:ECDH10B_4307
ko:K11191	ecd:ECDH10B_2594
ko:K11192	ecd:ECDH10B_2594
ko:K03614	ecd:ECDH10B_1764
ko:K01995	ecd:ECDH10B_3629
ko:K00656	ecd:ECDH10B_4139
ko:K02793	ecd:ECDH10B_1955
ko:K02794	ecd:ECDH10B_1955
ko:K03273	ecd:ECDH10B_0181
ko:K01580	ecd:ECDH10B_3694
ko:K01714	ecd:ECDH10B_2644
ko:K06219	ecd:ECDH10B_0991
ko:K03632	ecd:ECDH10B_0994
ko:K03618	ecd:ECDH10B_1047
ko:K03620	ecd:ECDH10B_1044
ko:K06969	ecd:ECDH10B_1037
ko:K07811	ecd:ECDH10B_1069
ko:K03675	ecd:ECDH10B_1135
ko:K02078	ecd:ECDH10B_1166
ko:K03723	ecd:ECDH10B_1186
ko:K03611	ecd:ECDH10B_1238
ko:K01664	ecd:ECDH10B_3536
ko:K00974	ecd:ECDH10B_3231
ko:K06181	ecd:ECDH10B_1207
ko:K03806	ecd:ECDH10B_0090
ko:K03807	ecd:ECDH10B_0091
ko:K06858	ecd:ECDH10B_0138
ko:K07657	ecd:ECDH10B_0355
ko:K07738	ecd:ECDH10B_0369
ko:K03151	ecd:ECDH10B_0379
ko:K05349	ecd:ECDH10B_2288
ko:K07154	ecd:ECDH10B_1638
ko:K05804	ecd:ECDH10B_4554
ko:K00230	ecd:ECDH10B_4039
ko:K02498	ecd:ECDH10B_3993
ko:K08484	ecd:ECDH10B_2999
ko:K02548	ecd:ECDH10B_4119
ko:K01689	ecd:ECDH10B_2946
ko:K03599	ecd:ECDH10B_3406
ko:K02931	ecd:ECDH10B_3483
ko:K02878	ecd:ECDH10B_3488
ko:K07636	ecd:ECDH10B_0356
ko:K05966	ecd:ECDH10B_0573
ko:K00878	ecd:ECDH10B_2257
ko:K05846	ecd:ECDH10B_2284
ko:K05846	ecd:ECDH10B_2286
ko:K03777	ecd:ECDH10B_2289
ko:K07262	ecd:ECDH10B_2290
ko:K05541	ecd:ECDH10B_2297
ko:K07148	ecd:ECDH10B_2309
ko:K01495	ecd:ECDH10B_2310
ko:K05367	ecd:ECDH10B_2685
ko:K07568	ecd:ECDH10B_0361
ko:K03658	ecd:ECDH10B_1032
ko:K05365	ecd:ECDH10B_0129
ko:K08303	ecd:ECDH10B_1565
ko:K03577	ecd:ECDH10B_0420
ko:K09790	ecd:ECDH10B_0424
ko:K00759	ecd:ECDH10B_0425
ko:K01772	ecd:ECDH10B_0431
ko:K00892	ecd:ECDH10B_0433
ko:K08223	ecd:ECDH10B_0435
ko:K01425	ecd:ECDH10B_0442
ko:K07340	ecd:ECDH10B_0445
ko:K02003	ecd:ECDH10B_0452
ko:K06917	ecd:ECDH10B_0459
ko:K02422	ecd:ECDH10B_2066
ko:K07112	ecd:ECDH10B_2070
ko:K03829	ecd:ECDH10B_2073
ko:K02408	ecd:ECDH10B_2079
ko:K02413	ecd:ECDH10B_2084
ko:K02415	ecd:ECDH10B_2086
ko:K02416	ecd:ECDH10B_2087
ko:K02418	ecd:ECDH10B_2089
ko:K07026	ecd:ECDH10B_2097
ko:K09781	ecd:ECDH10B_2100
ko:K06950	ecd:ECDH10B_2104
ko:K05523	ecd:ECDH10B_2110
ko:K07127	ecd:ECDH10B_2113
ko:K09933	ecd:ECDH10B_2119
ko:K07306	ecd:ECDH10B_0964
ko:K01739	ecd:ECDH10B_4128
ko:K02372	ecd:ECDH10B_0160
ko:K08309	ecd:ECDH10B_4550
ko:K20541	ecd:ECDH10B_3709
ko:K01783	ecd:ECDH10B_3561
ko:K06941	ecd:ECDH10B_2683
ko:K01996	ecd:ECDH10B_3628
ko:K07812	ecd:ECDH10B_2013
ko:K07821	ecd:ECDH10B_2014
ko:K02193	ecd:ECDH10B_2358
ko:K03117	ecd:ECDH10B_4028
ko:K03116	ecd:ECDH10B_4027
ko:K03594	ecd:ECDH10B_3511
ko:K02887	ecd:ECDH10B_1852
ko:K05799	ecd:ECDH10B_0093
ko:K00558	ecd:ECDH10B_2103
ko:K03667	ecd:ECDH10B_4120
ko:K02314	ecd:ECDH10B_4241
ko:K02996	ecd:ECDH10B_3407
ko:K02871	ecd:ECDH10B_3408
ko:K03179	ecd:ECDH10B_4229
ko:K01791	ecd:ECDH10B_3975
ko:K03610	ecd:ECDH10B_1229
ko:K03767	ecd:ECDH10B_3539
ko:K03615	ecd:ECDH10B_1763
ko:K07034	ecd:ECDH10B_0010
ko:K04043	ecd:ECDH10B_0014
ko:K03313	ecd:ECDH10B_0020
ko:K00163	ecd:ECDH10B_0094
ko:K07643	ecd:ECDH10B_4304
ko:K07771	ecd:ECDH10B_4305
ko:K02024	ecd:ECDH10B_4225
ko:K03686	ecd:ECDH10B_0015
ko:K03503	ecd:ECDH10B_1236
ko:K01790	ecd:ECDH10B_2188
ko:K00973	ecd:ECDH10B_2189
ko:K00067	ecd:ECDH10B_2190
ko:K00963	ecd:ECDH10B_2192
ko:K03771	ecd:ECDH10B_0054
ko:K06177	ecd:ECDH10B_0060
ko:K03925	ecd:ECDH10B_0063
ko:K03588	ecd:ECDH10B_0071
ko:K02535	ecd:ECDH10B_0078
ko:K02919	ecd:ECDH10B_0284
ko:K07455	ecd:ECDH10B_1319
ko:K03466	ecd:ECDH10B_0960
ko:K02484	ecd:ECDH10B_2111
ko:K02483	ecd:ECDH10B_2112
ko:K06178	ecd:ECDH10B_1384
ko:K03592	ecd:ECDH10B_4430
ko:K02356	ecd:ECDH10B_4340
ko:K01939	ecd:ECDH10B_4372
ko:K02315	ecd:ECDH10B_4517
ko:K03527	ecd:ECDH10B_0030
ko:K00215	ecd:ECDH10B_0032
ko:K06195	ecd:ECDH10B_0051
ko:K02460	ecd:ECDH10B_3507
ko:K08304	ecd:ECDH10B_2983
ko:K01661	ecd:ECDH10B_2423
ko:K03788	ecd:ECDH10B_4244
ko:K08997	ecd:ECDH10B_1842
ko:K02598	ecd:ECDH10B_3543
ko:K01785	ecd:ECDH10B_0823
ko:K06180	ecd:ECDH10B_2762
ko:K01515	ecd:ECDH10B_3208
ko:K08723	ecd:ECDH10B_4531
ko:K00324	ecd:ECDH10B_1736
ko:K08680	ecd:ECDH10B_2424
ko:K06179	ecd:ECDH10B_1157
ko:K02452	ecd:ECDH10B_3143
ko:K02462	ecd:ECDH10B_3145
ko:K02682	ecd:ECDH10B_0088
ko:K01488	ecd:ECDH10B_1756
ko:K11085	ecd:ECDH10B_0984
ko:K01933	ecd:ECDH10B_2665
ko:K01903	ecd:ECDH10B_0794
ko:K03655	ecd:ECDH10B_3834
ko:K02387	ecd:ECDH10B_1144
ko:K00848	ecd:ECDH10B_4094
ko:K01813	ecd:ECDH10B_4093
ko:K01914	ecd:ECDH10B_3932
ko:K03495	ecd:ECDH10B_3928
ko:K00362	ecd:ECDH10B_3541
ko:K00363	ecd:ECDH10B_3542
ko:K00548	ecd:ECDH10B_4208
ko:K02409	ecd:ECDH10B_2080
ko:K01241	ecd:ECDH10B_2126
ko:K02425	ecd:ECDH10B_2062
ko:K10975	ecd:ECDH10B_0467
ko:K02297	ecd:ECDH10B_0388
ko:K07675	ecd:ECDH10B_3851
ko:K07640	ecd:ECDH10B_4101
ko:K10914	ecd:ECDH10B_3533
ko:K03501	ecd:ECDH10B_3927
ko:K07677	ecd:ECDH10B_2376
ko:K07638	ecd:ECDH10B_3579
ko:K01270	ecd:ECDH10B_0219
ko:K01902	ecd:ECDH10B_0795
ko:K07710	ecd:ECDH10B_2377
ko:K03827	ecd:ECDH10B_4201
ko:K05881	ecd:ECDH10B_1251
ko:K05878	ecd:ECDH10B_1253
ko:K02170	ecd:ECDH10B_3587
ko:K02081	ecd:ECDH10B_3304
ko:K04772	ecd:ECDH10B_3411
ko:K03811	ecd:ECDH10B_0818
ko:K03735	ecd:ECDH10B_2606
ko:K02504	ecd:ECDH10B_0087
ko:K07458	ecd:ECDH10B_2102
ko:K03177	ecd:ECDH10B_3340
ko:K00631	ecd:ECDH10B_4230
ko:K00073	ecd:ECDH10B_0473
ko:K01466	ecd:ECDH10B_0468
ko:K02341	ecd:ECDH10B_1171
ko:K03608	ecd:ECDH10B_1227
ko:K03550	ecd:ECDH10B_2002
ko:K01159	ecd:ECDH10B_2004
ko:K08289	ecd:ECDH10B_1990
ko:K07173	ecd:ECDH10B_2854
ko:K02557	ecd:ECDH10B_2030
