ko:K05520	bmz:BM28_A1204
ko:K00031	bmz:BM28_A1206
ko:K01872	bmz:BM28_A1210
ko:K07478	bmz:BM28_A1215
ko:K02529	bmz:BM28_A2035
ko:K02340	bmz:BM28_A2041
ko:K03501	bmz:BM28_A2044
ko:K03495	bmz:BM28_A2045
ko:K03650	bmz:BM28_A2046
ko:K06888	bmz:BM28_A2047
ko:K06888	bmz:BM28_A2048
ko:K03628	bmz:BM28_A2049
ko:K08973	bmz:BM28_A2050
ko:K01599	bmz:BM28_A2051
ko:K09773	bmz:BM28_A2053
ko:K06287	bmz:BM28_A2054
ko:K00014	bmz:BM28_A2055
ko:K00859	bmz:BM28_A2056
ko:K03071	bmz:BM28_A2058
ko:K07113	bmz:BM28_A2059
ko:K08304	bmz:BM28_A2062
ko:K03667	bmz:BM28_A2066
ko:K01419	bmz:BM28_A2067
ko:K01693	bmz:BM28_A2068
ko:K02501	bmz:BM28_A2070
ko:K01915	bmz:BM28_B0733
ko:K00036	bmz:BM28_B0743
ko:K01057	bmz:BM28_B0744
ko:K01690	bmz:BM28_B0745
ko:K01491	bmz:BM28_B0746
ko:K00286	bmz:BM28_B0747
ko:K02034	bmz:BM28_B0752
ko:K01673	bmz:BM28_B0756
ko:K04566	bmz:BM28_B0758
ko:K10824	bmz:BM28_B0769
ko:K15587	bmz:BM28_B0770
ko:K15586	bmz:BM28_B0771
ko:K15585	bmz:BM28_B0772
ko:K15584	bmz:BM28_B0773
ko:K07722	bmz:BM28_B0774
ko:K02053	bmz:BM28_B0776
ko:K01812	bmz:BM28_B0781
ko:K01812	bmz:BM28_B0782
ko:K02387	bmz:BM28_B0147
ko:K02388	bmz:BM28_B0148
ko:K02408	bmz:BM28_B0149
ko:K02392	bmz:BM28_B0150
ko:K02386	bmz:BM28_B0151
ko:K02394	bmz:BM28_B0152
ko:K02393	bmz:BM28_B0154
ko:K02415	bmz:BM28_B0155
ko:K02419	bmz:BM28_B0156
ko:K01644	bmz:BM28_B0162
ko:K09794	bmz:BM28_B0170
ko:K00930	bmz:BM28_B1003
ko:K06966	bmz:BM28_B1005
ko:K06173	bmz:BM28_B1010
ko:K00604	bmz:BM28_B1011
ko:K01462	bmz:BM28_B1012
ko:K09760	bmz:BM28_B1013
ko:K07401	bmz:BM28_B1014
ko:K07461	bmz:BM28_B1015
ko:K03596	bmz:BM28_B1016
ko:K06153	bmz:BM28_B1019
ko:K07261	bmz:BM28_B1023
ko:K01734	bmz:BM28_B1024
ko:K00215	bmz:BM28_B1027
ko:K04719	bmz:BM28_B1030
ko:K00154	bmz:BM28_B1034
ko:K06131	bmz:BM28_B1037
ko:K02837	bmz:BM28_B1040
ko:K13038	bmz:BM28_B1041
ko:K03688	bmz:BM28_B1042
ko:K03183	bmz:BM28_B1043
ko:K00761	bmz:BM28_B1045
ko:K03745	bmz:BM28_B1046
ko:K03777	bmz:BM28_B1051
ko:K01628	bmz:BM28_B1054
ko:K02412	bmz:BM28_B0131
ko:K10773	bmz:BM28_A0176
ko:K06203	bmz:BM28_A0177
ko:K03687	bmz:BM28_A0181
ko:K03705	bmz:BM28_A0182
ko:K00989	bmz:BM28_A0184
ko:K07056	bmz:BM28_A0189
ko:K07460	bmz:BM28_A0190
ko:K02302	bmz:BM28_A0192
ko:K00381	bmz:BM28_A0194
ko:K00390	bmz:BM28_A0195
ko:K00957	bmz:BM28_A0204
ko:K00955	bmz:BM28_A0205
ko:K02444	bmz:BM28_A0209
ko:K00111	bmz:BM28_A0210
ko:K09959	bmz:BM28_A0214
ko:K02529	bmz:BM28_A0215
ko:K02313	bmz:BM28_A0001
ko:K02338	bmz:BM28_A0002
ko:K03629	bmz:BM28_A0003
ko:K12972	bmz:BM28_A0005
ko:K13896	bmz:BM28_A0006
ko:K13895	bmz:BM28_A0007
ko:K13894	bmz:BM28_A0008
ko:K13893	bmz:BM28_A0009
ko:K13893	bmz:BM28_A0010
ko:K01999	bmz:BM28_A0013
ko:K13766	bmz:BM28_A0015
ko:K01640	bmz:BM28_A0016
ko:K01968	bmz:BM28_A0017
ko:K01969	bmz:BM28_A0018
ko:K00800	bmz:BM28_A0026
ko:K00945	bmz:BM28_A0027
ko:K02945	bmz:BM28_A0029
ko:K06187	bmz:BM28_A0033
ko:K09747	bmz:BM28_A0034
ko:K02343	bmz:BM28_A0035
ko:K03426	bmz:BM28_A0037
ko:K00979	bmz:BM28_A0039
ko:K02297	bmz:BM28_A0043
ko:K02298	bmz:BM28_A0044
ko:K02299	bmz:BM28_A0045
ko:K02300	bmz:BM28_A0046
ko:K07278	bmz:BM28_A0048
ko:K09800	bmz:BM28_A0049
ko:K03118	bmz:BM28_A0891
ko:K01875	bmz:BM28_A0892
ko:K03787	bmz:BM28_A0893
ko:K00573	bmz:BM28_A0894
ko:K06923	bmz:BM28_A0898
ko:K03210	bmz:BM28_A0899
ko:K12257	bmz:BM28_A0901
ko:K02291	bmz:BM28_A0903
ko:K04094	bmz:BM28_A0904
ko:K03545	bmz:BM28_A0908
ko:K02434	bmz:BM28_A0909
ko:K00684	bmz:BM28_A0915
ko:K01961	bmz:BM28_A0916
ko:K02160	bmz:BM28_A0918
ko:K03707	bmz:BM28_A0222
ko:K15598	bmz:BM28_A0223
ko:K00788	bmz:BM28_A0224
ko:K03809	bmz:BM28_A1060
ko:K01754	bmz:BM28_A1061
ko:K11927	bmz:BM28_A1062
ko:K01738	bmz:BM28_A1063
ko:K03446	bmz:BM28_A1069
ko:K03543	bmz:BM28_A1070
ko:K14347	bmz:BM28_A1074
ko:K01868	bmz:BM28_A1081
ko:K08998	bmz:BM28_A1085
ko:K01495	bmz:BM28_A1087
