ko:K03597	eln:NRG857_12770
ko:K03088	eln:NRG857_12775
ko:K00278	eln:NRG857_12785
ko:K05590	eln:NRG857_12795
ko:K01061	eln:NRG857_14885
ko:K03561	eln:NRG857_14910
ko:K08325	eln:NRG857_14930
ko:K00655	eln:NRG857_14995
ko:K02621	eln:NRG857_15000
ko:K07471	eln:NRG857_15010
ko:K03923	eln:NRG857_15045
ko:K02016	eln:NRG857_15060
ko:K02015	eln:NRG857_15065
ko:K02015	eln:NRG857_15070
ko:K02013	eln:NRG857_15075
ko:K02622	eln:NRG857_15085
ko:K07000	eln:NRG857_15090
ko:K03651	eln:NRG857_15095
ko:K09920	eln:NRG857_15100
ko:K12340	eln:NRG857_15110
ko:K01939	eln:NRG857_21230
ko:K13771	eln:NRG857_21235
ko:K12573	eln:NRG857_21240
ko:K03218	eln:NRG857_21245
ko:K09980	eln:NRG857_21250
ko:K08989	eln:NRG857_21265
ko:K09456	eln:NRG857_21280
ko:K03477	eln:NRG857_21300
ko:K03078	eln:NRG857_21325
ko:K02990	eln:NRG857_21350
ko:K02686	eln:NRG857_21355
ko:K02963	eln:NRG857_21360
ko:K02939	eln:NRG857_21365
ko:K07154	eln:NRG857_21375
ko:K08191	eln:NRG857_21380
ko:K07269	eln:NRG857_21415
ko:K03773	eln:NRG857_21420
ko:K11737	eln:NRG857_21425
ko:K07322	eln:NRG857_21430
ko:K07109	eln:NRG857_21460
ko:K07278	eln:NRG857_21480
ko:K09800	eln:NRG857_21485
ko:K02317	eln:NRG857_22055
ko:K13255	eln:NRG857_22080
ko:K02344	eln:NRG857_22100
ko:K03789	eln:NRG857_22105
ko:K08723	eln:NRG857_22110
ko:K02837	eln:NRG857_22115
ko:K03424	eln:NRG857_22135
ko:K01839	eln:NRG857_22165
ko:K03800	eln:NRG857_22180
ko:K01079	eln:NRG857_22190
ko:K04485	eln:NRG857_22195
ko:K06211	eln:NRG857_22200
ko:K08309	eln:NRG857_22220
ko:K03720	eln:NRG857_22225
ko:K05804	eln:NRG857_22240
ko:K05805	eln:NRG857_22245
ko:K07663	eln:NRG857_22250
ko:K07641	eln:NRG857_22255
ko:K06143	eln:NRG857_22260
ko:K10110	eln:NRG857_20150
ko:K10109	eln:NRG857_20155
ko:K16053	eln:NRG857_02595
