ko:K00648	ahr:V428_05725
ko:K00652	ahr:V428_08510
ko:K02169	ahr:V428_08515
ko:K01935	ahr:V428_08520
ko:K03799	ahr:V428_08525
ko:K03406	ahr:V428_08530
ko:K07140	ahr:V428_08535
ko:K03737	ahr:V428_08545
ko:K07116	ahr:V428_08550
ko:K09794	ahr:V428_08560
ko:K09962	ahr:V428_08580
ko:K06975	ahr:V428_08585
ko:K12339	ahr:V428_08590
ko:K00154	ahr:V428_08615
ko:K04761	ahr:V428_08635
ko:K03386	ahr:V428_08640
ko:K15257	ahr:V428_08660
ko:K15256	ahr:V428_08665
ko:K01876	ahr:V428_08675
ko:K03760	ahr:V428_08685
ko:K02565	ahr:V428_08695
ko:K01443	ahr:V428_08700
ko:K02564	ahr:V428_08705
ko:K02803	ahr:V428_08710
ko:K02804	ahr:V428_08710
ko:K12373	ahr:V428_08715
ko:K01886	ahr:V428_08720
ko:K03711	ahr:V428_08725
ko:K03839	ahr:V428_08735
ko:K03645	ahr:V428_08755
ko:K01835	ahr:V428_08760
ko:K08305	ahr:V428_08775
ko:K05779	ahr:V428_08785
ko:K05778	ahr:V428_08790
ko:K01012	ahr:V428_08505
ko:K13069	ahr:V428_15105
ko:K01883	ahr:V428_15125
ko:K03768	ahr:V428_15130
ko:K03269	ahr:V428_15140
ko:K04015	ahr:V428_15145
ko:K04014	ahr:V428_15150
ko:K04013	ahr:V428_15155
ko:K03337	ahr:V428_15235
ko:K03335	ahr:V428_15240
ko:K03338	ahr:V428_15245
ko:K17209	ahr:V428_15255
ko:K17210	ahr:V428_15260
ko:K17208	ahr:V428_15265
ko:K00010	ahr:V428_15270
ko:K03336	ahr:V428_15280
ko:K00140	ahr:V428_15290
ko:K03703	ahr:V428_15355
ko:K07689	ahr:V428_15360
ko:K00979	ahr:V428_15365
ko:K09791	ahr:V428_15370
ko:K00912	ahr:V428_15375
ko:K11085	ahr:V428_15380
ko:K01118	ahr:V428_19665
ko:K11928	ahr:V428_19705
ko:K16053	ahr:V428_19715
ko:K00925	ahr:V428_19720
ko:K14588	ahr:V428_19735
ko:K01779	ahr:V428_19740
ko:K03308	ahr:V428_19780
ko:K03308	ahr:V428_19790
ko:K03719	ahr:V428_19820
ko:K07240	ahr:V428_19855
ko:K07305	ahr:V428_19860
ko:K00700	ahr:V428_19870
ko:K00705	ahr:V428_19875
ko:K00134	ahr:V428_19880
ko:K01792	ahr:V428_19885
ko:K03517	ahr:V428_19890
ko:K03406	ahr:V428_19895
ko:K03640	ahr:V428_19945
ko:K03641	ahr:V428_19950
ko:K03560	ahr:V428_19960
ko:K05777	ahr:V428_08795
ko:K03769	ahr:V428_08820
ko:K07278	ahr:V428_08830
ko:K09800	ahr:V428_08835
ko:K05809	ahr:V428_08855
ko:K08309	ahr:V428_08865
ko:K02529	ahr:V428_08870
ko:K10806	ahr:V428_08880
ko:K08307	ahr:V428_08895
ko:K01069	ahr:V428_08900
ko:K03469	ahr:V428_08910
ko:K02342	ahr:V428_08915
ko:K06445	ahr:V428_08935
ko:K03271	ahr:V428_08940
ko:K07157	ahr:V428_08970
ko:K07685	ahr:V428_08975
ko:K07674	ahr:V428_08980
ko:K03639	ahr:V428_08985
ko:K02572	ahr:V428_08990
ko:K02570	ahr:V428_08995
ko:K02567	ahr:V428_09005
ko:K02573	ahr:V428_09010
ko:K02574	ahr:V428_09015
ko:K02568	ahr:V428_09020
ko:K02569	ahr:V428_09025
ko:K03638	ahr:V428_09030
ko:K03637	ahr:V428_09035
ko:K03636	ahr:V428_09040
ko:K03635	ahr:V428_09045
ko:K02020	ahr:V428_09050
ko:K02018	ahr:V428_09055
ko:K02017	ahr:V428_09060
ko:K03750	ahr:V428_09075
