ko:K06878	sni:INV104_16470
ko:K02029	sni:INV104_05910
ko:K04567	sni:INV104_05930
ko:K00878	sni:INV104_05960
ko:K00788	sni:INV104_05970
ko:K03707	sni:INV104_06010
ko:K00878	sni:INV104_06030
ko:K10040	sni:INV104_05070
ko:K00788	sni:INV104_06040
ko:K00941	sni:INV104_06050
ko:K01223	sni:INV104_06110
ko:K01809	sni:INV104_06120
ko:K07007	sni:INV104_06140
ko:K00761	sni:INV104_06180
ko:K01358	sni:INV104_06190
ko:K01999	sni:INV104_06210
ko:K01997	sni:INV104_06220
ko:K01998	sni:INV104_06230
ko:K01995	sni:INV104_06240
ko:K01996	sni:INV104_06250
ko:K02836	sni:INV104_06270
ko:K09812	sni:INV104_06280
ko:K09811	sni:INV104_06290
ko:K00789	sni:INV104_06340
ko:K02340	sni:INV104_06360
ko:K04564	sni:INV104_06370
ko:K06941	sni:INV104_06390
ko:K01060	sni:INV104_14440
ko:K03655	sni:INV104_14450
ko:K01775	sni:INV104_14460
ko:K00997	sni:INV104_14470
ko:K01626	sni:INV104_14480
ko:K01626	sni:INV104_14490
ko:K03070	sni:INV104_14500
ko:K03977	sni:INV104_14560
ko:K07738	sni:INV104_14600
ko:K00847	sni:INV104_14670
ko:K01193	sni:INV104_14690
ko:K03484	sni:INV104_14700
ko:K01390	sni:INV104_09960
ko:K05366	sni:INV104_03170
ko:K07444	sni:INV104_03200
ko:K00009	sni:INV104_03420
ko:K03545	sni:INV104_03440
ko:K03581	sni:INV104_03450
ko:K03100	sni:INV104_03460
ko:K07456	sni:INV104_03500
ko:K03310	sni:INV104_03510
ko:K01875	sni:INV104_03540
ko:K00928	sni:INV104_03560
ko:K00648	sni:INV104_03590
ko:K02078	sni:INV104_03600
ko:K00645	sni:INV104_03620
ko:K09458	sni:INV104_03640
ko:K02160	sni:INV104_03650
ko:K02372	sni:INV104_03660
ko:K06969	sni:INV104_11740
ko:K01872	sni:INV104_11780
ko:K00075	sni:INV104_11840
ko:K01575	sni:INV104_11860
ko:K02039	sni:INV104_11890
ko:K02036	sni:INV104_11900
ko:K02036	sni:INV104_11910
ko:K02038	sni:INV104_11920
ko:K02037	sni:INV104_11930
ko:K02040	sni:INV104_11940
ko:K13292	sni:INV104_12050
ko:K02970	sni:INV104_12070
ko:K07568	sni:INV104_12090
ko:K00763	sni:INV104_12130
ko:K08303	sni:INV104_12190
ko:K01223	sni:INV104_04810
ko:K01889	sni:INV104_04820
ko:K01890	sni:INV104_04840
ko:K00549	sni:INV104_04880
ko:K00297	sni:INV104_04890
ko:K00962	sni:INV104_04900
ko:K00640	sni:INV104_04910
ko:K01883	sni:INV104_04930
ko:K11145	sni:INV104_04940
ko:K02003	sni:INV104_05000
ko:K01624	sni:INV104_05040
ko:K07462	sni:INV104_05100
ko:K03703	sni:INV104_05160
ko:K03311	sni:INV104_05240
ko:K02867	sni:INV104_05270
ko:K02863	sni:INV104_05280
ko:K15738	sni:INV104_13270
ko:K00215	sni:INV104_13290
ko:K03431	sni:INV104_13320
ko:K06958	sni:INV104_13380
ko:K03978	sni:INV104_13400
ko:K03544	sni:INV104_13410
ko:K04047	sni:INV104_13440
ko:K01803	sni:INV104_13460
ko:K00651	sni:INV104_13480
ko:K00759	sni:INV104_13490
ko:K03706	sni:INV104_13540
ko:K05592	sni:INV104_13550
ko:K01928	sni:INV104_13580
ko:K00868	sni:INV104_13650
ko:K06173	sni:INV104_13660
ko:K06193	sni:INV104_13690
ko:K00945	sni:INV104_13700
ko:K02760	sni:INV104_02100
ko:K02761	sni:INV104_02110
ko:K00656	sni:INV104_02120
ko:K00005	sni:INV104_02140
ko:K01869	sni:INV104_02150
ko:K03789	sni:INV104_01030
ko:K00012	sni:INV104_01140
ko:K02073	sni:INV104_01230
ko:K02071	sni:INV104_01250
ko:K02072	sni:INV104_01260
ko:K07718	sni:INV104_01290
ko:K01586	sni:INV104_01390
ko:K03572	sni:INV104_01420
ko:K00794	sni:INV104_01430
ko:K14652	sni:INV104_01440
ko:K00793	sni:INV104_01450
ko:K11752	sni:INV104_01460
ko:K03550	sni:INV104_01470
ko:K01246	sni:INV104_01480
ko:K03284	sni:INV104_01520
ko:K03701	sni:INV104_01530
ko:K00975	sni:INV104_09710
ko:K00975	sni:INV104_09720
ko:K00703	sni:INV104_09730
ko:K01079	sni:INV104_09740
ko:K01689	sni:INV104_09760
ko:K14540	sni:INV104_09970
ko:K03470	sni:INV104_09980
ko:K03800	sni:INV104_10010
ko:K00382	sni:INV104_10020
ko:K00627	sni:INV104_10030
ko:K00162	sni:INV104_10040
ko:K00161	sni:INV104_10050
ko:K03327	sni:INV104_10060
ko:K01465	sni:INV104_10070
ko:K03551	sni:INV104_02180
ko:K09962	sni:INV104_02190
ko:K00806	sni:INV104_02200
ko:K00981	sni:INV104_02210
ko:K11749	sni:INV104_02220
ko:K01881	sni:INV104_02230
ko:K00820	sni:INV104_02250
ko:K02950	sni:INV104_02290
ko:K02992	sni:INV104_02300
ko:K02355	sni:INV104_02310
ko:K03763	sni:INV104_02320
ko:K06901	sni:INV104_02440
ko:K00796	sni:INV104_02470
ko:K11754	sni:INV104_02480
ko:K01495	sni:INV104_02490
ko:K13940	sni:INV104_02500
ko:K02871	sni:INV104_02520
ko:K02996	sni:INV104_02530
ko:K01223	sni:INV104_02540
ko:K02761	sni:INV104_02570
ko:K00432	sni:INV104_02600
ko:K03529	sni:INV104_10730
ko:K03685	sni:INV104_10740
ko:K00364	sni:INV104_10750
ko:K01704	sni:INV104_10790
ko:K00052	sni:INV104_10810
ko:K09790	sni:INV104_10850
ko:K03168	sni:INV104_10860
ko:K04096	sni:INV104_10880
ko:K05352	sni:INV104_10920
ko:K01955	sni:INV104_10970
ko:K01956	sni:INV104_10980
ko:K00609	sni:INV104_10990
ko:K02825	sni:INV104_11000
ko:K10773	sni:INV104_11010
ko:K07040	sni:INV104_11020
ko:K03799	sni:INV104_11050
ko:K03744	sni:INV104_11060
ko:K03501	sni:INV104_11070
ko:K03106	sni:INV104_11090
ko:K06885	sni:INV104_11120
ko:K02884	sni:INV104_11150
ko:K06199	sni:INV104_11160
ko:K06199	sni:INV104_11170
ko:K02909	sni:INV104_11210
ko:K00611	sni:INV104_18550
ko:K00926	sni:INV104_18560
ko:K01818	sni:INV104_18620
ko:K02431	sni:INV104_18690
ko:K01628	sni:INV104_18700
ko:K00848	sni:INV104_18710
ko:K09816	sni:INV104_18740
ko:K09817	sni:INV104_18750
ko:K03740	sni:INV104_18770
ko:K14188	sni:INV104_18780
ko:K03739	sni:INV104_18790
ko:K03367	sni:INV104_18800
ko:K02440	sni:INV104_18860
ko:K00864	sni:INV104_18880
ko:K04083	sni:INV104_18900
ko:K03696	sni:INV104_18960
ko:K03648	sni:INV104_10090
ko:K03217	sni:INV104_17590
ko:K03536	sni:INV104_17600
ko:K00925	sni:INV104_17610
ko:K01443	sni:INV104_17720
ko:K00773	sni:INV104_17740
ko:K01304	sni:INV104_17760
ko:K08987	sni:INV104_17770
ko:K01733	sni:INV104_17820
ko:K01810	sni:INV104_17850
ko:K07010	sni:INV104_17860
ko:K03555	sni:INV104_17900
ko:K03402	sni:INV104_17910
ko:K01887	sni:INV104_17920
ko:K07636	sni:INV104_17950
ko:K03402	sni:INV104_07610
ko:K02337	sni:INV104_07630
ko:K00850	sni:INV104_07640
ko:K00873	sni:INV104_07650
ko:K07089	sni:INV104_07720
ko:K06959	sni:INV104_07730
ko:K02003	sni:INV104_07780
ko:K00797	sni:INV104_07840
ko:K13747	sni:INV104_07860
ko:K10536	sni:INV104_07870
ko:K12251	sni:INV104_07880
ko:K03101	sni:INV104_07920
ko:K06180	sni:INV104_07930
ko:K00931	sni:INV104_07950
ko:K00147	sni:INV104_07960
ko:K00286	sni:INV104_07970
ko:K00943	sni:INV104_07980
ko:K02341	sni:INV104_07990
ko:K07056	sni:INV104_08010
ko:K01142	sni:INV104_15830
ko:K03816	sni:INV104_15850
ko:K00965	sni:INV104_15910
ko:K00849	sni:INV104_15920
ko:K02529	sni:INV104_15930
ko:K03811	sni:INV104_15980
ko:K05847	sni:INV104_16000
ko:K02015	sni:INV104_16060
ko:K02015	sni:INV104_16070
ko:K02013	sni:INV104_16080
ko:K02016	sni:INV104_16090
ko:K08998	sni:INV104_16100
ko:K06178	sni:INV104_16110
ko:K06024	sni:INV104_16120
ko:K05896	sni:INV104_16130
ko:K07095	sni:INV104_16160
ko:K01776	sni:INV104_16180
ko:K15581	sni:INV104_16300
ko:K02313	sni:INV104_00010
ko:K02338	sni:INV104_00020
ko:K06942	sni:INV104_00040
ko:K01056	sni:INV104_00050
ko:K03723	sni:INV104_00060
ko:K04075	sni:INV104_00110
ko:K00760	sni:INV104_00120
ko:K03798	sni:INV104_00130
ko:K01939	sni:INV104_00170
ko:K04485	sni:INV104_00210
ko:K01673	sni:INV104_00220
ko:K00948	sni:INV104_00240
ko:K06929	sni:INV104_00270
ko:K03584	sni:INV104_00300
ko:K03621	sni:INV104_00310
ko:K02078	sni:INV104_00320
ko:K01923	sni:INV104_00370
ko:K01952	sni:INV104_00380
ko:K00764	sni:INV104_00390
ko:K01933	sni:INV104_00400
ko:K11175	sni:INV104_00410
ko:K00602	sni:INV104_00430
ko:K01945	sni:INV104_00440
ko:K01588	sni:INV104_00450
ko:K03100	sni:INV104_08700
ko:K08600	sni:INV104_08720
ko:K01772	sni:INV104_08740
ko:K03282	sni:INV104_08750
ko:K00133	sni:INV104_08780
ko:K01714	sni:INV104_08790
ko:K03650	sni:INV104_08800
ko:K01821	sni:INV104_08810
ko:K02835	sni:INV104_08830
ko:K02493	sni:INV104_08840
ko:K07566	sni:INV104_08850
ko:K00600	sni:INV104_08870
ko:K03215	sni:INV104_08910
ko:K02016	sni:INV104_08950
ko:K02015	sni:INV104_08960
ko:K02015	sni:INV104_08970
ko:K02013	sni:INV104_08980
ko:K06925	sni:INV104_16760
ko:K02003	sni:INV104_16810
ko:K00940	sni:INV104_16830
ko:K03046	sni:INV104_16840
ko:K03043	sni:INV104_16850
ko:K00790	sni:INV104_16890
ko:K00954	sni:INV104_16920
ko:K01914	sni:INV104_16940
ko:K06890	sni:INV104_16950
ko:K03437	sni:INV104_16960
ko:K01512	sni:INV104_16970
ko:K03217	sni:INV104_16980
ko:K04069	sni:INV104_16990
ko:K01586	sni:INV104_17000
ko:K09760	sni:INV104_17030
ko:K02528	sni:INV104_17070
ko:K02003	sni:INV104_17090
ko:K05985	sni:INV104_17120
ko:K03424	sni:INV104_17130
ko:K02914	sni:INV104_17150
ko:K01834	sni:INV104_14080
ko:K16511	sni:INV104_11580
ko:K16786	sni:INV104_05990
ko:K16787	sni:INV104_05990
ko:K01739	sni:INV104_12980
ko:K16509	sni:INV104_11980
ko:K03699	sni:INV104_16860
ko:K03713	sni:INV104_04270
ko:K07706	sni:INV104_04440
ko:K07052	sni:INV104_04550
ko:K07052	sni:INV104_04560
ko:K09155	sni:INV104_04700
ko:K07404	sni:INV104_12790
ko:K05362	sni:INV104_13020
ko:K15986	sni:INV104_13060
ko:K07570	sni:INV104_13090
ko:K03768	sni:INV104_13100
ko:K11209	sni:INV104_13240
ko:K16264	sni:INV104_15960
ko:K03488	sni:INV104_04790
ko:K02755	sni:INV104_04800
ko:K02756	sni:INV104_04800
ko:K02757	sni:INV104_04800
ko:K02004	sni:INV104_04990
ko:K02004	sni:INV104_05010
ko:K05363	sni:INV104_05130
ko:K12554	sni:INV104_05140
ko:K01990	sni:INV104_05310
ko:K00974	sni:INV104_13280
ko:K09762	sni:INV104_13360
ko:K02086	sni:INV104_13470
ko:K07009	sni:INV104_13590
ko:K03930	sni:INV104_05120
ko:K05337	sni:INV104_13720
ko:K01784	sni:INV104_13750
ko:K01992	sni:INV104_05320
ko:K03316	sni:INV104_05470
ko:K06196	sni:INV104_05490
ko:K03342	sni:INV104_05560
ko:K00845	sni:INV104_05590
ko:K00784	sni:INV104_05650
ko:K06183	sni:INV104_05700
ko:K02004	sni:INV104_05740
ko:K03709	sni:INV104_13920
ko:K07386	sni:INV104_13990
ko:K01639	sni:INV104_14270
ko:K00383	sni:INV104_06530
ko:K02005	sni:INV104_06540
ko:K02004	sni:INV104_06560
ko:K00059	sni:INV104_06620
ko:K14983	sni:INV104_06680
ko:K14982	sni:INV104_06690
ko:K06286	sni:INV104_06770
ko:K03697	sni:INV104_06800
ko:K03783	sni:INV104_06890
ko:K03784	sni:INV104_06910
ko:K00867	sni:INV104_06940
ko:K06948	sni:INV104_14920
ko:K12270	sni:INV104_15040
ko:K12269	sni:INV104_15050
ko:K12268	sni:INV104_15060
ko:K00841	sni:INV104_00290
ko:K06196	sni:INV104_08580
ko:K03294	sni:INV104_08600
ko:K09815	sni:INV104_08610
ko:K01258	sni:INV104_08670
ko:K15051	sni:INV104_16870
ko:K07177	sni:INV104_16910
ko:K09685	sni:INV104_17010
ko:K03698	sni:INV104_17020
ko:K00949	sni:INV104_17040
ko:K02004	sni:INV104_17100
ko:K00046	sni:INV104_02660
ko:K02744	sni:INV104_02670
ko:K02745	sni:INV104_02690
ko:K07729	sni:INV104_02780
ko:K12556	sni:INV104_02810
ko:K04086	sni:INV104_02830
ko:K01104	sni:INV104_02990
ko:K01788	sni:INV104_11320
ko:K07052	sni:INV104_11440
ko:K06147	sni:INV104_11530
ko:K04518	sni:INV104_11650
ko:K04517	sni:INV104_11690
ko:K02242	sni:INV104_19080
ko:K02240	sni:INV104_19090
ko:K00088	sni:INV104_19290
ko:K02035	sni:INV104_03150
ko:K03700	sni:INV104_03180
ko:K00033	sni:INV104_03220
ko:K00869	sni:INV104_03280
ko:K01597	sni:INV104_03290
ko:K00938	sni:INV104_03300
ko:K01823	sni:INV104_03310
ko:K11617	sni:INV104_03330
ko:K11618	sni:INV104_03340
ko:K02799	sni:INV104_03390
ko:K02800	sni:INV104_03390
ko:K02798	sni:INV104_03410
