ko:K00457	bcq:BCQ_0256
ko:K00451	bcq:BCQ_0258
ko:K01921	bcq:BCQ_0261
ko:K01929	bcq:BCQ_0262
ko:K05592	bcq:BCQ_0263
ko:K00997	bcq:BCQ_0266
ko:K01775	bcq:BCQ_0268
ko:K06959	bcq:BCQ_0271
ko:K07734	bcq:BCQ_3308
ko:K03453	bcq:BCQ_3310
ko:K01387	bcq:BCQ_3316
ko:K07507	bcq:BCQ_3317
ko:K07104	bcq:BCQ_3320
ko:K03704	bcq:BCQ_3330
ko:K07034	bcq:BCQ_3333
ko:K06976	bcq:BCQ_3342
ko:K01755	bcq:BCQ_3343
ko:K00059	bcq:BCQ_3349
ko:K09775	bcq:BCQ_3352
ko:K05786	bcq:BCQ_3353
ko:K01803	bcq:BCQ_4942
ko:K00927	bcq:BCQ_4943
ko:K00134	bcq:BCQ_4944
ko:K05311	bcq:BCQ_4945
ko:K03092	bcq:BCQ_4947
ko:K06405	bcq:BCQ_4967
ko:K06406	bcq:BCQ_4968
ko:K06407	bcq:BCQ_4969
ko:K01358	bcq:BCQ_4972
ko:K09762	bcq:BCQ_4974
ko:K08974	bcq:BCQ_4978
ko:K00384	bcq:BCQ_4979
ko:K06019	bcq:BCQ_4982
ko:K06023	bcq:BCQ_4984
ko:K08972	bcq:BCQ_4985
ko:K03701	bcq:BCQ_4988
ko:K03702	bcq:BCQ_4989
ko:K03095	bcq:BCQ_0272
ko:K06925	bcq:BCQ_0290
ko:K03789	bcq:BCQ_0292
ko:K01409	bcq:BCQ_0293
ko:K06158	bcq:BCQ_0294
ko:K01926	bcq:BCQ_0295
ko:K04078	bcq:BCQ_0297
ko:K04077	bcq:BCQ_0298
ko:K01951	bcq:BCQ_0299
ko:K06901	bcq:BCQ_0300
ko:K00375	bcq:BCQ_0324
ko:K01588	bcq:BCQ_0340
ko:K01589	bcq:BCQ_0341
ko:K01756	bcq:BCQ_0342
ko:K01923	bcq:BCQ_0343
ko:K01952	bcq:BCQ_0344
ko:K01952	bcq:BCQ_0345
ko:K01952	bcq:BCQ_0346
ko:K00764	bcq:BCQ_0347
ko:K01933	bcq:BCQ_0348
ko:K11175	bcq:BCQ_0349
ko:K03593	bcq:BCQ_3357
ko:K03635	bcq:BCQ_3359
ko:K03750	bcq:BCQ_3360
ko:K03639	bcq:BCQ_3363
ko:K02379	bcq:BCQ_3364
ko:K00123	bcq:BCQ_3367
ko:K02035	bcq:BCQ_3380
ko:K11103	bcq:BCQ_3381
ko:K03088	bcq:BCQ_3384
ko:K02621	bcq:BCQ_3390
ko:K02622	bcq:BCQ_3391
ko:K04068	bcq:BCQ_3395
ko:K08591	bcq:BCQ_3398
ko:K07107	bcq:BCQ_3400
ko:K02342	bcq:BCQ_3405
ko:K01681	bcq:BCQ_3408
ko:K03797	bcq:BCQ_5005
ko:K09811	bcq:BCQ_5006
ko:K09812	bcq:BCQ_5007
ko:K02836	bcq:BCQ_5009
ko:K03070	bcq:BCQ_5010
ko:K05808	bcq:BCQ_5011
ko:K03704	bcq:BCQ_5012
ko:K02240	bcq:BCQ_5014
ko:K00012	bcq:BCQ_5022
ko:K07240	bcq:BCQ_5029
ko:K03478	bcq:BCQ_5030
ko:K01222	bcq:BCQ_5031
ko:K02759	bcq:BCQ_5032
ko:K02761	bcq:BCQ_5033
ko:K02760	bcq:BCQ_5034
ko:K00797	bcq:BCQ_5035
ko:K01611	bcq:BCQ_5036
ko:K02759	bcq:BCQ_5039
ko:K02761	bcq:BCQ_5040
ko:K02760	bcq:BCQ_5041
ko:K00425	bcq:BCQ_5052
ko:K00426	bcq:BCQ_5053
ko:K03893	bcq:BCQ_5054
ko:K03147	bcq:BCQ_5055
ko:K03303	bcq:BCQ_5056
ko:K00824	bcq:BCQ_5062
ko:K01929	bcq:BCQ_2152
ko:K09759	bcq:BCQ_2153
ko:K03308	bcq:BCQ_2154
ko:K09962	bcq:BCQ_2156
ko:K01091	bcq:BCQ_2158
ko:K02519	bcq:BCQ_3597
ko:K07742	bcq:BCQ_3599
ko:K02600	bcq:BCQ_3600
ko:K09748	bcq:BCQ_3601
ko:K03763	bcq:BCQ_3602
ko:K01881	bcq:BCQ_3604
ko:K00099	bcq:BCQ_3606
ko:K00981	bcq:BCQ_3607
ko:K00806	bcq:BCQ_3608
ko:K02838	bcq:BCQ_3609
ko:K09903	bcq:BCQ_3610
ko:K02357	bcq:BCQ_3611
ko:K02967	bcq:BCQ_3612
ko:K03706	bcq:BCQ_3613
ko:K03667	bcq:BCQ_3614
ko:K01419	bcq:BCQ_3615
ko:K03733	bcq:BCQ_3616
ko:K04094	bcq:BCQ_3617
ko:K03168	bcq:BCQ_3618
ko:K04096	bcq:BCQ_3619
ko:K01902	bcq:BCQ_3620
ko:K01903	bcq:BCQ_3621
ko:K03470	bcq:BCQ_3622
ko:K03100	bcq:BCQ_3624
ko:K02884	bcq:BCQ_3625
ko:K00554	bcq:BCQ_3626
ko:K02860	bcq:BCQ_3627
ko:K06960	bcq:BCQ_3628
ko:K02959	bcq:BCQ_3629
ko:K03106	bcq:BCQ_3630
ko:K09787	bcq:BCQ_3631
ko:K03110	bcq:BCQ_3632
ko:K07180	bcq:BCQ_0616
ko:K09786	bcq:BCQ_0617
ko:K01387	bcq:BCQ_0620
ko:K03300	bcq:BCQ_0626
ko:K05816	bcq:BCQ_0632
ko:K05814	bcq:BCQ_0633
ko:K05815	bcq:BCQ_0634
ko:K07313	bcq:BCQ_0636
ko:K00027	bcq:BCQ_0645
ko:K00375	bcq:BCQ_0648
ko:K02379	bcq:BCQ_0654
ko:K00123	bcq:BCQ_0655
ko:K01126	bcq:BCQ_0657
ko:K00259	bcq:BCQ_0658
ko:K00763	bcq:BCQ_0662
ko:K01744	bcq:BCQ_0674
ko:K03303	bcq:BCQ_0676
ko:K00782	bcq:BCQ_1378
ko:K00023	bcq:BCQ_1389
ko:K03821	bcq:BCQ_1390
ko:K02012	bcq:BCQ_1395
ko:K02011	bcq:BCQ_1397
