ko:K01424	abal:ABLAC_33640
ko:K06173	abal:ABLAC_33650
ko:K02518	abal:ABLAC_33670
ko:K00052	abal:ABLAC_33700
ko:K01704	abal:ABLAC_33720
ko:K01703	abal:ABLAC_33730
ko:K08311	abal:ABLAC_33790
ko:K08484	abal:ABLAC_33800
ko:K03782	abal:ABLAC_33810
ko:K05817	abal:ABLAC_33830
ko:K00799	abal:ABLAC_33860
ko:K01091	abal:ABLAC_33880
ko:K06179	abal:ABLAC_33890
ko:K08300	abal:ABLAC_33910
ko:K13776	abal:ABLAC_33920
ko:K09936	abal:ABLAC_33960
ko:K03327	abal:ABLAC_33970
ko:K02909	abal:ABLAC_34010
ko:K06199	abal:ABLAC_34030
ko:K01113	abal:ABLAC_08220
ko:K01491	abal:ABLAC_08230
ko:K00864	abal:ABLAC_08270
ko:K00111	abal:ABLAC_08280
ko:K01596	abal:ABLAC_08290
ko:K04078	abal:ABLAC_08320
ko:K04077	abal:ABLAC_08330
ko:K00901	abal:ABLAC_08340
ko:K01126	abal:ABLAC_08360
ko:K03799	abal:ABLAC_08390
ko:K14058	abal:ABLAC_08410
ko:K04760	abal:ABLAC_08440
ko:K07124	abal:ABLAC_08500
ko:K16137	abal:ABLAC_08510
ko:K00865	abal:ABLAC_08520
ko:K02379	abal:ABLAC_08550
ko:K03473	abal:ABLAC_08580
ko:K04568	abal:ABLAC_08590
ko:K04485	abal:ABLAC_08610
ko:K03310	abal:ABLAC_08620
ko:K11737	abal:ABLAC_08630
ko:K01586	abal:ABLAC_08650
ko:K01778	abal:ABLAC_08660
ko:K03733	abal:ABLAC_08710
ko:K03521	abal:ABLAC_08720
ko:K03522	abal:ABLAC_08730
ko:K00116	abal:ABLAC_16920
ko:K02167	abal:ABLAC_16950
ko:K02168	abal:ABLAC_16960
ko:K02168	abal:ABLAC_16970
ko:K11103	abal:ABLAC_17020
ko:K11931	abal:ABLAC_17050
ko:K11936	abal:ABLAC_17060
ko:K03811	abal:ABLAC_17090
ko:K06989	abal:ABLAC_17220
ko:K01652	abal:ABLAC_17240
ko:K01462	abal:ABLAC_17280
ko:K01425	abal:ABLAC_17290
ko:K08223	abal:ABLAC_17310
ko:K08223	abal:ABLAC_17330
ko:K01785	abal:ABLAC_17340
ko:K00548	abal:ABLAC_17390
ko:K03306	abal:ABLAC_17410
ko:K01753	abal:ABLAC_17420
ko:K01130	abal:ABLAC_17470
ko:K01118	abal:ABLAC_25610
ko:K07240	abal:ABLAC_25620
ko:K03710	abal:ABLAC_25630
ko:K02051	abal:ABLAC_25660
ko:K02050	abal:ABLAC_25670
ko:K02049	abal:ABLAC_25680
ko:K02014	abal:ABLAC_25720
ko:K01744	abal:ABLAC_25730
ko:K00626	abal:ABLAC_25780
ko:K02106	abal:ABLAC_25790
ko:K01029	abal:ABLAC_25800
ko:K01028	abal:ABLAC_25810
ko:K17737	abal:ABLAC_25820
ko:K00019	abal:ABLAC_25850
ko:K08195	abal:ABLAC_25870
ko:K01061	abal:ABLAC_25890
ko:K11311	abal:ABLAC_25950
ko:K05600	abal:ABLAC_25960
ko:K02019	abal:ABLAC_25980
ko:K02020	abal:ABLAC_25990
ko:K02018	abal:ABLAC_26000
ko:K02017	abal:ABLAC_26010
ko:K00216	abal:ABLAC_26020
ko:K01081	abal:ABLAC_26050
ko:K00937	abal:ABLAC_26060
ko:K06135	abal:ABLAC_26070
ko:K06136	abal:ABLAC_26080
ko:K06137	abal:ABLAC_26090
ko:K06138	abal:ABLAC_26100
ko:K06139	abal:ABLAC_26110
ko:K01273	abal:ABLAC_26120
ko:K07007	abal:ABLAC_34050
ko:K09862	abal:ABLAC_34070
ko:K01772	abal:ABLAC_34090
ko:K01776	abal:ABLAC_34110
ko:K09986	abal:ABLAC_34120
ko:K00311	abal:ABLAC_34130
ko:K04085	abal:ABLAC_34150
ko:K06189	abal:ABLAC_34160
ko:K03820	abal:ABLAC_34170
ko:K06878	abal:ABLAC_34180
ko:K02456	abal:ABLAC_34200
ko:K02455	abal:ABLAC_34210
ko:K04066	abal:ABLAC_34220
ko:K11747	abal:ABLAC_34230
ko:K04083	abal:ABLAC_34240
ko:K05516	abal:ABLAC_34260
ko:K00962	abal:ABLAC_34290
ko:K02956	abal:ABLAC_34300
ko:K03581	abal:ABLAC_34330
ko:K03582	abal:ABLAC_34340
ko:K03583	abal:ABLAC_34350
ko:K03183	abal:ABLAC_34390
ko:K03690	abal:ABLAC_34400
ko:K03688	abal:ABLAC_34410
ko:K11755	abal:ABLAC_34430
ko:K05559	abal:ABLAC_34460
ko:K05560	abal:ABLAC_34470
ko:K05561	abal:ABLAC_34480
ko:K05562	abal:ABLAC_34490
ko:K05563	abal:ABLAC_34500
ko:K05564	abal:ABLAC_34510
ko:K02834	abal:ABLAC_34520
ko:K02519	abal:ABLAC_34530
ko:K02600	abal:ABLAC_34540
ko:K09748	abal:ABLAC_34550
ko:K02469	abal:ABLAC_08740
ko:K01992	abal:ABLAC_08800
ko:K01993	abal:ABLAC_08810
ko:K00831	abal:ABLAC_08830
ko:K09768	abal:ABLAC_08860
ko:K09808	abal:ABLAC_08880
ko:K09810	abal:ABLAC_08890
ko:K02238	abal:ABLAC_08900
ko:K02517	abal:ABLAC_08940
ko:K04773	abal:ABLAC_08950
ko:K11175	abal:ABLAC_08970
ko:K01933	abal:ABLAC_08980
ko:K10763	abal:ABLAC_09000
ko:K03088	abal:ABLAC_09060
ko:K03437	abal:ABLAC_09070
ko:K03841	abal:ABLAC_09080
ko:K03640	abal:ABLAC_09100
ko:K03641	abal:ABLAC_09110
ko:K03560	abal:ABLAC_09130
ko:K03562	abal:ABLAC_09140
ko:K07107	abal:ABLAC_09150
ko:K03551	abal:ABLAC_09170
ko:K03550	abal:ABLAC_09180
ko:K01129	abal:ABLAC_09190
ko:K01952	abal:ABLAC_09200
ko:K07552	abal:ABLAC_09210
ko:K07400	abal:ABLAC_17490
ko:K01673	abal:ABLAC_17530
ko:K10804	abal:ABLAC_17540
ko:K02003	abal:ABLAC_17550
ko:K02004	abal:ABLAC_17560
ko:K03814	abal:ABLAC_17580
ko:K00937	abal:ABLAC_17590
ko:K04761	abal:ABLAC_17610
ko:K05297	abal:ABLAC_17630
ko:K04567	abal:ABLAC_17680
ko:K00957	abal:ABLAC_17710
ko:K00956	abal:ABLAC_17720
ko:K09965	abal:ABLAC_17730
ko:K03300	abal:ABLAC_17750
ko:K01637	abal:ABLAC_17780
ko:K03190	abal:ABLAC_17820
ko:K01430	abal:ABLAC_17830
ko:K01429	abal:ABLAC_17840
ko:K01428	abal:ABLAC_17850
ko:K03187	abal:ABLAC_17860
ko:K03188	abal:ABLAC_17870
ko:K03189	abal:ABLAC_17880
ko:K03192	abal:ABLAC_17890
ko:K08316	abal:ABLAC_17900
ko:K05515	abal:ABLAC_17910
ko:K00939	abal:ABLAC_17940
ko:K10773	abal:ABLAC_17950
ko:K03616	abal:ABLAC_17960
ko:K00262	abal:ABLAC_17970
ko:K00783	abal:ABLAC_18000
ko:K01338	abal:ABLAC_18010
ko:K00121	abal:ABLAC_26270
ko:K07347	abal:ABLAC_26300
ko:K07345	abal:ABLAC_26320
ko:K18146	abal:ABLAC_26440
ko:K18145	abal:ABLAC_26450
ko:K07154	abal:ABLAC_26530
ko:K03543	abal:ABLAC_26630
ko:K03543	abal:ABLAC_26640
ko:K00297	abal:ABLAC_26660
ko:K03075	abal:ABLAC_34560
ko:K01803	abal:ABLAC_34570
ko:K02652	abal:ABLAC_34580
ko:K02653	abal:ABLAC_34590
ko:K02654	abal:ABLAC_34600
ko:K00859	abal:ABLAC_34610
ko:K03218	abal:ABLAC_34630
ko:K09913	abal:ABLAC_34640
ko:K03631	abal:ABLAC_34660
ko:K07735	abal:ABLAC_34670
ko:K07447	abal:ABLAC_34680
ko:K10778	abal:ABLAC_34740
ko:K00995	abal:ABLAC_34750
ko:K03703	abal:ABLAC_34770
ko:K01825	abal:ABLAC_34810
ko:K07002	abal:ABLAC_34850
ko:K04079	abal:ABLAC_34910
ko:K07275	abal:ABLAC_34930
ko:K07084	abal:ABLAC_34940
ko:K03046	abal:ABLAC_34990
ko:K03043	abal:ABLAC_35000
ko:K02935	abal:ABLAC_35010
ko:K02864	abal:ABLAC_35020
ko:K02863	abal:ABLAC_35030
ko:K02867	abal:ABLAC_35040
ko:K02601	abal:ABLAC_35050
ko:K03073	abal:ABLAC_35060
ko:K03564	abal:ABLAC_09270
ko:K06920	abal:ABLAC_09300
ko:K10026	abal:ABLAC_09310
ko:K00674	abal:ABLAC_09320
ko:K13635	abal:ABLAC_09340
ko:K02045	abal:ABLAC_09350
ko:K02047	abal:ABLAC_09360
ko:K02046	abal:ABLAC_09370
ko:K07002	abal:ABLAC_09390
ko:K02048	abal:ABLAC_09400
ko:K02619	abal:ABLAC_09410
ko:K07082	abal:ABLAC_09420
ko:K00943	abal:ABLAC_09430
ko:K00278	abal:ABLAC_09450
ko:K07107	abal:ABLAC_09470
ko:K03596	abal:ABLAC_09480
ko:K03100	abal:ABLAC_09490
ko:K03685	abal:ABLAC_09510
ko:K03595	abal:ABLAC_09520
ko:K03584	abal:ABLAC_09540
ko:K03474	abal:ABLAC_09550
ko:K06169	abal:ABLAC_09560
ko:K04045	abal:ABLAC_09620
ko:K00812	abal:ABLAC_09640
ko:K03702	abal:ABLAC_09680
ko:K03098	abal:ABLAC_09690
ko:K05786	abal:ABLAC_09700
ko:K00134	abal:ABLAC_09710
ko:K03979	abal:ABLAC_09740
ko:K00931	abal:ABLAC_09750
ko:K05540	abal:ABLAC_09780
ko:K00459	abal:ABLAC_09790
ko:K06076	abal:ABLAC_18040
ko:K02203	abal:ABLAC_18050
ko:K00390	abal:ABLAC_18060
ko:K01934	abal:ABLAC_18070
ko:K02014	abal:ABLAC_18260
ko:K03760	abal:ABLAC_18280
ko:K09895	abal:ABLAC_18330
ko:K01262	abal:ABLAC_18340
ko:K03185	abal:ABLAC_18350
ko:K06895	abal:ABLAC_18410
ko:K05596	abal:ABLAC_18420
ko:K07056	abal:ABLAC_18440
ko:K07460	abal:ABLAC_18460
ko:K03426	abal:ABLAC_18490
ko:K13893	abal:ABLAC_18530
ko:K13894	abal:ABLAC_18540
ko:K13895	abal:ABLAC_18550
ko:K13896	abal:ABLAC_18560
ko:K02014	abal:ABLAC_18580
ko:K00948	abal:ABLAC_26690
ko:K02013	abal:ABLAC_26730
ko:K02015	abal:ABLAC_26740
ko:K02016	abal:ABLAC_26750
ko:K03543	abal:ABLAC_26790
ko:K03710	abal:ABLAC_26820
ko:K03453	abal:ABLAC_26920
ko:K01897	abal:ABLAC_26930
ko:K03885	abal:ABLAC_27040
ko:K02358	abal:ABLAC_35070
ko:K01657	abal:ABLAC_35080
ko:K01091	abal:ABLAC_35090
ko:K02453	abal:ABLAC_35110
ko:K02452	abal:ABLAC_35120
ko:K02463	abal:ABLAC_35130
ko:K07107	abal:ABLAC_35150
ko:K01719	abal:ABLAC_35180
ko:K01749	abal:ABLAC_35190
ko:K08083	abal:ABLAC_35200
ko:K08082	abal:ABLAC_35210
ko:K01755	abal:ABLAC_35220
ko:K02039	abal:ABLAC_35240
ko:K12340	abal:ABLAC_35250
ko:K03298	abal:ABLAC_35260
ko:K03147	abal:ABLAC_35290
ko:K01515	abal:ABLAC_35300
ko:K03651	abal:ABLAC_35310
ko:K06204	abal:ABLAC_35320
ko:K01894	abal:ABLAC_35330
ko:K03588	abal:ABLAC_35340
ko:K01925	abal:ABLAC_35350
ko:K04759	abal:ABLAC_35370
ko:K04758	abal:ABLAC_35380
ko:K04763	abal:ABLAC_35390
ko:K03981	abal:ABLAC_35400
ko:K00003	abal:ABLAC_35410
ko:K01733	abal:ABLAC_35420
ko:K07262	abal:ABLAC_35430
ko:K02668	abal:ABLAC_35450
ko:K02667	abal:ABLAC_35460
ko:K03797	abal:ABLAC_35470
ko:K15633	abal:ABLAC_35480
ko:K11720	abal:ABLAC_35490
ko:K07091	abal:ABLAC_35500
ko:K01255	abal:ABLAC_35510
ko:K02339	abal:ABLAC_35520
ko:K02616	abal:ABLAC_07130
ko:K06153	abal:ABLAC_07140
ko:K05523	abal:ABLAC_07170
ko:K11734	abal:ABLAC_07210
ko:K00795	abal:ABLAC_07240
ko:K07340	abal:ABLAC_07270
ko:K07001	abal:ABLAC_07280
ko:K03760	abal:ABLAC_07320
ko:K07666	abal:ABLAC_07330
ko:K07645	abal:ABLAC_07340
ko:K03320	abal:ABLAC_07360
ko:K07088	abal:ABLAC_07380
ko:K01873	abal:ABLAC_07420
ko:K18139	abal:ABLAC_07510
ko:K18138	abal:ABLAC_07520
ko:K03585	abal:ABLAC_07530
ko:K02523	abal:ABLAC_07620
ko:K02888	abal:ABLAC_07630
ko:K02899	abal:ABLAC_07640
