ko:K01874	cmm:NC80_01500
ko:K03581	cmm:NC80_01505
ko:K01494	cmm:NC80_01535
ko:K03551	cmm:NC80_01540
ko:K01255	cmm:NC80_01565
ko:K02340	cmm:NC80_01575
ko:K07056	cmm:NC80_01580
ko:K00164	cmm:NC80_01610
ko:K00658	cmm:NC80_01615
ko:K05810	cmm:NC80_01620
ko:K03526	cmm:NC80_01625
ko:K02400	cmm:NC80_01645
ko:K02405	cmm:NC80_01650
ko:K01866	cmm:NC80_01655
ko:K00033	cmm:NC80_01660
ko:K06942	cmm:NC80_01810
ko:K11753	cmm:NC80_01815
ko:K03177	cmm:NC80_01820
ko:K02834	cmm:NC80_01825
ko:K02519	cmm:NC80_01830
ko:K02600	cmm:NC80_01835
ko:K02945	cmm:NC80_01840
ko:K00384	cmm:NC80_01845
ko:K00997	cmm:NC80_01850
ko:K00208	cmm:NC80_01870
ko:K06179	cmm:NC80_01880
ko:K03575	cmm:NC80_01885
ko:K04077	cmm:NC80_01900
ko:K04078	cmm:NC80_01905
ko:K08602	cmm:NC80_01910
ko:K03695	cmm:NC80_01915
ko:K03229	cmm:NC80_01805
ko:K06889	cmm:NC80_02105
ko:K02913	cmm:NC80_02115
ko:K09808	cmm:NC80_02120
ko:K09810	cmm:NC80_02125
ko:K01951	cmm:NC80_02185
ko:K00088	cmm:NC80_02190
ko:K02035	cmm:NC80_02205
ko:K03611	cmm:NC80_02215
ko:K02049	cmm:NC80_02235
ko:K00979	cmm:NC80_02255
ko:K01937	cmm:NC80_02260
ko:K07447	cmm:NC80_02265
ko:K00036	cmm:NC80_02270
ko:K01057	cmm:NC80_02275
ko:K02343	cmm:NC80_02280
ko:K00943	cmm:NC80_02285
ko:K02469	cmm:NC80_02290
ko:K02470	cmm:NC80_02295
ko:K00773	cmm:NC80_02310
ko:K06213	cmm:NC80_02315
ko:K01409	cmm:NC80_02330
ko:K15580	cmm:NC80_02335
ko:K15581	cmm:NC80_02340
ko:K15582	cmm:NC80_02345
ko:K10823	cmm:NC80_02350
ko:K15583	cmm:NC80_02355
ko:K03319	cmm:NC80_02365
ko:K00850	cmm:NC80_02370
ko:K06889	cmm:NC80_02375
ko:K00895	cmm:NC80_02380
ko:K02527	cmm:NC80_02395
ko:K01869	cmm:NC80_02400
ko:K01845	cmm:NC80_02405
ko:K07735	cmm:NC80_02410
ko:K08999	cmm:NC80_02415
ko:K01807	cmm:NC80_02420
ko:K03658	cmm:NC80_02450
ko:K03787	cmm:NC80_02455
ko:K03179	cmm:NC80_02460
ko:K03186	cmm:NC80_02465
ko:K02078	cmm:NC80_02555
ko:K00059	cmm:NC80_02560
ko:K00645	cmm:NC80_02565
ko:K00648	cmm:NC80_02570
ko:K06187	cmm:NC80_02575
ko:K07277	cmm:NC80_02580
ko:K06142	cmm:NC80_02585
ko:K02536	cmm:NC80_02590
ko:K00161	cmm:NC80_02600
ko:K00162	cmm:NC80_02605
ko:K00627	cmm:NC80_02610
ko:K00688	cmm:NC80_02615
ko:K02313	cmm:NC80_02625
ko:K03217	cmm:NC80_02630
ko:K07052	cmm:NC80_02645
ko:K04487	cmm:NC80_02665
ko:K03308	cmm:NC80_02530
ko:K02806	cmm:NC80_02830
ko:K02806	cmm:NC80_02835
ko:K01963	cmm:NC80_02845
ko:K04564	cmm:NC80_02850
ko:K01840	cmm:NC80_02855
ko:K03685	cmm:NC80_02865
ko:K04485	cmm:NC80_02870
ko:K01749	cmm:NC80_02875
ko:K01873	cmm:NC80_02895
ko:K02124	cmm:NC80_02905
ko:K02123	cmm:NC80_02910
ko:K02120	cmm:NC80_02915
ko:K02118	cmm:NC80_02920
ko:K02117	cmm:NC80_02925
ko:K02121	cmm:NC80_02935
ko:K00616	cmm:NC80_02950
ko:K03046	cmm:NC80_02955
ko:K03043	cmm:NC80_02960
ko:K11381	cmm:NC80_03115
ko:K03686	cmm:NC80_03120
ko:K02970	cmm:NC80_03125
ko:K01338	cmm:NC80_03135
ko:K00784	cmm:NC80_03145
ko:K03733	cmm:NC80_03150
ko:K06287	cmm:NC80_03160
ko:K03075	cmm:NC80_03175
ko:K01462	cmm:NC80_03180
ko:K02528	cmm:NC80_03185
ko:K06888	cmm:NC80_03195
ko:K03523	cmm:NC80_03215
ko:K01714	cmm:NC80_03225
ko:K00928	cmm:NC80_03230
ko:K00133	cmm:NC80_03235
ko:K00215	cmm:NC80_03240
ko:K00800	cmm:NC80_03250
ko:K01736	cmm:NC80_03260
ko:K01735	cmm:NC80_03265
ko:K13832	cmm:NC80_03270
ko:K03758	cmm:NC80_03290
ko:K00024	cmm:NC80_03300
ko:K01810	cmm:NC80_03305
ko:K03665	cmm:NC80_03310
ko:K06167	cmm:NC80_03315
ko:K09996	cmm:NC80_03320
ko:K03856	cmm:NC80_03325
ko:K06966	cmm:NC80_03360
ko:K09131	cmm:NC80_03365
ko:K10206	cmm:NC80_03375
ko:K01881	cmm:NC80_03390
ko:K00891	cmm:NC80_03255
ko:K03705	cmm:NC80_03395
ko:K03687	cmm:NC80_03400
ko:K04043	cmm:NC80_03405
ko:K12573	cmm:NC80_03410
ko:K07164	cmm:NC80_03415
ko:K06041	cmm:NC80_03420
ko:K00658	cmm:NC80_03425
ko:K00912	cmm:NC80_03435
ko:K03437	cmm:NC80_03440
ko:K06969	cmm:NC80_03445
ko:K00793	cmm:NC80_03450
ko:K07738	cmm:NC80_03455
ko:K06204	cmm:NC80_03460
ko:K03101	cmm:NC80_03465
ko:K03310	cmm:NC80_03470
ko:K00970	cmm:NC80_03475
ko:K00748	cmm:NC80_03480
ko:K09815	cmm:NC80_03505
ko:K09817	cmm:NC80_03510
ko:K09816	cmm:NC80_03515
ko:K03979	cmm:NC80_03520
