ko:K00626	sid:M164_0305
ko:K00526	sid:M164_0307
ko:K00059	sid:M164_0308
ko:K07048	sid:M164_0332
ko:K00483	sid:M164_0713
ko:K00261	sid:M164_0729
ko:K01895	sid:M164_0732
ko:K02616	sid:M164_0763
ko:K03552	sid:M164_1048
ko:K07301	sid:M164_1050
ko:K03592	sid:M164_1069
ko:K03568	sid:M164_1070
ko:K01478	sid:M164_1075
ko:K03389	sid:M164_1086
ko:K03390	sid:M164_1087
ko:K03388	sid:M164_1089
ko:K03389	sid:M164_1090
ko:K03390	sid:M164_1091
ko:K00382	sid:M164_1095
ko:K01012	sid:M164_1102
ko:K03517	sid:M164_1206
ko:K00278	sid:M164_1207
ko:K00767	sid:M164_1208
ko:K00703	sid:M164_1216
ko:K00873	sid:M164_1226
ko:K00389	sid:M164_1227
ko:K01807	sid:M164_1228
ko:K01649	sid:M164_1229
ko:K09903	sid:M164_1231
ko:K00059	sid:M164_1233
ko:K03106	sid:M164_1236
ko:K03609	sid:M164_0134
ko:K03265	sid:M164_0157
ko:K07101	sid:M164_0158
ko:K00772	sid:M164_0159
ko:K03263	sid:M164_1237
ko:K03167	sid:M164_1239
ko:K00809	sid:M164_1240
ko:K03724	sid:M164_1243
ko:K03170	sid:M164_1245
ko:K03622	sid:M164_1246
ko:K02435	sid:M164_1252
ko:K02433	sid:M164_1253
ko:K07732	sid:M164_1255
ko:K06953	sid:M164_1258
ko:K03120	sid:M164_1259
ko:K08975	sid:M164_1262
ko:K03147	sid:M164_0948
ko:K00053	sid:M164_0949
ko:K00261	sid:M164_0954
ko:K01790	sid:M164_0958
ko:K03284	sid:M164_0959
ko:K03800	sid:M164_1104
ko:K06929	sid:M164_1105
ko:K01681	sid:M164_1121
ko:K01040	sid:M164_1130
ko:K01039	sid:M164_1131
ko:K02003	sid:M164_1135
ko:K01679	sid:M164_1136
ko:K02019	sid:M164_1142
ko:K01589	sid:M164_1143
ko:K01588	sid:M164_1144
ko:K04795	sid:M164_1270
ko:K02983	sid:M164_1272
ko:K09482	sid:M164_1273
ko:K03330	sid:M164_1274
ko:K07108	sid:M164_1276
ko:K00525	sid:M164_1277
ko:K09014	sid:M164_1279
ko:K09013	sid:M164_1280
ko:K06869	sid:M164_1283
ko:K02437	sid:M164_1284
ko:K00605	sid:M164_1285
ko:K00282	sid:M164_1286
ko:K00283	sid:M164_1287
ko:K01689	sid:M164_1291
ko:K03168	sid:M164_1296
ko:K01873	sid:M164_1307
ko:K00812	sid:M164_1308
ko:K01609	sid:M164_1309
ko:K01658	sid:M164_1310
ko:K01657	sid:M164_1311
ko:K01817	sid:M164_1312
ko:K00766	sid:M164_1313
ko:K01695	sid:M164_1314
ko:K01512	sid:M164_1316
ko:K01858	sid:M164_1317
ko:K01007	sid:M164_1318
ko:K03124	sid:M164_1265
ko:K00555	sid:M164_1267
ko:K07728	sid:M164_1268
ko:K03182	sid:M164_1321
ko:K01733	sid:M164_1322
ko:K00928	sid:M164_1323
ko:K00133	sid:M164_1324
ko:K01887	sid:M164_1339
ko:K09721	sid:M164_1350
ko:K00943	sid:M164_1352
ko:K10726	sid:M164_1359
ko:K03637	sid:M164_1364
ko:K04800	sid:M164_1365
ko:K04801	sid:M164_1366
ko:K06910	sid:M164_1367
ko:K03433	sid:M164_1368
ko:K02433	sid:M164_1369
ko:K07041	sid:M164_1373
ko:K02922	sid:M164_1377
ko:K00797	sid:M164_1378
ko:K01251	sid:M164_1379
ko:K02889	sid:M164_1384
ko:K03051	sid:M164_1385
ko:K07572	sid:M164_1386
ko:K02528	sid:M164_1387
ko:K02984	sid:M164_1390
ko:K04042	sid:M164_1391
ko:K06942	sid:M164_1392
ko:K02877	sid:M164_1393
ko:K07581	sid:M164_1394
ko:K03432	sid:M164_1397
ko:K11600	sid:M164_1400
ko:K02921	sid:M164_1402
ko:K04798	sid:M164_1405
ko:K09154	sid:M164_1410
ko:K00052	sid:M164_1411
ko:K01870	sid:M164_1412
ko:K09142	sid:M164_1413
ko:K02906	sid:M164_1414
ko:K02930	sid:M164_1415
ko:K02892	sid:M164_1416
ko:K02886	sid:M164_1417
ko:K02965	sid:M164_1418
ko:K02890	sid:M164_1419
ko:K02982	sid:M164_1420
ko:K02904	sid:M164_1421
ko:K02961	sid:M164_1423
ko:K02874	sid:M164_1424
ko:K02895	sid:M164_1425
ko:K02987	sid:M164_1426
ko:K02931	sid:M164_1427
ko:K02954	sid:M164_1428
ko:K02994	sid:M164_1429
ko:K02933	sid:M164_1430
ko:K02912	sid:M164_1431
ko:K02885	sid:M164_1432
ko:K02881	sid:M164_1433
ko:K02988	sid:M164_1434
ko:K02907	sid:M164_1435
ko:K02876	sid:M164_1436
ko:K03076	sid:M164_1437
ko:K00939	sid:M164_1438
ko:K02915	sid:M164_1440
ko:K00945	sid:M164_1441
ko:K06974	sid:M164_1445
ko:K05844	sid:M164_0162
ko:K03718	sid:M164_0163
ko:K08979	sid:M164_0171
ko:K01101	sid:M164_0173
ko:K00239	sid:M164_0174
ko:K00240	sid:M164_0175
ko:K00241	sid:M164_0176
