ko:K00167	btm:MC28_3452
ko:K00166	btm:MC28_3453
ko:K00382	btm:MC28_3454
ko:K00263	btm:MC28_3456
ko:K01126	btm:MC28_3460
ko:K07699	btm:MC28_3464
ko:K06399	btm:MC28_3465
ko:K03631	btm:MC28_3466
ko:K03402	btm:MC28_3467
ko:K06442	btm:MC28_3468
ko:K01662	btm:MC28_3469
ko:K13789	btm:MC28_3470
ko:K03602	btm:MC28_3471
ko:K03601	btm:MC28_3472
ko:K01491	btm:MC28_3473
ko:K03625	btm:MC28_3474
ko:K01961	btm:MC28_3476
ko:K01874	btm:MC28_4300
ko:K06911	btm:MC28_4306
ko:K07228	btm:MC28_4311
ko:K03310	btm:MC28_4312
ko:K04047	btm:MC28_4313
ko:K06966	btm:MC28_4316
ko:K02217	btm:MC28_4318
ko:K07148	btm:MC28_4319
ko:K11535	btm:MC28_4320
ko:K03310	btm:MC28_4322
ko:K03310	btm:MC28_4323
ko:K03885	btm:MC28_4331
ko:K01866	btm:MC28_4332
ko:K00075	btm:MC28_4333
ko:K06199	btm:MC28_4337
ko:K06199	btm:MC28_4338
ko:K01881	btm:MC28_5120
ko:K05795	btm:MC28_5125
ko:K05795	btm:MC28_5126
ko:K07058	btm:MC28_5134
ko:K01534	btm:MC28_5135
ko:K03100	btm:MC28_5138
ko:K07300	btm:MC28_5144
ko:K01676	btm:MC28_5148
ko:K01247	btm:MC28_5150
ko:K00362	btm:MC28_F054
ko:K00259	btm:MC28_F062
ko:K02057	btm:MC28_0027
ko:K03611	btm:MC28_0035
ko:K03324	btm:MC28_0060
ko:K02759	btm:MC28_0067
ko:K02760	btm:MC28_0068
ko:K02761	btm:MC28_0069
ko:K02034	btm:MC28_0078
ko:K03311	btm:MC28_0079
ko:K06333	btm:MC28_0081
ko:K06332	btm:MC28_0082
ko:K02390	btm:MC28_0899
ko:K03415	btm:MC28_0902
ko:K02406	btm:MC28_0904
ko:K02406	btm:MC28_0905
ko:K02416	btm:MC28_0908
ko:K02417	btm:MC28_0909
ko:K02419	btm:MC28_0911
ko:K02420	btm:MC28_0912
ko:K02421	btm:MC28_0913
ko:K02401	btm:MC28_0914
ko:K02400	btm:MC28_0915
ko:K02404	btm:MC28_0916
ko:K02392	btm:MC28_0917
ko:K06425	btm:MC28_0926
ko:K02012	btm:MC28_0932
ko:K02011	btm:MC28_0933
ko:K01953	btm:MC28_0947
ko:K03088	btm:MC28_0948
ko:K16264	btm:MC28_0951
ko:K03100	btm:MC28_1840
ko:K01779	btm:MC28_1842
ko:K07697	btm:MC28_1847
ko:K13955	btm:MC28_1850
ko:K01126	btm:MC28_1868
ko:K08177	btm:MC28_1881
ko:K02338	btm:MC28_1884
ko:K15580	btm:MC28_2735
ko:K15580	btm:MC28_2736
ko:K15580	btm:MC28_2737
ko:K03088	btm:MC28_2741
ko:K02621	btm:MC28_2746
ko:K02622	btm:MC28_2747
ko:K08591	btm:MC28_2753
ko:K07107	btm:MC28_2755
ko:K06306	btm:MC28_2756
ko:K06431	btm:MC28_2757
ko:K01681	btm:MC28_2762
ko:K06432	btm:MC28_2763
ko:K06433	btm:MC28_2766
ko:K06335	btm:MC28_2767
ko:K03523	btm:MC28_2775
ko:K09773	btm:MC28_3587
ko:K03584	btm:MC28_3589
ko:K07042	btm:MC28_3594
ko:K07037	btm:MC28_3595
ko:K06438	btm:MC28_3597
ko:K09117	btm:MC28_3599
ko:K02970	btm:MC28_3600
ko:K09761	btm:MC28_3602
ko:K02687	btm:MC28_3603
ko:K03686	btm:MC28_3604
ko:K04043	btm:MC28_3605
ko:K03687	btm:MC28_3606
ko:K03705	btm:MC28_3607
ko:K03596	btm:MC28_3610
ko:K06012	btm:MC28_3612
ko:K02968	btm:MC28_3613
ko:K02340	btm:MC28_3614
ko:K02237	btm:MC28_3619
ko:K02239	btm:MC28_3620
ko:K09710	btm:MC28_3622
ko:K00969	btm:MC28_3624
ko:K07574	btm:MC28_3625
ko:K07015	btm:MC28_3628
ko:K06371	btm:MC28_3629
ko:K01613	btm:MC28_3630
ko:K03091	btm:MC28_3631
ko:K02913	btm:MC28_3634
ko:K02761	btm:MC28_4449
ko:K02760	btm:MC28_4450
ko:K01421	btm:MC28_4454
ko:K00425	btm:MC28_4458
ko:K00426	btm:MC28_4459
ko:K03893	btm:MC28_4460
ko:K03147	btm:MC28_4461
ko:K03303	btm:MC28_4462
ko:K00824	btm:MC28_4467
ko:K02250	btm:MC28_4483
ko:K02003	btm:MC28_4487
ko:K02445	btm:MC28_4489
ko:K02012	btm:MC28_4490
ko:K02472	btm:MC28_4501
ko:K03300	btm:MC28_5283
ko:K11614	btm:MC28_5299
ko:K11616	btm:MC28_5301
ko:K00375	btm:MC28_5305
ko:K02379	btm:MC28_5312
ko:K00123	btm:MC28_5313
ko:K01126	btm:MC28_5316
ko:K00259	btm:MC28_5317
ko:K01534	btm:MC28_5322
ko:K00763	btm:MC28_5323
ko:K11535	btm:MC28_5332
ko:K01744	btm:MC28_5335
ko:K03303	btm:MC28_5336
ko:K06425	btm:MC28_5338
ko:K01790	btm:MC28_F192
ko:K00067	btm:MC28_F194
ko:K02003	btm:MC28_F223
ko:K02003	btm:MC28_F229
ko:K01809	btm:MC28_F233
ko:K03402	btm:MC28_F236
ko:K01754	btm:MC28_F241
ko:K00259	btm:MC28_F242
ko:K01223	btm:MC28_0203
ko:K01118	btm:MC28_0220
ko:K03594	btm:MC28_0238
ko:K03407	btm:MC28_0241
ko:K15975	btm:MC28_0259
ko:K01752	btm:MC28_1088
ko:K03837	btm:MC28_1090
ko:K02003	btm:MC28_1092
ko:K06213	btm:MC28_1101
ko:K01118	btm:MC28_1118
ko:K03311	btm:MC28_1119
ko:K14166	btm:MC28_1121
ko:K03657	btm:MC28_2003
ko:K03654	btm:MC28_2005
ko:K03310	btm:MC28_2019
ko:K01714	btm:MC28_2021
ko:K03740	btm:MC28_2036
ko:K15580	btm:MC28_2037
ko:K11735	btm:MC28_2887
ko:K03530	btm:MC28_2892
ko:K15256	btm:MC28_2899
ko:K02013	btm:MC28_2901
ko:K02015	btm:MC28_2902
ko:K02015	btm:MC28_2903
ko:K02016	btm:MC28_2904
ko:K01142	btm:MC28_2905
ko:K13530	btm:MC28_2906
ko:K13531	btm:MC28_2907
ko:K01247	btm:MC28_2908
ko:K02563	btm:MC28_2916
ko:K03489	btm:MC28_2928
ko:K01223	btm:MC28_2929
ko:K01449	btm:MC28_2932
ko:K07137	btm:MC28_2933
ko:K03572	btm:MC28_2937
ko:K03555	btm:MC28_2938
ko:K06328	btm:MC28_2939
ko:K06168	btm:MC28_2941
ko:K03630	btm:MC28_3745
ko:K06287	btm:MC28_3746
ko:K11754	btm:MC28_3749
ko:K01873	btm:MC28_3750
ko:K06417	btm:MC28_3752
ko:K01845	btm:MC28_3753
ko:K01698	btm:MC28_3754
ko:K01749	btm:MC28_3756
ko:K02497	btm:MC28_3757
ko:K02492	btm:MC28_3758
ko:K03978	btm:MC28_3761
ko:K01338	btm:MC28_3762
ko:K03544	btm:MC28_3764
ko:K03545	btm:MC28_3765
ko:K07095	btm:MC28_3770
ko:K00989	btm:MC28_3772
ko:K01776	btm:MC28_3774
ko:K01994	btm:MC28_3779
ko:K06188	btm:MC28_3785
ko:K02557	btm:MC28_3790
ko:K02556	btm:MC28_3791
ko:K07107	btm:MC28_3793
ko:K00240	btm:MC28_3794
ko:K00239	btm:MC28_3795
ko:K01821	btm:MC28_4611
ko:K06885	btm:MC28_4612
ko:K02016	btm:MC28_4613
ko:K02013	btm:MC28_4614
ko:K02015	btm:MC28_4615
ko:K02015	btm:MC28_4616
ko:K06314	btm:MC28_4618
ko:K01449	btm:MC28_4623
ko:K06305	btm:MC28_4624
ko:K10716	btm:MC28_4627
ko:K03648	btm:MC28_4631
ko:K00003	btm:MC28_4637
ko:K00651	btm:MC28_4638
ko:K01740	btm:MC28_4639
ko:K01118	btm:MC28_4643
ko:K00868	btm:MC28_4646
ko:K06200	btm:MC28_4649
ko:K08369	btm:MC28_4651
ko:K05946	btm:MC28_4653
ko:K03088	btm:MC28_B63
ko:K00643	btm:MC28_G079
ko:K01442	btm:MC28_G097
ko:K04095	btm:MC28_G118
ko:K06180	btm:MC28_0522
ko:K11473	btm:MC28_0525
ko:K02647	btm:MC28_0527
ko:K00782	btm:MC28_0534
ko:K02598	btm:MC28_0537
ko:K00023	btm:MC28_0545
ko:K03821	btm:MC28_0546
ko:K03790	btm:MC28_1364
ko:K00675	btm:MC28_1369
ko:K06416	btm:MC28_1372
ko:K06950	btm:MC28_1374
ko:K15738	btm:MC28_1375
ko:K01887	btm:MC28_1385
ko:K01870	btm:MC28_1388
ko:K03308	btm:MC28_1394
ko:K09962	btm:MC28_1396
ko:K01091	btm:MC28_1398
ko:K01779	btm:MC28_1401
ko:K01091	btm:MC28_1407
ko:K01118	btm:MC28_1415
ko:K00655	btm:MC28_1416
ko:K11068	btm:MC28_1417
ko:K09932	btm:MC28_2302
ko:K01669	btm:MC28_2313
ko:K09822	btm:MC28_2315
ko:K06295	btm:MC28_2320
ko:K02548	btm:MC28_2322
ko:K01869	btm:MC28_4019
ko:K07228	btm:MC28_4022
ko:K07139	btm:MC28_4030
ko:K01779	btm:MC28_4034
ko:K16188	btm:MC28_4044
ko:K03752	btm:MC28_4049
ko:K03638	btm:MC28_4050
ko:K00789	btm:MC28_4053
ko:K01610	btm:MC28_4054
ko:K00865	btm:MC28_4864
ko:K01476	btm:MC28_4865
ko:K03431	btm:MC28_4869
ko:K00820	btm:MC28_4870
ko:K02071	btm:MC28_4877
ko:K02073	btm:MC28_4878
ko:K07552	btm:MC28_4884
ko:K15580	btm:MC28_4891
ko:K15580	btm:MC28_4894
ko:K00286	btm:MC28_4897
ko:K03811	btm:MC28_4898
ko:K05340	btm:MC28_4899
ko:K02020	btm:MC28_4901
ko:K07219	btm:MC28_4902
ko:K03424	btm:MC28_4911
ko:K07038	btm:MC28_D141
ko:K03839	btm:MC28_0612
ko:K03327	btm:MC28_0619
ko:K06153	btm:MC28_0620
ko:K00826	btm:MC28_0633
ko:K01652	btm:MC28_0634
ko:K01653	btm:MC28_0635
ko:K00053	btm:MC28_0636
ko:K01649	btm:MC28_0637
ko:K00052	btm:MC28_0638
ko:K01703	btm:MC28_0639
ko:K01704	btm:MC28_0640
ko:K02502	btm:MC28_0641
ko:K00765	btm:MC28_0642
ko:K00013	btm:MC28_0643
ko:K01693	btm:MC28_0644
ko:K02501	btm:MC28_0645
ko:K01814	btm:MC28_0646
ko:K02500	btm:MC28_0647
ko:K04486	btm:MC28_0650
ko:K01586	btm:MC28_0656
ko:K00390	btm:MC28_0658
ko:K00958	btm:MC28_0659
ko:K00860	btm:MC28_0660
ko:K01448	btm:MC28_1537
ko:K06304	btm:MC28_1548
ko:K05366	btm:MC28_1554
ko:K01647	btm:MC28_1557
ko:K01720	btm:MC28_1558
ko:K03547	btm:MC28_1567
ko:K08177	btm:MC28_1573
ko:K00216	btm:MC28_1574
ko:K02361	btm:MC28_1575
ko:K02363	btm:MC28_1576
ko:K01252	btm:MC28_1577
ko:K04780	btm:MC28_1578
ko:K06133	btm:MC28_1581
ko:K03530	btm:MC28_1583
ko:K03310	btm:MC28_1587
ko:K06182	btm:MC28_1590
ko:K01868	btm:MC28_1591
ko:K02003	btm:MC28_1592
ko:K01867	btm:MC28_2486
ko:K00099	btm:MC28_2487
ko:K01709	btm:MC28_2503
ko:K00019	btm:MC28_3322
ko:K08963	btm:MC28_3324
ko:K00899	btm:MC28_3325
ko:K08965	btm:MC28_3328
ko:K08966	btm:MC28_3329
ko:K08967	btm:MC28_3331
ko:K03480	btm:MC28_3343
ko:K03710	btm:MC28_3345
ko:K01443	btm:MC28_3347
ko:K06024	btm:MC28_3349
ko:K05896	btm:MC28_3350
ko:K02859	btm:MC28_3352
ko:K06408	btm:MC28_3356
ko:K06407	btm:MC28_3357
ko:K06407	btm:MC28_3358
ko:K06406	btm:MC28_3359
ko:K06405	btm:MC28_3360
ko:K06404	btm:MC28_3361
ko:K06403	btm:MC28_3362
ko:K03308	btm:MC28_3364
ko:K03091	btm:MC28_3365
ko:K06379	btm:MC28_3366
ko:K01880	btm:MC28_4183
ko:K03523	btm:MC28_4186
ko:K00963	btm:MC28_4187
ko:K01255	btm:MC28_4190
ko:K03885	btm:MC28_4194
ko:K01778	btm:MC28_4204
ko:K03885	btm:MC28_4206
ko:K02068	btm:MC28_4207
ko:K02069	btm:MC28_4208
ko:K06193	btm:MC28_4209
ko:K02003	btm:MC28_4221
ko:K01589	btm:MC28_5003
ko:K01756	btm:MC28_5004
ko:K01923	btm:MC28_5005
ko:K01952	btm:MC28_5006
ko:K01952	btm:MC28_5007
ko:K01952	btm:MC28_5008
ko:K00764	btm:MC28_5009
ko:K01933	btm:MC28_5011
ko:K11175	btm:MC28_5012
ko:K00602	btm:MC28_5013
ko:K01945	btm:MC28_5014
ko:K03657	btm:MC28_5020
ko:K01972	btm:MC28_5021
ko:K07090	btm:MC28_5023
ko:K02071	btm:MC28_5026
ko:K02073	btm:MC28_5028
ko:K02435	btm:MC28_5034
ko:K02434	btm:MC28_5036
ko:K01091	btm:MC28_5038
ko:K03215	btm:MC28_5048
ko:K07043	btm:MC28_5052
ko:K03315	btm:MC28_5056
ko:K14665	btm:MC28_5057
ko:K03387	btm:MC28_5059
ko:K14155	btm:MC28_E120
ko:K01738	btm:MC28_E121
ko:K00812	btm:MC28_0779
ko:K10773	btm:MC28_0781
ko:K05366	btm:MC28_0783
