ko:K02440	saub:C248_1333
ko:K00864	saub:C248_1334
ko:K00111	saub:C248_1335
ko:K00791	saub:C248_1337
ko:K03666	saub:C248_1338
ko:K00432	saub:C248_1339
ko:K03665	saub:C248_1340
ko:K01915	saub:C248_1343
ko:K01620	saub:C248_1354
ko:K06131	saub:C248_1356
ko:K00928	saub:C248_1361
ko:K00003	saub:C248_1363
ko:K01733	saub:C248_1364
ko:K00872	saub:C248_1365
ko:K03781	saub:C248_1370
ko:K02913	saub:C248_1371
ko:K02954	saub:C248_1372
ko:K00364	saub:C248_1373
ko:K01356	saub:C248_1375
ko:K00615	saub:C248_1378
ko:K03547	saub:C248_1381
ko:K11068	saub:C248_2206
ko:K07038	saub:C248_2208
ko:K02015	saub:C248_2212
ko:K02015	saub:C248_2213
ko:K02016	saub:C248_2214
ko:K02787	saub:C248_2228
ko:K02788	saub:C248_2228
ko:K12410	saub:C248_2236
ko:K01575	saub:C248_2249
ko:K07042	saub:C248_1613
ko:K02970	saub:C248_1618
ko:K09761	saub:C248_1620
ko:K02687	saub:C248_1621
ko:K03686	saub:C248_1622
ko:K04043	saub:C248_1623
ko:K03687	saub:C248_1624
ko:K03705	saub:C248_1625
ko:K03596	saub:C248_1627
ko:K02968	saub:C248_1628
ko:K02340	saub:C248_1629
ko:K02237	saub:C248_1632
ko:K09710	saub:C248_1634
ko:K00969	saub:C248_1636
ko:K07574	saub:C248_1637
ko:K00014	saub:C248_1638
ko:K07015	saub:C248_1640
ko:K07160	saub:C248_1647
ko:K01961	saub:C248_1648
ko:K01012	saub:C248_2473
ko:K00833	saub:C248_2474
ko:K01935	saub:C248_2475
ko:K00865	saub:C248_2481
ko:K11737	saub:C248_2487
ko:K00077	saub:C248_2493
ko:K08170	saub:C248_2494
ko:K05846	saub:C248_2495
ko:K05845	saub:C248_2496
ko:K05846	saub:C248_2497
ko:K05847	saub:C248_2498
ko:K02069	saub:C248_2504
ko:K02068	saub:C248_2505
ko:K10824	saub:C248_2513
ko:K15587	saub:C248_2514
ko:K15586	saub:C248_2515
ko:K15585	saub:C248_2516
ko:K15584	saub:C248_2517
ko:K01839	saub:C248_0128
ko:K02042	saub:C248_0129
ko:K02042	saub:C248_0130
ko:K02041	saub:C248_0131
ko:K02044	saub:C248_0132
ko:K04072	saub:C248_0137
ko:K13012	saub:C248_0150
ko:K02472	saub:C248_0152
ko:K09790	saub:C248_0155
ko:K16264	saub:C248_0158
ko:K08996	saub:C248_0170
ko:K00930	saub:C248_0171
ko:K00620	saub:C248_0172
ko:K00145	saub:C248_0173
ko:K03695	saub:C248_1001
ko:K00648	saub:C248_1006
ko:K09458	saub:C248_1007
ko:K15581	saub:C248_1009
ko:K15580	saub:C248_1013
ko:K15581	saub:C248_1014
ko:K01867	saub:C248_1019
ko:K16511	saub:C248_1021
ko:K08602	saub:C248_1023
ko:K06886	saub:C248_1025
ko:K00858	saub:C248_1029
ko:K06180	saub:C248_1030
ko:K06213	saub:C248_1031
ko:K00208	saub:C248_1034
ko:K03310	saub:C248_1037
ko:K02837	saub:C248_1043
ko:K07002	saub:C248_1871
ko:K00231	saub:C248_1873
ko:K01772	saub:C248_1874
ko:K01599	saub:C248_1875
ko:K02503	saub:C248_1879
ko:K06180	saub:C248_1893
ko:K03216	saub:C248_1899
ko:K11755	saub:C248_2741
ko:K02500	saub:C248_2742
ko:K01814	saub:C248_2743
ko:K02501	saub:C248_2744
ko:K01693	saub:C248_2745
ko:K00817	saub:C248_2746
ko:K00013	saub:C248_2747
ko:K00765	saub:C248_2748
