ko:K00931	snp:SPAP_0963
ko:K00147	snp:SPAP_0964
ko:K04094	snp:SPAP_0975
ko:K09903	snp:SPAP_0976
ko:K02838	snp:SPAP_0977
ko:K00243	snp:SPAP_0978
ko:K00259	snp:SPAP_0983
ko:K00259	snp:SPAP_0985
ko:K02237	snp:SPAP_0987
ko:K02520	snp:SPAP_0991
ko:K02916	snp:SPAP_0992
ko:K02887	snp:SPAP_0993
ko:K07042	snp:SPAP_0999
ko:K00859	snp:SPAP_1003
ko:K02913	snp:SPAP_1006
ko:K03075	snp:SPAP_1007
ko:K12573	snp:SPAP_1008
ko:K03664	snp:SPAP_1009
ko:K08602	snp:SPAP_1012
ko:K04042	snp:SPAP_1024
ko:K03648	snp:SPAP_1045
ko:K01465	snp:SPAP_1047
ko:K03327	snp:SPAP_1049
ko:K00161	snp:SPAP_1050
ko:K00162	snp:SPAP_1051
ko:K00627	snp:SPAP_1052
ko:K00382	snp:SPAP_1053
ko:K03800	snp:SPAP_1054
ko:K03470	snp:SPAP_1057
ko:K01689	snp:SPAP_1065
ko:K00865	snp:SPAP_1067
ko:K01079	snp:SPAP_1068
ko:K01079	snp:SPAP_1069
ko:K00703	snp:SPAP_1070
ko:K00975	snp:SPAP_1071
ko:K00975	snp:SPAP_1072
ko:K01972	snp:SPAP_1076
ko:K06158	snp:SPAP_1079
ko:K03530	snp:SPAP_1080
ko:K11753	snp:SPAP_1083
ko:K01926	snp:SPAP_1102
ko:K07010	snp:SPAP_1103
ko:K03630	snp:SPAP_1104
ko:K03657	snp:SPAP_1105
ko:K01265	snp:SPAP_1108
ko:K00790	snp:SPAP_1111
ko:K03979	snp:SPAP_1114
ko:K13678	snp:SPAP_1118
ko:K03086	snp:SPAP_1120
ko:K01595	snp:SPAP_1127
ko:K03588	snp:SPAP_1128
ko:K02013	snp:SPAP_1164
ko:K02015	snp:SPAP_1165
ko:K02015	snp:SPAP_1166
ko:K02016	snp:SPAP_1167
ko:K00600	snp:SPAP_1174
ko:K07566	snp:SPAP_1176
ko:K02493	snp:SPAP_1177
ko:K02835	snp:SPAP_1178
ko:K01821	snp:SPAP_1181
ko:K03650	snp:SPAP_1182
ko:K01714	snp:SPAP_1183
ko:K00133	snp:SPAP_1184
