ko:K07088	lmoq:LM6179_1143
ko:K13256	lmoq:LM6179_1148
ko:K06147	lmoq:LM6179_1149
ko:K07784	lmoq:LM6179_1150
ko:K09022	lmoq:LM6179_1156
ko:K02029	lmoq:LM6179_1159
ko:K02030	lmoq:LM6179_1159
ko:K02028	lmoq:LM6179_1160
ko:K01426	lmoq:LM6179_1161
ko:K01921	lmoq:LM6179_1167
ko:K01929	lmoq:LM6179_1168
ko:K02529	lmoq:LM6179_1170
ko:K02027	lmoq:LM6179_1171
ko:K02025	lmoq:LM6179_1172
ko:K02026	lmoq:LM6179_1173
ko:K01226	lmoq:LM6179_1174
ko:K01840	lmoq:LM6179_1177
ko:K05592	lmoq:LM6179_1178
ko:K03088	lmoq:LM6179_1947
ko:K04750	lmoq:LM6179_1977
ko:K03574	lmoq:LM6179_1982
ko:K03486	lmoq:LM6179_1990
ko:K01226	lmoq:LM6179_1991
ko:K02818	lmoq:LM6179_1992
ko:K02819	lmoq:LM6179_1992
ko:K00147	lmoq:LM6179_1996
ko:K00931	lmoq:LM6179_1997
ko:K00656	lmoq:LM6179_2686
ko:K07007	lmoq:LM6179_2687
ko:K06973	lmoq:LM6179_2688
ko:K00800	lmoq:LM6179_2692
ko:K04517	lmoq:LM6179_2693
ko:K00817	lmoq:LM6179_2694
ko:K06208	lmoq:LM6179_2695
ko:K01735	lmoq:LM6179_2696
ko:K01736	lmoq:LM6179_2697
ko:K00940	lmoq:LM6179_2698
ko:K00805	lmoq:LM6179_2699
ko:K03183	lmoq:LM6179_2700
ko:K00805	lmoq:LM6179_2701
ko:K01495	lmoq:LM6179_2702
ko:K03530	lmoq:LM6179_2703
ko:K01104	lmoq:LM6179_2705
ko:K00057	lmoq:LM6179_2706
ko:K03977	lmoq:LM6179_2707
ko:K02945	lmoq:LM6179_2708
ko:K00945	lmoq:LM6179_2709
ko:K01424	lmoq:LM6179_2710
ko:K03654	lmoq:LM6179_2712
ko:K05337	lmoq:LM6179_2714
ko:K07651	lmoq:LM6179_2717
ko:K07775	lmoq:LM6179_2718
ko:K06178	lmoq:LM6179_2719
ko:K06024	lmoq:LM6179_2720
ko:K05896	lmoq:LM6179_2721
ko:K01586	lmoq:LM6179_2722
ko:K03783	lmoq:LM6179_2723
ko:K01839	lmoq:LM6179_2724
ko:K04763	lmoq:LM6179_2725
ko:K03711	lmoq:LM6179_2726
ko:K02015	lmoq:LM6179_2727
ko:K02015	lmoq:LM6179_2728
ko:K02016	lmoq:LM6179_2729
ko:K02013	lmoq:LM6179_2730
ko:K07030	lmoq:LM6179_0895
ko:K00641	lmoq:LM6179_0899
ko:K01740	lmoq:LM6179_0900
ko:K03523	lmoq:LM6179_0903
ko:K10947	lmoq:LM6179_0904
ko:K06147	lmoq:LM6179_0913
ko:K06147	lmoq:LM6179_0914
ko:K01118	lmoq:LM6179_0918
ko:K03569	lmoq:LM6179_1678
ko:K02372	lmoq:LM6179_1679
ko:K05946	lmoq:LM6179_1682
ko:K02549	lmoq:LM6179_1683
ko:K02851	lmoq:LM6179_1684
ko:K07692	lmoq:LM6179_1688
ko:K02240	lmoq:LM6179_1691
ko:K02242	lmoq:LM6179_1692
ko:K03070	lmoq:LM6179_1694
ko:K02836	lmoq:LM6179_1695
ko:K09812	lmoq:LM6179_1697
ko:K09811	lmoq:LM6179_1698
ko:K06131	lmoq:LM6179_1701
ko:K07658	lmoq:LM6179_1703
ko:K07636	lmoq:LM6179_1704
ko:K02040	lmoq:LM6179_1705
ko:K02037	lmoq:LM6179_1706
ko:K02038	lmoq:LM6179_1707
ko:K02036	lmoq:LM6179_1708
ko:K02036	lmoq:LM6179_1709
ko:K02039	lmoq:LM6179_1710
ko:K07023	lmoq:LM6179_1713
ko:K03702	lmoq:LM6179_1715
ko:K03701	lmoq:LM6179_1716
ko:K08972	lmoq:LM6179_1720
ko:K06023	lmoq:LM6179_1721
ko:K13292	lmoq:LM6179_1722
ko:K06019	lmoq:LM6179_1723
ko:K00384	lmoq:LM6179_1726
ko:K01784	lmoq:LM6179_1727
ko:K01785	lmoq:LM6179_1728
ko:K01835	lmoq:LM6179_1729
ko:K14205	lmoq:LM6179_2452
ko:K03790	lmoq:LM6179_2455
ko:K07058	lmoq:LM6179_2464
ko:K01265	lmoq:LM6179_2467
ko:K03839	lmoq:LM6179_2468
ko:K03569	lmoq:LM6179_2472
