ko:K03060	sux:SAEMRSA15_10430
ko:K13038	sux:SAEMRSA15_10440
ko:K04066	sux:SAEMRSA15_10450
ko:K01462	sux:SAEMRSA15_10480
ko:K07058	sux:SAEMRSA15_17900
ko:K01265	sux:SAEMRSA15_17950
ko:K02217	sux:SAEMRSA15_18000
ko:K02346	sux:SAEMRSA15_18020
ko:K03215	sux:SAEMRSA15_18040
ko:K02434	sux:SAEMRSA15_18060
ko:K02435	sux:SAEMRSA15_18080
ko:K01972	sux:SAEMRSA15_18110
ko:K03657	sux:SAEMRSA15_18120
ko:K01756	sux:SAEMRSA15_18150
ko:K00763	sux:SAEMRSA15_18230
ko:K00491	sux:SAEMRSA15_18240
ko:K14445	sux:SAEMRSA15_18260
ko:K07146	sux:SAEMRSA15_25900
ko:K01304	sux:SAEMRSA15_25910
ko:K03319	sux:SAEMRSA15_25940
ko:K05786	sux:SAEMRSA15_25950
ko:K07241	sux:SAEMRSA15_25970
ko:K03501	sux:SAEMRSA15_26080
ko:K03495	sux:SAEMRSA15_26090
ko:K03650	sux:SAEMRSA15_26100
ko:K03536	sux:SAEMRSA15_26110
ko:K02914	sux:SAEMRSA15_26120
ko:K10681	sux:SAEMRSA15_06310
ko:K10682	sux:SAEMRSA15_06320
ko:K10026	sux:SAEMRSA15_06360
ko:K01737	sux:SAEMRSA15_06370
ko:K06920	sux:SAEMRSA15_06380
ko:K01665	sux:SAEMRSA15_06400
ko:K15738	sux:SAEMRSA15_06460
ko:K03654	sux:SAEMRSA15_06470
ko:K05847	sux:SAEMRSA15_06480
ko:K00817	sux:SAEMRSA15_06500
ko:K03305	sux:SAEMRSA15_06530
ko:K09457	sux:SAEMRSA15_06540
ko:K02015	sux:SAEMRSA15_06590
ko:K02015	sux:SAEMRSA15_06600
ko:K02013	sux:SAEMRSA15_06610
ko:K02016	sux:SAEMRSA15_06620
ko:K00075	sux:SAEMRSA15_06640
ko:K00865	sux:SAEMRSA15_06680
ko:K03070	sux:SAEMRSA15_06790
ko:K02836	sux:SAEMRSA15_06800
ko:K07023	sux:SAEMRSA15_06820
ko:K02913	sux:SAEMRSA15_14710
ko:K04564	sux:SAEMRSA15_14730
ko:K09816	sux:SAEMRSA15_14750
ko:K09817	sux:SAEMRSA15_14760
ko:K01151	sux:SAEMRSA15_14770
ko:K06967	sux:SAEMRSA15_14800
ko:K03086	sux:SAEMRSA15_14810
ko:K09773	sux:SAEMRSA15_14830
ko:K01880	sux:SAEMRSA15_14850
ko:K03584	sux:SAEMRSA15_14860
ko:K03595	sux:SAEMRSA15_14870
ko:K07042	sux:SAEMRSA15_14900
ko:K02970	sux:SAEMRSA15_14950
ko:K09761	sux:SAEMRSA15_14970
ko:K02687	sux:SAEMRSA15_14980
ko:K03686	sux:SAEMRSA15_14990
ko:K04043	sux:SAEMRSA15_15000
ko:K03687	sux:SAEMRSA15_15010
ko:K03705	sux:SAEMRSA15_15020
ko:K03596	sux:SAEMRSA15_15040
ko:K02968	sux:SAEMRSA15_15050
ko:K02340	sux:SAEMRSA15_15060
ko:K02237	sux:SAEMRSA15_15090
ko:K09710	sux:SAEMRSA15_15110
ko:K00969	sux:SAEMRSA15_15130
ko:K07574	sux:SAEMRSA15_15140
ko:K00014	sux:SAEMRSA15_15150
ko:K07015	sux:SAEMRSA15_15170
ko:K01468	sux:SAEMRSA15_22280
ko:K01712	sux:SAEMRSA15_22290
ko:K01807	sux:SAEMRSA15_22330
ko:K09771	sux:SAEMRSA15_22360
ko:K03652	sux:SAEMRSA15_22420
ko:K03312	sux:SAEMRSA15_22430
ko:K03284	sux:SAEMRSA15_22450
ko:K07107	sux:SAEMRSA15_22460
ko:K07552	sux:SAEMRSA15_22530
ko:K00116	sux:SAEMRSA15_22660
