ko:K02954	sss:SSUSC84_0079
ko:K02994	sss:SSUSC84_0081
ko:K02933	sss:SSUSC84_0084
ko:K02881	sss:SSUSC84_0085
ko:K02988	sss:SSUSC84_0086
ko:K02907	sss:SSUSC84_0087
ko:K02876	sss:SSUSC84_0088
ko:K03076	sss:SSUSC84_0089
ko:K00939	sss:SSUSC84_0090
ko:K02518	sss:SSUSC84_0091
ko:K02919	sss:SSUSC84_0092
ko:K02952	sss:SSUSC84_0093
ko:K02948	sss:SSUSC84_0094
ko:K03040	sss:SSUSC84_0095
ko:K02879	sss:SSUSC84_0096
ko:K09817	sss:SSUSC84_0108
ko:K09816	sss:SSUSC84_0109
ko:K09815	sss:SSUSC84_0110
ko:K01866	sss:SSUSC84_0115
ko:K03043	sss:SSUSC84_0117
ko:K03046	sss:SSUSC84_0118
ko:K02243	sss:SSUSC84_0121
ko:K02244	sss:SSUSC84_0122
ko:K02245	sss:SSUSC84_0123
ko:K08987	sss:SSUSC84_1018
ko:K00950	sss:SSUSC84_1024
ko:K01633	sss:SSUSC84_1025
ko:K00796	sss:SSUSC84_1026
ko:K01495	sss:SSUSC84_1027
ko:K01890	sss:SSUSC84_1033
ko:K01889	sss:SSUSC84_1035
ko:K01207	sss:SSUSC84_1037
ko:K01686	sss:SSUSC84_1040
ko:K01812	sss:SSUSC84_1041
ko:K01625	sss:SSUSC84_1042
ko:K01195	sss:SSUSC84_1044
ko:K00874	sss:SSUSC84_1045
ko:K00790	sss:SSUSC84_1049
ko:K02114	sss:SSUSC84_1051
ko:K02112	sss:SSUSC84_1052
ko:K02115	sss:SSUSC84_1053
ko:K02111	sss:SSUSC84_1054
ko:K02113	sss:SSUSC84_1055
ko:K02109	sss:SSUSC84_1056
ko:K02108	sss:SSUSC84_1057
ko:K02110	sss:SSUSC84_1058
ko:K01972	sss:SSUSC84_1060
ko:K07089	sss:SSUSC84_1061
ko:K00036	sss:SSUSC84_1063
ko:K03110	sss:SSUSC84_1066
ko:K03529	sss:SSUSC84_1069
ko:K03685	sss:SSUSC84_1070
ko:K07560	sss:SSUSC84_1899
ko:K09761	sss:SSUSC84_1911
ko:K02687	sss:SSUSC84_1912
ko:K07478	sss:SSUSC84_1916
ko:K04068	sss:SSUSC84_1917
ko:K03555	sss:SSUSC84_1926
ko:K03402	sss:SSUSC84_1927
ko:K01887	sss:SSUSC84_1928
ko:K00705	sss:SSUSC84_1932
ko:K07570	sss:SSUSC84_0375
ko:K01738	sss:SSUSC84_0376
ko:K02240	sss:SSUSC84_0378
ko:K05808	sss:SSUSC84_0380
ko:K03565	sss:SSUSC84_0382
ko:K07586	sss:SSUSC84_0383
ko:K03710	sss:SSUSC84_0385
ko:K12308	sss:SSUSC84_0387
ko:K02795	sss:SSUSC84_0389
ko:K02796	sss:SSUSC84_0390
ko:K02793	sss:SSUSC84_0391
ko:K01785	sss:SSUSC84_0392
ko:K01873	sss:SSUSC84_0397
ko:K01914	sss:SSUSC84_0405
ko:K06207	sss:SSUSC84_0406
ko:K03100	sss:SSUSC84_0409
ko:K01925	sss:SSUSC84_0414
ko:K02563	sss:SSUSC84_0415
ko:K03589	sss:SSUSC84_0416
ko:K03784	sss:SSUSC84_1296
ko:K03783	sss:SSUSC84_1297
ko:K01839	sss:SSUSC84_1299
ko:K01807	sss:SSUSC84_1300
ko:K01154	sss:SSUSC84_1302
ko:K03427	sss:SSUSC84_1303
ko:K01153	sss:SSUSC84_1304
ko:K03650	sss:SSUSC84_1305
ko:K03744	sss:SSUSC84_1309
ko:K07862	sss:SSUSC84_1314
ko:K03431	sss:SSUSC84_1320
ko:K01928	sss:SSUSC84_1323
ko:K00806	sss:SSUSC84_1778
ko:K03210	sss:SSUSC84_1779
ko:K01939	sss:SSUSC84_1780
ko:K01919	sss:SSUSC84_1781
ko:K04083	sss:SSUSC84_1783
ko:K03811	sss:SSUSC84_1786
ko:K03696	sss:SSUSC84_1788
ko:K03708	sss:SSUSC84_1789
ko:K02313	sss:SSUSC84_0001
ko:K02338	sss:SSUSC84_0002
ko:K06942	sss:SSUSC84_0006
ko:K01056	sss:SSUSC84_0007
ko:K03723	sss:SSUSC84_0008
ko:K04075	sss:SSUSC84_0013
ko:K00760	sss:SSUSC84_0014
ko:K03798	sss:SSUSC84_0015
ko:K12296	sss:SSUSC84_0016
ko:K06940	sss:SSUSC84_0904
ko:K06287	sss:SSUSC84_0905
ko:K01465	sss:SSUSC84_0907
ko:K03648	sss:SSUSC84_0908
ko:K00762	sss:SSUSC84_0910
ko:K01507	sss:SSUSC84_0911
ko:K01591	sss:SSUSC84_0912
ko:K00975	sss:SSUSC84_0916
ko:K00975	sss:SSUSC84_0917
ko:K00703	sss:SSUSC84_0918
ko:K00700	sss:SSUSC84_0919
ko:K03702	sss:SSUSC84_0927
ko:K01740	sss:SSUSC84_0932
ko:K01220	sss:SSUSC84_0936
ko:K02787	sss:SSUSC84_0937
ko:K02788	sss:SSUSC84_0937
ko:K01635	sss:SSUSC84_0940
ko:K02530	sss:SSUSC84_0945
ko:K03575	sss:SSUSC84_0952
ko:K06180	sss:SSUSC84_0957
ko:K02357	sss:SSUSC84_1792
ko:K02967	sss:SSUSC84_1793
ko:K02601	sss:SSUSC84_1796
ko:K03073	sss:SSUSC84_1797
ko:K02913	sss:SSUSC84_1798
ko:K06180	sss:SSUSC84_1801
ko:K09685	sss:SSUSC84_1802
ko:K03698	sss:SSUSC84_1804
ko:K09760	sss:SSUSC84_1805
ko:K01783	sss:SSUSC84_1807
ko:K06949	sss:SSUSC84_1808
ko:K02528	sss:SSUSC84_1815
ko:K05985	sss:SSUSC84_1823
ko:K03424	sss:SSUSC84_1824
ko:K02914	sss:SSUSC84_1825
ko:K06346	sss:SSUSC84_1826
ko:K03217	sss:SSUSC84_1827
ko:K03536	sss:SSUSC84_1828
ko:K01755	sss:SSUSC84_1829
ko:K01940	sss:SSUSC84_1830
