ko:K07320	xfm:Xfasm12_0721
ko:K01736	xfm:Xfasm12_0722
ko:K00133	xfm:Xfasm12_0724
ko:K01817	xfm:Xfasm12_0727
ko:K00946	xfm:Xfasm12_1903
ko:K03625	xfm:Xfasm12_1904
ko:K00793	xfm:Xfasm12_1907
ko:K07738	xfm:Xfasm12_1910
ko:K00600	xfm:Xfasm12_1912
ko:K00116	xfm:Xfasm12_1915
ko:K05810	xfm:Xfasm12_1917
ko:K05807	xfm:Xfasm12_1919
ko:K00773	xfm:Xfasm12_0191
ko:K03210	xfm:Xfasm12_0192
ko:K03072	xfm:Xfasm12_0193
ko:K03074	xfm:Xfasm12_0194
ko:K00950	xfm:Xfasm12_0196
ko:K00606	xfm:Xfasm12_0197
ko:K01918	xfm:Xfasm12_0198
ko:K01579	xfm:Xfasm12_0199
ko:K01810	xfm:Xfasm12_0200
ko:K09748	xfm:Xfasm12_0201
ko:K02519	xfm:Xfasm12_0203
ko:K09801	xfm:Xfasm12_1518
ko:K03664	xfm:Xfasm12_1520
ko:K03704	xfm:Xfasm12_1522
ko:K03215	xfm:Xfasm12_1527
ko:K01991	xfm:Xfasm12_1538
ko:K00052	xfm:Xfasm12_1539
ko:K00767	xfm:Xfasm12_1043
ko:K00278	xfm:Xfasm12_1044
ko:K03517	xfm:Xfasm12_1045
ko:K03424	xfm:Xfasm12_1052
ko:K03110	xfm:Xfasm12_1055
ko:K03575	xfm:Xfasm12_1056
ko:K00852	xfm:Xfasm12_1863
ko:K02314	xfm:Xfasm12_1867
ko:K03777	xfm:Xfasm12_1878
ko:K03611	xfm:Xfasm12_1882
ko:K02014	xfm:Xfasm12_1883
ko:K00783	xfm:Xfasm12_1884
ko:K01714	xfm:Xfasm12_1897
ko:K03567	xfm:Xfasm12_1898
ko:K03564	xfm:Xfasm12_1899
ko:K00831	xfm:Xfasm12_1498
ko:K03832	xfm:Xfasm12_1499
ko:K00287	xfm:Xfasm12_1503
ko:K00560	xfm:Xfasm12_1504
ko:K04043	xfm:Xfasm12_1512
ko:K03687	xfm:Xfasm12_1513
ko:K06186	xfm:Xfasm12_1517
ko:K03568	xfm:Xfasm12_0472
ko:K09889	xfm:Xfasm12_0473
ko:K02112	xfm:Xfasm12_0485
ko:K02113	xfm:Xfasm12_0488
ko:K02109	xfm:Xfasm12_0489
ko:K02669	xfm:Xfasm12_1253
ko:K02670	xfm:Xfasm12_1254
ko:K07283	xfm:Xfasm12_1257
ko:K01749	xfm:Xfasm12_1258
ko:K06999	xfm:Xfasm12_1261
ko:K03669	xfm:Xfasm12_1262
ko:K00847	xfm:Xfasm12_1272
ko:K02429	xfm:Xfasm12_1273
ko:K03745	xfm:Xfasm12_1275
ko:K00012	xfm:Xfasm12_1276
ko:K02518	xfm:Xfasm12_0788
ko:K00684	xfm:Xfasm12_0789
ko:K09919	xfm:Xfasm12_0790
ko:K00384	xfm:Xfasm12_0791
ko:K03634	xfm:Xfasm12_0795
ko:K07478	xfm:Xfasm12_0796
ko:K06199	xfm:Xfasm12_0797
ko:K00950	xfm:Xfasm12_0799
ko:K02193	xfm:Xfasm12_1617
ko:K02194	xfm:Xfasm12_1618
ko:K02195	xfm:Xfasm12_1619
ko:K02197	xfm:Xfasm12_1621
ko:K02198	xfm:Xfasm12_1622
ko:K02199	xfm:Xfasm12_1623
ko:K02200	xfm:Xfasm12_1624
ko:K02200	xfm:Xfasm12_1625
ko:K00641	xfm:Xfasm12_1627
ko:K02356	xfm:Xfasm12_1633
ko:K01935	xfm:Xfasm12_1637
ko:K02676	xfm:Xfasm12_1639
ko:K07082	xfm:Xfasm12_1641
ko:K01657	xfm:Xfasm12_1642
ko:K09458	xfm:Xfasm12_1643
ko:K02078	xfm:Xfasm12_1644
ko:K00645	xfm:Xfasm12_1646
ko:K06217	xfm:Xfasm12_1948
ko:K06189	xfm:Xfasm12_1951
ko:K03284	xfm:Xfasm12_1953
ko:K03722	xfm:Xfasm12_1967
ko:K02071	xfm:Xfasm12_1974
ko:K02072	xfm:Xfasm12_1975
ko:K02073	xfm:Xfasm12_1976
ko:K07275	xfm:Xfasm12_1977
ko:K07043	xfm:Xfasm12_0259
ko:K01803	xfm:Xfasm12_0267
ko:K02067	xfm:Xfasm12_0626
ko:K02065	xfm:Xfasm12_0627
ko:K02066	xfm:Xfasm12_0628
ko:K03111	xfm:Xfasm12_0633
ko:K06223	xfm:Xfasm12_0660
ko:K09803	xfm:Xfasm12_0665
ko:K03571	xfm:Xfasm12_0670
ko:K05837	xfm:Xfasm12_0672
ko:K07091	xfm:Xfasm12_0115
ko:K00797	xfm:Xfasm12_0120
ko:K01887	xfm:Xfasm12_0124
ko:K03630	xfm:Xfasm12_0125
ko:K03807	xfm:Xfasm12_0994
ko:K01945	xfm:Xfasm12_0997
ko:K03216	xfm:Xfasm12_1000
ko:K06940	xfm:Xfasm12_1008
ko:K03832	xfm:Xfasm12_1015
ko:K01920	xfm:Xfasm12_1016
ko:K02660	xfm:Xfasm12_1019
ko:K00764	xfm:Xfasm12_1023
ko:K03558	xfm:Xfasm12_1024
ko:K01284	xfm:Xfasm12_1028
ko:K00615	xfm:Xfasm12_1034
ko:K03501	xfm:Xfasm12_1035
ko:K03569	xfm:Xfasm12_0668
ko:K00567	xfm:Xfasm12_2168
ko:K06958	xfm:Xfasm12_0753
ko:K03316	xfm:Xfasm12_0957
ko:K00832	xfm:Xfasm12_0030
ko:K01895	xfm:Xfasm12_1451
