ko:K18100	bmaz:BM44_4002
ko:K18101	bmaz:BM44_4003
ko:K11735	bmaz:BM44_4058
ko:K00331	bmaz:BM44_4060
ko:K06942	bmaz:BM44_4062
ko:K03981	bmaz:BM44_4066
ko:K01118	bmaz:BM44_4068
ko:K03648	bmaz:BM44_4069
ko:K01609	bmaz:BM44_4071
ko:K00766	bmaz:BM44_4072
ko:K01658	bmaz:BM44_4073
ko:K01657	bmaz:BM44_4074
ko:K01091	bmaz:BM44_4075
ko:K01783	bmaz:BM44_4076
ko:K06195	bmaz:BM44_4077
ko:K08304	bmaz:BM44_4079
ko:K01912	bmaz:BM44_4080
ko:K02614	bmaz:BM44_4081
ko:K15866	bmaz:BM44_4082
ko:K01692	bmaz:BM44_4085
ko:K07243	bmaz:BM44_4096
ko:K07230	bmaz:BM44_4098
ko:K03702	bmaz:BM44_4099
ko:K00832	bmaz:BM44_4100
ko:K00019	bmaz:BM44_4102
ko:K07115	bmaz:BM44_4104
ko:K06153	bmaz:BM44_4109
ko:K01426	bmaz:BM44_4165
ko:K01761	bmaz:BM44_4167
ko:K00675	bmaz:BM44_4170
ko:K09957	bmaz:BM44_4171
ko:K03762	bmaz:BM44_4176
ko:K07044	bmaz:BM44_4178
ko:K15553	bmaz:BM44_4182
ko:K03823	bmaz:BM44_4184
ko:K03406	bmaz:BM44_4187
ko:K10716	bmaz:BM44_4192
ko:K01607	bmaz:BM44_4194
ko:K06194	bmaz:BM44_4201
ko:K17836	bmaz:BM44_4202
ko:K03566	bmaz:BM44_4203
ko:K02034	bmaz:BM44_4207
ko:K02033	bmaz:BM44_4208
ko:K02035	bmaz:BM44_4209
ko:K08641	bmaz:BM44_4210
ko:K11904	bmaz:BM44_4214
ko:K13611	bmaz:BM44_4273
ko:K14257	bmaz:BM44_4276
ko:K07168	bmaz:BM44_4280
ko:K07300	bmaz:BM44_4282
ko:K05595	bmaz:BM44_4283
ko:K07052	bmaz:BM44_4284
ko:K16165	bmaz:BM44_4285
ko:K03088	bmaz:BM44_4288
ko:K03088	bmaz:BM44_4293
ko:K07165	bmaz:BM44_4294
ko:K02014	bmaz:BM44_4295
ko:K10440	bmaz:BM44_4296
ko:K10440	bmaz:BM44_4297
ko:K10441	bmaz:BM44_4298
ko:K10439	bmaz:BM44_4299
ko:K07644	bmaz:BM44_4308
ko:K07665	bmaz:BM44_4309
ko:K15726	bmaz:BM44_4310
ko:K15727	bmaz:BM44_4311
ko:K15725	bmaz:BM44_4312
ko:K09129	bmaz:BM44_4315
ko:K03758	bmaz:BM44_4318
ko:K00059	bmaz:BM44_4375
ko:K08325	bmaz:BM44_4379
ko:K04780	bmaz:BM44_4386
ko:K03088	bmaz:BM44_4402
ko:K00231	bmaz:BM44_4406
ko:K01754	bmaz:BM44_4407
ko:K01754	bmaz:BM44_4411
ko:K13408	bmaz:BM44_4415
ko:K13409	bmaz:BM44_4417
ko:K12340	bmaz:BM44_4420
ko:K00681	bmaz:BM44_4421
ko:K03724	bmaz:BM44_4425
ko:K07112	bmaz:BM44_4478
ko:K07112	bmaz:BM44_4479
ko:K11717	bmaz:BM44_4483
ko:K00640	bmaz:BM44_4486
ko:K01322	bmaz:BM44_4488
ko:K03543	bmaz:BM44_4489
ko:K12990	bmaz:BM44_4491
ko:K18101	bmaz:BM44_4494
ko:K18100	bmaz:BM44_4495
ko:K02167	bmaz:BM44_4498
ko:K08369	bmaz:BM44_4503
ko:K07675	bmaz:BM44_4504
ko:K03704	bmaz:BM44_4512
ko:K01633	bmaz:BM44_4513
ko:K00305	bmaz:BM44_4514
ko:K00140	bmaz:BM44_4518
ko:K00822	bmaz:BM44_4519
ko:K00694	bmaz:BM44_4526
ko:K00666	bmaz:BM44_4530
ko:K01194	bmaz:BM44_4583
ko:K09927	bmaz:BM44_4585
ko:K01281	bmaz:BM44_4592
ko:K13633	bmaz:BM44_4599
ko:K07771	bmaz:BM44_4604
ko:K00799	bmaz:BM44_4609
ko:K07023	bmaz:BM44_4615
ko:K03569	bmaz:BM44_4617
ko:K07001	bmaz:BM44_4619
ko:K02484	bmaz:BM44_4620
ko:K01425	bmaz:BM44_4624
ko:K01968	bmaz:BM44_4632
ko:K13766	bmaz:BM44_4633
ko:K01969	bmaz:BM44_4634
