ko:K00821	eoi:ECO111_4169
ko:K13650	eoi:ECO111_0867
ko:K01916	eoi:ECO111_2251
ko:K03897	eoi:ECO111_1296
ko:K03896	eoi:ECO111_1294
ko:K08364	eoi:ECO111_p1-113
ko:K11005	eoi:ECO111_p3-02
ko:K02062	eoi:ECO111_0068
ko:K14054	eoi:ECO111_1711
ko:K11007	eoi:ECO111_2429
ko:K11007	eoi:ECO111_3362
ko:K14059	eoi:ECO111_2046
ko:K11139	eoi:ECO111_1510
ko:K01630	eoi:ECO111_3948
ko:K14065	eoi:ECO111_4746
ko:K14059	eoi:ECO111_1116
ko:K14059	eoi:ECO111_2453
ko:K10762	eoi:ECO111_2609
ko:K01782	eoi:ECO111_3088
ko:K01825	eoi:ECO111_4672
ko:K14059	eoi:ECO111_1731
ko:K14052	eoi:ECO111_1679
ko:K14053	eoi:ECO111_1704
ko:K14058	eoi:ECO111_1730
ko:K02315	eoi:ECO111_2437
ko:K06211	eoi:ECO111_5251
ko:K13628	eoi:ECO111_3252
ko:K02462	eoi:ECO111_3782
ko:K02814	eoi:ECO111_4836
ko:K02813	eoi:ECO111_4837
ko:K00632	eoi:ECO111_3089
ko:K13793	eoi:ECO111_1471
ko:K03719	eoi:ECO111_0957
ko:K12138	eoi:ECO111_3206
ko:K07749	eoi:ECO111_3110
ko:K02414	eoi:ECO111_2525
ko:K07782	eoi:ECO111_2496
ko:K16693	eoi:ECO111_4618
ko:K13069	eoi:ECO111_2297
ko:K04771	eoi:ECO111_0163
ko:K01487	eoi:ECO111_3621
ko:K04072	eoi:ECO111_1568
ko:K01355	eoi:ECO111_0586
ko:K11085	eoi:ECO111_0982
ko:K00666	eoi:ECO111_3804
ko:K00281	eoi:ECO111_3641
ko:K00885	eoi:ECO111_4042
ko:K00537	eoi:ECO111_3219
ko:K00537	eoi:ECO111_4312
ko:K00087	eoi:ECO111_3604
ko:K05794	eoi:ECO111_1258
ko:K13635	eoi:ECO111_2634
ko:K00568	eoi:ECO111_2984
ko:K06183	eoi:ECO111_2902
ko:K05539	eoi:ECO111_4923
ko:K01775	eoi:ECO111_4927
ko:K00832	eoi:ECO111_4928
ko:K03788	eoi:ECO111_4930
ko:K03701	eoi:ECO111_4933
ko:K06901	eoi:ECO111_4939
ko:K01895	eoi:ECO111_4945
ko:K02397	eoi:ECO111_0283
ko:K02406	eoi:ECO111_0286
