ko:K03559	cjz:M635_04895
ko:K03559	cjz:M635_03835
ko:K03559	cjz:M635_05230
ko:K02500	cjz:M635_02260
ko:K02501	cjz:M635_02265
ko:K00074	cjz:M635_02310
ko:K02406	cjz:M635_02380
ko:K02406	cjz:M635_02385
ko:K02456	cjz:M635_02405
ko:K00099	cjz:M635_02425
ko:K00981	cjz:M635_02430
ko:K03752	cjz:M635_02445
ko:K01058	cjz:M635_02450
ko:K02015	cjz:M635_02455
ko:K02015	cjz:M635_02460
ko:K02013	cjz:M635_02465
ko:K02016	cjz:M635_02470
ko:K03385	cjz:M635_02485
ko:K15876	cjz:M635_02490
ko:K00937	cjz:M635_02495
ko:K03407	cjz:M635_02505
ko:K06940	cjz:M635_06840
ko:K01609	cjz:M635_06850
ko:K06917	cjz:M635_06860
ko:K03320	cjz:M635_06870
ko:K01772	cjz:M635_06880
ko:K13017	cjz:M635_06890
ko:K01872	cjz:M635_06895
ko:K06287	cjz:M635_06900
ko:K03695	cjz:M635_06910
ko:K02484	cjz:M635_01800
ko:K02484	cjz:M635_01825
ko:K02484	cjz:M635_02000
ko:K14221	cjz:M635_00165
ko:K14221	cjz:M635_00185
ko:K14224	cjz:M635_05175
ko:K14233	cjz:M635_04275
ko:K14238	cjz:M635_03185
ko:K14225	cjz:M635_06695
ko:K01977	cjz:M635_08030
ko:K14219	cjz:M635_06825
ko:K01265	cjz:M635_03945
ko:K01776	cjz:M635_03950
ko:K03313	cjz:M635_03960
ko:K03313	cjz:M635_03965
ko:K07243	cjz:M635_03980
ko:K07230	cjz:M635_03985
ko:K02003	cjz:M635_04005
ko:K01689	cjz:M635_04070
ko:K02420	cjz:M635_04085
ko:K00075	cjz:M635_04090
ko:K01647	cjz:M635_04110
ko:K01012	cjz:M635_04120
ko:K03168	cjz:M635_04125
ko:K03076	cjz:M635_04135
ko:K02876	cjz:M635_04140
ko:K02988	cjz:M635_04145
ko:K02881	cjz:M635_04150
ko:K02933	cjz:M635_04155
ko:K02994	cjz:M635_04160
ko:K02954	cjz:M635_04165
ko:K02931	cjz:M635_04170
ko:K02895	cjz:M635_04175
ko:K02963	cjz:M635_01065
ko:K01338	cjz:M635_01070
ko:K05807	cjz:M635_01075
ko:K13626	cjz:M635_01080
ko:K00286	cjz:M635_01085
ko:K00788	cjz:M635_01110
ko:K00941	cjz:M635_01115
ko:K06923	cjz:M635_01125
ko:K03723	cjz:M635_01130
ko:K11754	cjz:M635_01145
ko:K01869	cjz:M635_01160
ko:K03074	cjz:M635_01165
ko:K03072	cjz:M635_01170
ko:K03210	cjz:M635_01175
ko:K03820	cjz:M635_01180
ko:K00789	cjz:M635_01185
ko:K07862	cjz:M635_01190
ko:K00609	cjz:M635_01195
