ko:K13498	kpnu:LI86_15700
ko:K01696	kpnu:LI86_15705
ko:K01695	kpnu:LI86_15710
ko:K07246	kpnu:LI86_15720
ko:K13021	kpnu:LI86_15725
ko:K16090	kpnu:LI86_15755
ko:K07275	kpnu:LI86_15765
ko:K06940	kpnu:LI86_15770
ko:K06190	kpnu:LI86_15780
ko:K10806	kpnu:LI86_15790
ko:K07038	kpnu:LI86_15810
ko:K06956	kpnu:LI86_15815
ko:K15722	kpnu:LI86_15820
ko:K03781	kpnu:LI86_15825
ko:K03478	kpnu:LI86_15830
ko:K01222	kpnu:LI86_15835
ko:K03490	kpnu:LI86_15840
ko:K02759	kpnu:LI86_15845
ko:K02761	kpnu:LI86_15850
ko:K02760	kpnu:LI86_15860
ko:K04064	kpnu:LI86_15865
ko:K01916	kpnu:LI86_15870
ko:K05984	kpnu:LI86_15875
ko:K01491	kpnu:LI86_20160
ko:K14761	kpnu:LI86_20165
ko:K01883	kpnu:LI86_20170
ko:K03768	kpnu:LI86_20175
ko:K03269	kpnu:LI86_20180
ko:K01588	kpnu:LI86_20190
ko:K01589	kpnu:LI86_20195
ko:K06917	kpnu:LI86_20200
ko:K02004	kpnu:LI86_20215
ko:K02003	kpnu:LI86_20220
ko:K10804	kpnu:LI86_20225
ko:K05838	kpnu:LI86_20235
ko:K02069	kpnu:LI86_20240
ko:K02068	kpnu:LI86_20245
ko:K07340	kpnu:LI86_20255
ko:K17686	kpnu:LI86_20265
ko:K09973	kpnu:LI86_20270
ko:K03976	kpnu:LI86_20275
ko:K11751	kpnu:LI86_20280
ko:K08223	kpnu:LI86_20285
ko:K03455	kpnu:LI86_20300
ko:K00892	kpnu:LI86_20305
ko:K01772	kpnu:LI86_20310
ko:K00939	kpnu:LI86_20315
ko:K04079	kpnu:LI86_20320
ko:K06187	kpnu:LI86_20325
ko:K09747	kpnu:LI86_20330
ko:K02343	kpnu:LI86_20335
ko:K00759	kpnu:LI86_20340
ko:K07481	kpnu:LI86_24445
ko:K07347	kpnu:LI86_24460
ko:K13408	kpnu:LI86_24480
ko:K13409	kpnu:LI86_24485
ko:K04077	kpnu:LI86_24500
ko:K04078	kpnu:LI86_24505
ko:K16263	kpnu:LI86_24515
ko:K07113	kpnu:LI86_24520
ko:K01744	kpnu:LI86_24530
ko:K07791	kpnu:LI86_24535
ko:K03926	kpnu:LI86_24540
ko:K04084	kpnu:LI86_24545
ko:K07483	kpnu:LI86_24575
ko:K11935	kpnu:LI86_24595
ko:K11931	kpnu:LI86_24600
ko:K11936	kpnu:LI86_24605
ko:K11937	kpnu:LI86_24610
ko:K05516	kpnu:LI86_24635
ko:K18997	kpnu:LI86_24640
ko:K07483	kpnu:LI86_24645
ko:K11104	kpnu:LI86_24670
ko:K07406	kpnu:LI86_24675
ko:K03762	kpnu:LI86_24685
ko:K06193	kpnu:LI86_24695
ko:K04750	kpnu:LI86_24700
ko:K02043	kpnu:LI86_24705
ko:K06166	kpnu:LI86_24710
ko:K06165	kpnu:LI86_24715
ko:K06164	kpnu:LI86_24720
ko:K06163	kpnu:LI86_24725
ko:K05781	kpnu:LI86_24730
ko:K01439	kpnu:LI86_12795
ko:K07048	kpnu:LI86_12805
ko:K02057	kpnu:LI86_12810
ko:K02056	kpnu:LI86_12815
ko:K02529	kpnu:LI86_12820
ko:K10439	kpnu:LI86_12830
ko:K00852	kpnu:LI86_12835
ko:K06971	kpnu:LI86_12840
ko:K03707	kpnu:LI86_12845
ko:K11382	kpnu:LI86_12860
ko:K08478	kpnu:LI86_12865
ko:K08475	kpnu:LI86_12870
ko:K08476	kpnu:LI86_12875
ko:K02352	kpnu:LI86_12900
ko:K00134	kpnu:LI86_12930
ko:K06889	kpnu:LI86_12945
ko:K03436	kpnu:LI86_12960
ko:K01619	kpnu:LI86_12970
ko:K02430	kpnu:LI86_12975
ko:K17195	kpnu:LI86_12980
ko:K02429	kpnu:LI86_12990
ko:K01759	kpnu:LI86_12995
ko:K01026	kpnu:LI86_13005
ko:K00059	kpnu:LI86_13010
ko:K00626	kpnu:LI86_13015
ko:K07090	kpnu:LI86_13055
ko:K03482	kpnu:LI86_13060
ko:K02749	kpnu:LI86_13065
ko:K02750	kpnu:LI86_13065
ko:K01232	kpnu:LI86_13070
ko:K03632	kpnu:LI86_17280
ko:K03804	kpnu:LI86_17285
ko:K03633	kpnu:LI86_17290
ko:K06219	kpnu:LI86_17295
ko:K00979	kpnu:LI86_17310
ko:K09791	kpnu:LI86_17315
ko:K09927	kpnu:LI86_17320
ko:K00912	kpnu:LI86_17325
ko:K11085	kpnu:LI86_17330
ko:K02238	kpnu:LI86_17335
ko:K05788	kpnu:LI86_17340
ko:K02945	kpnu:LI86_17345
ko:K00945	kpnu:LI86_17350
ko:K00800	kpnu:LI86_17355
ko:K00831	kpnu:LI86_17360
ko:K09136	kpnu:LI86_17370
ko:K06212	kpnu:LI86_17375
ko:K00656	kpnu:LI86_17380
ko:K04069	kpnu:LI86_17385
ko:K08219	kpnu:LI86_17390
ko:K07308	kpnu:LI86_17400
ko:K07307	kpnu:LI86_17405
ko:K07306	kpnu:LI86_17410
ko:K01875	kpnu:LI86_17415
ko:K07478	kpnu:LI86_17420
ko:K03634	kpnu:LI86_17425
ko:K03466	kpnu:LI86_17430
ko:K03719	kpnu:LI86_17435
ko:K00384	kpnu:LI86_17445
ko:K16013	kpnu:LI86_17450
ko:K16012	kpnu:LI86_17455
ko:K00684	kpnu:LI86_17460
ko:K02518	kpnu:LI86_17465
ko:K03694	kpnu:LI86_17470
ko:K06891	kpnu:LI86_17475
ko:K03704	kpnu:LI86_17480
ko:K05685	kpnu:LI86_17485
ko:K13888	kpnu:LI86_17490
ko:K07459	kpnu:LI86_17495
ko:K06188	kpnu:LI86_17500
ko:K05601	kpnu:LI86_17510
ko:K11933	kpnu:LI86_17515
ko:K15977	kpnu:LI86_17520
ko:K00156	kpnu:LI86_17525
ko:K01620	kpnu:LI86_17530
ko:K11066	kpnu:LI86_17545
ko:K02372	kpnu:LI86_21720
ko:K02536	kpnu:LI86_21725
ko:K06142	kpnu:LI86_21730
ko:K07277	kpnu:LI86_21735
ko:K11749	kpnu:LI86_21740
ko:K00981	kpnu:LI86_21745
ko:K00806	kpnu:LI86_21750
ko:K00099	kpnu:LI86_21755
ko:K02838	kpnu:LI86_21760
ko:K09903	kpnu:LI86_21765
ko:K02357	kpnu:LI86_21770
ko:K02967	kpnu:LI86_21775
ko:K01265	kpnu:LI86_21780
ko:K00990	kpnu:LI86_21785
ko:K00674	kpnu:LI86_21790
ko:K02647	kpnu:LI86_21800
ko:K01129	kpnu:LI86_21810
ko:K01243	kpnu:LI86_21815
ko:K06858	kpnu:LI86_21820
ko:K15724	kpnu:LI86_21830
ko:K03281	kpnu:LI86_21835
ko:K01845	kpnu:LI86_21840
ko:K02015	kpnu:LI86_21845
ko:K02016	kpnu:LI86_21850
ko:K02013	kpnu:LI86_21855
ko:K05365	kpnu:LI86_21865
ko:K02465	kpnu:LI86_21880
ko:K02451	kpnu:LI86_21885
ko:K02452	kpnu:LI86_21900
ko:K02453	kpnu:LI86_21905
ko:K02454	kpnu:LI86_21910
ko:K02455	kpnu:LI86_21915
ko:K02456	kpnu:LI86_21920
ko:K02457	kpnu:LI86_21925
ko:K02458	kpnu:LI86_21930
ko:K02459	kpnu:LI86_21935
ko:K02460	kpnu:LI86_21940
ko:K02461	kpnu:LI86_21945
ko:K02462	kpnu:LI86_21950
ko:K02463	kpnu:LI86_21955
ko:K03579	kpnu:LI86_21965
ko:K01975	kpnu:LI86_21970
ko:K06206	kpnu:LI86_21975
ko:K06204	kpnu:LI86_21980
ko:K00297	kpnu:LI86_26090
ko:K01607	kpnu:LI86_26100
ko:K12525	kpnu:LI86_26115
ko:K01739	kpnu:LI86_26120
ko:K03764	kpnu:LI86_26125
ko:K02909	kpnu:LI86_26130
ko:K04066	kpnu:LI86_26135
ko:K05499	kpnu:LI86_26145
ko:K03591	kpnu:LI86_26150
ko:K01419	kpnu:LI86_26155
ko:K03667	kpnu:LI86_26160
ko:K02548	kpnu:LI86_26165
ko:K02553	kpnu:LI86_26170
ko:K00850	kpnu:LI86_26175
ko:K13283	kpnu:LI86_26180
ko:K06006	kpnu:LI86_26185
ko:K07640	kpnu:LI86_26195
ko:K04564	kpnu:LI86_26205
ko:K02856	kpnu:LI86_26210
ko:K02854	kpnu:LI86_26215
ko:K02855	kpnu:LI86_26220
ko:K00848	kpnu:LI86_26225
ko:K01813	kpnu:LI86_26230
ko:K01629	kpnu:LI86_26235
ko:K10559	kpnu:LI86_26240
ko:K10562	kpnu:LI86_26245
ko:K10560	kpnu:LI86_26250
ko:K10561	kpnu:LI86_26255
ko:K03534	kpnu:LI86_26265
ko:K02532	kpnu:LI86_26270
ko:K07407	kpnu:LI86_26275
ko:K02529	kpnu:LI86_26280
ko:K02821	kpnu:LI86_26305
ko:K01624	kpnu:LI86_26315
ko:K03475	kpnu:LI86_26320
ko:K02822	kpnu:LI86_26325
ko:K00850	kpnu:LI86_26330
ko:K02379	kpnu:LI86_26340
ko:K00123	kpnu:LI86_26345
ko:K00123	kpnu:LI86_26350
ko:K00124	kpnu:LI86_26355
ko:K03557	kpnu:LI86_02405
ko:K05540	kpnu:LI86_02410
ko:K02687	kpnu:LI86_02415
ko:K14392	kpnu:LI86_02420
ko:K01961	kpnu:LI86_02430
ko:K02160	kpnu:LI86_02435
ko:K03786	kpnu:LI86_02440
ko:K17247	kpnu:LI86_02445
ko:K18765	kpnu:LI86_02460
ko:K03569	kpnu:LI86_02465
ko:K03570	kpnu:LI86_02470
ko:K03571	kpnu:LI86_02475
ko:K06287	kpnu:LI86_02480
ko:K08301	kpnu:LI86_02485
ko:K03568	kpnu:LI86_02495
ko:K15548	kpnu:LI86_02510
ko:K03468	kpnu:LI86_02515
ko:K03623	kpnu:LI86_02520
ko:K03402	kpnu:LI86_02535
ko:K00024	kpnu:LI86_02540
ko:K04691	kpnu:LI86_02545
ko:K09908	kpnu:LI86_02555
ko:K06916	kpnu:LI86_02560
ko:K02871	kpnu:LI86_02565
ko:K02996	kpnu:LI86_02570
ko:K03599	kpnu:LI86_02575
ko:K03600	kpnu:LI86_02580
ko:K01788	kpnu:LI86_02585
ko:K00266	kpnu:LI86_02590
ko:K00265	kpnu:LI86_02595
ko:K07139	kpnu:LI86_02600
ko:K08322	kpnu:LI86_02610
ko:K01686	kpnu:LI86_02620
ko:K07648	kpnu:LI86_02625
ko:K03814	kpnu:LI86_02635
ko:K01524	kpnu:LI86_06895
ko:K00937	kpnu:LI86_06900
ko:K11175	kpnu:LI86_06905
ko:K01933	kpnu:LI86_06910
ko:K18673	kpnu:LI86_06915
ko:K01223	kpnu:LI86_06920
ko:K00761	kpnu:LI86_06925
ko:K02824	kpnu:LI86_06930
ko:K10763	kpnu:LI86_06935
ko:K00537	kpnu:LI86_06945
ko:K03548	kpnu:LI86_06960
ko:K03564	kpnu:LI86_06965
ko:K03567	kpnu:LI86_06970
ko:K01714	kpnu:LI86_06975
ko:K07287	kpnu:LI86_06980
ko:K01923	kpnu:LI86_06985
ko:K07054	kpnu:LI86_06990
ko:K06957	kpnu:LI86_06995
ko:K06999	kpnu:LI86_07000
ko:K01439	kpnu:LI86_07010
ko:K18324	kpnu:LI86_07020
