ko:K05895	cbm:CBF_1009
ko:K02598	cbm:CBF_1015
ko:K02013	cbm:CBF_1028
ko:K02015	cbm:CBF_1029
ko:K02016	cbm:CBF_1030
ko:K00005	cbm:CBF_1032
ko:K07699	cbm:CBF_1916
ko:K06871	cbm:CBF_0628
ko:K02003	cbm:CBF_0635
ko:K01893	cbm:CBF_0646
ko:K13653	cbm:CBF_0651
ko:K07719	cbm:CBF_0662
ko:K07717	cbm:CBF_0663
ko:K05837	cbm:CBF_0664
ko:K00574	cbm:CBF_0665
ko:K06878	cbm:CBF_0671
ko:K09790	cbm:CBF_0683
ko:K01914	cbm:CBF_1565
ko:K02003	cbm:CBF_1571
ko:K03305	cbm:CBF_1599
ko:K09936	cbm:CBF_1607
ko:K01737	cbm:CBF_1617
ko:K10026	cbm:CBF_1618
ko:K01495	cbm:CBF_1619
ko:K06920	cbm:CBF_1620
ko:K02834	cbm:CBF_2464
ko:K02519	cbm:CBF_2465
ko:K02600	cbm:CBF_2467
ko:K09748	cbm:CBF_2468
ko:K03763	cbm:CBF_2469
ko:K11749	cbm:CBF_2471
ko:K00099	cbm:CBF_2472
ko:K00981	cbm:CBF_2476
ko:K00806	cbm:CBF_2477
ko:K02838	cbm:CBF_2478
ko:K09903	cbm:CBF_2479
ko:K02357	cbm:CBF_2480
ko:K02967	cbm:CBF_2481
ko:K03706	cbm:CBF_2482
ko:K03168	cbm:CBF_2483
ko:K04096	cbm:CBF_2484
ko:K07460	cbm:CBF_2486
ko:K03470	cbm:CBF_2487
ko:K14540	cbm:CBF_2488
ko:K03100	cbm:CBF_2489
ko:K02884	cbm:CBF_2490
ko:K00554	cbm:CBF_2491
ko:K02860	cbm:CBF_2492
ko:K06960	cbm:CBF_2493
ko:K02959	cbm:CBF_2494
ko:K03106	cbm:CBF_2495
ko:K03110	cbm:CBF_2497
ko:K03685	cbm:CBF_2502
ko:K02078	cbm:CBF_2503
ko:K03621	cbm:CBF_2504
ko:K02911	cbm:CBF_2505
ko:K07040	cbm:CBF_2506
ko:K00925	cbm:CBF_2507
ko:K03565	cbm:CBF_3306
ko:K09913	cbm:CBF_3312
ko:K00286	cbm:CBF_3313
ko:K00656	cbm:CBF_3314
ko:K04069	cbm:CBF_3315
ko:K03924	cbm:CBF_3320
ko:K03522	cbm:CBF_3328
ko:K03521	cbm:CBF_3329
ko:K00074	cbm:CBF_3332
ko:K03703	cbm:CBF_3335
ko:K06901	cbm:CBF_3336
ko:K13292	cbm:CBF_3339
ko:K07095	cbm:CBF_3340
ko:K01126	cbm:CBF_3342
ko:K00003	cbm:CBF_1920
ko:K01740	cbm:CBF_1921
ko:K03402	cbm:CBF_1924
ko:K06442	cbm:CBF_1927
ko:K01662	cbm:CBF_1928
ko:K13789	cbm:CBF_1930
ko:K03602	cbm:CBF_1931
ko:K03601	cbm:CBF_1932
ko:K03625	cbm:CBF_1933
ko:K06397	cbm:CBF_1935
ko:K06396	cbm:CBF_1936
ko:K06395	cbm:CBF_1937
ko:K06394	cbm:CBF_1938
ko:K06393	cbm:CBF_1939
ko:K06392	cbm:CBF_1940
ko:K06391	cbm:CBF_1941
ko:K06390	cbm:CBF_1942
ko:K02356	cbm:CBF_1944
ko:K03786	cbm:CBF_1945
ko:K00891	cbm:CBF_1946
ko:K02652	cbm:CBF_1956
ko:K01778	cbm:CBF_1959
ko:K06173	cbm:CBF_1961
ko:K03412	cbm:CBF_2792
ko:K03411	cbm:CBF_2793
ko:K03408	cbm:CBF_2794
ko:K03480	cbm:CBF_2797
ko:K00826	cbm:CBF_2798
ko:K03737	cbm:CBF_2802
ko:K02563	cbm:CBF_2803
ko:K07462	cbm:CBF_2806
ko:K01151	cbm:CBF_2807
ko:K03152	cbm:CBF_2811
ko:K02621	cbm:CBF_2813
ko:K00864	cbm:CBF_2826
ko:K02440	cbm:CBF_2827
ko:K06215	cbm:CBF_2842
ko:K05592	cbm:CBF_2844
ko:K02879	cbm:CBF_3618
ko:K03040	cbm:CBF_3619
ko:K02986	cbm:CBF_3620
ko:K02948	cbm:CBF_3621
ko:K02952	cbm:CBF_3622
ko:K02919	cbm:CBF_3623
ko:K02518	cbm:CBF_3624
ko:K01265	cbm:CBF_3626
ko:K03076	cbm:CBF_3628
ko:K02876	cbm:CBF_3629
ko:K02907	cbm:CBF_3630
ko:K02988	cbm:CBF_3631
