ko:K02433	bmi:BMEA_B0992
ko:K02032	bmi:BMEA_B0993
ko:K02031	bmi:BMEA_B0994
ko:K02034	bmi:BMEA_B0995
ko:K02033	bmi:BMEA_B0996
ko:K02035	bmi:BMEA_B0997
ko:K00059	bmi:BMEA_B0998
ko:K08169	bmi:BMEA_B1002
ko:K02914	bmi:BMEA_B1007
ko:K03536	bmi:BMEA_B1008
ko:K03217	bmi:BMEA_B1009
ko:K03978	bmi:BMEA_B1010
ko:K00930	bmi:BMEA_B1011
ko:K06966	bmi:BMEA_B1013
ko:K01439	bmi:BMEA_B1016
ko:K06173	bmi:BMEA_B1018
ko:K00604	bmi:BMEA_B1019
ko:K01462	bmi:BMEA_B1020
ko:K09760	bmi:BMEA_B1021
ko:K07401	bmi:BMEA_B1022
ko:K07461	bmi:BMEA_B1023
ko:K07146	bmi:BMEA_B0090
ko:K02020	bmi:BMEA_B0092
ko:K02018	bmi:BMEA_B0093
ko:K01581	bmi:BMEA_B0103
ko:K00033	bmi:BMEA_B0114
ko:K03543	bmi:BMEA_B0120
ko:K02401	bmi:BMEA_B0124
ko:K02417	bmi:BMEA_B0126
ko:K02416	bmi:BMEA_B0128
ko:K02556	bmi:BMEA_B0129
ko:K02391	bmi:BMEA_B0131
ko:K02412	bmi:BMEA_B0132
ko:K03596	bmi:BMEA_B1024
ko:K06153	bmi:BMEA_B1027
ko:K02033	bmi:BMEA_B1095
ko:K02034	bmi:BMEA_B1096
ko:K02031	bmi:BMEA_B1097
ko:K09815	bmi:BMEA_B1116
ko:K09817	bmi:BMEA_B1117
ko:K09816	bmi:BMEA_B1118
ko:K09823	bmi:BMEA_B1119
ko:K02421	bmi:BMEA_B1125
ko:K02420	bmi:BMEA_B1127
ko:K02389	bmi:BMEA_B1128
ko:K06601	bmi:BMEA_B1129
ko:K06602	bmi:BMEA_B1130
ko:K02397	bmi:BMEA_B1131
ko:K02396	bmi:BMEA_B1132
ko:K02390	bmi:BMEA_B1133
ko:K02557	bmi:BMEA_B1138
ko:K02406	bmi:BMEA_B1141
ko:K01772	bmi:BMEA_B0080
ko:K00286	bmi:BMEA_B0760
ko:K02032	bmi:BMEA_B0761
ko:K02033	bmi:BMEA_B0764
ko:K02035	bmi:BMEA_B0765
ko:K01673	bmi:BMEA_B0767
ko:K04566	bmi:BMEA_B0769
ko:K00626	bmi:BMEA_B0773
ko:K01624	bmi:BMEA_B0850
ko:K03841	bmi:BMEA_B0851
ko:K06207	bmi:BMEA_B0854
ko:K06213	bmi:BMEA_B0855
ko:K01284	bmi:BMEA_B0857
ko:K01999	bmi:BMEA_B0026
ko:K01997	bmi:BMEA_B0027
ko:K01998	bmi:BMEA_B0028
ko:K01995	bmi:BMEA_B0029
ko:K01996	bmi:BMEA_B0030
ko:K00059	bmi:BMEA_B0032
ko:K00627	bmi:BMEA_B0035
ko:K00014	bmi:BMEA_B0036
ko:K01531	bmi:BMEA_B0039
ko:K07507	bmi:BMEA_B0042
ko:K01644	bmi:BMEA_B0860
ko:K01704	bmi:BMEA_B0862
ko:K00133	bmi:BMEA_B0866
ko:K00052	bmi:BMEA_B0869
ko:K09791	bmi:BMEA_B0871
ko:K07157	bmi:BMEA_B0872
ko:K05838	bmi:BMEA_B0873
ko:K06886	bmi:BMEA_B0879
ko:K01750	bmi:BMEA_B0880
ko:K01476	bmi:BMEA_B0881
ko:K10680	bmi:BMEA_B0883
ko:K01433	bmi:BMEA_B0891
ko:K01443	bmi:BMEA_B0893
ko:K00820	bmi:BMEA_B0894
ko:K03710	bmi:BMEA_B0895
ko:K00101	bmi:BMEA_B0902
ko:K01775	bmi:BMEA_B0905
ko:K00285	bmi:BMEA_B0906
ko:K00822	bmi:BMEA_B0909
ko:K05836	bmi:BMEA_B0910
ko:K01468	bmi:BMEA_B0913
ko:K01712	bmi:BMEA_B0916
ko:K04080	bmi:BMEA_B0055
ko:K01620	bmi:BMEA_B0056
ko:K00265	bmi:BMEA_B0058
ko:K00266	bmi:BMEA_B0059
ko:K09795	bmi:BMEA_B0061
ko:K03196	bmi:BMEA_B0063
ko:K03195	bmi:BMEA_B0064
ko:K03204	bmi:BMEA_B0065
ko:K03203	bmi:BMEA_B0066
ko:K03200	bmi:BMEA_B0069
ko:K03199	bmi:BMEA_B0070
ko:K03194	bmi:BMEA_B0073
ko:K00963	bmi:BMEA_B0075
ko:K07340	bmi:BMEA_B0078
ko:K02387	bmi:BMEA_B0152
ko:K02388	bmi:BMEA_B0153
ko:K02408	bmi:BMEA_B0154
ko:K02392	bmi:BMEA_B0155
ko:K02386	bmi:BMEA_B0156
ko:K02394	bmi:BMEA_B0157
ko:K02393	bmi:BMEA_B0159
ko:K02415	bmi:BMEA_B0160
ko:K02419	bmi:BMEA_B0161
ko:K09709	bmi:BMEA_B0168
ko:K01644	bmi:BMEA_B0169
ko:K08738	bmi:BMEA_B0174
ko:K09794	bmi:BMEA_B0175
ko:K00912	bmi:BMEA_B0216
ko:K03572	bmi:BMEA_B0218
ko:K06446	bmi:BMEA_B0220
ko:K00380	bmi:BMEA_B0233
ko:K03734	bmi:BMEA_B0234
ko:K02164	bmi:BMEA_B0247
ko:K02305	bmi:BMEA_B0249
ko:K04561	bmi:BMEA_B0250
ko:K04748	bmi:BMEA_B0251
ko:K02448	bmi:BMEA_B0252
ko:K07234	bmi:BMEA_B0284
ko:K02051	bmi:BMEA_B0285
ko:K02050	bmi:BMEA_B0286
