ko:K07175	btf:YBT020_19415
ko:K06207	btf:YBT020_19440
ko:K00686	btf:YBT020_19475
ko:K04072	btf:YBT020_21530
ko:K03624	btf:YBT020_21575
ko:K00876	btf:YBT020_21580
ko:K08303	btf:YBT020_21585
ko:K08303	btf:YBT020_21590
ko:K07082	btf:YBT020_21600
ko:K07447	btf:YBT020_21610
ko:K01872	btf:YBT020_21620
ko:K03581	btf:YBT020_21645
ko:K00566	btf:YBT020_21655
ko:K04487	btf:YBT020_21660
ko:K00760	btf:YBT020_23785
ko:K02003	btf:YBT020_23825
ko:K13653	btf:YBT020_23830
ko:K05808	btf:YBT020_25865
ko:K03704	btf:YBT020_25870
ko:K00012	btf:YBT020_25920
ko:K07240	btf:YBT020_25945
ko:K02759	btf:YBT020_25960
ko:K02761	btf:YBT020_25965
ko:K02760	btf:YBT020_25970
ko:K00797	btf:YBT020_25975
ko:K01126	btf:YBT020_13375
ko:K08177	btf:YBT020_13440
ko:K02338	btf:YBT020_13455
ko:K06153	btf:YBT020_13545
ko:K08310	btf:YBT020_13595
ko:K00285	btf:YBT020_13600
ko:K00675	btf:YBT020_13610
ko:K08591	btf:YBT020_17655
ko:K07107	btf:YBT020_17665
ko:K06306	btf:YBT020_17670
ko:K06431	btf:YBT020_17675
ko:K01681	btf:YBT020_17720
ko:K06432	btf:YBT020_17725
ko:K06433	btf:YBT020_17740
ko:K03308	btf:YBT020_11355
ko:K09962	btf:YBT020_11365
ko:K01091	btf:YBT020_11375
ko:K01779	btf:YBT020_11390
ko:K01091	btf:YBT020_11430
ko:K01118	btf:YBT020_11475
ko:K00655	btf:YBT020_11480
ko:K11068	btf:YBT020_11485
ko:K03116	btf:YBT020_11490
ko:K03118	btf:YBT020_11495
ko:K07152	btf:YBT020_11520
ko:K01953	btf:YBT020_11530
ko:K02016	btf:YBT020_11555
ko:K00824	btf:YBT020_11560
ko:K01818	btf:YBT020_15780
ko:K00848	btf:YBT020_15785
ko:K01628	btf:YBT020_15790
ko:K01911	btf:YBT020_23940
ko:K01661	btf:YBT020_23945
ko:K02551	btf:YBT020_23955
ko:K02548	btf:YBT020_23965
ko:K03704	btf:YBT020_23975
ko:K00688	btf:YBT020_23995
ko:K00703	btf:YBT020_24000
ko:K00975	btf:YBT020_24005
ko:K00975	btf:YBT020_24010
ko:K01611	btf:YBT020_25980
ko:K02759	btf:YBT020_25985
ko:K02761	btf:YBT020_25990
ko:K02760	btf:YBT020_25995
ko:K01421	btf:YBT020_26015
ko:K00425	btf:YBT020_26035
ko:K00426	btf:YBT020_26040
ko:K03893	btf:YBT020_26045
ko:K03147	btf:YBT020_26050
ko:K03303	btf:YBT020_26055
ko:K00824	btf:YBT020_26080
ko:K06193	btf:YBT020_28634
ko:K14188	btf:YBT020_28639
ko:K10441	btf:YBT020_15805
ko:K02431	btf:YBT020_15810
ko:K02529	btf:YBT020_15815
ko:K04045	btf:YBT020_15865
ko:K00648	btf:YBT020_16010
ko:K02003	btf:YBT020_16040
ko:K00382	btf:YBT020_19510
ko:K00627	btf:YBT020_19515
ko:K00162	btf:YBT020_19520
ko:K00161	btf:YBT020_19525
ko:K01462	btf:YBT020_19535
ko:K00426	btf:YBT020_19560
ko:K05823	btf:YBT020_19565
ko:K00937	btf:YBT020_19640
ko:K07478	btf:YBT020_21670
ko:K01876	btf:YBT020_21685
ko:K01892	btf:YBT020_21690
ko:K07560	btf:YBT020_21705
ko:K00759	btf:YBT020_21715
ko:K07462	btf:YBT020_21720
ko:K12257	btf:YBT020_21730
ko:K06409	btf:YBT020_21740
ko:K03210	btf:YBT020_21755
ko:K00773	btf:YBT020_21760
ko:K07568	btf:YBT020_21765
ko:K03551	btf:YBT020_21775
ko:K03550	btf:YBT020_21780
ko:K02016	btf:YBT020_21785
ko:K06318	btf:YBT020_21790
ko:K00874	btf:YBT020_23895
ko:K01042	btf:YBT020_23905
ko:K01465	btf:YBT020_23910
ko:K05847	btf:YBT020_11665
ko:K03758	btf:YBT020_11675
ko:K11686	btf:YBT020_11695
ko:K01034	btf:YBT020_11735
ko:K01438	btf:YBT020_11745
ko:K06714	btf:YBT020_11755
ko:K03088	btf:YBT020_11865
ko:K00831	btf:YBT020_16115
ko:K01434	btf:YBT020_16150
ko:K02106	btf:YBT020_16255
ko:K09776	btf:YBT020_19590
ko:K01524	btf:YBT020_19645
ko:K00549	btf:YBT020_19690
ko:K07697	btf:YBT020_19710
ko:K15772	btf:YBT020_19730
ko:K15771	btf:YBT020_19735
ko:K06370	btf:YBT020_21815
ko:K03517	btf:YBT020_21820
ko:K00767	btf:YBT020_21825
ko:K00278	btf:YBT020_21830
ko:K04487	btf:YBT020_21835
ko:K02003	btf:YBT020_21865
ko:K03979	btf:YBT020_21880
ko:K06375	btf:YBT020_21885
ko:K02899	btf:YBT020_21890
ko:K02888	btf:YBT020_21900
ko:K08301	btf:YBT020_21905
ko:K06401	btf:YBT020_21915
ko:K03609	btf:YBT020_21920
ko:K03610	btf:YBT020_21925
ko:K03571	btf:YBT020_21930
