ko:K01876	ctrr:L225667R_00572
ko:K01892	ctrr:L225667R_00573
ko:K07783	ctrr:L225667R_00574
ko:K02337	ctrr:L225667R_00575
ko:K03311	ctrr:L225667R_00584
ko:K00382	ctrr:L225667R_00587
ko:K03644	ctrr:L225667R_00588
ko:K03222	ctrr:L225667R_00589
ko:K03223	ctrr:L225667R_00591
ko:K03226	ctrr:L225667R_00592
ko:K03228	ctrr:L225667R_00594
ko:K02356	ctrr:L225667R_00124
ko:K02160	ctrr:L225667R_00125
ko:K01961	ctrr:L225667R_00126
ko:K02871	ctrr:L225667R_00127
ko:K02996	ctrr:L225667R_00128
ko:K02029	ctrr:L225667R_00131
ko:K07058	ctrr:L225667R_00134
ko:K06999	ctrr:L225667R_00138
ko:K07566	ctrr:L225667R_00139
ko:K09125	ctrr:L225667R_00142
ko:K07039	ctrr:L225667R_00143
ko:K01972	ctrr:L225667R_00150
ko:K02913	ctrr:L225667R_00154
ko:K09808	ctrr:L225667R_00155
ko:K09810	ctrr:L225667R_00156
ko:K03720	ctrr:L225667R_00170
ko:K01696	ctrr:L225667R_00171
ko:K01695	ctrr:L225667R_00172
ko:K03611	ctrr:L225667R_00176
ko:K07042	ctrr:L225667R_00442
ko:K03183	ctrr:L225667R_00449
ko:K01778	ctrr:L225667R_00451
ko:K01358	ctrr:L225667R_00452
ko:K00600	ctrr:L225667R_00453
ko:K01770	ctrr:L225667R_00455
ko:K02946	ctrr:L225667R_00457
ko:K02355	ctrr:L225667R_00458
ko:K02992	ctrr:L225667R_00459
ko:K02950	ctrr:L225667R_00460
ko:K03797	ctrr:L225667R_00462
ko:K07462	ctrr:L225667R_00469
ko:K12257	ctrr:L225667R_00470
ko:K00806	ctrr:L225667R_00472
ko:K00981	ctrr:L225667R_00473
ko:K00945	ctrr:L225667R_00474
ko:K00655	ctrr:L225667R_00475
ko:K01887	ctrr:L225667R_00476
ko:K00790	ctrr:L225667R_00477
ko:K02836	ctrr:L225667R_00481
ko:K00991	ctrr:L225667R_00484
ko:K06173	ctrr:L225667R_00485
ko:K07710	ctrr:L225667R_00490
ko:K03559	ctrr:L225667R_00628
ko:K02455	ctrr:L225667R_00600
ko:K02453	ctrr:L225667R_00602
ko:K03572	ctrr:L225667R_00605
ko:K01868	ctrr:L225667R_00611
ko:K01867	ctrr:L225667R_00615
ko:K03702	ctrr:L225667R_00616
ko:K01689	ctrr:L225667R_00617
ko:K00240	ctrr:L225667R_00621
ko:K00239	ctrr:L225667R_00622
ko:K03424	ctrr:L225667R_00625
ko:K03562	ctrr:L225667R_00627
ko:K03641	ctrr:L225667R_00630
ko:K03640	ctrr:L225667R_00631
ko:K03648	ctrr:L225667R_00640
ko:K03657	ctrr:L225667R_00641
ko:K03092	ctrr:L225667R_00642
ko:K06137	ctrr:L225667R_00643
ko:K13941	ctrr:L225667R_00646
ko:K01633	ctrr:L225667R_00647
ko:K00979	ctrr:L225667R_00184
ko:K01937	ctrr:L225667R_00185
ko:K07447	ctrr:L225667R_00186
ko:K00036	ctrr:L225667R_00187
ko:K01057	ctrr:L225667R_00188
ko:K02343	ctrr:L225667R_00189
ko:K00943	ctrr:L225667R_00190
ko:K02469	ctrr:L225667R_00191
ko:K02470	ctrr:L225667R_00192
ko:K00773	ctrr:L225667R_00195
ko:K06213	ctrr:L225667R_00196
ko:K15580	ctrr:L225667R_00200
ko:K15581	ctrr:L225667R_00201
ko:K03319	ctrr:L225667R_00206
ko:K00850	ctrr:L225667R_00207
ko:K00895	ctrr:L225667R_00209
ko:K02527	ctrr:L225667R_00212
ko:K01869	ctrr:L225667R_00213
ko:K01845	ctrr:L225667R_00214
ko:K07735	ctrr:L225667R_00215
ko:K08999	ctrr:L225667R_00216
ko:K01807	ctrr:L225667R_00217
ko:K03787	ctrr:L225667R_00222
ko:K03179	ctrr:L225667R_00223
ko:K03186	ctrr:L225667R_00224
ko:K03086	ctrr:L225667R_00648
ko:K02968	ctrr:L225667R_00650
ko:K03980	ctrr:L225667R_00657
ko:K01151	ctrr:L225667R_00658
ko:K02986	ctrr:L225667R_00659
ko:K07146	ctrr:L225667R_00660
ko:K13789	ctrr:L225667R_00661
ko:K01698	ctrr:L225667R_00667
ko:K00346	ctrr:L225667R_00668
ko:K03582	ctrr:L225667R_00674
ko:K03583	ctrr:L225667R_00675
ko:K03168	ctrr:L225667R_00678
ko:K02221	ctrr:L225667R_00680
ko:K03581	ctrr:L225667R_00687
ko:K06861	ctrr:L225667R_00689
ko:K01627	ctrr:L225667R_00691
ko:K06180	ctrr:L225667R_00695
ko:K06960	ctrr:L225667R_00696
ko:K02469	ctrr:L225667R_00697
ko:K02470	ctrr:L225667R_00698
ko:K02492	ctrr:L225667R_00699
ko:K03308	ctrr:L225667R_00237
ko:K02078	ctrr:L225667R_00242
ko:K00645	ctrr:L225667R_00244
ko:K00648	ctrr:L225667R_00245
ko:K06187	ctrr:L225667R_00246
ko:K07277	ctrr:L225667R_00247
ko:K06142	ctrr:L225667R_00248
ko:K02536	ctrr:L225667R_00249
ko:K00161	ctrr:L225667R_00251
ko:K00162	ctrr:L225667R_00252
ko:K00627	ctrr:L225667R_00253
ko:K00688	ctrr:L225667R_00254
ko:K02313	ctrr:L225667R_00256
ko:K03217	ctrr:L225667R_00257
ko:K04487	ctrr:L225667R_00264
ko:K07083	ctrr:L225667R_00268
ko:K01962	ctrr:L225667R_00271
ko:K01448	ctrr:L225667R_00274
ko:K01928	ctrr:L225667R_00275
ko:K03587	ctrr:L225667R_00276
ko:K03438	ctrr:L225667R_00278
ko:K02313	ctrr:L225667R_00281
ko:K03224	ctrr:L225667R_00706
ko:K02417	ctrr:L225667R_00709
ko:K03219	ctrr:L225667R_00711
ko:K02838	ctrr:L225667R_00717
ko:K09903	ctrr:L225667R_00718
ko:K02357	ctrr:L225667R_00719
ko:K02967	ctrr:L225667R_00720
ko:K03162	ctrr:L225667R_00722
ko:K09013	ctrr:L225667R_00726
ko:K09015	ctrr:L225667R_00727
ko:K11717	ctrr:L225667R_00728
ko:K07220	ctrr:L225667R_00732
ko:K03306	ctrr:L225667R_00733
ko:K00927	ctrr:L225667R_00734
ko:K10773	ctrr:L225667R_00738
ko:K03650	ctrr:L225667R_00739
ko:K01613	ctrr:L225667R_00740
ko:K03070	ctrr:L225667R_00742
ko:K03977	ctrr:L225667R_00744
ko:K03544	ctrr:L225667R_00746
ko:K01358	ctrr:L225667R_00747
ko:K03545	ctrr:L225667R_00748
ko:K03569	ctrr:L225667R_00751
ko:K00347	ctrr:L225667R_00284
ko:K00348	ctrr:L225667R_00285
ko:K00349	ctrr:L225667R_00286
ko:K00350	ctrr:L225667R_00287
ko:K02437	ctrr:L225667R_00288
ko:K03800	ctrr:L225667R_00291
ko:K03696	ctrr:L225667R_00292
ko:K00566	ctrr:L225667R_00293
ko:K01963	ctrr:L225667R_00299
ko:K04564	ctrr:L225667R_00300
ko:K03685	ctrr:L225667R_00303
ko:K04485	ctrr:L225667R_00304
ko:K01749	ctrr:L225667R_00305
ko:K01873	ctrr:L225667R_00308
ko:K02028	ctrr:L225667R_00132
ko:K14220	ctrr:L225667R_00039
ko:K15035	ctrr:L225667R_00020
ko:K14222	ctrr:L225667R_00805
ko:K01977	ctrr:L225667R_00783
ko:K01977	ctrr:L225667R_00796
ko:K01985	ctrr:L225667R_00785
ko:K01985	ctrr:L225667R_00798
ko:K01980	ctrr:L225667R_00784
ko:K01980	ctrr:L225667R_00797
ko:K17103	ctrr:L225667R_00880
ko:K14228	ctrr:L225667R_00488
ko:K14233	ctrr:L225667R_00524
ko:K14219	ctrr:L225667R_00635
ko:K04084	ctrr:L225667R_00626
ko:K14236	ctrr:L225667R_00145
ko:K14227	ctrr:L225667R_00181
ko:K14218	ctrr:L225667R_00671
ko:K14230	ctrr:L225667R_00210
ko:K14230	ctrr:L225667R_00337
ko:K14235	ctrr:L225667R_00328
ko:K14233	ctrr:L225667R_00370
ko:K14231	ctrr:L225667R_00438
ko:K14221	ctrr:L225667R_00226
ko:K14233	ctrr:L225667R_00431
ko:K14228	ctrr:L225667R_00532
ko:K14228	ctrr:L225667R_00568
ko:K14219	ctrr:L225667R_00492
ko:K14219	ctrr:L225667R_00692
ko:K14232	ctrr:L225667R_00665
ko:K14229	ctrr:L225667R_00715
ko:K14224	ctrr:L225667R_00716
ko:K14226	ctrr:L225667R_00782
ko:K14223	ctrr:L225667R_00848
ko:K14218	ctrr:L225667R_00182
ko:K14234	ctrr:L225667R_00712
ko:K14225	ctrr:L225667R_00721
ko:K14228	ctrr:L225667R_00496
ko:K14228	ctrr:L225667R_00922
ko:K14232	ctrr:L225667R_00062
ko:K14237	ctrr:L225667R_00227
ko:K14230	ctrr:L225667R_00211
ko:K14234	ctrr:L225667R_00144
ko:K14234	ctrr:L225667R_00330
ko:K14225	ctrr:L225667R_00749
ko:K14237	ctrr:L225667R_00883
ko:K01840	ctrr:L225667R_00301
ko:K06972	ctrr:L225667R_00878
ko:K07081	ctrr:L225667R_00448
ko:K03625	ctrr:L225667R_00886
ko:K01679	ctrr:L225667R_00911
ko:K07125	ctrr:L225667R_00333
ko:K01802	ctrr:L225667R_00571
ko:K08275	ctrr:L225667R_00082
ko:K08719	ctrr:L225667R_00755
ko:K08274	ctrr:L225667R_00392
ko:K01921	ctrr:L225667R_00812
ko:K01924	ctrr:L225667R_00812
ko:K01829	ctrr:L225667R_00830
ko:K01829	ctrr:L225667R_00833
ko:K03309	ctrr:L225667R_00417
ko:K07033	ctrr:L225667R_00725
ko:K03825	ctrr:L225667R_00480
ko:K03496	ctrr:L225667R_00612
ko:K03497	ctrr:L225667R_00729
ko:K03111	ctrr:L225667R_00046
ko:K02626	ctrr:L225667R_00388
ko:K11991	ctrr:L225667R_00899
ko:K04771	ctrr:L225667R_00877
ko:K19411	ctrr:L225667R_00714
ko:K02031	ctrr:L225667R_00731
ko:K19405	ctrr:L225667R_00713
ko:K22100	ctrr:L225667R_00338
ko:K12132	ctrr:L225667R_00307
ko:K20265	ctrr:L225667R_00220
ko:K20074	ctrr:L225667R_00265
ko:K11749	ctrr:L225667R_00075
ko:K22099	ctrr:L225667R_00644
ko:K00526	ctrr:L225667R_00882
ko:K01520	ctrr:L225667R_00298
ko:K02335	ctrr:L225667R_00520
ko:K02314	ctrr:L225667R_00525
ko:K00287	ctrr:L225667R_00645
ko:K03553	ctrr:L225667R_00685
ko:K02316	ctrr:L225667R_00842
ko:K02032	ctrr:L225667R_00730
ko:K00525	ctrr:L225667R_00881
ko:K02050	ctrr:L225667R_00910
ko:K02051	ctrr:L225667R_00910
ko:K01534	ctrr:L225667R_00769
ko:K16239	ctrr:L225667R_00086
