ko:K09811	hpyl:HPOK310_0596
ko:K09812	hpyl:HPOK310_0597
ko:K03439	hpyl:HPOK310_0598
ko:K06180	hpyl:HPOK310_0600
ko:K05837	hpyl:HPOK310_0603
ko:K00948	hpyl:HPOK310_0604
ko:K01929	hpyl:HPOK310_0606
ko:K01921	hpyl:HPOK310_0608
ko:K01095	hpyl:HPOK310_0609
ko:K04075	hpyl:HPOK310_0620
ko:K07791	hpyl:HPOK310_0624
ko:K06895	hpyl:HPOK310_0628
ko:K02343	hpyl:HPOK310_0629
ko:K06925	hpyl:HPOK310_0630
ko:K06861	hpyl:HPOK310_0631
ko:K03092	hpyl:HPOK310_0632
ko:K06920	hpyl:HPOK310_0634
ko:K02221	hpyl:HPOK310_0638
ko:K08309	hpyl:HPOK310_0639
ko:K00963	hpyl:HPOK310_0640
ko:K02313	hpyl:HPOK310_1411
ko:K00820	hpyl:HPOK310_1414
ko:K01154	hpyl:HPOK310_1416
ko:K01154	hpyl:HPOK310_1417
ko:K03427	hpyl:HPOK310_1418
ko:K01153	hpyl:HPOK310_1419
ko:K07043	hpyl:HPOK310_1420
ko:K16091	hpyl:HPOK310_1421
ko:K01476	hpyl:HPOK310_1422
ko:K00259	hpyl:HPOK310_1424
ko:K00858	hpyl:HPOK310_1427
ko:K03631	hpyl:HPOK310_1428
ko:K01783	hpyl:HPOK310_1435
ko:K03841	hpyl:HPOK310_1436
ko:K02357	hpyl:HPOK310_1443
ko:K02967	hpyl:HPOK310_1444
ko:K03313	hpyl:HPOK310_1446
ko:K03210	hpyl:HPOK310_1447
ko:K03072	hpyl:HPOK310_1448
ko:K03074	hpyl:HPOK310_1449
ko:K01869	hpyl:HPOK310_1451
ko:K11754	hpyl:HPOK310_1453
ko:K03723	hpyl:HPOK310_1457
ko:K00411	hpyl:HPOK310_1458
ko:K00412	hpyl:HPOK310_1459
ko:K00413	hpyl:HPOK310_1460
ko:K03587	hpyl:HPOK310_1463
ko:K02408	hpyl:HPOK310_1464
ko:K00566	hpyl:HPOK310_0011
ko:K09859	hpyl:HPOK310_0016
ko:K03415	hpyl:HPOK310_0017
ko:K13747	hpyl:HPOK310_0018
ko:K12977	hpyl:HPOK310_0019
ko:K03760	hpyl:HPOK310_0020
ko:K01173	hpyl:HPOK310_0023
ko:K01338	hpyl:HPOK310_0025
ko:K05807	hpyl:HPOK310_0026
ko:K13626	hpyl:HPOK310_0027
ko:K02372	hpyl:HPOK310_0028
ko:K00677	hpyl:HPOK310_0029
ko:K03544	hpyl:HPOK310_0030
ko:K03569	hpyl:HPOK310_0031
