ko:K14233	sauc:CA347_1810
ko:K01990	sauc:CA347_2421
ko:K01990	sauc:CA347_364
ko:K01990	sauc:CA347_1824
ko:K01990	sauc:CA347_2022
ko:K01664	sauc:CA347_729
ko:K01992	sauc:CA347_1823
ko:K01992	sauc:CA347_2019
ko:K01992	sauc:CA347_2420
ko:K01992	sauc:CA347_284
ko:K01992	sauc:CA347_285
ko:K01897	sauc:CA347_236
ko:K00265	sauc:CA347_465
ko:K00951	sauc:CA347_1627
ko:K10773	sauc:CA347_1389
ko:K01893	sauc:CA347_1391
ko:K03524	sauc:CA347_1393
ko:K06973	sauc:CA347_1397
ko:K00800	sauc:CA347_1401
ko:K01735	sauc:CA347_1402
ko:K01736	sauc:CA347_1403
ko:K00940	sauc:CA347_1405
ko:K03183	sauc:CA347_1407
ko:K03530	sauc:CA347_1409
ko:K00057	sauc:CA347_1410
ko:K03977	sauc:CA347_1411
ko:K02945	sauc:CA347_1412
ko:K00945	sauc:CA347_1414
ko:K03654	sauc:CA347_1418
ko:K00761	sauc:CA347_2191
ko:K00600	sauc:CA347_2192
ko:K07566	sauc:CA347_2195
ko:K02493	sauc:CA347_2196
ko:K02835	sauc:CA347_2197
ko:K02909	sauc:CA347_2199
ko:K03628	sauc:CA347_2200
ko:K00790	sauc:CA347_2203
ko:K01624	sauc:CA347_2205
ko:K01937	sauc:CA347_2207
ko:K07173	sauc:CA347_2214
ko:K00756	sauc:CA347_2216
ko:K04047	sauc:CA347_2219
ko:K01809	sauc:CA347_2223
ko:K16264	sauc:CA347_2226
ko:K02013	sauc:CA347_2229
ko:K00820	sauc:CA347_2230
ko:K00009	sauc:CA347_2234
ko:K03431	sauc:CA347_2236
ko:K01476	sauc:CA347_2239
ko:K00266	sauc:CA347_466
ko:K02818	sauc:CA347_468
ko:K02819	sauc:CA347_468
ko:K02343	sauc:CA347_473
ko:K09747	sauc:CA347_474
ko:K06187	sauc:CA347_475
ko:K00943	sauc:CA347_482
ko:K02341	sauc:CA347_484
ko:K07461	sauc:CA347_488
ko:K07056	sauc:CA347_489
ko:K01874	sauc:CA347_490
ko:K03424	sauc:CA347_491
ko:K05985	sauc:CA347_492
ko:K02528	sauc:CA347_493
ko:K00919	sauc:CA347_495
ko:K06412	sauc:CA347_498
ko:K04042	sauc:CA347_500
ko:K00948	sauc:CA347_501
ko:K02897	sauc:CA347_502
ko:K01056	sauc:CA347_503
ko:K03723	sauc:CA347_504
ko:K07571	sauc:CA347_509
ko:K04075	sauc:CA347_510
ko:K00760	sauc:CA347_511
ko:K03798	sauc:CA347_512
ko:K04083	sauc:CA347_513
ko:K01738	sauc:CA347_514
ko:K00796	sauc:CA347_515
ko:K01633	sauc:CA347_516
ko:K00950	sauc:CA347_517
ko:K04567	sauc:CA347_518
ko:K00783	sauc:CA347_27
ko:K01126	sauc:CA347_37
ko:K07090	sauc:CA347_47
ko:K07667	sauc:CA347_68
ko:K07646	sauc:CA347_69
ko:K01546	sauc:CA347_70
ko:K01547	sauc:CA347_71
ko:K01548	sauc:CA347_72
ko:K05566	sauc:CA347_638
ko:K05567	sauc:CA347_639
ko:K05569	sauc:CA347_641
ko:K05571	sauc:CA347_643
ko:K05946	sauc:CA347_650
ko:K16323	sauc:CA347_658
ko:K02013	sauc:CA347_660
ko:K02015	sauc:CA347_661
ko:K02015	sauc:CA347_662
ko:K05878	sauc:CA347_663
ko:K05879	sauc:CA347_664
ko:K07220	sauc:CA347_677
ko:K03306	sauc:CA347_678
ko:K06890	sauc:CA347_680
ko:K07651	sauc:CA347_1488
ko:K07775	sauc:CA347_1489
ko:K06178	sauc:CA347_1490
ko:K06024	sauc:CA347_1491
ko:K05896	sauc:CA347_1492
ko:K11068	sauc:CA347_2255
ko:K07038	sauc:CA347_2257
ko:K02015	sauc:CA347_2260
ko:K02015	sauc:CA347_2261
ko:K02016	sauc:CA347_2262
ko:K02787	sauc:CA347_2279
ko:K02788	sauc:CA347_2279
ko:K12410	sauc:CA347_2286
ko:K01154	sauc:CA347_79
ko:K00615	sauc:CA347_93
ko:K00615	sauc:CA347_94
ko:K00145	sauc:CA347_96
ko:K05827	sauc:CA347_99
ko:K05826	sauc:CA347_100
ko:K08170	sauc:CA347_115
ko:K03324	sauc:CA347_116
ko:K03303	sauc:CA347_121
ko:K14196	sauc:CA347_122
ko:K02015	sauc:CA347_124
ko:K02015	sauc:CA347_125
ko:K02016	sauc:CA347_126
ko:K09793	sauc:CA347_689
ko:K06966	sauc:CA347_695
ko:K09768	sauc:CA347_696
ko:K06153	sauc:CA347_698
ko:K01669	sauc:CA347_706
ko:K02768	sauc:CA347_715
ko:K02769	sauc:CA347_715
ko:K02770	sauc:CA347_715
ko:K01443	sauc:CA347_717
ko:K10681	sauc:CA347_721
ko:K10682	sauc:CA347_722
ko:K16937	sauc:CA347_723
ko:K10026	sauc:CA347_726
ko:K01737	sauc:CA347_727
ko:K06920	sauc:CA347_728
ko:K01665	sauc:CA347_730
ko:K15738	sauc:CA347_736
ko:K07124	sauc:CA347_1499
ko:K00286	sauc:CA347_1500
ko:K00036	sauc:CA347_1503
ko:K09699	sauc:CA347_1513
ko:K00167	sauc:CA347_1514
ko:K00166	sauc:CA347_1515
ko:K14222	sauc:CA347_1851
ko:K00382	sauc:CA347_1516
ko:K03631	sauc:CA347_1517
ko:K03402	sauc:CA347_1518
ko:K13789	sauc:CA347_1519
ko:K03602	sauc:CA347_1520
ko:K03601	sauc:CA347_1521
ko:K03625	sauc:CA347_1522
ko:K01961	sauc:CA347_1524
ko:K02160	sauc:CA347_1525
ko:K02356	sauc:CA347_1526
ko:K03800	sauc:CA347_1530
ko:K00283	sauc:CA347_1532
ko:K00282	sauc:CA347_1533
ko:K00605	sauc:CA347_1534
ko:K00891	sauc:CA347_1535
ko:K01575	sauc:CA347_2295
ko:K01652	sauc:CA347_2296
ko:K03655	sauc:CA347_2297
ko:K02996	sauc:CA347_2298
ko:K02871	sauc:CA347_2299
ko:K06173	sauc:CA347_2300
ko:K16785	sauc:CA347_2301
ko:K02879	sauc:CA347_2304
ko:K03040	sauc:CA347_2305
ko:K02948	sauc:CA347_2306
ko:K02952	sauc:CA347_2307
ko:K02919	sauc:CA347_2308
ko:K02518	sauc:CA347_2309
ko:K03076	sauc:CA347_2311
ko:K02876	sauc:CA347_2312
ko:K02907	sauc:CA347_2313
ko:K02988	sauc:CA347_2314
ko:K02881	sauc:CA347_2315
ko:K02933	sauc:CA347_2316
ko:K02994	sauc:CA347_2317
