ko:K11103	bcf:bcf_17780
ko:K03088	bcf:bcf_17795
ko:K02621	bcf:bcf_17835
ko:K02622	bcf:bcf_17840
ko:K08591	bcf:bcf_17880
ko:K07107	bcf:bcf_17890
ko:K06306	bcf:bcf_17895
ko:K06434	bcf:bcf_17900
ko:K06431	bcf:bcf_17905
ko:K01681	bcf:bcf_17940
ko:K06432	bcf:bcf_17945
ko:K06433	bcf:bcf_17960
ko:K03624	bcf:bcf_21780
ko:K00876	bcf:bcf_21785
ko:K08303	bcf:bcf_21790
ko:K08303	bcf:bcf_21795
ko:K07082	bcf:bcf_21805
ko:K07447	bcf:bcf_21815
ko:K01872	bcf:bcf_21825
ko:K03581	bcf:bcf_21855
ko:K00566	bcf:bcf_21865
ko:K04487	bcf:bcf_21870
ko:K07478	bcf:bcf_21880
ko:K01876	bcf:bcf_21895
ko:K01892	bcf:bcf_21900
ko:K07560	bcf:bcf_21910
ko:K00759	bcf:bcf_21920
ko:K07462	bcf:bcf_21925
ko:K12257	bcf:bcf_21935
ko:K06409	bcf:bcf_21945
ko:K03210	bcf:bcf_21960
ko:K00773	bcf:bcf_21965
ko:K07568	bcf:bcf_21975
ko:K03551	bcf:bcf_21985
ko:K03550	bcf:bcf_21990
ko:K02016	bcf:bcf_21995
ko:K06318	bcf:bcf_22000
ko:K06370	bcf:bcf_22025
ko:K03517	bcf:bcf_22030
ko:K00767	bcf:bcf_22035
ko:K00491	bcf:bcf_27340
ko:K04564	bcf:bcf_27345
ko:K11068	bcf:bcf_27370
ko:K00364	bcf:bcf_27390
ko:K00783	bcf:bcf_27405
ko:K01939	bcf:bcf_27465
ko:K02939	bcf:bcf_27475
ko:K02963	bcf:bcf_27490
ko:K02990	bcf:bcf_27500
ko:K06942	bcf:bcf_27505
ko:K03501	bcf:bcf_27540
ko:K03495	bcf:bcf_27545
ko:K03650	bcf:bcf_27550
ko:K03217	bcf:bcf_27560
ko:K03536	bcf:bcf_27565
ko:K02914	bcf:bcf_27570
ko:K15580	bcf:bcf_01125
ko:K15580	bcf:bcf_01155
ko:K00286	bcf:bcf_01170
ko:K03811	bcf:bcf_01175
ko:K02018	bcf:bcf_01185
ko:K02020	bcf:bcf_01190
ko:K07219	bcf:bcf_01195
ko:K00655	bcf:bcf_01215
ko:K03424	bcf:bcf_01250
ko:K02034	bcf:bcf_01315
ko:K00457	bcf:bcf_01345
ko:K00451	bcf:bcf_01355
ko:K01921	bcf:bcf_01370
ko:K01929	bcf:bcf_01375
ko:K05592	bcf:bcf_01380
ko:K00997	bcf:bcf_01395
ko:K06885	bcf:bcf_05595
ko:K03088	bcf:bcf_05605
ko:K13653	bcf:bcf_05610
ko:K01638	bcf:bcf_05670
ko:K01637	bcf:bcf_05675
ko:K03704	bcf:bcf_05685
ko:K02250	bcf:bcf_05700
ko:K03100	bcf:bcf_05710
ko:K06304	bcf:bcf_05730
ko:K06303	bcf:bcf_05735
ko:K06302	bcf:bcf_05740
ko:K06301	bcf:bcf_05745
ko:K06300	bcf:bcf_05750
ko:K06299	bcf:bcf_05755
ko:K01953	bcf:bcf_05790
ko:K01772	bcf:bcf_05795
ko:K03781	bcf:bcf_05800
ko:K07001	bcf:bcf_09805
ko:K00459	bcf:bcf_06925
ko:K03740	bcf:bcf_06930
ko:K03466	bcf:bcf_10970
ko:K00865	bcf:bcf_11085
ko:K03308	bcf:bcf_11115
ko:K09962	bcf:bcf_11125
ko:K01091	bcf:bcf_11135
ko:K01779	bcf:bcf_11150
ko:K01091	bcf:bcf_11190
ko:K07058	bcf:bcf_02300
ko:K01534	bcf:bcf_02305
ko:K03100	bcf:bcf_02320
ko:K07300	bcf:bcf_02350
ko:K01676	bcf:bcf_02370
ko:K01247	bcf:bcf_02380
ko:K06173	bcf:bcf_02390
ko:K06714	bcf:bcf_02400
ko:K01425	bcf:bcf_02445
ko:K00656	bcf:bcf_02490
ko:K04069	bcf:bcf_02495
ko:K07071	bcf:bcf_02520
ko:K03565	bcf:bcf_02525
ko:K06428	bcf:bcf_02540
ko:K03575	bcf:bcf_02555
ko:K06422	bcf:bcf_02565
ko:K00023	bcf:bcf_06665
ko:K03821	bcf:bcf_06670
ko:K01118	bcf:bcf_11235
