ko:K04082	rpl:H375_4180
ko:K00340	rpl:H375_7320
ko:K00339	rpl:H375_7330
ko:K01875	rpl:H375_7390
ko:K03118	rpl:H375_7400
ko:K00012	rpl:H375_7440
ko:K02337	rpl:H375_7450
ko:K00789	rpl:H375_7460
ko:K03110	rpl:H375_7480
ko:K02911	rpl:H375_7500
ko:K00648	rpl:H375_7510
ko:K03640	rpl:H375_7520
ko:K11720	rpl:H375_7530
ko:K03569	rpl:H375_7540
ko:K03570	rpl:H375_7550
ko:K00942	rpl:H375_7580
ko:K09458	rpl:H375_7590
ko:K02078	rpl:H375_7600
ko:K03650	rpl:H375_7640
ko:K15371	rpl:H375_7650
ko:K09888	rpl:H375_7680
ko:K00928	rpl:H375_7710
ko:K02899	rpl:H375_7720
ko:K02888	rpl:H375_7730
ko:K01095	rpl:H375_7740
ko:K03116	rpl:H375_7750
ko:K07056	rpl:H375_7770
ko:K10773	rpl:H375_7790
ko:K07390	rpl:H375_7800
ko:K06999	rpl:H375_7810
ko:K00600	rpl:H375_7820
ko:K03644	rpl:H375_7830
ko:K07042	rpl:H375_7840
ko:K03301	rpl:H375_7860
ko:K03821	rpl:H375_7870
ko:K02435	rpl:H375_4740
ko:K07146	rpl:H375_5040
ko:K04087	rpl:H375_5060
ko:K04088	rpl:H375_5070
ko:K07276	rpl:H375_5090
ko:K01159	rpl:H375_5100
ko:K03685	rpl:H375_5120
ko:K03100	rpl:H375_5130
ko:K03074	rpl:H375_5150
ko:K02884	rpl:H375_5170
ko:K00554	rpl:H375_5180
ko:K00925	rpl:H375_5190
ko:K03978	rpl:H375_5290
ko:K02909	rpl:H375_5300
ko:K02902	rpl:H375_5310
ko:K02065	rpl:H375_5330
ko:K02066	rpl:H375_5340
ko:K01775	rpl:H375_5350
ko:K07323	rpl:H375_5370
ko:K04754	rpl:H375_5380
ko:K00812	rpl:H375_5400
ko:K09778	rpl:H375_5410
ko:K02527	rpl:H375_5420
ko:K00242	rpl:H375_5020
ko:K02967	rpl:H375_5450
ko:K01883	rpl:H375_5460
ko:K03075	rpl:H375_5520
ko:K03762	rpl:H375_5530
ko:K07275	rpl:H375_5550
ko:K00325	rpl:H375_5560
ko:K09987	rpl:H375_5570
ko:K06879	rpl:H375_5580
ko:K13584	rpl:H375_5590
ko:K03071	rpl:H375_5600
ko:K01494	rpl:H375_5610
ko:K02621	rpl:H375_5630
ko:K01887	rpl:H375_5650
ko:K01129	rpl:H375_5660
ko:K01627	rpl:H375_5680
ko:K03501	rpl:H375_5730
ko:K03495	rpl:H375_5740
ko:K00940	rpl:H375_5750
ko:K02445	rpl:H375_5760
ko:K03301	rpl:H375_5770
ko:K00995	rpl:H375_5820
ko:K03217	rpl:H375_5830
ko:K16053	rpl:H375_5840
ko:K13292	rpl:H375_5850
ko:K00240	rpl:H375_5870
ko:K03798	rpl:H375_5880
ko:K04075	rpl:H375_5890
ko:K02939	rpl:H375_5900
ko:K02963	rpl:H375_5910
ko:K02990	rpl:H375_5920
ko:K03695	rpl:H375_5950
ko:K00023	rpl:H375_5960
ko:K02357	rpl:H375_5440
ko:K06985	rpl:H375_6480
ko:K09747	rpl:H375_6490
ko:K02343	rpl:H375_6500
ko:K00324	rpl:H375_6520
ko:K00324	rpl:H375_6530
