ko:K01697	cor:Cp267_0647
ko:K01586	cor:Cp267_0648
ko:K02034	cor:Cp267_0653
ko:K03724	cor:Cp267_0664
ko:K02600	cor:Cp267_1336
ko:K09748	cor:Cp267_1337
ko:K01881	cor:Cp267_1339
ko:K09861	cor:Cp267_1340
ko:K02224	cor:Cp267_1345
ko:K13580	cor:Cp267_1347
ko:K00116	cor:Cp267_1349
ko:K02232	cor:Cp267_1353
ko:K01265	cor:Cp267_1354
ko:K00099	cor:Cp267_1358
ko:K06941	cor:Cp267_1361
ko:K00981	cor:Cp267_1363
ko:K02838	cor:Cp267_1364
ko:K09903	cor:Cp267_1365
ko:K02357	cor:Cp267_1366
ko:K02967	cor:Cp267_1367
ko:K03733	cor:Cp267_1369
ko:K04096	cor:Cp267_1370
ko:K07391	cor:Cp267_1371
ko:K03470	cor:Cp267_1373
ko:K02884	cor:Cp267_1375
ko:K06959	cor:Cp267_1376
ko:K00554	cor:Cp267_1379
ko:K02860	cor:Cp267_1380
ko:K02959	cor:Cp267_1382
ko:K03106	cor:Cp267_1383
ko:K00990	cor:Cp267_1384
ko:K04751	cor:Cp267_1385
ko:K03110	cor:Cp267_1386
ko:K03529	cor:Cp267_1388
ko:K01512	cor:Cp267_1389
ko:K02994	cor:Cp267_0385
ko:K02933	cor:Cp267_0386
ko:K02881	cor:Cp267_0387
ko:K02988	cor:Cp267_0388
ko:K02907	cor:Cp267_0389
ko:K02876	cor:Cp267_0390
ko:K03076	cor:Cp267_0399
ko:K01265	cor:Cp267_0401
ko:K02518	cor:Cp267_0404
ko:K02952	cor:Cp267_0405
ko:K02948	cor:Cp267_0406
ko:K02986	cor:Cp267_0407
ko:K03040	cor:Cp267_0408
ko:K02879	cor:Cp267_0409
ko:K06173	cor:Cp267_0410
ko:K03466	cor:Cp267_0415
ko:K02871	cor:Cp267_0419
ko:K02996	cor:Cp267_0420
ko:K03431	cor:Cp267_0421
ko:K01775	cor:Cp267_0427
ko:K06925	cor:Cp267_0428
ko:K07085	cor:Cp267_0430
ko:K03789	cor:Cp267_0433
ko:K04078	cor:Cp267_0435
ko:K04077	cor:Cp267_0436
ko:K03088	cor:Cp267_0439
ko:K01772	cor:Cp267_1124
ko:K01681	cor:Cp267_1127
ko:K01951	cor:Cp267_1129
ko:K07166	cor:Cp267_1130
ko:K09157	cor:Cp267_1131
ko:K11717	cor:Cp267_1139
ko:K09013	cor:Cp267_1140
ko:K09015	cor:Cp267_1141
ko:K09014	cor:Cp267_1142
ko:K02259	cor:Cp267_1147
ko:K00615	cor:Cp267_1149
ko:K00036	cor:Cp267_1151
ko:K01057	cor:Cp267_1153
ko:K03075	cor:Cp267_1154
ko:K01595	cor:Cp267_1155
ko:K01803	cor:Cp267_1156
ko:K00927	cor:Cp267_1157
ko:K00134	cor:Cp267_1158
ko:K06958	cor:Cp267_1161
ko:K03703	cor:Cp267_1162
ko:K00794	cor:Cp267_1164
ko:K14652	cor:Cp267_1165
ko:K00793	cor:Cp267_1166
ko:K11752	cor:Cp267_1167
ko:K01783	cor:Cp267_1168
ko:K03500	cor:Cp267_1169
ko:K00604	cor:Cp267_1170
ko:K01462	cor:Cp267_1171
ko:K04066	cor:Cp267_1172
ko:K00789	cor:Cp267_1173
ko:K13038	cor:Cp267_1174
ko:K03060	cor:Cp267_1175
ko:K00942	cor:Cp267_1176
ko:K03306	cor:Cp267_1980
ko:K02013	cor:Cp267_1986
ko:K02015	cor:Cp267_1987
ko:K02016	cor:Cp267_1988
ko:K03190	cor:Cp267_1989
ko:K03189	cor:Cp267_1990
ko:K03188	cor:Cp267_1991
ko:K03187	cor:Cp267_1992
ko:K01428	cor:Cp267_1993
ko:K01429	cor:Cp267_1994
ko:K01430	cor:Cp267_1995
ko:K14260	cor:Cp267_1998
ko:K04567	cor:Cp267_2000
ko:K00012	cor:Cp267_2004
ko:K00605	cor:Cp267_1497
ko:K02437	cor:Cp267_1498
ko:K03801	cor:Cp267_1500
ko:K03644	cor:Cp267_1501
ko:K03427	cor:Cp267_1522
ko:K07084	cor:Cp267_1537
ko:K01733	cor:Cp267_1540
