ko:K06941	lmh:LMHCC_2160
ko:K10254	lmh:LMHCC_2161
ko:K06885	lmh:LMHCC_2163
ko:K09703	lmh:LMHCC_2172
ko:K03924	lmh:LMHCC_2175
ko:K03702	lmh:LMHCC_0111
ko:K03701	lmh:LMHCC_0112
ko:K08972	lmh:LMHCC_0116
ko:K06023	lmh:LMHCC_0117
ko:K06019	lmh:LMHCC_0119
ko:K00384	lmh:LMHCC_0122
ko:K01785	lmh:LMHCC_0124
ko:K09762	lmh:LMHCC_0128
ko:K03933	lmh:LMHCC_0132
ko:K06994	lmh:LMHCC_0137
ko:K03092	lmh:LMHCC_0139
ko:K05311	lmh:LMHCC_0140
ko:K02013	lmh:LMHCC_0596
ko:K02016	lmh:LMHCC_0597
ko:K02015	lmh:LMHCC_0598
ko:K02015	lmh:LMHCC_0599
ko:K04763	lmh:LMHCC_0601
ko:K01839	lmh:LMHCC_0602
ko:K03783	lmh:LMHCC_0603
ko:K01586	lmh:LMHCC_0604
ko:K05896	lmh:LMHCC_0605
ko:K06024	lmh:LMHCC_0606
ko:K06178	lmh:LMHCC_0607
ko:K07775	lmh:LMHCC_0608
ko:K07651	lmh:LMHCC_0609
ko:K03654	lmh:LMHCC_0614
ko:K00945	lmh:LMHCC_0617
ko:K02945	lmh:LMHCC_0618
ko:K03977	lmh:LMHCC_0619
ko:K00057	lmh:LMHCC_0620
ko:K03530	lmh:LMHCC_0622
ko:K01495	lmh:LMHCC_0623
ko:K03183	lmh:LMHCC_0625
ko:K00940	lmh:LMHCC_0627
ko:K01736	lmh:LMHCC_0628
ko:K01735	lmh:LMHCC_0629
ko:K06208	lmh:LMHCC_0630
ko:K00817	lmh:LMHCC_0631
ko:K00800	lmh:LMHCC_0633
ko:K06973	lmh:LMHCC_0637
ko:K07007	lmh:LMHCC_0638
ko:K00656	lmh:LMHCC_0639
ko:K03827	lmh:LMHCC_1527
ko:K01951	lmh:LMHCC_1537
ko:K02760	lmh:LMHCC_1538
ko:K00763	lmh:LMHCC_1541
ko:K00963	lmh:LMHCC_1549
ko:K09693	lmh:LMHCC_1555
ko:K09692	lmh:LMHCC_1556
ko:K02016	lmh:LMHCC_1557
ko:K03588	lmh:LMHCC_1559
ko:K06207	lmh:LMHCC_1564
ko:K03284	lmh:LMHCC_1567
ko:K00382	lmh:LMHCC_1572
ko:K00627	lmh:LMHCC_1573
ko:K00162	lmh:LMHCC_1574
ko:K00161	lmh:LMHCC_1575
ko:K03723	lmh:LMHCC_2429
ko:K01056	lmh:LMHCC_2430
ko:K02897	lmh:LMHCC_2432
ko:K00016	lmh:LMHCC_2433
ko:K01114	lmh:LMHCC_2438
ko:K11031	lmh:LMHCC_2441
ko:K00948	lmh:LMHCC_2444
ko:K04042	lmh:LMHCC_2445
ko:K06412	lmh:LMHCC_2446
ko:K06412	lmh:LMHCC_2447
ko:K00134	lmh:LMHCC_0141
ko:K00927	lmh:LMHCC_0142
ko:K01803	lmh:LMHCC_0143
ko:K01689	lmh:LMHCC_0145
ko:K03075	lmh:LMHCC_0149
ko:K03928	lmh:LMHCC_0150
ko:K03664	lmh:LMHCC_0152
ko:K07032	lmh:LMHCC_0165
ko:K03488	lmh:LMHCC_0166
ko:K02016	lmh:LMHCC_0171
ko:K02015	lmh:LMHCC_0172
ko:K01876	lmh:LMHCC_1050
ko:K03320	lmh:LMHCC_1053
ko:K07478	lmh:LMHCC_1055
ko:K00566	lmh:LMHCC_1057
ko:K03581	lmh:LMHCC_1060
ko:K02003	lmh:LMHCC_1064
ko:K01872	lmh:LMHCC_1065
ko:K07447	lmh:LMHCC_1067
ko:K07082	lmh:LMHCC_1070
ko:K00876	lmh:LMHCC_1073
ko:K03624	lmh:LMHCC_1074
ko:K07015	lmh:LMHCC_1078
ko:K00014	lmh:LMHCC_1080
ko:K07574	lmh:LMHCC_1081
ko:K00969	lmh:LMHCC_1082
ko:K09710	lmh:LMHCC_1084
ko:K01493	lmh:LMHCC_1087
ko:K02238	lmh:LMHCC_1088
ko:K02340	lmh:LMHCC_1089
ko:K02968	lmh:LMHCC_1090
ko:K03596	lmh:LMHCC_1091
