ko:K02409	tph:TPChic_0399
ko:K02410	tph:TPChic_0400
ko:K02411	tph:TPChic_0401
ko:K02412	tph:TPChic_0402
ko:K02413	tph:TPChic_0403
ko:K01776	tph:TPChic_0406
ko:K03210	tph:TPChic_0408a
ko:K03072	tph:TPChic_0410
ko:K03310	tph:TPChic_0414
ko:K03106	tph:TPChic_0416
ko:K03820	tph:TPChic_0417
ko:K03787	tph:TPChic_0419
ko:K03525	tph:TPChic_0431
ko:K06925	tph:TPChic_0875
ko:K00962	tph:TPChic_0886
ko:K02956	tph:TPChic_0887
ko:K11753	tph:TPChic_0888
ko:K02834	tph:TPChic_0890
ko:K02519	tph:TPChic_0891
ko:K02600	tph:TPChic_0892
ko:K09748	tph:TPChic_0893
ko:K03928	tph:TPChic_0902
ko:K01925	tph:TPChic_0903
ko:K02959	tph:TPChic_0905
ko:K06960	tph:TPChic_0906
ko:K02860	tph:TPChic_0907
ko:K00554	tph:TPChic_0908
ko:K04061	tph:TPChic_0911
ko:K07460	tph:TPChic_0913
ko:K06213	tph:TPChic_0917
ko:K03671	tph:TPChic_0919
ko:K07101	tph:TPChic_0050
ko:K02835	tph:TPChic_0051
ko:K02493	tph:TPChic_0052
ko:K01573	tph:TPChic_0055
ko:K02939	tph:TPChic_0060
ko:K02963	tph:TPChic_0061
ko:K02990	tph:TPChic_0063
ko:K06941	tph:TPChic_0068
ko:K03695	tph:TPChic_0071
ko:K09005	tph:TPChic_0087
ko:K03086	tph:TPChic_0493
ko:K07164	tph:TPChic_0494
ko:K03569	tph:TPChic_0497
ko:K03570	tph:TPChic_0498
ko:K03571	tph:TPChic_0499
ko:K05515	tph:TPChic_0500
ko:K05837	tph:TPChic_0501
ko:K00844	tph:TPChic_0505
ko:K03545	tph:TPChic_0506
ko:K01358	tph:TPChic_0507
ko:K03544	tph:TPChic_0508
ko:K03596	tph:TPChic_0510
ko:K07736	tph:TPChic_0511
ko:K12506	tph:TPChic_0512
ko:K03701	tph:TPChic_0514
ko:K03980	tph:TPChic_0516
ko:K01159	tph:TPChic_0517
ko:K01889	tph:TPChic_0973
ko:K07056	tph:TPChic_0975
ko:K03101	tph:TPChic_0978
ko:K03424	tph:TPChic_0979
ko:K04079	tph:TPChic_0984
ko:K01876	tph:TPChic_0985
ko:K03424	tph:TPChic_0994
ko:K04773	tph:TPChic_0997
ko:K03310	tph:TPChic_0998
ko:K03466	tph:TPChic_0999
ko:K06187	tph:TPChic_1004
ko:K02343	tph:TPChic_1005
ko:K02470	tph:TPChic_1006
ko:K00057	tph:TPChic_1009
ko:K00940	tph:TPChic_1010
ko:K04078	tph:TPChic_1013
ko:K03625	tph:TPChic_1015
ko:K01872	tph:TPChic_1017
ko:K02435	tph:TPChic_1019
ko:K03744	tph:TPChic_0571
ko:K02836	tph:TPChic_0576
ko:K03110	tph:TPChic_0578
ko:K09808	tph:TPChic_0580
ko:K09808	tph:TPChic_0582
ko:K01869	tph:TPChic_0586
ko:K03629	tph:TPChic_0003
ko:K02469	tph:TPChic_0005
ko:K01890	tph:TPChic_0015
ko:K03308	tph:TPChic_0023
ko:K02410	tph:TPChic_0026
ko:K00790	tph:TPChic_0029
ko:K04077	tph:TPChic_0030
ko:K09761	tph:TPChic_0032
ko:K09817	tph:TPChic_0035
ko:K09816	tph:TPChic_0036
ko:K03778	tph:TPChic_0037
ko:K08309	tph:TPChic_0043
ko:K03495	tph:TPChic_0044
ko:K09770	tph:TPChic_0047
ko:K03408	tph:TPChic_0439
ko:K00858	tph:TPChic_0441
ko:K03631	tph:TPChic_0442
ko:K03152	tph:TPChic_0445
ko:K00761	tph:TPChic_0448
ko:K02355	tph:TPChic_0450
ko:K01870	tph:TPChic_0452
ko:K06024	tph:TPChic_0458
ko:K06178	tph:TPChic_0459
ko:K03439	tph:TPChic_0464
ko:K03703	tph:TPChic_0472
ko:K01810	tph:TPChic_0475
ko:K00925	tph:TPChic_0476
ko:K00036	tph:TPChic_0478
ko:K03100	tph:TPChic_0926
ko:K01928	tph:TPChic_0933
ko:K07095	tph:TPChic_0937
ko:K03737	tph:TPChic_0939
ko:K02422	tph:TPChic_0943
ko:K01783	tph:TPChic_0945
ko:K03501	tph:TPChic_0946
ko:K03217	tph:TPChic_0949
ko:K08998	tph:TPChic_0949a
ko:K02914	tph:TPChic_0951
ko:K02395	tph:TPChic_0959
ko:K02392	tph:TPChic_0960
ko:K02392	tph:TPChic_0961
ko:K07230	tph:TPChic_0971
ko:K07243	tph:TPChic_0972
ko:K03775	tph:TPChic_0349
ko:K00147	tph:TPChic_0350
ko:K00931	tph:TPChic_0351
ko:K00943	tph:TPChic_0354
