ko:K02056	tpm:TPESAMD_0300
ko:K02057	tpm:TPESAMD_0301
ko:K02057	tpm:TPESAMD_0302
ko:K03572	tpm:TPESAMD_0303
ko:K01937	tpm:TPESAMD_0305
ko:K02986	tpm:TPESAMD_0306
ko:K03980	tpm:TPESAMD_0516
ko:K01159	tpm:TPESAMD_0517
ko:K00949	tpm:TPESAMD_0518
ko:K02343	tpm:TPESAMD_0521
ko:K03558	tpm:TPESAMD_0522
ko:K02563	tpm:TPESAMD_0523
ko:K01338	tpm:TPESAMD_0524
ko:K02356	tpm:TPESAMD_0525
ko:K02120	tpm:TPESAMD_0527
ko:K02118	tpm:TPESAMD_0528
ko:K02117	tpm:TPESAMD_0529
ko:K02121	tpm:TPESAMD_0530
ko:K02122	tpm:TPESAMD_0531
ko:K02123	tpm:TPESAMD_0533
ko:K03075	tpm:TPESAMD_0536
ko:K01803	tpm:TPESAMD_0537
ko:K00927	tpm:TPESAMD_0538
ko:K03550	tpm:TPESAMD_0543
ko:K07004	tpm:TPESAMD_0544
ko:K10540	tpm:TPESAMD_0545
ko:K03527	tpm:TPESAMD_0547
ko:K03696	tpm:TPESAMD_0549
ko:K03650	tpm:TPESAMD_0550
ko:K01091	tpm:TPESAMD_0554
ko:K01914	tpm:TPESAMD_0556
ko:K03151	tpm:TPESAMD_0559
ko:K00615	tpm:TPESAMD_0560
ko:K01573	tpm:TPESAMD_0055
ko:K01571	tpm:TPESAMD_0056
ko:K01572	tpm:TPESAMD_0057
ko:K02939	tpm:TPESAMD_0060
ko:K02963	tpm:TPESAMD_0061
ko:K02990	tpm:TPESAMD_0063
ko:K06941	tpm:TPESAMD_0068
ko:K03695	tpm:TPESAMD_0071
ko:K02025	tpm:TPESAMD_0075
ko:K03775	tpm:TPESAMD_0349
ko:K00147	tpm:TPESAMD_0350
ko:K00931	tpm:TPESAMD_0351
ko:K03469	tpm:TPESAMD_0353
ko:K02030	tpm:TPESAMD_0308
ko:K02030	tpm:TPESAMD_0309
ko:K08974	tpm:TPESAMD_0312
ko:K07335	tpm:TPESAMD_0319
ko:K02056	tpm:TPESAMD_0321
ko:K02057	tpm:TPESAMD_0322
ko:K02057	tpm:TPESAMD_0323
ko:K07277	tpm:TPESAMD_0326
ko:K06142	tpm:TPESAMD_0327
ko:K03555	tpm:TPESAMD_0328
ko:K00600	tpm:TPESAMD_0329
ko:K00033	tpm:TPESAMD_0331
ko:K07052	tpm:TPESAMD_0335
ko:K02528	tpm:TPESAMD_0337
ko:K06180	tpm:TPESAMD_0339
ko:K11754	tpm:TPESAMD_0340
ko:K01924	tpm:TPESAMD_0341
ko:K00945	tpm:TPESAMD_0342
ko:K03575	tpm:TPESAMD_0343
ko:K03723	tpm:TPESAMD_0344
ko:K01000	tpm:TPESAMD_0345
ko:K00075	tpm:TPESAMD_0090
ko:K01883	tpm:TPESAMD_0091
ko:K03088	tpm:TPESAMD_0092
ko:K09005	tpm:TPESAMD_0087
ko:K00625	tpm:TPESAMD_0094
ko:K02518	tpm:TPESAMD_0097
ko:K09903	tpm:TPESAMD_0099
ko:K06196	tpm:TPESAMD_0101
ko:K03657	tpm:TPESAMD_0102
ko:K03654	tpm:TPESAMD_0103
ko:K00820	tpm:TPESAMD_0861
ko:K03773	tpm:TPESAMD_0862
ko:K04487	tpm:TPESAMD_0863
ko:K07391	tpm:TPESAMD_0866
ko:K02406	tpm:TPESAMD_0868
ko:K02406	tpm:TPESAMD_0870
ko:K02407	tpm:TPESAMD_0872
