ko:K02967	hiu:HIB_10450
ko:K02357	hiu:HIB_10460
ko:K02536	hiu:HIB_10470
ko:K06142	hiu:HIB_10480
ko:K07277	hiu:HIB_10490
ko:K11749	hiu:HIB_10500
ko:K00981	hiu:HIB_10510
ko:K00806	hiu:HIB_10520
ko:K01869	hiu:HIB_10530
ko:K03643	hiu:HIB_10540
ko:K02340	hiu:HIB_10550
ko:K13288	hiu:HIB_18930
ko:K00990	hiu:HIB_18950
ko:K01265	hiu:HIB_18960
ko:K15724	hiu:HIB_18970
ko:K09910	hiu:HIB_18980
ko:K05365	hiu:HIB_18990
ko:K01923	hiu:HIB_19000
ko:K01940	hiu:HIB_19010
ko:K07160	hiu:HIB_19030
ko:K01147	hiu:HIB_19070
ko:K00208	hiu:HIB_19080
ko:K02837	hiu:HIB_19090
ko:K03576	hiu:HIB_19140
ko:K01776	hiu:HIB_19160
ko:K03655	hiu:HIB_19170
ko:K03060	hiu:HIB_19190
ko:K00942	hiu:HIB_19200
ko:K02505	hiu:HIB_04160
ko:K02504	hiu:HIB_04170
ko:K02682	hiu:HIB_04180
ko:K03806	hiu:HIB_04190
ko:K06189	hiu:HIB_04200
ko:K03820	hiu:HIB_04210
ko:K09761	hiu:HIB_04220
ko:K07735	hiu:HIB_04230
ko:K07447	hiu:HIB_04240
ko:K03554	hiu:HIB_04250
ko:K00286	hiu:HIB_04260
ko:K05820	hiu:HIB_04270
ko:K03551	hiu:HIB_04300
ko:K03550	hiu:HIB_04310
ko:K01159	hiu:HIB_04320
ko:K08310	hiu:HIB_04340
ko:K01876	hiu:HIB_04350
ko:K15256	hiu:HIB_04370
ko:K03683	hiu:HIB_04390
ko:K07084	hiu:HIB_04400
ko:K02356	hiu:HIB_04420
ko:K03584	hiu:HIB_04460
ko:K03215	hiu:HIB_04470
ko:K00901	hiu:HIB_04490
ko:K03831	hiu:HIB_04500
ko:K04751	hiu:HIB_04510
ko:K04066	hiu:HIB_04530
ko:K03439	hiu:HIB_04540
ko:K09923	hiu:HIB_04550
ko:K02572	hiu:HIB_04560
ko:K02570	hiu:HIB_04570
ko:K02567	hiu:HIB_04580
ko:K02573	hiu:HIB_04590
ko:K02568	hiu:HIB_04610
ko:K08218	hiu:HIB_04640
ko:K15598	hiu:HIB_04690
ko:K15580	hiu:HIB_12830
ko:K03925	hiu:HIB_12860
ko:K03438	hiu:HIB_12870
ko:K03586	hiu:HIB_12880
ko:K03587	hiu:HIB_12890
ko:K01928	hiu:HIB_12900
ko:K01929	hiu:HIB_12910
ko:K01000	hiu:HIB_12920
ko:K01925	hiu:HIB_12930
ko:K03588	hiu:HIB_12940
ko:K02563	hiu:HIB_12950
ko:K01924	hiu:HIB_12960
ko:K01921	hiu:HIB_12970
ko:K03589	hiu:HIB_12980
ko:K03590	hiu:HIB_12990
ko:K03531	hiu:HIB_13000
ko:K02535	hiu:HIB_13010
ko:K14170	hiu:HIB_13020
ko:K06958	hiu:HIB_13030
ko:K06861	hiu:HIB_13050
ko:K09774	hiu:HIB_13060
ko:K11719	hiu:HIB_13070
ko:K09889	hiu:HIB_13080
ko:K03592	hiu:HIB_13090
ko:K00760	hiu:HIB_13100
ko:K06956	hiu:HIB_13120
ko:K00384	hiu:HIB_13160
ko:K05838	hiu:HIB_13170
ko:K01772	hiu:HIB_13180
ko:K07390	hiu:HIB_13220
ko:K00817	hiu:HIB_13230
ko:K00831	hiu:HIB_13240
ko:K09802	hiu:HIB_13250
ko:K01665	hiu:HIB_13270
ko:K00789	hiu:HIB_13290
ko:K02742	hiu:HIB_13300
ko:K09999	hiu:HIB_13340
ko:K09997	hiu:HIB_13350
ko:K09810	hiu:HIB_17070
ko:K07666	hiu:HIB_18850
ko:K13927	hiu:HIB_00210
ko:K02487	hiu:HIB_00960
ko:K07213	hiu:HIB_04080
ko:K07213	hiu:HIB_04090
ko:K04753	hiu:HIB_08640
ko:K00537	hiu:HIB_02980
ko:K01090	hiu:HIB_17540
ko:K01175	hiu:HIB_02440
ko:K01185	hiu:HIB_03640
ko:K07268	hiu:HIB_04440
ko:K06992	hiu:HIB_15100
ko:K07149	hiu:HIB_06460
ko:K06218	hiu:HIB_10580
ko:K08992	hiu:HIB_13800
ko:K02529	hiu:HIB_06320
ko:K02553	hiu:HIB_06340
ko:K02548	hiu:HIB_06350
ko:K03304	hiu:HIB_06370
ko:K03046	hiu:HIB_06380
ko:K03043	hiu:HIB_06390
