ko:K01778	bamt:AJ82_16570
ko:K03317	bamt:AJ82_16580
ko:K03885	bamt:AJ82_16590
ko:K00872	bamt:AJ82_16610
ko:K01733	bamt:AJ82_16615
ko:K00003	bamt:AJ82_16620
ko:K03644	bamt:AJ82_16660
ko:K07090	bamt:AJ82_16680
ko:K01466	bamt:AJ82_16695
ko:K09684	bamt:AJ82_16700
ko:K06366	bamt:AJ82_16715
ko:K08153	bamt:AJ82_16740
ko:K02083	bamt:AJ82_16750
ko:K10112	bamt:AJ82_16760
ko:K10711	bamt:AJ82_16765
ko:K10710	bamt:AJ82_16770
ko:K10119	bamt:AJ82_16775
ko:K10118	bamt:AJ82_16780
ko:K10117	bamt:AJ82_16785
ko:K10708	bamt:AJ82_16790
ko:K00285	bamt:AJ82_16825
ko:K09014	bamt:AJ82_16850
ko:K04488	bamt:AJ82_16855
ko:K11717	bamt:AJ82_16860
ko:K09015	bamt:AJ82_16865
ko:K09013	bamt:AJ82_16870
ko:K02073	bamt:AJ82_16890
ko:K02072	bamt:AJ82_16895
ko:K02071	bamt:AJ82_16900
ko:K07476	bamt:AJ82_16920
ko:K02437	bamt:AJ82_16930
ko:K00537	bamt:AJ82_16935
ko:K07516	bamt:AJ82_16950
ko:K00318	bamt:AJ82_16960
ko:K01574	bamt:AJ82_16990
ko:K00077	bamt:AJ82_16995
ko:K02013	bamt:AJ82_17010
ko:K04047	bamt:AJ82_17030
ko:K07770	bamt:AJ82_17045
ko:K07650	bamt:AJ82_17050
ko:K01679	bamt:AJ82_17070
ko:K06290	bamt:AJ82_17090
ko:K11618	bamt:AJ82_17095
ko:K11617	bamt:AJ82_17100
ko:K11622	bamt:AJ82_17105
ko:K11621	bamt:AJ82_17110
ko:K11619	bamt:AJ82_17120
ko:K02013	bamt:AJ82_17135
ko:K02015	bamt:AJ82_17140
ko:K02016	bamt:AJ82_17145
ko:K01569	bamt:AJ82_17185
ko:K02013	bamt:AJ82_17195
ko:K02015	bamt:AJ82_17200
ko:K02015	bamt:AJ82_17205
ko:K02016	bamt:AJ82_17210
ko:K03758	bamt:AJ82_17215
ko:K06427	bamt:AJ82_17225
ko:K07038	bamt:AJ82_17235
ko:K07219	bamt:AJ82_17245
ko:K02020	bamt:AJ82_17250
ko:K02018	bamt:AJ82_17255
ko:K01992	bamt:AJ82_17275
ko:K03316	bamt:AJ82_17295
ko:K00381	bamt:AJ82_17305
ko:K00380	bamt:AJ82_17310
ko:K03657	bamt:AJ82_17315
ko:K03611	bamt:AJ82_17330
ko:K01534	bamt:AJ82_17340
ko:K17686	bamt:AJ82_17345
ko:K07213	bamt:AJ82_17350
ko:K01118	bamt:AJ82_17365
ko:K01607	bamt:AJ82_17385
ko:K07045	bamt:AJ82_17390
ko:K16959	bamt:AJ82_17420
ko:K02103	bamt:AJ82_17700
ko:K00851	bamt:AJ82_17770
ko:K03299	bamt:AJ82_17775
ko:K00782	bamt:AJ82_17780
ko:K05825	bamt:AJ82_17795
ko:K03303	bamt:AJ82_17805
ko:K03092	bamt:AJ82_17810
ko:K03929	bamt:AJ82_17905
ko:K13727	bamt:AJ82_17930
ko:K01193	bamt:AJ82_17985
ko:K02532	bamt:AJ82_17990
ko:K03484	bamt:AJ82_17995
ko:K01358	bamt:AJ82_18005
ko:K07282	bamt:AJ82_18655
ko:K06295	bamt:AJ82_18680
ko:K02529	bamt:AJ82_18695
ko:K00852	bamt:AJ82_18700
ko:K06726	bamt:AJ82_18705
ko:K10441	bamt:AJ82_18710
ko:K10440	bamt:AJ82_18715
ko:K10439	bamt:AJ82_18720
ko:K01575	bamt:AJ82_18735
ko:K01652	bamt:AJ82_18740
ko:K03893	bamt:AJ82_18755
ko:K06325	bamt:AJ82_18765
ko:K06330	bamt:AJ82_18770
ko:K07240	bamt:AJ82_18810
ko:K07240	bamt:AJ82_18815
ko:K05982	bamt:AJ82_18820
ko:K00012	bamt:AJ82_18865
ko:K01104	bamt:AJ82_18875
ko:K03282	bamt:AJ82_18935
ko:K02372	bamt:AJ82_18940
ko:K03581	bamt:AJ82_13885
ko:K00566	bamt:AJ82_13895
ko:K04487	bamt:AJ82_13900
