ko:K00703	bans:BAPAT_4911
ko:K00975	bans:BAPAT_4912
ko:K00975	bans:BAPAT_4913
ko:K00700	bans:BAPAT_4914
ko:K00016	bans:BAPAT_4915
ko:K07507	bans:BAPAT_4917
ko:K10716	bans:BAPAT_4918
ko:K01810	bans:BAPAT_4920
ko:K09779	bans:BAPAT_4921
ko:K07570	bans:BAPAT_4922
ko:K10907	bans:BAPAT_4923
ko:K00090	bans:BAPAT_4925
ko:K14155	bans:BAPAT_4928
ko:K06347	bans:BAPAT_4931
ko:K06348	bans:BAPAT_4932
ko:K01448	bans:BAPAT_pXO20051
ko:K07052	bans:BAPAT_pXO20058
ko:K07282	bans:BAPAT_pXO20071
ko:K03100	bans:BAPAT_pXO20078
ko:K07052	bans:BAPAT_pXO20090
ko:K15580	bans:BAPAT_pXO20091
ko:K01814	bans:BAPAT_1346
ko:K02500	bans:BAPAT_1347
ko:K01496	bans:BAPAT_1348
ko:K01523	bans:BAPAT_1349
ko:K04486	bans:BAPAT_1350
ko:K17103	bans:BAPAT_1353
ko:K01586	bans:BAPAT_1356
ko:K00390	bans:BAPAT_1358
ko:K00958	bans:BAPAT_1359
ko:K00860	bans:BAPAT_1360
ko:K00366	bans:BAPAT_1361
ko:K02303	bans:BAPAT_1363
ko:K02304	bans:BAPAT_1365
ko:K03308	bans:BAPAT_1366
ko:K11102	bans:BAPAT_1368
ko:K11619	bans:BAPAT_1371
ko:K11622	bans:BAPAT_1373
ko:K11617	bans:BAPAT_1374
ko:K11618	bans:BAPAT_1375
ko:K03311	bans:BAPAT_1377
ko:K05916	bans:BAPAT_1383
ko:K07090	bans:BAPAT_1386
ko:K03306	bans:BAPAT_1387
ko:K07220	bans:BAPAT_1388
ko:K03784	bans:BAPAT_1398
ko:K14205	bans:BAPAT_1401
ko:K03310	bans:BAPAT_2275
ko:K03310	bans:BAPAT_2276
ko:K06182	bans:BAPAT_2280
ko:K01868	bans:BAPAT_2282
ko:K02003	bans:BAPAT_2283
ko:K02003	bans:BAPAT_2284
ko:K02004	bans:BAPAT_2285
ko:K02033	bans:BAPAT_2289
ko:K02034	bans:BAPAT_2290
ko:K07238	bans:BAPAT_2291
ko:K06994	bans:BAPAT_2302
ko:K03825	bans:BAPAT_2307
ko:K00231	bans:BAPAT_2313
ko:K03704	bans:BAPAT_2317
ko:K07052	bans:BAPAT_2318
ko:K00133	bans:BAPAT_2330
ko:K00058	bans:BAPAT_3176
ko:K00831	bans:BAPAT_3177
ko:K03088	bans:BAPAT_3180
ko:K01434	bans:BAPAT_3186
ko:K01992	bans:BAPAT_3202
ko:K01990	bans:BAPAT_3203
ko:K11031	bans:BAPAT_3210
ko:K02106	bans:BAPAT_3211
ko:K00355	bans:BAPAT_3213
ko:K16927	bans:BAPAT_3219
ko:K16786	bans:BAPAT_3220
ko:K16787	bans:BAPAT_3220
ko:K16785	bans:BAPAT_3221
ko:K02553	bans:BAPAT_3224
ko:K06889	bans:BAPAT_3228
ko:K03480	bans:BAPAT_4095
ko:K03710	bans:BAPAT_4097
ko:K02564	bans:BAPAT_4098
ko:K01443	bans:BAPAT_4099
ko:K06024	bans:BAPAT_4101
ko:K05896	bans:BAPAT_4102
ko:K09763	bans:BAPAT_4103
ko:K02859	bans:BAPAT_4104
ko:K03768	bans:BAPAT_4106
ko:K06408	bans:BAPAT_4109
ko:K06407	bans:BAPAT_4110
ko:K06407	bans:BAPAT_4111
ko:K06406	bans:BAPAT_4112
ko:K06405	bans:BAPAT_4113
ko:K06404	bans:BAPAT_4114
ko:K06403	bans:BAPAT_4115
ko:K03308	bans:BAPAT_4117
ko:K03091	bans:BAPAT_4118
ko:K06379	bans:BAPAT_4119
ko:K07258	bans:BAPAT_4121
ko:K07979	bans:BAPAT_4122
ko:K01990	bans:BAPAT_4123
ko:K09807	bans:BAPAT_4128
ko:K06901	bans:BAPAT_4129
ko:K03284	bans:BAPAT_4130
ko:K00756	bans:BAPAT_4131
ko:K03783	bans:BAPAT_4132
ko:K01839	bans:BAPAT_4133
ko:K04763	bans:BAPAT_4135
ko:K03711	bans:BAPAT_4137
ko:K01515	bans:BAPAT_4141
ko:K01081	bans:BAPAT_4147
ko:K01880	bans:BAPAT_4937
ko:K03523	bans:BAPAT_4940
ko:K00963	bans:BAPAT_4942
ko:K01835	bans:BAPAT_4943
ko:K01255	bans:BAPAT_4945
ko:K03885	bans:BAPAT_4949
ko:K01778	bans:BAPAT_4960
ko:K03885	bans:BAPAT_4962
ko:K02068	bans:BAPAT_4964
ko:K02069	bans:BAPAT_4965
ko:K06193	bans:BAPAT_4966
ko:K07052	bans:BAPAT_4972
ko:K00355	bans:BAPAT_4980
ko:K02446	bans:BAPAT_4984
ko:K07038	bans:BAPAT_pXO20108
ko:K02035	bans:BAPAT_4539
ko:K02034	bans:BAPAT_4540
ko:K02033	bans:BAPAT_4541
ko:K06188	bans:BAPAT_4551
ko:K01992	bans:BAPAT_4553
ko:K01990	bans:BAPAT_4554
ko:K02557	bans:BAPAT_4556
ko:K02557	bans:BAPAT_4557
ko:K02556	bans:BAPAT_4558
ko:K07260	bans:BAPAT_4559
ko:K07107	bans:BAPAT_4560
ko:K00240	bans:BAPAT_4561
ko:K00239	bans:BAPAT_4562
ko:K00241	bans:BAPAT_4563
ko:K03703	bans:BAPAT_4565
ko:K03671	bans:BAPAT_4566
ko:K03522	bans:BAPAT_4567
ko:K03521	bans:BAPAT_4568
ko:K13767	bans:BAPAT_4569
ko:K13770	bans:BAPAT_4570
ko:K01897	bans:BAPAT_4571
ko:K02016	bans:BAPAT_4574
ko:K02015	bans:BAPAT_4575
ko:K03088	bans:BAPAT_5378
ko:K01887	bans:BAPAT_5379
ko:K01480	bans:BAPAT_5385
ko:K00797	bans:BAPAT_5386
ko:K01126	bans:BAPAT_5389
ko:K01821	bans:BAPAT_5393
ko:K06885	bans:BAPAT_5394
ko:K02016	bans:BAPAT_5395
ko:K02013	bans:BAPAT_5396
ko:K02015	bans:BAPAT_5397
ko:K02015	bans:BAPAT_5398
ko:K06314	bans:BAPAT_5400
ko:K16869	bans:BAPAT_5402
ko:K00625	bans:BAPAT_5403
ko:K01449	bans:BAPAT_5406
ko:K06305	bans:BAPAT_5407
ko:K10716	bans:BAPAT_5410
ko:K03648	bans:BAPAT_5414
ko:K00003	bans:BAPAT_5420
ko:K00651	bans:BAPAT_5421
ko:K01740	bans:BAPAT_5422
ko:K01560	bans:BAPAT_5424
ko:K01118	bans:BAPAT_5426
ko:K04564	bans:BAPAT_1404
ko:K06373	bans:BAPAT_1406
ko:K06374	bans:BAPAT_1407
ko:K06178	bans:BAPAT_1408
ko:K07399	bans:BAPAT_1410
ko:K07775	bans:BAPAT_1412
ko:K07651	bans:BAPAT_1413
ko:K05337	bans:BAPAT_1418
ko:K03654	bans:BAPAT_1420
ko:K07052	bans:BAPAT_1421
ko:K16511	bans:BAPAT_1426
ko:K00260	bans:BAPAT_1427
ko:K00384	bans:BAPAT_1431
ko:K01424	bans:BAPAT_1432
ko:K00945	bans:BAPAT_1433
ko:K02945	bans:BAPAT_1434
ko:K01823	bans:BAPAT_1435
ko:K05739	bans:BAPAT_1438
ko:K03977	bans:BAPAT_1440
ko:K00057	bans:BAPAT_1441
ko:K06398	bans:BAPAT_1445
ko:K03530	bans:BAPAT_1446
ko:K01495	bans:BAPAT_1447
ko:K00805	bans:BAPAT_1448
ko:K03183	bans:BAPAT_1449
ko:K00805	bans:BAPAT_1450
ko:K00940	bans:BAPAT_1451
ko:K01736	bans:BAPAT_1452
ko:K01735	bans:BAPAT_1453
ko:K00817	bans:BAPAT_1454
ko:K03886	bans:BAPAT_1458
ko:K03887	bans:BAPAT_1459
ko:K03888	bans:BAPAT_1460
ko:K09702	bans:BAPAT_2336
ko:K01448	bans:BAPAT_2339
ko:K03088	bans:BAPAT_2347
ko:K02760	bans:BAPAT_2354
