ko:K06023	xoz:BE73_16220
ko:K06958	xoz:BE73_16225
ko:K02821	xoz:BE73_16230
ko:K11189	xoz:BE73_16235
ko:K08483	xoz:BE73_16240
ko:K06213	xoz:BE73_16245
ko:K00426	xoz:BE73_16255
ko:K00425	xoz:BE73_16260
ko:K18457	xoz:BE73_16275
ko:K07782	xoz:BE73_16280
ko:K03797	xoz:BE73_20725
ko:K07497	xoz:BE73_20735
ko:K07497	xoz:BE73_20755
ko:K03644	xoz:BE73_20775
ko:K03801	xoz:BE73_20780
ko:K09158	xoz:BE73_20785
ko:K07258	xoz:BE73_20795
ko:K03642	xoz:BE73_20805
ko:K08305	xoz:BE73_20810
ko:K07497	xoz:BE73_20820
ko:K07481	xoz:BE73_20840
ko:K05837	xoz:BE73_20890
ko:K05515	xoz:BE73_20895
ko:K03571	xoz:BE73_20900
ko:K03570	xoz:BE73_20905
ko:K03569	xoz:BE73_20910
ko:K00856	xoz:BE73_20915
ko:K03183	xoz:BE73_20940
ko:K02348	xoz:BE73_20955
ko:K01485	xoz:BE73_20960
ko:K03667	xoz:BE73_20965
ko:K01419	xoz:BE73_20970
ko:K03733	xoz:BE73_20975
ko:K09921	xoz:BE73_20980
ko:K01778	xoz:BE73_20985
ko:K09790	xoz:BE73_20995
ko:K01354	xoz:BE73_21000
ko:K07497	xoz:BE73_03485
ko:K07481	xoz:BE73_03495
ko:K07481	xoz:BE73_03535
ko:K09019	xoz:BE73_03555
ko:K07276	xoz:BE73_03560
ko:K09125	xoz:BE73_03585
ko:K00982	xoz:BE73_03590
ko:K07481	xoz:BE73_03615
ko:K01990	xoz:BE73_03625
ko:K01992	xoz:BE73_03630
ko:K01992	xoz:BE73_03635
ko:K02014	xoz:BE73_03640
ko:K07481	xoz:BE73_03705
ko:K00426	xoz:BE73_03715
ko:K00425	xoz:BE73_03720
ko:K06915	xoz:BE73_03745
ko:K07481	xoz:BE73_03750
ko:K07386	xoz:BE73_03815
ko:K15977	xoz:BE73_03840
ko:K01972	xoz:BE73_08675
ko:K04568	xoz:BE73_08680
ko:K08963	xoz:BE73_08690
ko:K02469	xoz:BE73_08695
ko:K07497	xoz:BE73_08705
ko:K01868	xoz:BE73_08710
ko:K02520	xoz:BE73_08715
ko:K02916	xoz:BE73_08720
ko:K02887	xoz:BE73_08725
ko:K01889	xoz:BE73_08730
ko:K01890	xoz:BE73_08735
ko:K04764	xoz:BE73_08740
ko:K01991	xoz:BE73_08755
ko:K13662	xoz:BE73_08775
ko:K13663	xoz:BE73_08780
ko:K13657	xoz:BE73_08790
ko:K13659	xoz:BE73_08805
ko:K13660	xoz:BE73_08815
ko:K09705	xoz:BE73_08820
ko:K01662	xoz:BE73_08835
ko:K03098	xoz:BE73_08855
ko:K03575	xoz:BE73_08900
ko:K03110	xoz:BE73_08910
ko:K02396	xoz:BE73_11390
ko:K02395	xoz:BE73_11395
ko:K02394	xoz:BE73_11400
ko:K02393	xoz:BE73_11405
ko:K02392	xoz:BE73_11410
ko:K02391	xoz:BE73_11415
ko:K02390	xoz:BE73_11420
ko:K02389	xoz:BE73_11425
ko:K02388	xoz:BE73_11430
ko:K02387	xoz:BE73_11435
ko:K03415	xoz:BE73_11440
ko:K02386	xoz:BE73_11445
ko:K02398	xoz:BE73_11450
ko:K03406	xoz:BE73_11490
ko:K07153	xoz:BE73_11495
ko:K00566	xoz:BE73_11500
ko:K06891	xoz:BE73_11515
ko:K03694	xoz:BE73_11520
ko:K02518	xoz:BE73_11525
ko:K00684	xoz:BE73_11530
ko:K07481	xoz:BE73_11540
ko:K09919	xoz:BE73_11560
ko:K00384	xoz:BE73_11565
ko:K03466	xoz:BE73_11570
ko:K03634	xoz:BE73_11580
ko:K07478	xoz:BE73_11590
ko:K06199	xoz:BE73_11600
ko:K07516	xoz:BE73_11620
ko:K00940	xoz:BE73_11630
ko:K06941	xoz:BE73_11635
ko:K02656	xoz:BE73_11640
ko:K15539	xoz:BE73_11645
ko:K17713	xoz:BE73_11655
ko:K03977	xoz:BE73_11660
ko:K03750	xoz:BE73_11665
ko:K14266	xoz:BE73_16315
ko:K13639	xoz:BE73_16345
ko:K08989	xoz:BE73_16390
ko:K10716	xoz:BE73_16400
ko:K09980	xoz:BE73_16410
ko:K00275	xoz:BE73_16415
ko:K00891	xoz:BE73_16425
ko:K01735	xoz:BE73_16430
ko:K01599	xoz:BE73_16440
ko:K07481	xoz:BE73_16445
ko:K07481	xoz:BE73_16460
ko:K11907	xoz:BE73_16515
ko:K11895	xoz:BE73_16520
ko:K11896	xoz:BE73_16525
ko:K11897	xoz:BE73_16530
ko:K11903	xoz:BE73_16535
ko:K11900	xoz:BE73_16540
ko:K11901	xoz:BE73_16545
ko:K11906	xoz:BE73_16555
ko:K11893	xoz:BE73_16560
ko:K11892	xoz:BE73_16565
ko:K11892	xoz:BE73_16610
ko:K01322	xoz:BE73_21020
ko:K03098	xoz:BE73_21035
ko:K07283	xoz:BE73_21045
ko:K01749	xoz:BE73_21050
ko:K08083	xoz:BE73_21055
ko:K08082	xoz:BE73_21060
ko:K06999	xoz:BE73_21065
ko:K03669	xoz:BE73_21070
ko:K03321	xoz:BE73_21090
ko:K01194	xoz:BE73_21145
ko:K03284	xoz:BE73_21180
ko:K11737	xoz:BE73_21190
ko:K07481	xoz:BE73_21195
ko:K07481	xoz:BE73_21200
ko:K07497	xoz:BE73_21205
ko:K06983	xoz:BE73_21240
ko:K00163	xoz:BE73_21310
ko:K01626	xoz:BE73_21335
ko:K04077	xoz:BE73_21350
ko:K04078	xoz:BE73_21355
ko:K03316	xoz:BE73_03865
ko:K01990	xoz:BE73_03870
ko:K01992	xoz:BE73_03875
ko:K14645	xoz:BE73_03890
ko:K02557	xoz:BE73_03920
ko:K02556	xoz:BE73_03925
ko:K07305	xoz:BE73_03940
ko:K03719	xoz:BE73_03950
ko:K00285	xoz:BE73_03955
ko:K01775	xoz:BE73_03960
ko:K00564	xoz:BE73_04005
ko:K06183	xoz:BE73_04010
ko:K09941	xoz:BE73_04025
ko:K09767	xoz:BE73_04060
ko:K02071	xoz:BE73_04070
ko:K02072	xoz:BE73_04075
ko:K02073	xoz:BE73_04080
ko:K07275	xoz:BE73_04095
ko:K00627	xoz:BE73_04110
ko:K00382	xoz:BE73_04120
ko:K02108	xoz:BE73_04140
ko:K02110	xoz:BE73_04145
ko:K02109	xoz:BE73_04150
ko:K02113	xoz:BE73_04155
ko:K02111	xoz:BE73_04160
ko:K02115	xoz:BE73_04165
ko:K08677	xoz:BE73_09005
ko:K07497	xoz:BE73_09050
ko:K04079	xoz:BE73_09065
ko:K08316	xoz:BE73_09070
ko:K00954	xoz:BE73_09075
ko:K00681	xoz:BE73_09095
ko:K00761	xoz:BE73_09105
ko:K01083	xoz:BE73_09115
ko:K07568	xoz:BE73_09155
ko:K00773	xoz:BE73_09160
ko:K03210	xoz:BE73_09165
ko:K03072	xoz:BE73_09170
ko:K03074	xoz:BE73_09175
ko:K07481	xoz:BE73_09220
ko:K07267	xoz:BE73_09280
ko:K02769	xoz:BE73_09285
ko:K02770	xoz:BE73_09285
ko:K00882	xoz:BE73_09290
ko:K02768	xoz:BE73_09295
ko:K08483	xoz:BE73_09295
ko:K11183	xoz:BE73_09295
ko:K03435	xoz:BE73_09300
ko:K18138	xoz:BE73_09310
ko:K03585	xoz:BE73_09315
ko:K03750	xoz:BE73_11715
ko:K03752	xoz:BE73_11720
ko:K02304	xoz:BE73_11745
