ko:K03642	nmw:NMAA_1712
ko:K03550	nmw:NMAA_1714
ko:K06949	nmw:NMAA_1716
ko:K03602	nmw:NMAA_1717
ko:K00795	nmw:NMAA_1718
ko:K00343	nmw:NMAA_1720
ko:K00342	nmw:NMAA_1721
ko:K00341	nmw:NMAA_1724
ko:K04095	nmw:NMAA_1726
ko:K00340	nmw:NMAA_1727
ko:K00339	nmw:NMAA_1728
ko:K02841	nmw:NMAA_1935
ko:K08281	nmw:NMAA_1936
ko:K00134	nmw:NMAA_1938
ko:K03555	nmw:NMAA_1939
ko:K00788	nmw:NMAA_0087
ko:K03568	nmw:NMAA_0090
ko:K07084	nmw:NMAA_0091
ko:K03745	nmw:NMAA_0092
ko:K01595	nmw:NMAA_0094
ko:K00057	nmw:NMAA_0095
ko:K09888	nmw:NMAA_0097
ko:K02871	nmw:NMAA_0098
ko:K02996	nmw:NMAA_0099
ko:K03576	nmw:NMAA_0100
ko:K00411	nmw:NMAA_0102
ko:K00412	nmw:NMAA_0103
ko:K00413	nmw:NMAA_0104
ko:K09760	nmw:NMAA_0105
ko:K00760	nmw:NMAA_0108
ko:K03147	nmw:NMAA_0114
ko:K06173	nmw:NMAA_0118
ko:K07043	nmw:NMAA_0119
ko:K00655	nmw:NMAA_0120
ko:K03273	nmw:NMAA_0121
ko:K03835	nmw:NMAA_0125
ko:K02204	nmw:NMAA_0127
ko:K02063	nmw:NMAA_0130
ko:K01673	nmw:NMAA_0131
ko:K00969	nmw:NMAA_0132
ko:K09710	nmw:NMAA_0133
ko:K06199	nmw:NMAA_0832
ko:K03466	nmw:NMAA_0834
ko:K00147	nmw:NMAA_0835
ko:K00931	nmw:NMAA_0836
ko:K01649	nmw:NMAA_0837
ko:K07039	nmw:NMAA_0838
ko:K13292	nmw:NMAA_0839
ko:K00930	nmw:NMAA_0841
ko:K10763	nmw:NMAA_0844
ko:K01448	nmw:NMAA_0862
ko:K11752	nmw:NMAA_0326
ko:K07738	nmw:NMAA_0327
ko:K01735	nmw:NMAA_0329
ko:K00891	nmw:NMAA_0330
ko:K02666	nmw:NMAA_0331
ko:K02662	nmw:NMAA_0335
ko:K05366	nmw:NMAA_0336
ko:K03978	nmw:NMAA_0337
ko:K07399	nmw:NMAA_0339
ko:K02517	nmw:NMAA_0342
ko:K00789	nmw:NMAA_0343
ko:K07259	nmw:NMAA_0344
ko:K03300	nmw:NMAA_0346
ko:K08301	nmw:NMAA_0347
ko:K03071	nmw:NMAA_0349
ko:K03655	nmw:NMAA_0350
ko:K00145	nmw:NMAA_0351
ko:K15125	nmw:NMAA_0358
ko:K00627	nmw:NMAA_1070
ko:K00382	nmw:NMAA_1071
ko:K09977	nmw:NMAA_1076
ko:K03500	nmw:NMAA_1078
ko:K08324	nmw:NMAA_1080
ko:K02435	nmw:NMAA_1082
ko:K09824	nmw:NMAA_1084
ko:K02434	nmw:NMAA_1085
ko:K00275	nmw:NMAA_1087
ko:K06178	nmw:NMAA_1088
ko:K03601	nmw:NMAA_1090
ko:K07322	nmw:NMAA_1092
ko:K03671	nmw:NMAA_1093
ko:K06969	nmw:NMAA_1094
ko:K03544	nmw:NMAA_1099
ko:K02834	nmw:NMAA_1100
ko:K13643	nmw:NMAA_1105
ko:K04487	nmw:NMAA_1106
ko:K09890	nmw:NMAA_1110
ko:K04082	nmw:NMAA_1111
ko:K02469	nmw:NMAA_1112
ko:K01810	nmw:NMAA_1114
ko:K02907	nmw:NMAA_1820
ko:K02988	nmw:NMAA_1821
ko:K02881	nmw:NMAA_1822
ko:K02933	nmw:NMAA_1823
ko:K02994	nmw:NMAA_1824
ko:K02954	nmw:NMAA_1825
ko:K02931	nmw:NMAA_1826
ko:K02895	nmw:NMAA_1827
ko:K02874	nmw:NMAA_1828
ko:K02961	nmw:NMAA_1829
ko:K02904	nmw:NMAA_1830
ko:K02878	nmw:NMAA_1831
ko:K02982	nmw:NMAA_1832
ko:K02890	nmw:NMAA_1833
ko:K02965	nmw:NMAA_1834
ko:K02886	nmw:NMAA_1835
ko:K02892	nmw:NMAA_1836
ko:K02926	nmw:NMAA_1837
ko:K02906	nmw:NMAA_1838
ko:K06946	nmw:NMAA_1839
ko:K06946	nmw:NMAA_1840
ko:K02946	nmw:NMAA_1841
ko:K02358	nmw:NMAA_1842
ko:K02355	nmw:NMAA_1843
ko:K02992	nmw:NMAA_1844
ko:K02950	nmw:NMAA_1845
ko:K03046	nmw:NMAA_1849
ko:K03043	nmw:NMAA_1850
ko:K02935	nmw:NMAA_1851
ko:K02864	nmw:NMAA_1852
ko:K02863	nmw:NMAA_1853
ko:K02867	nmw:NMAA_1854
ko:K02601	nmw:NMAA_1855
ko:K03073	nmw:NMAA_1856
ko:K03168	nmw:NMAA_1863
ko:K04096	nmw:NMAA_1865
ko:K01772	nmw:NMAA_0551
ko:K00773	nmw:NMAA_0552
ko:K01868	nmw:NMAA_0553
ko:K02520	nmw:NMAA_0554
ko:K02916	nmw:NMAA_0555
ko:K02887	nmw:NMAA_0556
ko:K01889	nmw:NMAA_0557
ko:K01890	nmw:NMAA_0560
ko:K04764	nmw:NMAA_0561
ko:K07113	nmw:NMAA_0563
ko:K00833	nmw:NMAA_0565
ko:K01935	nmw:NMAA_0566
ko:K03181	nmw:NMAA_0567
ko:K03179	nmw:NMAA_0568
ko:K06958	nmw:NMAA_0571
ko:K14540	nmw:NMAA_0572
ko:K03631	nmw:NMAA_0574
ko:K03183	nmw:NMAA_0577
ko:K00950	nmw:NMAA_0579
ko:K03666	nmw:NMAA_0582
ko:K07262	nmw:NMAA_0583
ko:K03564	nmw:NMAA_0584
ko:K02192	nmw:NMAA_0586
ko:K00067	nmw:NMAA_0588
ko:K01923	nmw:NMAA_0589
ko:K00962	nmw:NMAA_0590
ko:K09792	nmw:NMAA_0591
ko:K01778	nmw:NMAA_0593
ko:K01738	nmw:NMAA_0595
ko:K01448	nmw:NMAA_1332
