ko:K03636	lmok:CQ02_05450
ko:K03637	lmok:CQ02_05455
ko:K03639	lmok:CQ02_05460
ko:K03638	lmok:CQ02_05465
ko:K01462	lmok:CQ02_05480
ko:K00161	lmok:CQ02_05485
ko:K00162	lmok:CQ02_05490
ko:K00627	lmok:CQ02_05495
ko:K03284	lmok:CQ02_05530
ko:K01092	lmok:CQ02_05540
ko:K06207	lmok:CQ02_05545
ko:K07444	lmok:CQ02_09785
ko:K03700	lmok:CQ02_09810
ko:K05366	lmok:CQ02_09815
ko:K10773	lmok:CQ02_09825
ko:K02086	lmok:CQ02_09830
ko:K01893	lmok:CQ02_09835
ko:K00812	lmok:CQ02_09840
ko:K01579	lmok:CQ02_09855
ko:K01918	lmok:CQ02_09860
ko:K00606	lmok:CQ02_09865
ko:K03524	lmok:CQ02_09875
ko:K00974	lmok:CQ02_09880
ko:K01734	lmok:CQ02_09885
ko:K00215	lmok:CQ02_09890
ko:K00285	lmok:CQ02_09905
ko:K00027	lmok:CQ02_09930
ko:K00656	lmok:CQ02_09940
ko:K07007	lmok:CQ02_09945
ko:K06973	lmok:CQ02_09950
ko:K00800	lmok:CQ02_09970
ko:K04517	lmok:CQ02_09975
ko:K00817	lmok:CQ02_09980
ko:K06208	lmok:CQ02_09985
ko:K01735	lmok:CQ02_09990
ko:K01736	lmok:CQ02_09995
ko:K00940	lmok:CQ02_10000
ko:K00805	lmok:CQ02_10005
ko:K03183	lmok:CQ02_10010
ko:K00805	lmok:CQ02_10015
ko:K01495	lmok:CQ02_10020
ko:K03530	lmok:CQ02_10025
ko:K01104	lmok:CQ02_10030
ko:K00057	lmok:CQ02_10035
ko:K03977	lmok:CQ02_10040
ko:K02945	lmok:CQ02_10045
ko:K00945	lmok:CQ02_10050
ko:K02798	lmok:CQ02_14310
ko:K02799	lmok:CQ02_14320
ko:K02800	lmok:CQ02_14320
ko:K01788	lmok:CQ02_14330
ko:K03501	lmok:CQ02_14335
ko:K03495	lmok:CQ02_14405
ko:K03650	lmok:CQ02_14410
ko:K00059	lmok:CQ02_14430
ko:K08170	lmok:CQ02_14445
ko:K00058	lmok:CQ02_14475
ko:K00831	lmok:CQ02_14480
ko:K07078	lmok:CQ02_14500
ko:K01838	lmok:CQ02_14510
ko:K00865	lmok:CQ02_14515
ko:K04844	lmok:CQ02_14520
ko:K02026	lmok:CQ02_14540
ko:K02025	lmok:CQ02_14545
ko:K02027	lmok:CQ02_14550
ko:K03551	lmok:CQ02_07855
ko:K03550	lmok:CQ02_07860
ko:K00016	lmok:CQ02_07865
ko:K04518	lmok:CQ02_07875
ko:K03979	lmok:CQ02_07880
ko:K00864	lmok:CQ02_07885
ko:K02440	lmok:CQ02_07890
ko:K02899	lmok:CQ02_07895
ko:K07584	lmok:CQ02_07900
ko:K02888	lmok:CQ02_07905
ko:K08301	lmok:CQ02_07910
ko:K03609	lmok:CQ02_07915
ko:K03610	lmok:CQ02_07920
ko:K03571	lmok:CQ02_07925
ko:K03570	lmok:CQ02_07930
ko:K03569	lmok:CQ02_07935
ko:K03630	lmok:CQ02_07945
ko:K02236	lmok:CQ02_07950
ko:K11754	lmok:CQ02_07955
ko:K01873	lmok:CQ02_07960
ko:K01845	lmok:CQ02_07965
ko:K01698	lmok:CQ02_07970
ko:K01719	lmok:CQ02_07975
