ko:K14445	hpq:hp2017_0219
ko:K00981	hpq:hp2017_0220
ko:K01924	hpq:hp2017_0611
ko:K03923	hpq:hp2017_0618
ko:K03620	hpq:hp2017_0621
ko:K06920	hpq:hp2017_0627
ko:K02221	hpq:hp2017_0634
ko:K08309	hpq:hp2017_0635
ko:K00963	hpq:hp2017_0636
ko:K04043	hpq:hp2017_0116
ko:K03687	hpq:hp2017_0117
ko:K03705	hpq:hp2017_0118
ko:K01628	hpq:hp2017_0119
ko:K02406	hpq:hp2017_0122
ko:K03168	hpq:hp2017_0123
ko:K01868	hpq:hp2017_01282
ko:K02520	hpq:hp2017_0129
ko:K02916	hpq:hp2017_0130
ko:K02887	hpq:hp2017_0131
ko:K01752	hpq:hp2017_0137
ko:K03837	hpq:hp2017_0138
ko:K01626	hpq:hp2017_0139
ko:K01776	hpq:hp2017_0532
ko:K03628	hpq:hp2017_0533
ko:K02909	hpq:hp2017_0534
ko:K07056	hpq:hp2017_0535
ko:K03218	hpq:hp2017_0536
ko:K01962	hpq:hp2017_0541
ko:K02078	hpq:hp2017_0543
ko:K02970	hpq:hp2017_0545
ko:K01778	hpq:hp2017_0550
ko:K06942	hpq:hp2017_0555
ko:K01255	hpq:hp2017_0557
ko:K02109	hpq:hp2017_1089
ko:K02109	hpq:hp2017_1090
ko:K03524	hpq:hp2017_1093
ko:K00604	hpq:hp2017_1094
ko:K02884	hpq:hp2017_1101
ko:K00554	hpq:hp2017_1102
ko:K02860	hpq:hp2017_1103
ko:K06960	hpq:hp2017_1104
ko:K02959	hpq:hp2017_1105
ko:K03106	hpq:hp2017_11061
ko:K01873	hpq:hp2017_1107
ko:K02563	hpq:hp2017_1109
ko:K00286	hpq:hp2017_1112
ko:K04095	hpq:hp2017_11131
ko:K00640	hpq:hp2017_1166
ko:K00796	hpq:hp2017_11862
ko:K09804	hpq:hp2017_1192
ko:K01956	hpq:hp2017_1193
ko:K06287	hpq:hp2017_1197
ko:K01872	hpq:hp2017_1198
ko:K09794	hpq:hp2017_1199
ko:K02963	hpq:hp2017_1202
ko:K02990	hpq:hp2017_1204
ko:K02340	hpq:hp2017_1205
ko:K12573	hpq:hp2017_1206
ko:K00014	hpq:hp2017_1207
ko:K13894	hpq:hp2017_1209
ko:K00767	hpq:hp2017_1316
ko:K03517	hpq:hp2017_1317
ko:K01613	hpq:hp2017_1318
ko:K03570	hpq:hp2017_1331
ko:K03569	hpq:hp2017_1332
ko:K03544	hpq:hp2017_1333
ko:K00677	hpq:hp2017_1334
ko:K02372	hpq:hp2017_1335
ko:K13626	hpq:hp2017_1337
ko:K05807	hpq:hp2017_13381
ko:K01338	hpq:hp2017_1339
ko:K03427	hpq:hp2017_14641
ko:K01153	hpq:hp2017_1465
ko:K07043	hpq:hp2017_1466
ko:K01476	hpq:hp2017_1469
ko:K00259	hpq:hp2017_1470
ko:K00858	hpq:hp2017_1474
ko:K03631	hpq:hp2017_1475
ko:K01783	hpq:hp2017_1482
ko:K03841	hpq:hp2017_1483
ko:K02357	hpq:hp2017_1487
ko:K02967	hpq:hp2017_1488
ko:K01881	hpq:hp2017_0245
ko:K02492	hpq:hp2017_0246
ko:K02523	hpq:hp2017_0247
ko:K04047	hpq:hp2017_0250
ko:K07710	hpq:hp2017_0251
ko:K02394	hpq:hp2017_0253
ko:K05592	hpq:hp2017_0254
ko:K13896	hpq:hp2017_0257
ko:K13895	hpq:hp2017_0258
ko:K01939	hpq:hp2017_0261
ko:K11749	hpq:hp2017_0264
ko:K03601	hpq:hp2017_0265
ko:K07090	hpq:hp2017_0664
ko:K04042	hpq:hp2017_0669
ko:K02419	hpq:hp2017_0670
ko:K04759	hpq:hp2017_0672
ko:K07501	hpq:hp2017_0673
ko:K10856	hpq:hp2017_0677
ko:K02106	hpq:hp2017_0681
ko:K01029	hpq:hp2017_0682
ko:K01028	hpq:hp2017_0683
ko:K00901	hpq:hp2017_0686
ko:K02469	hpq:hp2017_0687
ko:K00413	hpq:hp2017_1504
ko:K03587	hpq:hp2017_1508
ko:K02408	hpq:hp2017_1510
ko:K02388	hpq:hp2017_1511
ko:K02387	hpq:hp2017_1512
ko:K03588	hpq:hp2017_1513
ko:K02016	hpq:hp2017_1514
ko:K03190	hpq:hp2017_0070
ko:K03189	hpq:hp2017_0071
ko:K03188	hpq:hp2017_0072
ko:K03187	hpq:hp2017_0073
ko:K01428	hpq:hp2017_0075
ko:K03101	hpq:hp2017_0077
ko:K03431	hpq:hp2017_0078
ko:K02968	hpq:hp2017_0079
ko:K02835	hpq:hp2017_0081
ko:K02996	hpq:hp2017_0089
ko:K03308	hpq:hp2017_0476
ko:K03308	hpq:hp2017_0477
ko:K01058	hpq:hp2017_0478
ko:K02338	hpq:hp2017_0479
ko:K01711	hpq:hp2017_0044
ko:K02377	hpq:hp2017_0045
ko:K04656	hpq:hp2017_0050
ko:K13821	hpq:hp2017_0057
ko:K02020	hpq:hp2017_0455
ko:K02018	hpq:hp2017_0456
ko:K06207	hpq:hp2017_0460
ko:K03781	hpq:hp2017_0465
ko:K02902	hpq:hp2017_0470
