ko:K03566	kpw:KPNIH30_17735
ko:K07168	kpw:KPNIH30_17785
ko:K01251	kpw:KPNIH30_17790
ko:K00768	kpw:KPNIH30_17795
ko:K02233	kpw:KPNIH30_17800
ko:K00963	kpw:KPNIH30_18070
ko:K07289	kpw:KPNIH30_18080
ko:K01494	kpw:KPNIH30_18085
ko:K00876	kpw:KPNIH30_18090
ko:K01247	kpw:KPNIH30_18095
ko:K04046	kpw:KPNIH30_18100
ko:K07660	kpw:KPNIH30_18110
ko:K07799	kpw:KPNIH30_18130
ko:K07788	kpw:KPNIH30_18135
ko:K07789	kpw:KPNIH30_18140
ko:K18326	kpw:KPNIH30_18145
ko:K07642	kpw:KPNIH30_18150
ko:K07664	kpw:KPNIH30_18155
ko:K08303	kpw:KPNIH30_18160
ko:K02034	kpw:KPNIH30_18180
ko:K02033	kpw:KPNIH30_18185
ko:K02035	kpw:KPNIH30_18190
ko:K00854	kpw:KPNIH30_18210
ko:K00007	kpw:KPNIH30_18215
ko:K03435	kpw:KPNIH30_18225
ko:K00039	kpw:KPNIH30_18230
ko:K00941	kpw:KPNIH30_18250
ko:K00878	kpw:KPNIH30_18255
ko:K01486	kpw:KPNIH30_18275
ko:K06901	kpw:KPNIH30_18280
ko:K03593	kpw:KPNIH30_18300
ko:K01874	kpw:KPNIH30_18305
ko:K02477	kpw:KPNIH30_18315
ko:K02478	kpw:KPNIH30_18320
ko:K05846	kpw:KPNIH30_18330
ko:K06938	kpw:KPNIH30_15115
ko:K16137	kpw:KPNIH30_15120
ko:K10680	kpw:KPNIH30_15125
ko:K01759	kpw:KPNIH30_15130
ko:K03683	kpw:KPNIH30_15135
ko:K07390	kpw:KPNIH30_15140
ko:K13631	kpw:KPNIH30_15150
ko:K04564	kpw:KPNIH30_15155
ko:K03604	kpw:KPNIH30_15170
ko:K00574	kpw:KPNIH30_15185
ko:K00793	kpw:KPNIH30_15190
ko:K03327	kpw:KPNIH30_15195
ko:K06966	kpw:KPNIH30_15205
ko:K01673	kpw:KPNIH30_15275
ko:K01759	kpw:KPNIH30_15290
ko:K02035	kpw:KPNIH30_15300
ko:K02033	kpw:KPNIH30_15305
ko:K02034	kpw:KPNIH30_15310
ko:K02051	kpw:KPNIH30_15360
ko:K01895	kpw:KPNIH30_01740
ko:K11102	kpw:KPNIH30_01750
ko:K07126	kpw:KPNIH30_01755
ko:K10439	kpw:KPNIH30_01795
ko:K10440	kpw:KPNIH30_01800
ko:K10441	kpw:KPNIH30_01805
ko:K06167	kpw:KPNIH30_01820
ko:K05774	kpw:KPNIH30_01825
ko:K06162	kpw:KPNIH30_01830
ko:K05780	kpw:KPNIH30_01835
ko:K05781	kpw:KPNIH30_01840
ko:K06163	kpw:KPNIH30_01845
ko:K06164	kpw:KPNIH30_01850
ko:K06165	kpw:KPNIH30_01855
ko:K06166	kpw:KPNIH30_01860
ko:K02043	kpw:KPNIH30_01865
ko:K04750	kpw:KPNIH30_01870
ko:K06193	kpw:KPNIH30_01875
ko:K03762	kpw:KPNIH30_01885
ko:K07406	kpw:KPNIH30_01895
ko:K11104	kpw:KPNIH30_01900
ko:K05516	kpw:KPNIH30_01935
ko:K11937	kpw:KPNIH30_01960
ko:K11936	kpw:KPNIH30_01965
ko:K11931	kpw:KPNIH30_01970
ko:K11935	kpw:KPNIH30_01975
ko:K06222	kpw:KPNIH30_05005
ko:K08307	kpw:KPNIH30_05030
ko:K01069	kpw:KPNIH30_05035
ko:K03469	kpw:KPNIH30_05045
ko:K02342	kpw:KPNIH30_05050
ko:K11249	kpw:KPNIH30_05065
ko:K06445	kpw:KPNIH30_05075
ko:K03271	kpw:KPNIH30_05080
ko:K00346	kpw:KPNIH30_05100
ko:K00347	kpw:KPNIH30_05105
ko:K00348	kpw:KPNIH30_05110
ko:K00349	kpw:KPNIH30_05115
ko:K00350	kpw:KPNIH30_05120
