ko:K01154	ssui:T15_1291
ko:K03427	ssui:T15_1292
ko:K03427	ssui:T15_1294
ko:K01153	ssui:T15_1295
ko:K01938	ssui:T15_1298
ko:K01598	ssui:T15_1300
ko:K01835	ssui:T15_1302
ko:K01156	ssui:T15_1304
ko:K07316	ssui:T15_1305
ko:K07052	ssui:T15_1309
ko:K03294	ssui:T15_1312
ko:K01142	ssui:T15_1314
ko:K00567	ssui:T15_1317
ko:K00058	ssui:T15_1318
ko:K00831	ssui:T15_1320
ko:K07056	ssui:T15_1321
ko:K02341	ssui:T15_1323
ko:K00943	ssui:T15_1324
ko:K09761	ssui:T15_2164
ko:K02687	ssui:T15_2165
ko:K07478	ssui:T15_2170
ko:K03555	ssui:T15_2181
ko:K03402	ssui:T15_2182
ko:K01887	ssui:T15_2183
ko:K00705	ssui:T15_2187
ko:K15770	ssui:T15_2188
ko:K15771	ssui:T15_2189
ko:K15772	ssui:T15_2190
ko:K02529	ssui:T15_2192
ko:K03647	ssui:T15_2194
ko:K01876	ssui:T15_2196
ko:K02348	ssui:T15_2197
ko:K05349	ssui:T15_2200
ko:K05349	ssui:T15_2202
ko:K00244	ssui:T15_2206
ko:K02986	ssui:T15_2208
ko:K02939	ssui:T15_2211
ko:K03495	ssui:T15_2213
ko:K01985	ssui:T15_2502
ko:K01985	ssui:T15_2505
ko:K01985	ssui:T15_2503
ko:K14225	ssui:T15_2448
ko:K14225	ssui:T15_2482
ko:K09817	ssui:T15_0104
ko:K09816	ssui:T15_0105
ko:K09815	ssui:T15_0106
ko:K01866	ssui:T15_0111
ko:K03693	ssui:T15_0112
ko:K03043	ssui:T15_0113
ko:K03046	ssui:T15_0114
ko:K02243	ssui:T15_0117
ko:K02244	ssui:T15_0118
ko:K02245	ssui:T15_0119
ko:K02246	ssui:T15_0120
ko:K02248	ssui:T15_0122
ko:K00925	ssui:T15_0125
ko:K11754	ssui:T15_0127
ko:K01261	ssui:T15_0128
ko:K06878	ssui:T15_0132
ko:K04078	ssui:T15_0136
ko:K04077	ssui:T15_0137
ko:K02950	ssui:T15_0138
ko:K02992	ssui:T15_0139
ko:K02355	ssui:T15_0140
ko:K00134	ssui:T15_0143
ko:K00927	ssui:T15_0144
ko:K03713	ssui:T15_0147
ko:K01915	ssui:T15_0148
ko:K00848	ssui:T15_1047
ko:K01818	ssui:T15_1048
ko:K01628	ssui:T15_1049
ko:K10117	ssui:T15_1050
ko:K10118	ssui:T15_1051
ko:K10119	ssui:T15_1052
ko:K01206	ssui:T15_1053
ko:K00845	ssui:T15_1055
ko:K14540	ssui:T15_1060
ko:K03470	ssui:T15_1061
ko:K11068	ssui:T15_1063
ko:K04096	ssui:T15_1069
ko:K03168	ssui:T15_1070
ko:K02864	ssui:T15_1071
ko:K02935	ssui:T15_1072
ko:K04094	ssui:T15_1074
ko:K02003	ssui:T15_1084
ko:K02004	ssui:T15_1085
ko:K03106	ssui:T15_1097
ko:K09787	ssui:T15_1098
ko:K03710	ssui:T15_1099
ko:K01951	ssui:T15_1100
ko:K16511	ssui:T15_1938
ko:K06153	ssui:T15_1939
ko:K17073	ssui:T15_1940
