ko:K00528	mtub:MT7199_3139
ko:K03639	mtub:MT7199_3142
ko:K03637	mtub:MT7199_3144
ko:K03636	mtub:MT7199_3145
ko:K07402	mtub:MT7199_0382
ko:K09165	mtub:MT7199_0385
ko:K00762	mtub:MT7199_0388
ko:K03695	mtub:MT7199_0390
ko:K08289	mtub:MT7199_0394
ko:K10764	mtub:MT7199_0396
ko:K03885	mtub:MT7199_0397
ko:K00252	mtub:MT7199_0405
ko:K00600	mtub:MT7199_1120
ko:K07175	mtub:MT7199_1122
ko:K03602	mtub:MT7199_1134
ko:K03601	mtub:MT7199_1135
ko:K03527	mtub:MT7199_1137
ko:K06942	mtub:MT7199_1139
ko:K00036	mtub:MT7199_1149
ko:K03594	mtub:MT7199_1902
ko:K01915	mtub:MT7199_1904
ko:K07560	mtub:MT7199_1924
ko:K08972	mtub:MT7199_1930
ko:K03782	mtub:MT7199_1935
ko:K14415	mtub:MT7199_2665
ko:K09771	mtub:MT7199_2673
ko:K06916	mtub:MT7199_2702
ko:K00231	mtub:MT7199_2709
ko:K01599	mtub:MT7199_2710
ko:K00031	mtub:MT7199_3386
ko:K01740	mtub:MT7199_3387
ko:K00641	mtub:MT7199_3388
ko:K01491	mtub:MT7199_3404
ko:K03216	mtub:MT7199_3414
ko:K01087	mtub:MT7199_3420
ko:K01662	mtub:MT7199_3427
ko:K03527	mtub:MT7199_3428
ko:K02355	mtub:MT7199_0122
ko:K05343	mtub:MT7199_0128
ko:K03281	mtub:MT7199_0145
ko:K00324	mtub:MT7199_0157
ko:K00324	mtub:MT7199_0158
ko:K00325	mtub:MT7199_0159
ko:K03637	mtub:MT7199_0883
ko:K03639	mtub:MT7199_0888
ko:K03704	mtub:MT7199_0890
ko:K00831	mtub:MT7199_0903
ko:K00528	mtub:MT7199_0905
ko:K01647	mtub:MT7199_0908
ko:K01647	mtub:MT7199_0915
ko:K06996	mtub:MT7199_0930
ko:K00873	mtub:MT7199_1637
ko:K10805	mtub:MT7199_1638
ko:K00426	mtub:MT7199_1642
ko:K00425	mtub:MT7199_1643
ko:K02945	mtub:MT7199_1650
ko:K00859	mtub:MT7199_1651
ko:K03702	mtub:MT7199_1653
ko:K03701	mtub:MT7199_1658
ko:K04567	mtub:MT7199_1661
ko:K02520	mtub:MT7199_1662
ko:K02916	mtub:MT7199_1663
ko:K02887	mtub:MT7199_1664
ko:K03437	mtub:MT7199_1665
ko:K01889	mtub:MT7199_1670
ko:K01890	mtub:MT7199_1671
ko:K00145	mtub:MT7199_1673
ko:K00620	mtub:MT7199_1674
ko:K00930	mtub:MT7199_1675
ko:K00611	mtub:MT7199_1677
ko:K03402	mtub:MT7199_1678
ko:K01940	mtub:MT7199_1679
ko:K01755	mtub:MT7199_1680
ko:K03596	mtub:MT7199_2436
ko:K02968	mtub:MT7199_2444
ko:K02340	mtub:MT7199_2445
ko:K02237	mtub:MT7199_2447
ko:K09710	mtub:MT7199_2452
ko:K00969	mtub:MT7199_2453
ko:K00147	mtub:MT7199_2459
ko:K04756	mtub:MT7199_2461
ko:K01950	mtub:MT7199_2470
ko:K00931	mtub:MT7199_2472
ko:K03979	mtub:MT7199_2473
ko:K02899	mtub:MT7199_2474
ko:K02888	mtub:MT7199_2475
ko:K11103	mtub:MT7199_2476
ko:K00940	mtub:MT7199_2478
ko:K11754	mtub:MT7199_2480
ko:K13788	mtub:MT7199_0415
ko:K00925	mtub:MT7199_0416
ko:K00788	mtub:MT7199_0421
ko:K03154	mtub:MT7199_0423
ko:K03149	mtub:MT7199_0424
ko:K07020	mtub:MT7199_0428
ko:K00941	mtub:MT7199_0429
ko:K03147	mtub:MT7199_0430
ko:K01142	mtub:MT7199_0434
ko:K01462	mtub:MT7199_0436
ko:K06048	mtub:MT7199_0440
ko:K07157	mtub:MT7199_0441
ko:K13525	mtub:MT7199_0442
ko:K01613	mtub:MT7199_0444
ko:K03750	mtub:MT7199_0445
ko:K04077	mtub:MT7199_0447
ko:K03088	mtub:MT7199_0452
ko:K00574	mtub:MT7199_0454
ko:K01720	mtub:MT7199_1158
ko:K01647	mtub:MT7199_1159
ko:K00549	mtub:MT7199_1161
ko:K12410	mtub:MT7199_1180
ko:K00370	mtub:MT7199_1191
ko:K00371	mtub:MT7199_1192
ko:K00373	mtub:MT7199_1193
ko:K06207	mtub:MT7199_1195
ko:K01637	mtub:MT7199_1942
ko:K09166	mtub:MT7199_1953
ko:K11065	mtub:MT7199_1958
ko:K14652	mtub:MT7199_1966
ko:K03684	mtub:MT7199_2713
ko:K01662	mtub:MT7199_2714
ko:K00886	mtub:MT7199_2734
ko:K03086	mtub:MT7199_2735
ko:K07058	mtub:MT7199_2739
ko:K00322	mtub:MT7199_2745
ko:K07738	mtub:MT7199_2750
ko:K01356	mtub:MT7199_2752
ko:K00574	mtub:MT7199_3438
ko:K14161	mtub:MT7199_3440
ko:K01951	mtub:MT7199_3443
ko:K02291	mtub:MT7199_3444
ko:K03088	mtub:MT7199_3461
ko:K04077	mtub:MT7199_3464
ko:K04078	mtub:MT7199_3465
ko:K03789	mtub:MT7199_3467
ko:K06925	mtub:MT7199_3469
ko:K01775	mtub:MT7199_3470
ko:K01873	mtub:MT7199_2481
ko:K04069	mtub:MT7199_3176
ko:K00330	mtub:MT7199_3183
ko:K00331	mtub:MT7199_3184
ko:K00332	mtub:MT7199_3185
ko:K00333	mtub:MT7199_3186
ko:K00334	mtub:MT7199_3187
ko:K00337	mtub:MT7199_3190
ko:K00338	mtub:MT7199_3191
ko:K00339	mtub:MT7199_3192
ko:K00340	mtub:MT7199_3193
ko:K00341	mtub:MT7199_3194
ko:K00342	mtub:MT7199_3195
ko:K00343	mtub:MT7199_3196
ko:K03924	mtub:MT7199_3203
ko:K01875	mtub:MT7199_3903
ko:K01126	mtub:MT7199_3911
ko:K04564	mtub:MT7199_3915
ko:K02553	mtub:MT7199_3922
ko:K00266	mtub:MT7199_3927
ko:K09701	mtub:MT7199_0455
ko:K07107	mtub:MT7199_0166
ko:K02066	mtub:MT7199_0170
ko:K02066	mtub:MT7199_0171
ko:K06911	mtub:MT7199_0184
ko:K03088	mtub:MT7199_0185
ko:K05349	mtub:MT7199_0189
ko:K01687	mtub:MT7199_0193
ko:K03439	mtub:MT7199_0212
ko:K02168	mtub:MT7199_0936
ko:K03322	mtub:MT7199_0943
ko:K02040	mtub:MT7199_0947
ko:K02037	mtub:MT7199_0948
ko:K02038	mtub:MT7199_0949
ko:K02040	mtub:MT7199_0951
ko:K02036	mtub:MT7199_0952
ko:K02040	mtub:MT7199_0953
ko:K02037	mtub:MT7199_0954
ko:K02038	mtub:MT7199_0955
ko:K10979	mtub:MT7199_0956
ko:K01810	mtub:MT7199_0965
ko:K03657	mtub:MT7199_0968
ko:K01903	mtub:MT7199_0970
ko:K01902	mtub:MT7199_0971
ko:K11175	mtub:MT7199_0975
ko:K03652	mtub:MT7199_1710
ko:K01866	mtub:MT7199_1711
ko:K06442	mtub:MT7199_1716
ko:K00858	mtub:MT7199_1717
ko:K03631	mtub:MT7199_1718
ko:K01937	mtub:MT7199_1721
ko:K11737	mtub:MT7199_1726
ko:K03321	mtub:MT7199_1730
ko:K05896	mtub:MT7199_1732
ko:K06024	mtub:MT7199_1733
ko:K06178	mtub:MT7199_1734
ko:K03752	mtub:MT7199_2486
ko:K00175	mtub:MT7199_2487
ko:K00174	mtub:MT7199_2488
ko:K03544	mtub:MT7199_2490
ko:K01358	mtub:MT7199_2493
ko:K01358	mtub:MT7199_2494
ko:K03545	mtub:MT7199_2495
ko:K01808	mtub:MT7199_2498
ko:K01256	mtub:MT7199_2500
ko:K06886	mtub:MT7199_2503
ko:K07107	mtub:MT7199_2508
ko:K15371	mtub:MT7199_2509
ko:K00631	mtub:MT7199_2513
ko:K06966	mtub:MT7199_2522
ko:K07133	mtub:MT7199_3218
ko:K03657	mtub:MT7199_3235
ko:K03426	mtub:MT7199_3237
ko:K10716	mtub:MT7199_3238
ko:K03657	mtub:MT7199_3239
ko:K02361	mtub:MT7199_3254
ko:K03980	mtub:MT7199_3981
ko:K03088	mtub:MT7199_3982
ko:K00384	mtub:MT7199_3984
ko:K03671	mtub:MT7199_3985
ko:K09959	mtub:MT7199_0468
ko:K00382	mtub:MT7199_0471
ko:K07110	mtub:MT7199_0474
ko:K01637	mtub:MT7199_0476
ko:K00074	mtub:MT7199_0477
ko:K00574	mtub:MT7199_0478
ko:K00574	mtub:MT7199_0479
ko:K00075	mtub:MT7199_0492
ko:K06895	mtub:MT7199_0498
ko:K00318	mtub:MT7199_1217
ko:K03088	mtub:MT7199_1218
ko:K06966	mtub:MT7199_1234
ko:K00796	mtub:MT7199_1236
ko:K01246	mtub:MT7199_1239
ko:K00975	mtub:MT7199_1242
ko:K06978	mtub:MT7199_1244
