ko:K07738	apf:APA03_12530
ko:K00864	apf:APA03_12550
ko:K02440	apf:APA03_12560
ko:K00111	apf:APA03_12570
ko:K02444	apf:APA03_12580
ko:K06044	apf:APA03_20790
ko:K01236	apf:APA03_20800
ko:K00703	apf:APA03_20820
ko:K00156	apf:APA03_20860
ko:K07152	apf:APA03_20910
ko:K01875	apf:APA03_21120
ko:K03118	apf:APA03_21130
ko:K03117	apf:APA03_21140
ko:K06024	apf:APA03_21150
ko:K05896	apf:APA03_21160
ko:K01887	apf:APA03_21180
ko:K01129	apf:APA03_21190
ko:K01142	apf:APA03_21210
ko:K06136	apf:APA03_21260
ko:K06137	apf:APA03_21270
ko:K06138	apf:APA03_21280
ko:K06139	apf:APA03_21290
ko:K01358	apf:APA03_21310
ko:K08679	apf:APA03_24140
ko:K09005	apf:APA03_24150
ko:K07402	apf:APA03_24180
ko:K07141	apf:APA03_24190
ko:K00281	apf:APA03_24220
ko:K02437	apf:APA03_24230
ko:K00605	apf:APA03_24240
ko:K00797	apf:APA03_24250
ko:K01611	apf:APA03_24260
ko:K00954	apf:APA03_24310
ko:K02469	apf:APA03_24320
ko:K00962	apf:APA03_24350
ko:K02956	apf:APA03_24360
ko:K02066	apf:APA03_24380
ko:K02065	apf:APA03_24390
ko:K06192	apf:APA03_24400
ko:K09857	apf:APA03_24410
ko:K03558	apf:APA03_24510
ko:K00764	apf:APA03_24520
ko:K09857	apf:APA03_24530
ko:K06192	apf:APA03_24540
ko:K03808	apf:APA03_24550
ko:K02109	apf:APA03_24590
ko:K01153	apf:APA03_43180
ko:K01154	apf:APA03_43200
ko:K03427	apf:APA03_43210
ko:K07146	apf:APA03_05200
ko:K15553	apf:APA03_13670
ko:K15554	apf:APA03_13690
ko:K03119	apf:APA03_13710
ko:K00140	apf:APA03_13920
ko:K07722	apf:APA03_13960
ko:K09967	apf:APA03_13970
ko:K09967	apf:APA03_13980
ko:K09024	apf:APA03_14130
ko:K02231	apf:APA03_22420
ko:K00768	apf:APA03_22430
ko:K02233	apf:APA03_22440
ko:K02225	apf:APA03_22460
ko:K02227	apf:APA03_22450
ko:K04719	apf:APA03_22470
ko:K02232	apf:APA03_22480
ko:K02224	apf:APA03_22510
ko:K02230	apf:APA03_22520
ko:K02234	apf:APA03_22530
ko:K09024	apf:APA03_22600
ko:K09823	apf:APA03_22640
ko:K08963	apf:APA03_22670
ko:K01738	apf:APA03_22700
ko:K01951	apf:APA03_22710
ko:K08137	apf:APA03_22940
ko:K01876	apf:APA03_03690
ko:K01620	apf:APA03_03700
ko:K02897	apf:APA03_03710
ko:K01056	apf:APA03_03720
ko:K06942	apf:APA03_03730
ko:K00147	apf:APA03_03740
ko:K00969	apf:APA03_03750
ko:K09710	apf:APA03_03760
ko:K00783	apf:APA03_03770
ko:K01575	apf:APA03_03800
ko:K01652	apf:APA03_03810
ko:K01576	apf:APA03_03830
ko:K00782	apf:APA03_03860
ko:K00790	apf:APA03_03880
ko:K01494	apf:APA03_03890
ko:K00720	apf:APA03_03950
ko:K01662	apf:APA03_03970
ko:K00919	apf:APA03_04030
ko:K00948	apf:APA03_04120
ko:K03654	apf:APA03_12590
ko:K03088	apf:APA03_12650
ko:K03088	apf:APA03_12660
ko:K15738	apf:APA03_12680
ko:K01194	apf:APA03_12690
ko:K06193	apf:APA03_12710
ko:K00077	apf:APA03_12730
ko:K07402	apf:APA03_12880
ko:K13482	apf:APA03_12890
ko:K13481	apf:APA03_12900
ko:K07127	apf:APA03_12920
ko:K03832	apf:APA03_13020
ko:K01993	apf:APA03_13030
ko:K13926	apf:APA03_13040
ko:K14261	apf:APA03_21330
ko:K00003	apf:APA03_21340
ko:K07462	apf:APA03_21360
ko:K03089	apf:APA03_21370
ko:K06180	apf:APA03_21380
ko:K02015	apf:APA03_21390
ko:K02013	apf:APA03_21400
ko:K00826	apf:APA03_21420
ko:K07152	apf:APA03_21440
ko:K03762	apf:APA03_21460
ko:K00426	apf:APA03_21490
ko:K00425	apf:APA03_21500
ko:K07223	apf:APA03_21510
ko:K11738	apf:APA03_21530
ko:K05358	apf:APA03_21550
ko:K00822	apf:APA03_21580
ko:K01464	apf:APA03_21680
ko:K01817	apf:APA03_21730
ko:K01591	apf:APA03_21740
ko:K03071	apf:APA03_21760
ko:K00097	apf:APA03_21780
ko:K03474	apf:APA03_21790
ko:K09001	apf:APA03_21810
ko:K03811	apf:APA03_05480
ko:K01433	apf:APA03_05510
ko:K13771	apf:APA03_05530
ko:K06199	apf:APA03_05550
ko:K10806	apf:APA03_05590
ko:K03521	apf:APA03_05750
ko:K03522	apf:APA03_05800
ko:K02429	apf:APA03_05830
ko:K07267	apf:APA03_05850
ko:K03306	apf:APA03_05920
ko:K00627	apf:APA03_05960
ko:K01154	apf:APA03_14250
ko:K07043	apf:APA03_14290
ko:K03701	apf:APA03_14430
ko:K03675	apf:APA03_14460
ko:K02188	apf:APA03_14480
ko:K05936	apf:APA03_14490
ko:K02189	apf:APA03_14500
ko:K05895	apf:APA03_14520
ko:K03394	apf:APA03_14540
ko:K06042	apf:APA03_14550
ko:K02229	apf:APA03_14560
ko:K00117	apf:APA03_14620
ko:K00925	apf:APA03_14700
ko:K03737	apf:APA03_14730
ko:K02016	apf:APA03_04240
ko:K02015	apf:APA03_04250
ko:K02013	apf:APA03_04260
ko:K07106	apf:APA03_04290
ko:K01669	apf:APA03_04380
ko:K09758	apf:APA03_04430
ko:K04047	apf:APA03_04480
ko:K00057	apf:APA03_04490
ko:K15229	apf:APA03_04540
ko:K15228	apf:APA03_04570
ko:K07248	apf:APA03_04640
ko:K07303	apf:APA03_04660
ko:K07302	apf:APA03_04670
ko:K03313	apf:APA03_13140
ko:K10680	apf:APA03_13160
ko:K03781	apf:APA03_13180
ko:K15034	apf:APA03_13190
ko:K13688	apf:APA03_13220
ko:K00941	apf:APA03_13250
ko:K02471	apf:APA03_13300
ko:K04046	apf:APA03_13330
ko:K07290	apf:APA03_13400
ko:K03832	apf:APA03_13490
ko:K03561	apf:APA03_13510
ko:K03088	apf:APA03_13610
ko:K03088	apf:APA03_13660
ko:K03919	apf:APA03_21860
ko:K05916	apf:APA03_21890
ko:K02072	apf:APA03_21900
ko:K02071	apf:APA03_21910
ko:K02073	apf:APA03_21920
ko:K02302	apf:APA03_21940
ko:K00077	apf:APA03_22010
ko:K02053	apf:APA03_22140
ko:K00137	apf:APA03_22210
ko:K03561	apf:APA03_22290
ko:K03832	apf:APA03_22310
ko:K11103	apf:APA03_22340
ko:K06178	apf:APA03_25700
ko:K06204	apf:APA03_25740
ko:K01866	apf:APA03_25860
ko:K03568	apf:APA03_25870
ko:K00973	apf:APA03_25910
ko:K01790	apf:APA03_25920
ko:K00067	apf:APA03_25930
ko:K03466	apf:APA03_25950
ko:K00566	apf:APA03_25990
ko:K04755	apf:APA03_26000
ko:K04487	apf:APA03_26010
ko:K04487	apf:APA03_26020
ko:K07018	apf:APA03_26030
ko:K01883	apf:APA03_26050
ko:K11754	apf:APA03_26070
ko:K01963	apf:APA03_26080
ko:K13993	apf:APA03_05970
ko:K03885	apf:APA03_05990
ko:K07137	apf:APA03_06050
ko:K00873	apf:APA03_06160
ko:K01053	apf:APA03_06170
ko:K06207	apf:APA03_06200
ko:K00285	apf:APA03_06230
ko:K00384	apf:APA03_06240
ko:K00031	apf:APA03_06250
ko:K04751	apf:APA03_06300
ko:K01915	apf:APA03_06310
ko:K00117	apf:APA03_06330
ko:K03596	apf:APA03_06360
ko:K00641	apf:APA03_06370
ko:K11927	apf:APA03_06390
ko:K01673	apf:APA03_06410
ko:K00950	apf:APA03_06430
ko:K03060	apf:APA03_06440
ko:K00997	apf:APA03_06460
ko:K03100	apf:APA03_06470
ko:K03685	apf:APA03_06480
ko:K09903	apf:APA03_06500
ko:K02838	apf:APA03_06510
ko:K00806	apf:APA03_06520
ko:K00981	apf:APA03_06530
ko:K00099	apf:APA03_06540
ko:K02379	apf:APA03_14790
ko:K03752	apf:APA03_14800
ko:K03753	apf:APA03_14810
ko:K03750	apf:APA03_14820
ko:K02380	apf:APA03_14830
ko:K00123	apf:APA03_14860
ko:K01524	apf:APA03_14880
ko:K00847	apf:APA03_14900
ko:K03602	apf:APA03_14920
ko:K00795	apf:APA03_14930
ko:K01662	apf:APA03_14940
ko:K06442	apf:APA03_14950
ko:K06941	apf:APA03_14970
ko:K01940	apf:APA03_14980
ko:K03773	apf:APA03_14990
ko:K01867	apf:APA03_15010
ko:K03500	apf:APA03_15070
ko:K02034	apf:APA03_15100
ko:K00459	apf:APA03_15140
ko:K09474	apf:APA03_15150
ko:K01169	apf:APA03_15160
ko:K01114	apf:APA03_15180
ko:K15549	apf:APA03_15280
ko:K15547	apf:APA03_15290
ko:K03671	apf:APA03_26090
ko:K06925	apf:APA03_26120
ko:K13584	apf:APA03_26130
ko:K03431	apf:APA03_26140
ko:K00796	apf:APA03_26150
ko:K03798	apf:APA03_26160
ko:K04075	apf:APA03_26170
ko:K03640	apf:APA03_26190
ko:K03641	apf:APA03_26200
ko:K03562	apf:APA03_26230
ko:K11749	apf:APA03_06550
ko:K07277	apf:APA03_06560
ko:K02536	apf:APA03_06580
ko:K02372	apf:APA03_06590
ko:K00677	apf:APA03_06600
ko:K02914	apf:APA03_06640
ko:K03536	apf:APA03_06650
ko:K03217	apf:APA03_06660
ko:K03978	apf:APA03_06670
ko:K00930	apf:APA03_06680
ko:K06173	apf:APA03_06720
ko:K00604	apf:APA03_06730
ko:K01462	apf:APA03_06740
ko:K07140	apf:APA03_06790
ko:K06861	apf:APA03_06800
ko:K09774	apf:APA03_06810
ko:K11719	apf:APA03_06820
ko:K06041	apf:APA03_06830
ko:K03684	apf:APA03_06840
ko:K03218	apf:APA03_06850
ko:K00942	apf:APA03_06880
ko:K03272	apf:APA03_06890
ko:K02065	apf:APA03_06950
ko:K02066	apf:APA03_06960
ko:K04485	apf:APA03_06980
ko:K13821	apf:APA03_07050
ko:K01895	apf:APA03_07080
ko:K08995	apf:APA03_15320
ko:K00426	apf:APA03_15380
ko:K00425	apf:APA03_15390
ko:K09758	apf:APA03_15490
ko:K13979	apf:APA03_15620
ko:K09958	apf:APA03_15640
ko:K07507	apf:APA03_15670
ko:K08169	apf:APA03_15800
ko:K08325	apf:APA03_40430
ko:K01546	apf:APA03_40500
ko:K01547	apf:APA03_40510
ko:K01548	apf:APA03_40520
ko:K07646	apf:APA03_40530
ko:K07667	apf:APA03_40540
ko:K01126	apf:APA03_40680
ko:K06199	apf:APA03_40710
ko:K03322	apf:APA03_40840
ko:K11924	apf:APA03_40860
ko:K02471	apf:APA03_40850
ko:K03274	apf:APA03_22980
ko:K13292	apf:APA03_22990
ko:K05810	apf:APA03_23010
ko:K09771	apf:APA03_23060
ko:K00817	apf:APA03_23090
ko:K00615	apf:APA03_23110
ko:K13810	apf:APA03_23120
ko:K01057	apf:APA03_23150
ko:K01807	apf:APA03_23160
ko:K02016	apf:APA03_23200
ko:K03281	apf:APA03_23210
ko:K06997	apf:APA03_23230
ko:K03549	apf:APA03_23240
ko:K03189	apf:APA03_23410
ko:K03188	apf:APA03_23420
ko:K03187	apf:APA03_23430
ko:K01428	apf:APA03_23440
ko:K01429	apf:APA03_23450
ko:K01430	apf:APA03_23460
ko:K03190	apf:APA03_23470
ko:K07241	apf:APA03_23480
ko:K00362	apf:APA03_42110
ko:K02575	apf:APA03_42150
ko:K00549	apf:APA03_42270
ko:K03576	apf:APA03_42280
ko:K07726	apf:APA03_42310
ko:K03893	apf:APA03_42350
ko:K07043	apf:APA03_42370
ko:K01153	apf:APA03_42380
ko:K01154	apf:APA03_42390
ko:K03427	apf:APA03_42400
ko:K06968	apf:APA03_07120
ko:K07566	apf:APA03_07190
ko:K01255	apf:APA03_07210
ko:K02339	apf:APA03_07220
ko:K03579	apf:APA03_07250
ko:K04083	apf:APA03_07270
ko:K03565	apf:APA03_07310
ko:K03116	apf:APA03_07330
ko:K08967	apf:APA03_07350
ko:K09880	apf:APA03_07360
ko:K11753	apf:APA03_07370
ko:K01870	apf:APA03_07380
ko:K03101	apf:APA03_07390
ko:K03572	apf:APA03_07410
ko:K00342	apf:APA03_07420
ko:K11939	apf:APA03_07430
ko:K02622	apf:APA03_07440
ko:K01738	apf:APA03_07480
ko:K03797	apf:APA03_07510
ko:K12573	apf:APA03_07520
ko:K03168	apf:APA03_07530
ko:K04096	apf:APA03_07580
ko:K08591	apf:APA03_07590
ko:K01465	apf:APA03_07600
ko:K00609	apf:APA03_07610
ko:K06916	apf:APA03_07650
ko:K00164	apf:APA03_07660
ko:K00658	apf:APA03_07670
ko:K00382	apf:APA03_07680
ko:K03088	apf:APA03_15880
ko:K11720	apf:APA03_16110
ko:K01091	apf:APA03_16140
ko:K04042	apf:APA03_16150
ko:K00820	apf:APA03_16160
ko:K00432	apf:APA03_16240
ko:K09808	apf:APA03_16260
ko:K01881	apf:APA03_16270
ko:K03525	apf:APA03_16290
ko:K03524	apf:APA03_16300
ko:K00343	apf:APA03_16310
ko:K00341	apf:APA03_16320
ko:K00340	apf:APA03_16330
ko:K00339	apf:APA03_16340
ko:K00338	apf:APA03_16350
ko:K00337	apf:APA03_16360
ko:K00334	apf:APA03_16390
ko:K00333	apf:APA03_16400
ko:K07341	apf:APA03_43770
ko:K07726	apf:APA03_43930
ko:K01251	apf:APA03_07710
ko:K00655	apf:APA03_07720
ko:K01613	apf:APA03_07830
ko:K01872	apf:APA03_07840
ko:K13829	apf:APA03_07870
ko:K01962	apf:APA03_07900
ko:K04566	apf:APA03_07920
ko:K07115	apf:APA03_07950
ko:K01749	apf:APA03_07970
ko:K03071	apf:APA03_07990
ko:K00428	apf:APA03_08030
ko:K00228	apf:APA03_08060
ko:K00413	apf:APA03_08080
ko:K10679	apf:APA03_08130
ko:K00154	apf:APA03_08150
ko:K00332	apf:APA03_16410
ko:K00331	apf:APA03_16420
ko:K00330	apf:APA03_16430
ko:K03530	apf:APA03_16460
ko:K01338	apf:APA03_16470
ko:K03544	apf:APA03_16480
ko:K01358	apf:APA03_16490
ko:K03545	apf:APA03_16500
ko:K03215	apf:APA03_16550
ko:K11717	apf:APA03_16590
ko:K09015	apf:APA03_16600
ko:K09013	apf:APA03_16610
ko:K09014	apf:APA03_16620
ko:K01595	apf:APA03_16650
ko:K02355	apf:APA03_16670
ko:K02902	apf:APA03_16680
ko:K00990	apf:APA03_16720
ko:K03555	apf:APA03_16730
ko:K01299	apf:APA03_16750
ko:K01733	apf:APA03_16770
ko:K03592	apf:APA03_16790
ko:K01920	apf:APA03_16860
ko:K00384	apf:APA03_16900
ko:K02109	apf:APA03_24600
ko:K02110	apf:APA03_24610
ko:K02108	apf:APA03_24620
ko:K03110	apf:APA03_24640
ko:K01778	apf:APA03_24660
ko:K05592	apf:APA03_24690
ko:K02996	apf:APA03_24720
ko:K02871	apf:APA03_24730
ko:K02039	apf:APA03_24760
ko:K02036	apf:APA03_24770
ko:K02038	apf:APA03_24780
ko:K02037	apf:APA03_24790
ko:K01687	apf:APA03_24800
ko:K09985	apf:APA03_24930
ko:K01676	apf:APA03_24940
ko:K00285	apf:APA03_24980
ko:K01775	apf:APA03_24990
ko:K02834	apf:APA03_25010
ko:K02519	apf:APA03_25020
ko:K07742	apf:APA03_25030
ko:K02600	apf:APA03_25040
ko:K09748	apf:APA03_25050
ko:K01681	apf:APA03_25120
ko:K02194	apf:APA03_25140
ko:K00606	apf:APA03_08560
ko:K04775	apf:APA03_08600
ko:K01586	apf:APA03_08630
ko:K01755	apf:APA03_08650
ko:K00014	apf:APA03_08690
ko:K00859	apf:APA03_08700
ko:K01783	apf:APA03_08750
ko:K03500	apf:APA03_08760
ko:K11175	apf:APA03_08770
ko:K01933	apf:APA03_08780
ko:K00937	apf:APA03_08800
ko:K01524	apf:APA03_08810
ko:K05788	apf:APA03_16930
ko:K03980	apf:APA03_16950
ko:K04764	apf:APA03_16990
ko:K00648	apf:APA03_17000
ko:K03621	apf:APA03_17010
ko:K02911	apf:APA03_17020
ko:K07638	apf:APA03_17050
ko:K07659	apf:APA03_17060
ko:K01462	apf:APA03_17090
ko:K02970	apf:APA03_17100
ko:K00052	apf:APA03_17110
ko:K01704	apf:APA03_17120
ko:K01703	apf:APA03_17130
ko:K02884	apf:APA03_17140
ko:K00554	apf:APA03_17150
ko:K02860	apf:APA03_17160
ko:K02959	apf:APA03_17170
ko:K03106	apf:APA03_17180
ko:K06006	apf:APA03_17190
ko:K07289	apf:APA03_17210
ko:K07478	apf:APA03_17230
ko:K03179	apf:APA03_17250
ko:K09761	apf:APA03_17260
ko:K01919	apf:APA03_17270
ko:K08169	apf:APA03_17280
ko:K03977	apf:APA03_17300
ko:K01953	apf:APA03_17360
ko:K06980	apf:APA03_17370
ko:K00748	apf:APA03_17390
ko:K02291	apf:APA03_17430
ko:K04564	apf:APA03_17440
ko:K03695	apf:APA03_17450
ko:K07107	apf:APA03_26240
ko:K03551	apf:APA03_26250
ko:K03550	apf:APA03_26260
ko:K01159	apf:APA03_26270
ko:K03070	apf:APA03_26290
ko:K00620	apf:APA03_26310
ko:K00286	apf:APA03_26410
ko:K03530	apf:APA03_26450
ko:K01950	apf:APA03_26510
ko:K09768	apf:APA03_00030
ko:K07552	apf:APA03_00050
ko:K09791	apf:APA03_00070
ko:K07157	apf:APA03_00080
ko:K05838	apf:APA03_00090
ko:K03701	apf:APA03_00110
ko:K09384	apf:APA03_00140
ko:K09019	apf:APA03_00160
ko:K03789	apf:APA03_00180
ko:K01945	apf:APA03_00190
ko:K03601	apf:APA03_00200
ko:K00831	apf:APA03_00230
ko:K08715	apf:APA03_08880
ko:K02199	apf:APA03_08950
ko:K02198	apf:APA03_08960
ko:K02197	apf:APA03_08970
ko:K02195	apf:APA03_08990
ko:K09780	apf:APA03_09000
ko:K00684	apf:APA03_09070
ko:K00982	apf:APA03_09120
ko:K03564	apf:APA03_09130
ko:K09760	apf:APA03_09170
ko:K02867	apf:APA03_09230
ko:K02863	apf:APA03_09240
ko:K02864	apf:APA03_09250
ko:K02935	apf:APA03_09260
ko:K03043	apf:APA03_09270
ko:K03046	apf:APA03_09280
ko:K02950	apf:APA03_09290
ko:K02992	apf:APA03_09300
ko:K02358	apf:APA03_09310
ko:K02946	apf:APA03_09315
ko:K02906	apf:APA03_09320
ko:K02926	apf:APA03_09330
ko:K02892	apf:APA03_09340
ko:K02886	apf:APA03_09350
ko:K02965	apf:APA03_09355
ko:K02890	apf:APA03_09360
ko:K02982	apf:APA03_09370
ko:K03665	apf:APA03_17470
ko:K03666	apf:APA03_17480
ko:K13599	apf:APA03_17490
ko:K13598	apf:APA03_17500
ko:K07712	apf:APA03_17510
