ko:K03431	cty:CTR_8221
ko:K00820	cty:CTR_8231
ko:K01803	cty:CTR_3241
ko:K03601	cty:CTR_3251
ko:K03602	cty:CTR_3261
ko:K01662	cty:CTR_3281
ko:K00873	cty:CTR_3291
ko:K03701	cty:CTR_3301
ko:K02343	cty:CTR_3311
ko:K09747	cty:CTR_3321
ko:K11381	cty:CTR_3381
ko:K03686	cty:CTR_3391
ko:K02970	cty:CTR_3401
ko:K01338	cty:CTR_3421
ko:K03733	cty:CTR_3451
ko:K06287	cty:CTR_3471
ko:K03075	cty:CTR_3501
ko:K01462	cty:CTR_3511
ko:K02528	cty:CTR_3521
ko:K06888	cty:CTR_3541
ko:K03523	cty:CTR_3571
ko:K01714	cty:CTR_3591
ko:K00928	cty:CTR_3601
ko:K00133	cty:CTR_3611
ko:K00215	cty:CTR_3621
ko:K00800	cty:CTR_3641
ko:K00891	cty:CTR_3651
ko:K01736	cty:CTR_3661
ko:K01735	cty:CTR_3671
ko:K13832	cty:CTR_3681
ko:K00024	cty:CTR_3741
ko:K01810	cty:CTR_3761
ko:K03665	cty:CTR_3771
ko:K06167	cty:CTR_3781
ko:K00059	cty:CTR_2321
ko:K07052	cty:CTR_2491
ko:K02342	cty:CTR_2561
ko:K02806	cty:CTR_2851
ko:K02806	cty:CTR_2861
ko:K02124	cty:CTR_2991
ko:K02123	cty:CTR_3001
ko:K02120	cty:CTR_3011
ko:K02118	cty:CTR_3021
ko:K02117	cty:CTR_3031
ko:K02121	cty:CTR_3051
ko:K00616	cty:CTR_3081
ko:K07098	cty:CTR_4631
ko:K00567	cty:CTR_4791
ko:K02033	cty:CTR_4811
ko:K02035	cty:CTR_4821
ko:K02030	cty:CTR_4881
ko:K00380	cty:CTR_4361
ko:K01885	cty:CTR_4471
ko:K02342	cty:CTR_5391
ko:K08483	cty:CTR_3331
ko:K11189	cty:CTR_3341
ko:K00784	cty:CTR_3441
ko:K07258	cty:CTR_5541
ko:K03227	cty:CTR_5661
ko:K02454	cty:CTR_5741
ko:K01262	cty:CTR_5771
ko:K07315	cty:CTR_5911
ko:K04763	cty:CTR_8741
ko:K00700	cty:CTR_8761
ko:K03386	cty:CTR_6061
ko:K02428	cty:CTR_6091
ko:K00813	cty:CTR_6411
ko:K01934	cty:CTR_6531
