ko:K01883	llt:CVCAS_1788
ko:K00640	llt:CVCAS_1790
ko:K00962	llt:CVCAS_1792
ko:K00948	llt:CVCAS_1794
ko:K04487	llt:CVCAS_1796
ko:K02358	llt:CVCAS_1798
ko:K01870	llt:CVCAS_1801
ko:K04074	llt:CVCAS_1803
ko:K02221	llt:CVCAS_1805
ko:K09772	llt:CVCAS_1806
ko:K06997	llt:CVCAS_1807
ko:K03531	llt:CVCAS_1808
ko:K03590	llt:CVCAS_1809
ko:K03218	llt:CVCAS_1811
ko:K04042	llt:CVCAS_1823
ko:K00286	llt:CVCAS_1824
ko:K02956	llt:CVCAS_1825
ko:K03500	llt:CVCAS_1828
ko:K00604	llt:CVCAS_1892
ko:K04066	llt:CVCAS_1896
ko:K03060	llt:CVCAS_1897
ko:K00942	llt:CVCAS_1898
ko:K00789	llt:CVCAS_1901
ko:K00574	llt:CVCAS_1902
ko:K03524	llt:CVCAS_1903
ko:K01624	llt:CVCAS_1908
ko:K01868	llt:CVCAS_1910
ko:K07078	llt:CVCAS_1913
ko:K00761	llt:CVCAS_1914
ko:K14155	llt:CVCAS_1916
ko:K00651	llt:CVCAS_1918
ko:K09760	llt:CVCAS_1923
ko:K01783	llt:CVCAS_1924
ko:K06949	llt:CVCAS_1927
ko:K01890	llt:CVCAS_1929
ko:K01889	llt:CVCAS_1930
ko:K13727	llt:CVCAS_1931
ko:K01939	llt:CVCAS_1935
ko:K04083	llt:CVCAS_1944
ko:K01876	llt:CVCAS_1951
ko:K01892	llt:CVCAS_1953
ko:K00995	llt:CVCAS_1956
ko:K03629	llt:CVCAS_1961
ko:K00965	llt:CVCAS_1968
ko:K00849	llt:CVCAS_1969
ko:K08303	llt:CVCAS_1976
ko:K00563	llt:CVCAS_1980
ko:K01126	llt:CVCAS_1984
ko:K02503	llt:CVCAS_1985
ko:K02863	llt:CVCAS_1988
ko:K02867	llt:CVCAS_1989
ko:K01534	llt:CVCAS_1990
ko:K00243	llt:CVCAS_1994
