ko:K03269	ccq:N149_0281
ko:K03624	ccq:N149_0282
ko:K00748	ccq:N149_0283
ko:K07238	ccq:N149_0284
ko:K03787	ccq:N149_0289
ko:K03830	ccq:N149_0291
ko:K01579	ccq:N149_0292
ko:K01918	ccq:N149_0293
ko:K00606	ccq:N149_0294
ko:K02017	ccq:N149_0296
ko:K02018	ccq:N149_0297
ko:K01711	ccq:N149_1089
ko:K02843	ccq:N149_1092
ko:K07270	ccq:N149_1093
ko:K03271	ccq:N149_1094
ko:K03272	ccq:N149_1095
ko:K03274	ccq:N149_1096
ko:K03273	ccq:N149_1097
ko:K08738	ccq:N149_1098
ko:K17686	ccq:N149_1100
ko:K03628	ccq:N149_1101
ko:K02343	ccq:N149_1102
ko:K16264	ccq:N149_1105
ko:K09981	ccq:N149_1106
ko:K00016	ccq:N149_1109
ko:K03768	ccq:N149_1111
ko:K11743	ccq:N149_1113
ko:K11742	ccq:N149_1114
ko:K01887	ccq:N149_1115
ko:K03116	ccq:N149_1116
ko:K00942	ccq:N149_1117
ko:K02421	ccq:N149_1119
ko:K02003	ccq:N149_1120
ko:K02357	ccq:N149_1121
ko:K02967	ccq:N149_1122
ko:K00574	ccq:N149_1123
ko:K00413	ccq:N149_1124
ko:K00412	ccq:N149_1125
ko:K00411	ccq:N149_1126
ko:K03893	ccq:N149_1127
ko:K03495	ccq:N149_1128
ko:K11103	ccq:N149_1132
ko:K03306	ccq:N149_1134
ko:K01465	ccq:N149_1135
ko:K03737	ccq:N149_1424
ko:K01091	ccq:N149_1425
ko:K03286	ccq:N149_1426
ko:K02996	ccq:N149_1427
ko:K02871	ccq:N149_1428
ko:K05801	ccq:N149_1429
ko:K03582	ccq:N149_1431
ko:K00406	ccq:N149_1436
ko:K00407	ccq:N149_1437
ko:K00405	ccq:N149_1438
ko:K00404	ccq:N149_1439
ko:K09792	ccq:N149_1442
ko:K01956	ccq:N149_1443
ko:K09804	ccq:N149_1444
ko:K01939	ccq:N149_1447
ko:K07112	ccq:N149_1448
ko:K02313	ccq:N149_0001
ko:K02338	ccq:N149_0002
ko:K02470	ccq:N149_0003
ko:K14393	ccq:N149_0008
ko:K07084	ccq:N149_0010
ko:K00266	ccq:N149_0012
ko:K03470	ccq:N149_0013
ko:K01687	ccq:N149_0015
ko:K07023	ccq:N149_0016
ko:K06920	ccq:N149_0017
ko:K06180	ccq:N149_0021
ko:K01756	ccq:N149_0022
ko:K06956	ccq:N149_0024
ko:K01937	ccq:N149_0026
ko:K07462	ccq:N149_0027
ko:K01424	ccq:N149_0028
ko:K02029	ccq:N149_0830
ko:K02397	ccq:N149_0845
ko:K03466	ccq:N149_0846
ko:K02956	ccq:N149_0847
ko:K02400	ccq:N149_0849
ko:K03673	ccq:N149_0854
ko:K03611	ccq:N149_0855
ko:K04763	ccq:N149_0856
ko:K03342	ccq:N149_0857
ko:K01664	ccq:N149_0858
ko:K00790	ccq:N149_0860
ko:K03750	ccq:N149_0861
ko:K15738	ccq:N149_0863
ko:K00058	ccq:N149_0866
ko:K02945	ccq:N149_0868
ko:K03527	ccq:N149_0869
ko:K00800	ccq:N149_0870
ko:K01890	ccq:N149_0871
ko:K01889	ccq:N149_0872
ko:K02503	ccq:N149_0873
ko:K03152	ccq:N149_0874
ko:K02029	ccq:N149_0876
ko:K02028	ccq:N149_0877
ko:K03310	ccq:N149_0878
ko:K03216	ccq:N149_0879
ko:K01775	ccq:N149_0880
ko:K02926	ccq:N149_1657
ko:K02906	ccq:N149_1658
ko:K02946	ccq:N149_1659
ko:K06178	ccq:N149_1660
ko:K02528	ccq:N149_1662
ko:K06941	ccq:N149_1664
ko:K01704	ccq:N149_1673
ko:K01703	ccq:N149_1674
ko:K00052	ccq:N149_1675
ko:K01649	ccq:N149_1676
